,datetime,APPLEGATE_LAKE_NEAR_COPPER__OR..
527,2012-06-11,1985.7436363636364
528,2012-06-12,1985.557272727273
529,2012-06-13,1985.3709090909092
530,2012-06-14,1985.1845454545455
531,2012-06-15,1984.9981818181818
532,2012-06-16,1984.8118181818184
533,2012-06-17,1984.6254545454547
534,2012-06-18,1984.439090909091
535,2012-06-19,1984.2527272727273
536,2012-06-20,1984.0663636363638
537,2012-06-21,1983.88
538,2012-06-22,1983.71
539,2012-06-23,1983.59
540,2012-06-24,1983.4
541,2012-06-25,1983.17
542,2012-06-26,1982.95
543,2012-06-27,1982.68
544,2012-06-28,1982.39
545,2012-06-29,1982.1
546,2012-06-30,1981.86
547,2012-07-01,1981.64
548,2012-07-02,1981.3200000000002
549,2012-07-03,1981.0
550,2012-07-04,1980.68
551,2012-07-05,1980.34
552,2012-07-06,1979.93
553,2012-07-07,1979.46
554,2012-07-08,1978.97
555,2012-07-09,1978.48
556,2012-07-10,1977.97
557,2012-07-11,1977.47
558,2012-07-12,1976.91
559,2012-07-13,1976.38
560,2012-07-14,1975.85
561,2012-07-15,1975.3
562,2012-07-16,1974.76
563,2012-07-17,1974.22
564,2012-07-18,1973.7
565,2012-07-19,1973.14
566,2012-07-20,1972.6
567,2012-07-21,1972.03
568,2012-07-22,1971.45
569,2012-07-23,1970.86
570,2012-07-24,1970.26
571,2012-07-25,1969.64
572,2012-07-26,1969.02
573,2012-07-27,1968.39
574,2012-07-28,1967.76
575,2012-07-29,1967.12
576,2012-07-30,1966.48
577,2012-07-31,1965.83
578,2012-08-01,1965.17
579,2012-08-02,1964.51
580,2012-08-03,1963.83
581,2012-08-04,1963.15
582,2012-08-05,1962.49
583,2012-08-06,1961.78
584,2012-08-07,1961.08
585,2012-08-08,1960.37
586,2012-08-09,1959.65
587,2012-08-10,1958.92
588,2012-08-11,1958.2
589,2012-08-12,1957.46
590,2012-08-13,1956.73
591,2012-08-14,1955.98
592,2012-08-15,1955.23
593,2012-08-16,1954.47
594,2012-08-17,1953.7
595,2012-08-18,1952.96
596,2012-08-19,1952.21
597,2012-08-20,1951.46
598,2012-08-21,1950.7
599,2012-08-22,1949.93
600,2012-08-23,1949.17
601,2012-08-24,1948.4
602,2012-08-25,1947.61
603,2012-08-26,1946.8
604,2012-08-27,1945.99
605,2012-08-28,1945.19
606,2012-08-29,1944.38
607,2012-08-30,1943.57
608,2012-08-31,1942.78
609,2012-09-01,1941.99
610,2012-09-02,1941.23
611,2012-09-03,1940.47
612,2012-09-04,1939.71
613,2012-09-05,1938.94
614,2012-09-06,1938.17
615,2012-09-07,1937.39
616,2012-09-08,1936.61
617,2012-09-09,1935.81
618,2012-09-10,1935.06
619,2012-09-11,1934.34
620,2012-09-12,1933.62
621,2012-09-13,1932.89
622,2012-09-14,1932.16
623,2012-09-15,1931.42
624,2012-09-16,1930.68
625,2012-09-17,1929.93
626,2012-09-18,1929.17
627,2012-09-19,1928.39
628,2012-09-20,1927.6
629,2012-09-21,1926.81
630,2012-09-22,1926.01
631,2012-09-23,1925.21
632,2012-09-24,1924.4
633,2012-09-25,1923.58
634,2012-09-26,1922.75
635,2012-09-27,1921.94
636,2012-09-28,1921.17
637,2012-09-29,1920.38
638,2012-09-30,1920.4762932454696
639,2012-10-01,1920.572586490939
640,2012-10-02,1920.6688797364086
641,2012-10-03,1920.765172981878
642,2012-10-04,1920.8614662273478
643,2012-10-05,1920.9577594728173
644,2012-10-06,1921.0540527182868
645,2012-10-07,1921.1503459637563
646,2012-10-08,1921.2466392092258
647,2012-10-09,1921.3429324546953
648,2012-10-10,1921.4392257001648
649,2012-10-11,1921.5355189456343
650,2012-10-12,1921.6318121911038
651,2012-10-13,1921.7281054365735
652,2012-10-14,1921.824398682043
653,2012-10-15,1921.9206919275125
654,2012-10-16,1922.016985172982
655,2012-10-17,1922.1132784184515
656,2012-10-18,1922.209571663921
657,2012-10-19,1922.3058649093905
658,2012-10-20,1922.40215815486
659,2012-10-21,1922.4984514003295
660,2012-10-22,1922.5947446457992
661,2012-10-23,1922.6910378912687
662,2012-10-24,1922.7873311367382
663,2012-10-25,1922.8836243822077
664,2012-10-26,1922.9799176276772
665,2012-10-27,1923.0762108731467
666,2012-10-28,1923.1725041186162
667,2012-10-29,1923.2687973640857
668,2012-10-30,1923.3650906095552
669,2012-10-31,1923.461383855025
670,2012-11-01,1923.5576771004944
671,2012-11-02,1923.653970345964
672,2012-11-03,1923.7502635914334
673,2012-11-04,1923.846556836903
674,2012-11-05,1923.9428500823724
675,2012-11-06,1924.0391433278419
676,2012-11-07,1924.1354365733114
677,2012-11-08,1924.2317298187809
678,2012-11-09,1924.3280230642506
679,2012-11-10,1924.42431630972
680,2012-11-11,1924.5206095551896
681,2012-11-12,1924.616902800659
682,2012-11-13,1924.7131960461286
683,2012-11-14,1924.809489291598
684,2012-11-15,1924.9057825370676
685,2012-11-16,1925.002075782537
686,2012-11-17,1925.0983690280066
687,2012-11-18,1925.1946622734763
688,2012-11-19,1925.2909555189458
689,2012-11-20,1925.3872487644153
690,2012-11-21,1925.4835420098848
691,2012-11-22,1925.5798352553543
692,2012-11-23,1925.6761285008238
693,2012-11-24,1925.7724217462933
694,2012-11-25,1925.8687149917628
695,2012-11-26,1925.9650082372323
696,2012-11-27,1926.061301482702
697,2012-11-28,1926.1575947281715
698,2012-11-29,1926.253887973641
699,2012-11-30,1926.3501812191105
700,2012-12-01,1926.44647446458
701,2012-12-02,1926.5427677100495
702,2012-12-03,1926.639060955519
703,2012-12-04,1926.7353542009885
704,2012-12-05,1926.8316474464582
705,2012-12-06,1926.9279406919277
706,2012-12-07,1927.0242339373972
707,2012-12-08,1927.1205271828667
708,2012-12-09,1927.2168204283362
709,2012-12-10,1927.3131136738057
710,2012-12-11,1927.4094069192752
711,2012-12-12,1927.5057001647447
712,2012-12-13,1927.6019934102142
713,2012-12-14,1927.698286655684
714,2012-12-15,1927.7945799011534
715,2012-12-16,1927.8908731466229
716,2012-12-17,1927.9871663920924
717,2012-12-18,1928.0834596375619
718,2012-12-19,1928.1797528830314
719,2012-12-20,1928.2760461285009
720,2012-12-21,1928.3723393739704
721,2012-12-22,1928.4686326194399
722,2012-12-23,1928.5649258649096
723,2012-12-24,1928.661219110379
724,2012-12-25,1928.7575123558486
725,2012-12-26,1928.853805601318
726,2012-12-27,1928.9500988467876
727,2012-12-28,1929.046392092257
728,2012-12-29,1929.1426853377266
729,2012-12-30,1929.238978583196
730,2012-12-31,1929.3352718286656
731,2013-01-01,1929.4315650741353
732,2013-01-02,1929.5278583196048
733,2013-01-03,1929.6241515650743
734,2013-01-04,1929.7204448105438
735,2013-01-05,1929.8167380560133
736,2013-01-06,1929.9130313014828
737,2013-01-07,1930.0093245469523
738,2013-01-08,1930.1056177924218
739,2013-01-09,1930.2019110378913
740,2013-01-10,1930.298204283361
741,2013-01-11,1930.3944975288305
742,2013-01-12,1930.4907907743
743,2013-01-13,1930.5870840197695
744,2013-01-14,1930.683377265239
745,2013-01-15,1930.7796705107085
746,2013-01-16,1930.875963756178
747,2013-01-17,1930.9722570016474
748,2013-01-18,1931.068550247117
749,2013-01-19,1931.1648434925867
750,2013-01-20,1931.2611367380562
751,2013-01-21,1931.3574299835257
752,2013-01-22,1931.4537232289952
753,2013-01-23,1931.5500164744647
754,2013-01-24,1931.6463097199342
755,2013-01-25,1931.7426029654036
756,2013-01-26,1931.8388962108731
757,2013-01-27,1931.9351894563426
758,2013-01-28,1932.0314827018124
759,2013-01-29,1932.1277759472819
760,2013-01-30,1932.2240691927514
761,2013-01-31,1932.3203624382209
762,2013-02-01,1932.4166556836904
763,2013-02-02,1932.5129489291598
764,2013-02-03,1932.6092421746293
765,2013-02-04,1932.7055354200988
766,2013-02-05,1932.8018286655683
767,2013-02-06,1932.898121911038
768,2013-02-07,1932.9944151565076
769,2013-02-08,1933.090708401977
770,2013-02-09,1933.1870016474466
771,2013-02-10,1933.283294892916
772,2013-02-11,1933.3795881383855
773,2013-02-12,1933.475881383855
774,2013-02-13,1933.5721746293245
775,2013-02-14,1933.668467874794
776,2013-02-15,1933.7647611202638
777,2013-02-16,1933.8610543657333
778,2013-02-17,1933.9573476112027
779,2013-02-18,1934.0536408566722
780,2013-02-19,1934.1499341021417
781,2013-02-20,1934.2462273476112
782,2013-02-21,1934.3425205930807
783,2013-02-22,1934.4388138385502
784,2013-02-23,1934.5351070840197
785,2013-02-24,1934.6314003294895
786,2013-02-25,1934.727693574959
787,2013-02-26,1934.8239868204284
788,2013-02-27,1934.920280065898
789,2013-02-28,1935.0165733113674
790,2013-03-01,1935.112866556837
791,2013-03-02,1935.2091598023064
792,2013-03-03,1935.305453047776
793,2013-03-04,1935.4017462932454
794,2013-03-05,1935.4980395387151
795,2013-03-06,1935.5943327841846
796,2013-03-07,1935.6906260296541
797,2013-03-08,1935.7869192751236
798,2013-03-09,1935.8832125205931
799,2013-03-10,1935.9795057660626
800,2013-03-11,1936.0757990115321
801,2013-03-12,1936.1720922570016
802,2013-03-13,1936.2683855024711
803,2013-03-14,1936.3646787479408
804,2013-03-15,1936.4609719934103
805,2013-03-16,1936.5572652388798
806,2013-03-17,1936.6535584843493
807,2013-03-18,1936.7498517298188
808,2013-03-19,1936.8461449752883
809,2013-03-20,1936.9424382207578
810,2013-03-21,1937.0387314662273
811,2013-03-22,1937.1350247116968
812,2013-03-23,1937.2313179571665
813,2013-03-24,1937.327611202636
814,2013-03-25,1937.4239044481055
815,2013-03-26,1937.520197693575
816,2013-03-27,1937.6164909390445
817,2013-03-28,1937.712784184514
818,2013-03-29,1937.8090774299835
819,2013-03-30,1937.905370675453
820,2013-03-31,1938.0016639209225
821,2013-04-01,1938.0979571663922
822,2013-04-02,1938.1942504118617
823,2013-04-03,1938.2905436573312
824,2013-04-04,1938.3868369028007
825,2013-04-05,1938.4831301482702
826,2013-04-06,1938.5794233937397
827,2013-04-07,1938.6757166392092
828,2013-04-08,1938.7720098846787
829,2013-04-09,1938.8683031301484
830,2013-04-10,1938.964596375618
831,2013-04-11,1939.0608896210874
832,2013-04-12,1939.157182866557
833,2013-04-13,1939.2534761120264
834,2013-04-14,1939.349769357496
835,2013-04-15,1939.4460626029654
836,2013-04-16,1939.542355848435
837,2013-04-17,1939.6386490939044
838,2013-04-18,1939.7349423393741
839,2013-04-19,1939.8312355848436
840,2013-04-20,1939.9275288303131
841,2013-04-21,1940.0238220757826
842,2013-04-22,1940.1201153212521
843,2013-04-23,1940.2164085667216
844,2013-04-24,1940.312701812191
845,2013-04-25,1940.4089950576606
846,2013-04-26,1940.50528830313
847,2013-04-27,1940.6015815485998
848,2013-04-28,1940.6978747940693
849,2013-04-29,1940.7941680395388
850,2013-04-30,1940.8904612850083
851,2013-05-01,1940.9867545304778
852,2013-05-02,1941.0830477759473
853,2013-05-03,1941.1793410214168
854,2013-05-04,1941.2756342668863
855,2013-05-05,1941.3719275123558
856,2013-05-06,1941.4682207578255
857,2013-05-07,1941.564514003295
858,2013-05-08,1941.6608072487645
859,2013-05-09,1941.757100494234
860,2013-05-10,1941.8533937397035
861,2013-05-11,1941.949686985173
862,2013-05-12,1942.0459802306425
863,2013-05-13,1942.142273476112
864,2013-05-14,1942.2385667215815
865,2013-05-15,1942.3348599670512
866,2013-05-16,1942.4311532125207
867,2013-05-17,1942.5274464579902
868,2013-05-18,1942.6237397034597
869,2013-05-19,1942.7200329489292
870,2013-05-20,1942.8163261943987
871,2013-05-21,1942.9126194398682
872,2013-05-22,1943.0089126853377
873,2013-05-23,1943.1052059308072
874,2013-05-24,1943.201499176277
875,2013-05-25,1943.2977924217464
876,2013-05-26,1943.394085667216
877,2013-05-27,1943.4903789126854
878,2013-05-28,1943.586672158155
879,2013-05-29,1943.6829654036244
880,2013-05-30,1943.779258649094
881,2013-05-31,1943.8755518945634
882,2013-06-01,1943.9718451400329
883,2013-06-02,1944.0681383855026
884,2013-06-03,1944.164431630972
885,2013-06-04,1944.2607248764416
886,2013-06-05,1944.357018121911
887,2013-06-06,1944.4533113673806
888,2013-06-07,1944.54960461285
889,2013-06-08,1944.6458978583196
890,2013-06-09,1944.742191103789
891,2013-06-10,1944.8384843492586
892,2013-06-11,1944.9347775947283
893,2013-06-12,1945.0310708401978
894,2013-06-13,1945.1273640856673
895,2013-06-14,1945.2236573311368
896,2013-06-15,1945.3199505766063
897,2013-06-16,1945.4162438220758
898,2013-06-17,1945.5125370675453
899,2013-06-18,1945.6088303130148
900,2013-06-19,1945.7051235584843
901,2013-06-20,1945.801416803954
902,2013-06-21,1945.8977100494235
903,2013-06-22,1945.994003294893
904,2013-06-23,1946.0902965403625
905,2013-06-24,1946.186589785832
906,2013-06-25,1946.2828830313015
907,2013-06-26,1946.379176276771
908,2013-06-27,1946.4754695222405
909,2013-06-28,1946.57176276771
910,2013-06-29,1946.6680560131797
911,2013-06-30,1946.7643492586492
912,2013-07-01,1946.8606425041187
913,2013-07-02,1946.9569357495882
914,2013-07-03,1947.0532289950577
