,datetime,YALE_RESERVOIR_NEAR_YALE__WA.tsv
293,2013-10-21,373081.25
294,2013-10-22,373082.0
295,2013-10-23,373082.12
296,2013-10-24,373082.63
297,2013-10-25,373083.14
298,2013-10-26,373083.63
299,2013-10-27,373083.72
300,2013-10-28,373082.39
301,2013-10-29,373082.63
302,2013-10-30,373082.5
303,2013-10-31,373081.37
304,2013-11-01,373080.77
305,2013-11-02,373081.18
306,2013-11-03,373080.94
307,2013-11-04,373081.25
308,2013-11-05,373081.01
309,2013-11-06,373080.36
310,2013-11-07,373080.36
311,2013-11-08,373080.66
312,2013-11-09,373080.79
313,2013-11-10,373080.94
314,2013-11-11,373081.32
315,2013-11-12,373081.38
316,2013-11-13,373081.61
317,2013-11-14,373080.55
318,2013-11-15,373080.14
319,2013-11-16,373078.85
320,2013-11-17,373077.47
321,2013-11-18,373077.42
322,2013-11-19,373077.12
323,2013-11-20,373076.44
324,2013-11-21,373076.58
325,2013-11-22,373076.49
326,2013-11-23,373076.98
327,2013-11-24,373077.58
328,2013-11-25,373078.11
329,2013-11-26,373079.36
330,2013-11-27,373080.55
331,2013-11-28,373080.9
332,2013-11-29,373081.58
333,2013-11-30,373081.55
334,2013-12-01,373082.79
335,2013-12-02,373084.26
336,2013-12-03,373084.34
337,2013-12-04,373084.4
338,2013-12-05,373084.52
339,2013-12-06,373085.05
340,2013-12-07,373084.65
341,2013-12-08,373083.92
342,2013-12-09,373083.78
343,2013-12-10,373082.38
344,2013-12-11,373080.88
345,2013-12-12,373079.44
346,2013-12-13,373077.97
347,2013-12-14,373077.32
348,2013-12-15,373077.89
349,2013-12-16,373077.62
350,2013-12-17,373077.38
351,2013-12-18,373077.02
352,2013-12-19,373078.88
353,2013-12-20,373080.11
354,2013-12-21,373081.34
355,2013-12-22,373082.9
356,2013-12-23,373083.4
357,2013-12-24,373083.39
358,2013-12-25,373082.85
359,2013-12-26,373082.78
360,2013-12-27,373083.02
361,2013-12-28,373083.15
362,2013-12-29,373083.04
363,2013-12-30,373082.84
364,2013-12-31,373082.96
365,2014-01-01,373084.65
366,2014-01-02,373085.77
367,2014-01-03,373086.18
368,2014-01-04,373086.08
369,2014-01-05,373085.07
370,2014-01-06,373084.42
371,2014-01-07,373083.72
372,2014-01-08,373083.07
373,2014-01-09,373083.72
374,2014-01-10,373083.67
375,2014-01-11,373084.7
376,2014-01-12,373085.74
377,2014-01-13,373084.95
378,2014-01-14,373081.92
379,2014-01-15,373079.35
380,2014-01-16,373078.7
381,2014-01-17,373077.35
382,2014-01-18,373076.35
383,2014-01-19,373078.03
384,2014-01-20,373079.41
385,2014-01-21,373079.44
386,2014-01-22,373079.4
387,2014-01-23,373079.27
388,2014-01-24,373078.39
389,2014-01-25,373078.52
390,2014-01-26,373078.87
391,2014-01-27,373079.89
392,2014-01-28,373078.97
393,2014-01-29,373080.58
394,2014-01-30,373081.2
395,2014-01-31,373082.29
396,2014-02-01,373082.61
397,2014-02-02,373082.42
398,2014-02-03,373082.1
399,2014-02-04,373082.02
400,2014-02-05,373081.28
401,2014-02-06,373080.82
402,2014-02-07,373080.59
403,2014-02-08,373079.68
404,2014-02-09,373079.31
405,2014-02-10,373078.96
406,2014-02-11,373079.47
407,2014-02-12,373080.91
408,2014-02-13,373080.36
409,2014-02-14,373079.48
410,2014-02-15,373079.94
411,2014-02-16,373078.63
412,2014-02-17,373078.81
413,2014-02-18,373079.09
414,2014-02-19,373079.55
415,2014-02-20,373080.43
416,2014-02-21,373081.21
417,2014-02-22,373082.1
418,2014-02-23,373082.74
419,2014-02-24,373083.03
420,2014-02-25,373083.01
421,2014-02-26,373083.17
422,2014-02-27,373083.41
423,2014-02-28,373083.48
424,2014-03-01,373083.1
425,2014-03-02,373081.61
426,2014-03-03,373081.56
427,2014-03-04,373080.56
428,2014-03-05,373080.94
429,2014-03-06,373082.15
430,2014-03-07,373081.06
431,2014-03-08,373080.26
432,2014-03-09,373082.19
433,2014-03-10,373081.4
434,2014-03-11,373080.74
435,2014-03-12,373080.93
436,2014-03-13,373080.65
437,2014-03-14,373081.04
438,2014-03-15,373081.43
439,2014-03-16,373081.07
440,2014-03-17,373080.22
441,2014-03-18,373080.46
442,2014-03-19,373079.14
443,2014-03-20,373078.52
444,2014-03-21,373079.03
445,2014-03-22,373078.77
446,2014-03-23,373077.87
447,2014-03-24,373077.55
448,2014-03-25,373076.81
449,2014-03-26,373076.52
450,2014-03-27,373076.16
451,2014-03-28,373077.24
452,2014-03-29,373075.75
453,2014-03-30,373076.43
454,2014-03-31,373076.4
455,2014-04-01,373075.47
456,2014-04-02,373073.96
457,2014-04-03,373073.68
458,2014-04-04,373073.17
459,2014-04-05,373072.34
460,2014-04-06,373072.47
461,2014-04-07,373072.28
462,2014-04-08,373072.79
463,2014-04-09,373074.64
464,2014-04-10,373076.74
465,2014-04-11,373078.91
466,2014-04-12,373080.72
467,2014-04-13,373080.36
468,2014-04-14,373080.11
469,2014-04-15,373080.64
470,2014-04-16,373080.47
471,2014-04-17,373080.42
472,2014-04-18,373080.57
473,2014-04-19,373082.25
474,2014-04-20,373083.08
475,2014-04-21,373084.27
476,2014-04-22,373085.3
477,2014-04-23,373084.89
478,2014-04-24,373085.71
479,2014-04-25,373086.45
480,2014-04-26,373086.23
481,2014-04-27,373087.25
482,2014-04-28,373087.79
483,2014-04-29,373088.09
484,2014-04-30,373087.14
485,2014-05-01,373085.6
486,2014-05-02,373086.49
487,2014-05-03,373087.12
488,2014-05-04,373088.02
489,2014-05-05,373088.34
490,2014-05-06,373088.35
491,2014-05-07,373088.29
492,2014-05-08,373088.0
493,2014-05-09,373087.49
494,2014-05-10,373088.13
495,2014-05-11,373088.25
496,2014-05-12,373088.34
497,2014-05-13,373088.82
498,2014-05-14,373088.46
499,2014-05-15,373087.11
500,2014-05-16,373087.2
501,2014-05-17,373088.18
502,2014-05-18,373088.42
503,2014-05-19,373088.52
