,datetime,WYNOOCHEE_LAKE_NEAR_GRISDALE__WA.tsv
783,2015-02-23,27744.14
784,2015-02-24,27743.87
785,2015-02-25,27743.82
786,2015-02-26,27743.88
787,2015-02-27,27743.94
788,2015-02-28,27743.93
789,2015-03-01,27743.89
790,2015-03-02,27743.83
791,2015-03-03,27743.74
792,2015-03-04,27743.61
793,2015-03-05,27743.5
794,2015-03-06,27743.38
795,2015-03-07,27743.25
796,2015-03-08,27743.11
797,2015-03-09,27742.95
798,2015-03-10,27742.79
799,2015-03-11,27743.07
800,2015-03-12,27743.77
801,2015-03-13,27743.92
802,2015-03-14,27745.63
803,2015-03-15,27745.86
804,2015-03-16,27745.7
805,2015-03-17,27745.8
806,2015-03-18,27745.6
807,2015-03-19,27745.34
808,2015-03-20,27745.43
809,2015-03-21,27745.7
810,2015-03-22,27745.36
811,2015-03-23,27745.32
812,2015-03-24,27745.09
813,2015-03-25,27746.71
814,2015-03-26,27747.93
815,2015-03-27,27748.54
816,2015-03-28,27749.17
817,2015-03-29,27749.82
818,2015-03-30,27750.48
819,2015-03-31,27750.92
820,2015-04-01,27751.45
821,2015-04-02,27751.8
822,2015-04-03,27752.08
823,2015-04-04,27752.26
824,2015-04-05,27752.37
825,2015-04-06,27752.43
826,2015-04-07,27752.44
827,2015-04-08,27752.55
828,2015-04-09,27752.61
829,2015-04-10,27752.89
830,2015-04-11,27753.35
831,2015-04-12,27753.59
832,2015-04-13,27753.88
833,2015-04-14,27754.09
834,2015-04-15,27754.21
835,2015-04-16,27754.36
836,2015-04-17,27754.51
837,2015-04-18,27754.61
838,2015-04-19,27754.7
839,2015-04-20,27754.76
840,2015-04-21,27754.78
841,2015-04-22,27754.78
842,2015-04-23,27754.84
843,2015-04-24,27754.91
844,2015-04-25,27754.91
845,2015-04-26,27754.9
846,2015-04-27,27754.92
847,2015-04-28,27754.9
848,2015-04-29,27754.87
849,2015-04-30,27754.81
850,2015-05-01,27754.73
851,2015-05-02,27754.64
852,2015-05-03,27754.52
853,2015-05-04,27754.43
854,2015-05-05,27754.42
855,2015-05-06,27754.33
856,2015-05-07,27754.22
857,2015-05-08,27754.09
