,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
357,2012-03-01,314.1918604651163
358,2012-03-02,313.8459302325581
359,2012-03-03,313.5
360,2012-03-04,315.1
361,2012-03-05,319.40000000000003
362,2012-03-06,317.4
363,2012-03-07,315.7
364,2012-03-08,315.7
365,2012-03-09,319.0
366,2012-03-10,322.3
367,2012-03-11,323.7
368,2012-03-12,323.0
369,2012-03-13,322.0
370,2012-03-14,317.7
371,2012-03-15,321.0
372,2012-03-16,323.2
373,2012-03-17,324.7
374,2012-03-18,323.0
375,2012-03-19,322.5
376,2012-03-20,322.6
377,2012-03-21,319.79999999999995
378,2012-03-22,320.1
379,2012-03-23,320.70000000000005
380,2012-03-24,322.29999999999995
381,2012-03-25,328.7
382,2012-03-26,330.3
383,2012-03-27,326.5
384,2012-03-28,329.1
385,2012-03-29,333.1
386,2012-03-30,332.1
387,2012-03-31,335.40000000000003
388,2012-04-01,343.0
389,2012-04-02,350.3
390,2012-04-03,359.20000000000005
391,2012-04-04,361.7
392,2012-04-05,355.9
393,2012-04-06,357.3
394,2012-04-07,360.3
395,2012-04-08,363.0
396,2012-04-09,368.0
397,2012-04-10,373.3
398,2012-04-11,374.9
399,2012-04-12,369.3
400,2012-04-13,368.59999999999997
401,2012-04-14,370.20000000000005
402,2012-04-15,370.29999999999995
403,2012-04-16,372.3
404,2012-04-17,369.9
405,2012-04-18,373.8
406,2012-04-19,373.3
407,2012-04-20,373.40000000000003
408,2012-04-21,372.40000000000003
409,2012-04-22,379.0
410,2012-04-23,382.9
411,2012-04-24,381.3
412,2012-04-25,387.5
413,2012-04-26,395.6
414,2012-04-27,383.5
415,2012-04-28,392.7
416,2012-04-29,398.5
417,2012-04-30,393.7
418,2012-05-01,379.6
419,2012-05-02,373.2
420,2012-05-03,377.1
421,2012-05-04,370.8
422,2012-05-05,365.20000000000005
423,2012-05-06,368.90000000000003
424,2012-05-07,375.09999999999997
425,2012-05-08,380.9
426,2012-05-09,382.65
427,2012-05-10,380.4
428,2012-05-11,380.09999999999997
429,2012-05-12,381.5
430,2012-05-13,383.3
431,2012-05-14,385.6
432,2012-05-15,390.9
433,2012-05-16,391.1
434,2012-05-17,388.0
435,2012-05-18,383.70000000000005
436,2012-05-19,385.1
437,2012-05-20,388.70000000000005
438,2012-05-21,390.1
439,2012-05-22,387.1
440,2012-05-23,378.29999999999995
441,2012-05-24,373.9
442,2012-05-25,374.9
443,2012-05-26,372.8
444,2012-05-27,373.1
445,2012-05-28,374.5
446,2012-05-29,380.20000000000005
447,2012-05-30,381.9
448,2012-05-31,383.7
449,2012-06-01,387.5
450,2012-06-02,388.29999999999995
451,2012-06-03,385.3
452,2012-06-04,385.09999999999997
453,2012-06-05,378.3
454,2012-06-06,371.5
455,2012-06-07,376.8
456,2012-06-08,381.6
457,2012-06-09,382.3
458,2012-06-10,380.3
459,2012-06-11,384.8
460,2012-06-12,391.2
461,2012-06-13,393.59999999999997
462,2012-06-14,390.5
463,2012-06-15,389.0
464,2012-06-16,390.8
465,2012-06-17,392.8
466,2012-06-18,386.7
467,2012-06-19,380.2
468,2012-06-20,378.40000000000003
469,2012-06-21,387.5
470,2012-06-22,396.8
471,2012-06-23,393.0
472,2012-06-24,386.3
