,datetime,MAYFIELD_RESERVOIR_NEAR_SILVER_CREEK__WA.
689,2012-11-20,125821.25
690,2012-11-21,125621.15
691,2012-11-22,127622.05
692,2012-11-23,129222.81
693,2012-11-24,128722.57
694,2012-11-25,128722.55
695,2012-11-26,130623.43
696,2012-11-27,131723.91
697,2012-11-28,131823.98
698,2012-11-29,131223.69
699,2012-11-30,128822.63
700,2012-12-01,127321.94
701,2012-12-02,125120.93
702,2012-12-03,123320.07
703,2012-12-04,124820.75
704,2012-12-05,126121.37
705,2012-12-06,125421.03
706,2012-12-07,126221.41
707,2012-12-08,126421.51
708,2012-12-09,125521.1
709,2012-12-10,125921.29
710,2012-12-11,127522.01
711,2012-12-12,129422.89
712,2012-12-13,131523.81
713,2012-12-14,132724.37
714,2012-12-15,132724.37
715,2012-12-16,130423.35
716,2012-12-17,130623.43
717,2012-12-18,130523.39
718,2012-12-19,127421.99
719,2012-12-20,125921.27
720,2012-12-21,126921.75
721,2012-12-22,127622.07
722,2012-12-23,128822.59
723,2012-12-24,127822.14
724,2012-12-25,129422.89
725,2012-12-26,131423.78
726,2012-12-27,131223.7
727,2012-12-28,128522.46
728,2012-12-29,128722.56
729,2012-12-30,129022.72
730,2012-12-31,130023.17
731,2013-01-01,129923.11
732,2013-01-02,129222.81
733,2013-01-03,128522.49
734,2013-01-04,127121.85
735,2013-01-05,128022.26
736,2013-01-06,125320.99
737,2013-01-07,126021.3
738,2013-01-08,128322.37
739,2013-01-09,125621.15
740,2013-01-10,126921.75
741,2013-01-11,131924.0
742,2013-01-12,133224.61
743,2013-01-13,131123.66
744,2013-01-14,130723.49
745,2013-01-15,129022.71
746,2013-01-16,130223.23
747,2013-01-17,130423.32
748,2013-01-18,130323.3
749,2013-01-19,130223.25
750,2013-01-20,129122.76
751,2013-01-21,130723.45
752,2013-01-22,128722.55
753,2013-01-23,128022.25
754,2013-01-24,124920.81
755,2013-01-25,124820.78
756,2013-01-26,126521.53
757,2013-01-27,125921.28
758,2013-01-28,127321.94
759,2013-01-29,126021.3
760,2013-01-30,125120.9
761,2013-01-31,124220.47
762,2013-02-01,124120.45
763,2013-02-02,126621.62
764,2013-02-03,125921.26
765,2013-02-04,128022.25
766,2013-02-05,127722.09
767,2013-02-06,128722.55
768,2013-02-07,129022.69
769,2013-02-08,131823.95
770,2013-02-09,128822.6
771,2013-02-10,130023.15
772,2013-02-11,128222.33
773,2013-02-12,128122.29
774,2013-02-13,125421.03
775,2013-02-14,125821.25
776,2013-02-15,126721.64
777,2013-02-16,126121.37
778,2013-02-17,124320.53
779,2013-02-18,125320.99
780,2013-02-19,129723.02
781,2013-02-20,131223.71
782,2013-02-21,131823.95
783,2013-02-22,131423.78
784,2013-02-23,127522.02
785,2013-02-24,126721.65
786,2013-02-25,127922.19
787,2013-02-26,131323.73
788,2013-02-27,129522.91
789,2013-02-28,126321.46
790,2013-03-01,126221.41
791,2013-03-02,127822.15
792,2013-03-03,128022.23
793,2013-03-04,133324.63
794,2013-03-05,132824.43
795,2013-03-06,131924.01
796,2013-03-07,128722.54
797,2013-03-08,132424.23
798,2013-03-09,131023.59
799,2013-03-10,124720.71
800,2013-03-11,124920.83
801,2013-03-12,124620.69
802,2013-03-13,127221.89
803,2013-03-14,127822.15
804,2013-03-15,127421.96
805,2013-03-16,127722.09
806,2013-03-17,127822.15
807,2013-03-18,128722.55
808,2013-03-19,132424.23
809,2013-03-20,127421.98
810,2013-03-21,129522.93
811,2013-03-22,132524.29
812,2013-03-23,133324.62
813,2013-03-24,129022.7
814,2013-03-25,128222.32
815,2013-03-26,124820.79
816,2013-03-27,124220.51
817,2013-03-28,127121.82
818,2013-03-29,128922.66
819,2013-03-30,128022.26
820,2013-03-31,126521.54
821,2013-04-01,127622.06
822,2013-04-02,125621.15
823,2013-04-03,129222.81
824,2013-04-04,129622.99
825,2013-04-05,132124.11
826,2013-04-06,129222.77
827,2013-04-07,126121.39
828,2013-04-08,129022.69
829,2013-04-09,129522.93
830,2013-04-10,127922.21
831,2013-04-11,130823.51
832,2013-04-12,132324.17
833,2013-04-13,128722.55
834,2013-04-14,130123.19
835,2013-04-15,131323.75
836,2013-04-16,129322.83
837,2013-04-17,127121.81
838,2013-04-18,129122.73
839,2013-04-19,132224.13
840,2013-04-20,130523.37
841,2013-04-21,128322.37
842,2013-04-22,127321.93
843,2013-04-23,127421.97
844,2013-04-24,127221.87
845,2013-04-25,126721.65
846,2013-04-26,131123.67
847,2013-04-27,129823.07
848,2013-04-28,125821.25
849,2013-04-29,127622.08
850,2013-04-30,128522.45
851,2013-05-01,131323.72
852,2013-05-02,132124.11
853,2013-05-03,131323.76
854,2013-05-04,128622.5
855,2013-05-05,130223.25
856,2013-05-06,131123.63
857,2013-05-07,130023.14
858,2013-05-08,130823.51
859,2013-05-09,129522.93
860,2013-05-10,131623.87
861,2013-05-11,132224.13
862,2013-05-12,128022.24
863,2013-05-13,127421.95
864,2013-05-14,128922.66
865,2013-05-15,129422.86
866,2013-05-16,129723.04
867,2013-05-17,129122.73
868,2013-05-18,126421.51
869,2013-05-19,127021.77
870,2013-05-20,132424.24
871,2013-05-21,130823.52
872,2013-05-22,131623.86
873,2013-05-23,131623.89
874,2013-05-24,130423.35
875,2013-05-25,131423.77
876,2013-05-26,129923.13
877,2013-05-27,132424.21
878,2013-05-28,131223.71
879,2013-05-29,130623.41
880,2013-05-30,129522.91
881,2013-05-31,131523.82
882,2013-06-01,132224.14
883,2013-06-02,129923.13
884,2013-06-03,132024.05
885,2013-06-04,132324.18
886,2013-06-05,131223.7
887,2013-06-06,131123.63
888,2013-06-07,132124.11
889,2013-06-08,131123.66
890,2013-06-09,129723.03
891,2013-06-10,132024.04
892,2013-06-11,129723.02
893,2013-06-12,130223.23
894,2013-06-13,131023.62
895,2013-06-14,132724.37
896,2013-06-15,133024.48
897,2013-06-16,130423.35
898,2013-06-17,132124.12
899,2013-06-18,131924.03
900,2013-06-19,130823.52
901,2013-06-20,130323.31
902,2013-06-21,132024.05
903,2013-06-22,132424.25
904,2013-06-23,132824.41
905,2013-06-24,131523.85
906,2013-06-25,131123.66
907,2013-06-26,131723.91
908,2013-06-27,131823.97
909,2013-06-28,131924.02
910,2013-06-29,131924.03
911,2013-06-30,131023.59
912,2013-07-01,131723.93
913,2013-07-02,131323.73
914,2013-07-03,130423.32
915,2013-07-04,128622.5
916,2013-07-05,130423.34
917,2013-07-06,130623.43
918,2013-07-07,131223.69
919,2013-07-08,131924.02
920,2013-07-09,131623.87
921,2013-07-10,130523.39
922,2013-07-11,130023.16
923,2013-07-12,132624.34
924,2013-07-13,132224.14
925,2013-07-14,129422.9
926,2013-07-15,132124.11
927,2013-07-16,131323.73
928,2013-07-17,129622.95
929,2013-07-18,131323.73
930,2013-07-19,131723.9
931,2013-07-20,130723.49
932,2013-07-21,129923.11
933,2013-07-22,132224.15
934,2013-07-23,132924.45
935,2013-07-24,131924.03
936,2013-07-25,132324.19
937,2013-07-26,131924.02
938,2013-07-27,129823.05
939,2013-07-28,128422.43
940,2013-07-29,129522.93
941,2013-07-30,129823.08
942,2013-07-31,130023.17
943,2013-08-01,131323.75
944,2013-08-02,132124.09
945,2013-08-03,131823.96
946,2013-08-04,129723.0
947,2013-08-05,131924.03
948,2013-08-06,132524.28
949,2013-08-07,132124.12
950,2013-08-08,132224.15
951,2013-08-09,132524.28
952,2013-08-10,132324.19
953,2013-08-11,130423.33
954,2013-08-12,130423.32
955,2013-08-13,130423.33
956,2013-08-14,131223.7
957,2013-08-15,132724.35
958,2013-08-16,132424.25
959,2013-08-17,131623.87
960,2013-08-18,130323.29
961,2013-08-19,130723.49
962,2013-08-20,132624.33
963,2013-08-21,130423.32
964,2013-08-22,129823.07
965,2013-08-23,131023.6
966,2013-08-24,129923.11
967,2013-08-25,131223.7
968,2013-08-26,132124.09
969,2013-08-27,132024.05
970,2013-08-28,132024.05
971,2013-08-29,131823.96
972,2013-08-30,132424.21
973,2013-08-31,131323.72
974,2013-09-01,131223.69
975,2013-09-02,131223.7
976,2013-09-03,131423.77
977,2013-09-04,131523.83
978,2013-09-05,130923.57
979,2013-09-06,132224.15
980,2013-09-07,131223.71
981,2013-09-08,130423.33
982,2013-09-09,130323.31
983,2013-09-10,129122.75
984,2013-09-11,129322.82
985,2013-09-12,129923.13
986,2013-09-13,130123.19
987,2013-09-14,127321.91
988,2013-09-15,124320.54
989,2013-09-16,126021.3
990,2013-09-17,127522.02
