,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
530,2014-06-15,3446.31
531,2014-06-16,3446.27
532,2014-06-17,3446.22
533,2014-06-18,3446.15
534,2014-06-19,3446.08
535,2014-06-20,3446.0
536,2014-06-21,3445.94
537,2014-06-22,3445.86
538,2014-06-23,3445.79
539,2014-06-24,3445.72
540,2014-06-25,3445.66
541,2014-06-26,3445.61
542,2014-06-27,3445.62
543,2014-06-28,3445.58
544,2014-06-29,3445.53
545,2014-06-30,3445.47
546,2014-07-01,3445.4
547,2014-07-02,3445.33
548,2014-07-03,3445.26
549,2014-07-04,3445.18
550,2014-07-05,3445.1
551,2014-07-06,3445.03
552,2014-07-07,3444.96
553,2014-07-08,3444.89
554,2014-07-09,3444.8
555,2014-07-10,3444.73
556,2014-07-11,3444.65
557,2014-07-12,3444.57
558,2014-07-13,3444.51
559,2014-07-14,3444.42
560,2014-07-15,3444.35
561,2014-07-16,3444.28
562,2014-07-17,3444.19
563,2014-07-18,3444.12
564,2014-07-19,3444.04
565,2014-07-20,3443.96
566,2014-07-21,3443.88
567,2014-07-22,3443.83
568,2014-07-23,3443.83
569,2014-07-24,3443.77
570,2014-07-25,3443.71
571,2014-07-26,3443.64
572,2014-07-27,3443.58
573,2014-07-28,3443.52
574,2014-07-29,3443.46
575,2014-07-30,3443.4
576,2014-07-31,3443.34
577,2014-08-01,3443.28
578,2014-08-02,3443.22
579,2014-08-03,3443.17
580,2014-08-04,3443.11
581,2014-08-05,3443.05
582,2014-08-06,3442.99
583,2014-08-07,3442.93
584,2014-08-08,3442.87
585,2014-08-09,3442.81
586,2014-08-10,3442.76
587,2014-08-11,3442.71
588,2014-08-12,3442.74
589,2014-08-13,3442.71
590,2014-08-14,3442.66
591,2014-08-15,3442.6
592,2014-08-16,3442.56
593,2014-08-17,3442.52
594,2014-08-18,3442.47
595,2014-08-19,3442.42
596,2014-08-20,3442.38
597,2014-08-21,3442.32
598,2014-08-22,3442.28
599,2014-08-23,3442.23
600,2014-08-24,3442.19
601,2014-08-25,3442.15
602,2014-08-26,3442.11
603,2014-08-27,3442.06
604,2014-08-28,3442.03
605,2014-08-29,3441.98
606,2014-08-30,3441.97
607,2014-08-31,3441.91
608,2014-09-01,3441.87
609,2014-09-02,3441.87
610,2014-09-03,3441.83
611,2014-09-04,3441.79
612,2014-09-05,3441.75
613,2014-09-06,3441.71
614,2014-09-07,3441.68
615,2014-09-08,3441.64
616,2014-09-09,3441.6
617,2014-09-10,3441.57
618,2014-09-11,3441.53
619,2014-09-12,3441.48
620,2014-09-13,3441.44
621,2014-09-14,3441.4
622,2014-09-15,3441.38
623,2014-09-16,3441.35
624,2014-09-17,3441.32
625,2014-09-18,3441.31
626,2014-09-19,3441.28
627,2014-09-20,3441.25
628,2014-09-21,3441.23
629,2014-09-22,3441.21
630,2014-09-23,3441.25
631,2014-09-24,3441.32
632,2014-09-25,3441.29
633,2014-09-26,3441.3
634,2014-09-27,3441.28
635,2014-09-28,3441.25
636,2014-09-29,3441.25
637,2014-09-30,3441.28
638,2014-10-01,3441.26
639,2014-10-02,3441.25
640,2014-10-03,3441.27
641,2014-10-04,3441.3
642,2014-10-05,3441.32
643,2014-10-06,3441.33
644,2014-10-07,3441.36
645,2014-10-08,3441.37
646,2014-10-09,3441.39
647,2014-10-10,3441.4
648,2014-10-11,3441.49
649,2014-10-12,3441.5
650,2014-10-13,3441.51
651,2014-10-14,3441.61
652,2014-10-15,3441.71
653,2014-10-16,3441.73
654,2014-10-17,3441.83
655,2014-10-18,3441.87
656,2014-10-19,3441.89
657,2014-10-20,3441.88
658,2014-10-21,3441.92
659,2014-10-22,3442.13
660,2014-10-23,3442.19
661,2014-10-24,3442.26
662,2014-10-25,3442.43
