,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.tsv
319,2013-11-16,642783.39
320,2013-11-17,642783.75
321,2013-11-18,642784.44
322,2013-11-19,642788.0
323,2013-11-20,642789.72
324,2013-11-21,642790.91
325,2013-11-22,642791.29
326,2013-11-23,642791.22
327,2013-11-24,642791.46
328,2013-11-25,642791.5
329,2013-11-26,642790.88
330,2013-11-27,642790.2
331,2013-11-28,642789.64
332,2013-11-29,642788.62
333,2013-11-30,642788.4
334,2013-12-01,642790.56
335,2013-12-02,642793.3
336,2013-12-03,642793.83
337,2013-12-04,642794.38
338,2013-12-05,642794.31
339,2013-12-06,642794.0
340,2013-12-07,642793.56
341,2013-12-08,642792.49
342,2013-12-09,642791.55
343,2013-12-10,642790.24
344,2013-12-11,642788.79
345,2013-12-12,642789.0
346,2013-12-13,642789.47
347,2013-12-14,642789.73
348,2013-12-15,642790.34
349,2013-12-16,642790.06
350,2013-12-17,642790.06
351,2013-12-18,642790.75
352,2013-12-19,642790.16
353,2013-12-20,642790.24
354,2013-12-21,642790.26
355,2013-12-22,642790.38
356,2013-12-23,642791.2
357,2013-12-24,642791.75
358,2013-12-25,642792.14
359,2013-12-26,642791.7
360,2013-12-27,642791.43
361,2013-12-28,642790.9
362,2013-12-29,642791.03
363,2013-12-30,642791.19
364,2013-12-31,642791.48
365,2014-01-01,642791.02
366,2014-01-02,642791.01
367,2014-01-03,642791.32
368,2014-01-04,642791.46
369,2014-01-05,642791.12
370,2014-01-06,642790.39
371,2014-01-07,642788.81
372,2014-01-08,642787.07
373,2014-01-09,642785.33
374,2014-01-10,642785.8
375,2014-01-11,642787.56
376,2014-01-12,642789.69
377,2014-01-13,642792.31
378,2014-01-14,642794.85
379,2014-01-15,642796.29
380,2014-01-16,642796.47
381,2014-01-17,642796.89
382,2014-01-18,642798.22
383,2014-01-19,642797.54
384,2014-01-20,642796.78
385,2014-01-21,642795.8
386,2014-01-22,642794.96
387,2014-01-23,642794.26
388,2014-01-24,642793.1
389,2014-01-25,642791.13
390,2014-01-26,642788.78
391,2014-01-27,642786.29
392,2014-01-28,642785.65
393,2014-01-29,642785.35
394,2014-01-30,642785.58
395,2014-01-31,642785.03
396,2014-02-01,642785.24
397,2014-02-02,642785.68
398,2014-02-03,642785.05
399,2014-02-04,642785.07
400,2014-02-05,642784.51
401,2014-02-06,642782.04
402,2014-02-07,642779.45
403,2014-02-08,642777.27
404,2014-02-09,642774.99
405,2014-02-10,642773.17
406,2014-02-11,642771.56
407,2014-02-12,642772.74
408,2014-02-13,642774.58
409,2014-02-14,642776.59
410,2014-02-15,642777.87
411,2014-02-16,642781.02
412,2014-02-17,642783.7
413,2014-02-18,642787.09
414,2014-02-19,642789.88
415,2014-02-20,642791.33
416,2014-02-21,642791.88
417,2014-02-22,642790.78
418,2014-02-23,642789.02
419,2014-02-24,642788.26
420,2014-02-25,642787.17
421,2014-02-26,642785.9
422,2014-02-27,642784.61
423,2014-02-28,642783.07
424,2014-03-01,642781.6
425,2014-03-02,642780.8
426,2014-03-03,642780.71
427,2014-03-04,642782.4
428,2014-03-05,642785.45
429,2014-03-06,642791.07
430,2014-03-07,642794.58
431,2014-03-08,642795.55
432,2014-03-09,642795.76
433,2014-03-10,642796.41
434,2014-03-11,642797.23
435,2014-03-12,642797.29
436,2014-03-13,642796.95
437,2014-03-14,642796.07
438,2014-03-15,642794.72
439,2014-03-16,642794.43
440,2014-03-17,642795.01
441,2014-03-18,642794.16
442,2014-03-19,642794.18
443,2014-03-20,642794.17
444,2014-03-21,642792.98
445,2014-03-22,642792.78
446,2014-03-23,642791.95
447,2014-03-24,642790.95
448,2014-03-25,642790.0
449,2014-03-26,642788.34
450,2014-03-27,642786.79
451,2014-03-28,642785.86
452,2014-03-29,642787.98
453,2014-03-30,642790.05
454,2014-03-31,642790.53
455,2014-04-01,642791.56
456,2014-04-02,642792.55
457,2014-04-03,642792.37
458,2014-04-04,642792.56
459,2014-04-05,642793.0
460,2014-04-06,642794.64
461,2014-04-07,642794.86
462,2014-04-08,642795.65
463,2014-04-09,642796.33
464,2014-04-10,642796.6
465,2014-04-11,642796.64
466,2014-04-12,642796.43
467,2014-04-13,642796.92
468,2014-04-14,642797.43
469,2014-04-15,642797.8
470,2014-04-16,642797.62
471,2014-04-17,642797.65
472,2014-04-18,642797.91
473,2014-04-19,642797.25
474,2014-04-20,642797.48
475,2014-04-21,642796.85
476,2014-04-22,642796.34
477,2014-04-23,642795.92
478,2014-04-24,642796.59
479,2014-04-25,642796.92
480,2014-04-26,642797.96
481,2014-04-27,642798.9
482,2014-04-28,642798.26
483,2014-04-29,642797.59
484,2014-04-30,642797.24
485,2014-05-01,642797.69
486,2014-05-02,642797.21
487,2014-05-03,642796.54
488,2014-05-04,642796.2
489,2014-05-05,642796.47
490,2014-05-06,642795.97
491,2014-05-07,642795.04
492,2014-05-08,642794.37
493,2014-05-09,642795.0
494,2014-05-10,642795.16
495,2014-05-11,642794.85
496,2014-05-12,642795.84
497,2014-05-13,642796.19
498,2014-05-14,642795.98
499,2014-05-15,642796.31
500,2014-05-16,642796.95
501,2014-05-17,642796.75
502,2014-05-18,642796.14
503,2014-05-19,642796.47
504,2014-05-20,642796.61
505,2014-05-21,642796.63
506,2014-05-22,642796.47
507,2014-05-23,642796.61
508,2014-05-24,642796.31
509,2014-05-25,642796.01
510,2014-05-26,642796.62
511,2014-05-27,642796.4
512,2014-05-28,642797.51
513,2014-05-29,642797.09
514,2014-05-30,642795.98
515,2014-05-31,642796.02
516,2014-06-01,642795.61
517,2014-06-02,642795.46
518,2014-06-03,642795.55
519,2014-06-04,642796.1
520,2014-06-05,642795.72
521,2014-06-06,642795.46
522,2014-06-07,642795.66
523,2014-06-08,642795.56
524,2014-06-09,642795.69
525,2014-06-10,642795.64
526,2014-06-11,642795.74
527,2014-06-12,642796.16
528,2014-06-13,642797.1
529,2014-06-14,642797.37
530,2014-06-15,642797.61
531,2014-06-16,642798.13
532,2014-06-17,642798.22
533,2014-06-18,642798.29
534,2014-06-19,642797.94
535,2014-06-20,642798.44
536,2014-06-21,642797.65
537,2014-06-22,642797.09
538,2014-06-23,642796.88
539,2014-06-24,642797.04
540,2014-06-25,642796.82
541,2014-06-26,642796.89
542,2014-06-27,642796.85
543,2014-06-28,642797.72
544,2014-06-29,642798.41
545,2014-06-30,642798.85
546,2014-07-01,642798.67
547,2014-07-02,642798.92
548,2014-07-03,642798.72
549,2014-07-04,642798.82
550,2014-07-05,642798.78
551,2014-07-06,642798.85
552,2014-07-07,642798.38
553,2014-07-08,642798.45
554,2014-07-09,642798.62
555,2014-07-10,642798.68
556,2014-07-11,642798.67
557,2014-07-12,642798.27
558,2014-07-13,642797.95
559,2014-07-14,642797.67
560,2014-07-15,642797.43
561,2014-07-16,642797.29
562,2014-07-17,642797.38
563,2014-07-18,642797.3
564,2014-07-19,642797.65
565,2014-07-20,642798.06
566,2014-07-21,642798.11
567,2014-07-22,642798.25
568,2014-07-23,642798.69
569,2014-07-24,642798.82
570,2014-07-25,642798.96
571,2014-07-26,642799.04
572,2014-07-27,642798.93
573,2014-07-28,642798.72
574,2014-07-29,642798.6
575,2014-07-30,642798.49
576,2014-07-31,642798.39
577,2014-08-01,642798.39
578,2014-08-02,642798.3
579,2014-08-03,642798.27
580,2014-08-04,642798.38
581,2014-08-05,642798.52
582,2014-08-06,642798.57
583,2014-08-07,642798.38
584,2014-08-08,642798.03
585,2014-08-09,642798.06
586,2014-08-10,642797.81
587,2014-08-11,642797.47
588,2014-08-12,642797.65
589,2014-08-13,642797.96
590,2014-08-14,642797.79
591,2014-08-15,642797.53
592,2014-08-16,642797.14
593,2014-08-17,642796.33
594,2014-08-18,642795.36
595,2014-08-19,642795.24
596,2014-08-20,642794.81
597,2014-08-21,642793.82
598,2014-08-22,642793.16
599,2014-08-23,642793.43
600,2014-08-24,642792.67
601,2014-08-25,642792.15
602,2014-08-26,642791.72
603,2014-08-27,642791.38
604,2014-08-28,642791.01
605,2014-08-29,642790.35
606,2014-08-30,642789.74
607,2014-08-31,642789.52
608,2014-09-01,642788.8
609,2014-09-02,642788.85
610,2014-09-03,642788.69
611,2014-09-04,642788.7
612,2014-09-05,642788.36
613,2014-09-06,642788.14
614,2014-09-07,642788.13
615,2014-09-08,642788.16
616,2014-09-09,642788.2
617,2014-09-10,642788.13
618,2014-09-11,642787.77
619,2014-09-12,642787.65
620,2014-09-13,642787.6
621,2014-09-14,642787.51
622,2014-09-15,642787.25
623,2014-09-16,642787.17
624,2014-09-17,642787.37
625,2014-09-18,642787.61
626,2014-09-19,642787.73
627,2014-09-20,642787.54
628,2014-09-21,642787.71
629,2014-09-22,642788.01
630,2014-09-23,642788.29
631,2014-09-24,642788.69
632,2014-09-25,642789.02
633,2014-09-26,642789.32
634,2014-09-27,642789.11
635,2014-09-28,642788.58
636,2014-09-29,642788.55
637,2014-09-30,642788.44
638,2014-10-01,642788.7
639,2014-10-02,641988.52
640,2014-10-03,640688.21
641,2014-10-04,639387.91
642,2014-10-05,638187.64
643,2014-10-06,636887.34
644,2014-10-07,635787.09
645,2014-10-08,635286.97
646,2014-10-09,634386.77
647,2014-10-10,633686.6
648,2014-10-11,633686.61
649,2014-10-12,632786.4
650,2014-10-13,631886.2
651,2014-10-14,631086.01
652,2014-10-15,628285.35
653,2014-10-16,626684.99
654,2014-10-17,624884.57
655,2014-10-18,624484.47
656,2014-10-19,623384.22
657,2014-10-20,622083.9
658,2014-10-21,619183.23
659,2014-10-22,627385.14
660,2014-10-23,638187.65
661,2014-10-24,645689.34
662,2014-10-25,651990.76
663,2014-10-26,651590.67
664,2014-10-27,649090.12
665,2014-10-28,646689.57
666,2014-10-29,643588.88
667,2014-10-30,637887.57
668,2014-10-31,637687.53
669,2014-11-01,639187.87
670,2014-11-02,637287.44
671,2014-11-03,633586.58
672,2014-11-04,630985.99
673,2014-11-05,640588.19
674,2014-11-06,647789.83
675,2014-11-07,645689.35
676,2014-11-08,641088.31
677,2014-11-09,635487.01
678,2014-11-10,629285.59
679,2014-11-11,622083.92
680,2014-11-12,614082.03
681,2014-11-13,610481.18
682,2014-11-14,609180.86
683,2014-11-15,607580.5
684,2014-11-16,607980.58
685,2014-11-17,605780.05
686,2014-11-18,603679.55
687,2014-11-19,600878.88
688,2014-11-20,597578.1
689,2014-11-21,598578.35
690,2014-11-22,598878.42
691,2014-11-23,600878.89
692,2014-11-24,604179.68
693,2014-11-25,617682.88
694,2014-11-26,627885.26
695,2014-11-27,632686.39
696,2014-11-28,644489.07
697,2014-11-29,652890.96
698,2014-11-30,651990.77
699,2014-12-01,647289.71
700,2014-12-02,645589.32
701,2014-12-03,642288.57
702,2014-12-04,637087.38
703,2014-12-05,631286.06
704,2014-12-06,628085.3
705,2014-12-07,624884.56
706,2014-12-08,618583.1
707,2014-12-09,614082.03
708,2014-12-10,616382.57
709,2014-12-11,624284.43
710,2014-12-12,631186.02
711,2014-12-13,636787.31
712,2014-12-14,640688.21
713,2014-12-15,643688.89
714,2014-12-16,645889.38
715,2014-12-17,638487.71
716,2014-12-18,628885.5
717,2014-12-19,619483.3
718,2014-12-20,615082.26
719,2014-12-21,624284.43
720,2014-12-22,627285.12
721,2014-12-23,626184.87
722,2014-12-24,632386.3
723,2014-12-25,635587.05
724,2014-12-26,637087.38
725,2014-12-27,638087.62
726,2014-12-28,638187.65
727,2014-12-29,637187.41
728,2014-12-30,638287.66
729,2014-12-31,639487.93
730,2015-01-01,637687.52
731,2015-01-02,633286.52
732,2015-01-03,627985.29
733,2015-01-04,623984.35
734,2015-01-05,627485.18
735,2015-01-06,629185.56
736,2015-01-07,628385.37
737,2015-01-08,626284.88
738,2015-01-09,622984.13
739,2015-01-10,621683.81
740,2015-01-11,620083.43
741,2015-01-12,617282.78
742,2015-01-13,613281.85
743,2015-01-14,608680.76
744,2015-01-15,606480.22
745,2015-01-16,603879.61
746,2015-01-17,602979.39
747,2015-01-18,618983.19
748,2015-01-19,630285.83
749,2015-01-20,634186.73
750,2015-01-21,633786.64
751,2015-01-22,632086.24
752,2015-01-23,629085.53
753,2015-01-24,625884.8
754,2015-01-25,622183.93
755,2015-01-26,619183.24
756,2015-01-27,616282.56
757,2015-01-28,613081.8
758,2015-01-29,609380.92
759,2015-01-30,605479.99
760,2015-01-31,601579.05
761,2015-02-01,597278.02
762,2015-02-02,592976.98
763,2015-02-03,583574.69
764,2015-02-04,577773.27
765,2015-02-05,576672.98
766,2015-02-06,582774.5
767,2015-02-07,599178.49
768,2015-02-08,611981.53
769,2015-02-09,624984.6
770,2015-02-10,640588.2
771,2015-02-11,648489.99
772,2015-02-12,653091.02
773,2015-02-13,655491.55
774,2015-02-14,657992.1
775,2015-02-15,657892.09
776,2015-02-16,659492.44
777,2015-02-17,658692.27
778,2015-02-18,658192.15
779,2015-02-19,657091.91
780,2015-02-20,656291.73
781,2015-02-21,656391.76
782,2015-02-22,654891.42
783,2015-02-23,653791.16
784,2015-02-24,652890.97
785,2015-02-25,651190.59
786,2015-02-26,648289.94
787,2015-02-27,644689.11
788,2015-02-28,643088.76
789,2015-03-01,640688.22
790,2015-03-02,636487.25
791,2015-03-03,632386.31
792,2015-03-04,630685.91
793,2015-03-05,629385.61
794,2015-03-06,627285.12
795,2015-03-07,627185.11
796,2015-03-08,626885.04
797,2015-03-09,626785.01
798,2015-03-10,624984.58
799,2015-03-11,625184.63
800,2015-03-12,624884.56
801,2015-03-13,624984.58
802,2015-03-14,630185.8
803,2015-03-15,641888.5
804,2015-03-16,648990.09
805,2015-03-17,652490.87
806,2015-03-18,654591.35
807,2015-03-19,656491.77
808,2015-03-20,655391.53
809,2015-03-21,658092.13
810,2015-03-22,662093.01
811,2015-03-23,664693.6
812,2015-03-24,669594.67
813,2015-03-25,674195.68
814,2015-03-26,676796.26
815,2015-03-27,678096.54
816,2015-03-28,684797.99
817,2015-03-29,682897.58
818,2015-03-30,682597.51
819,2015-03-31,684597.94
820,2015-04-01,685398.12
821,2015-04-02,684397.9
822,2015-04-03,681997.39
823,2015-04-04,679696.89
824,2015-04-05,677196.33
825,2015-04-06,675996.07
826,2015-04-07,674595.77
827,2015-04-08,671995.19
828,2015-04-09,669694.69
829,2015-04-10,665493.78
830,2015-04-11,667294.17
831,2015-04-12,666794.06
832,2015-04-13,665393.74
833,2015-04-14,665493.76
834,2015-04-15,665493.76
835,2015-04-16,664093.45
836,2015-04-17,664593.57
837,2015-04-18,668294.4
838,2015-04-19,671995.19
839,2015-04-20,671995.2
840,2015-04-21,671895.17
841,2015-04-22,672395.29
842,2015-04-23,672095.22
843,2015-04-24,672995.41
844,2015-04-25,671495.09
845,2015-04-26,674595.76
846,2015-04-27,673895.62
847,2015-04-28,673995.64
848,2015-04-29,674995.86
849,2015-04-30,675696.02
850,2015-05-01,674395.72
851,2015-05-02,673795.59
852,2015-05-03,674695.8
853,2015-05-04,676396.17
854,2015-05-05,677096.32
855,2015-05-06,677296.36
856,2015-05-07,677796.47
857,2015-05-08,678296.58
858,2015-05-09,677896.5
859,2015-05-10,680196.99
860,2015-05-11,681597.3
861,2015-05-12,684297.89
862,2015-05-13,685298.09
863,2015-05-14,685898.22
864,2015-05-15,685798.21
865,2015-05-16,686098.27
866,2015-05-17,685498.14
867,2015-05-18,684797.98
868,2015-05-19,684197.86
869,2015-05-20,683197.64
870,2015-05-21,681697.31
871,2015-05-22,680897.15
872,2015-05-23,681397.24
873,2015-05-24,680897.13
874,2015-05-25,680997.16
875,2015-05-26,678496.62
876,2015-05-27,677296.37
877,2015-05-28,675696.0
878,2015-05-29,674195.69
879,2015-05-30,672595.32
880,2015-05-31,670794.93
881,2015-06-01,672395.29
882,2015-06-02,672595.34
883,2015-06-03,669494.65
884,2015-06-04,666994.1
885,2015-06-05,663493.33
886,2015-06-06,659092.36
887,2015-06-07,655391.52
888,2015-06-08,649990.31
889,2015-06-09,647889.84
890,2015-06-10,647589.77
891,2015-06-11,646989.64
892,2015-06-12,648389.96
893,2015-06-13,649890.29
894,2015-06-14,649390.18
895,2015-06-15,648389.95
896,2015-06-16,646789.59
897,2015-06-17,644689.11
898,2015-06-18,640588.19
899,2015-06-19,636287.21
900,2015-06-20,633586.59
901,2015-06-21,630885.97
902,2015-06-22,629685.68
903,2015-06-23,625884.81
904,2015-06-24,622884.09
905,2015-06-25,619783.38
906,2015-06-26,617582.85
907,2015-06-27,615782.44
908,2015-06-28,613881.98
909,2015-06-29,610981.3
910,2015-06-30,607180.4
911,2015-07-01,603279.46
912,2015-07-02,599778.62
913,2015-07-03,596877.92
914,2015-07-04,593977.23
915,2015-07-05,591376.6
916,2015-07-06,587975.78
917,2015-07-07,584574.93
918,2015-07-08,581174.11
919,2015-07-09,578173.37
920,2015-07-10,577473.19
921,2015-07-11,575772.76
922,2015-07-12,574472.44
923,2015-07-13,573372.16
924,2015-07-14,573372.17
925,2015-07-15,572671.99
926,2015-07-16,570071.33
927,2015-07-17,566770.52
928,2015-07-18,565170.1
929,2015-07-19,563369.64
930,2015-07-20,563869.76
931,2015-07-21,562369.39
932,2015-07-22,561469.16
933,2015-07-23,560568.93
934,2015-07-24,559668.7
935,2015-07-25,558568.41
936,2015-07-26,557468.13
937,2015-07-27,556567.9
938,2015-07-28,555667.67
939,2015-07-29,555367.59
940,2015-07-30,553567.12
941,2015-07-31,553967.23
942,2015-08-01,551366.55
943,2015-08-02,550366.3
944,2015-08-03,550666.37
945,2015-08-04,549766.12
946,2015-08-05,549065.95
947,2015-08-06,548165.7
948,2015-08-07,547465.52
949,2015-08-08,548565.8
950,2015-08-09,549466.04
951,2015-08-10,547965.65
952,2015-08-11,547065.41
953,2015-08-12,546665.3
954,2015-08-13,544064.64
955,2015-08-14,545364.98
956,2015-08-15,546365.23
957,2015-08-16,547365.49
958,2015-08-17,546365.23
959,2015-08-18,546165.19
960,2015-08-19,545665.05
961,2015-08-20,546565.29
962,2015-08-21,547565.54
963,2015-08-22,548265.73
964,2015-08-23,549065.94
965,2015-08-24,549866.16
966,2015-08-25,549866.15
967,2015-08-26,550666.37
968,2015-08-27,550266.27
969,2015-08-28,549265.99
970,2015-08-29,550566.35
971,2015-08-30,552366.81
972,2015-08-31,553167.01
973,2015-09-01,554367.33
974,2015-09-02,555467.6
975,2015-09-03,556367.85
976,2015-09-04,556968.0
977,2015-09-05,557868.24
978,2015-09-06,558568.42
979,2015-09-07,558668.45
980,2015-09-08,559368.61
981,2015-09-09,559668.7
982,2015-09-10,559568.66
983,2015-09-11,557668.18
984,2015-09-12,557268.09
985,2015-09-13,557568.16
986,2015-09-14,558368.37
987,2015-09-15,558968.53
988,2015-09-16,559268.59
989,2015-09-17,559868.74
990,2015-09-18,560869.01
991,2015-09-19,561669.21
