,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
673,2015-06-05,1203.5
674,2015-06-06,1202.96
675,2015-06-07,1203.38
676,2015-06-08,1203.3
677,2015-06-09,1203.51
678,2015-06-10,1202.43
679,2015-06-11,1201.45
680,2015-06-12,1200.74
681,2015-06-13,1200.56
682,2015-06-14,1201.69
683,2015-06-15,1202.49
684,2015-06-16,1202.01
685,2015-06-17,1202.57
686,2015-06-18,1202.6
687,2015-06-19,1202.62
688,2015-06-20,1202.23
689,2015-06-21,1202.03
690,2015-06-22,1201.96
691,2015-06-23,1202.45
692,2015-06-24,1202.75
693,2015-06-25,1201.97
694,2015-06-26,1201.03
695,2015-06-27,1201.16
696,2015-06-28,1202.18
697,2015-06-29,1200.92
698,2015-06-30,1199.7
699,2015-07-01,1200.19
700,2015-07-02,1200.73
701,2015-07-03,1201.35
702,2015-07-04,1201.22
703,2015-07-05,1201.9
704,2015-07-06,1201.47
705,2015-07-07,1201.38
706,2015-07-08,1201.2
707,2015-07-09,1200.85
708,2015-07-10,1200.41
709,2015-07-11,1200.01
710,2015-07-12,1199.85
711,2015-07-13,1199.43
712,2015-07-14,1196.49
713,2015-07-15,1199.42
714,2015-07-16,1199.67
715,2015-07-17,1197.97
716,2015-07-18,1199.8
717,2015-07-19,1200.4
718,2015-07-20,1199.28
719,2015-07-21,1199.08
720,2015-07-22,1199.44
721,2015-07-23,1199.77
722,2015-07-24,1198.71
723,2015-07-25,1199.29
724,2015-07-26,1199.32
725,2015-07-27,1198.74
726,2015-07-28,1199.53
727,2015-07-29,1200.07
728,2015-07-30,1201.4
729,2015-07-31,1201.81
730,2015-08-01,1202.0
731,2015-08-02,1201.34
732,2015-08-03,1201.24
733,2015-08-04,1201.76
734,2015-08-05,1202.42
735,2015-08-06,1202.4
736,2015-08-07,1202.21
737,2015-08-08,1200.66
738,2015-08-09,1200.23
739,2015-08-10,1199.7
740,2015-08-11,1198.29
741,2015-08-12,1198.19
742,2015-08-13,1197.26
743,2015-08-14,1197.25
744,2015-08-15,1197.53
745,2015-08-16,1197.85
746,2015-08-17,1198.13
747,2015-08-18,1198.29
748,2015-08-19,1198.87
749,2015-08-20,1199.67
750,2015-08-21,1200.64
751,2015-08-22,1200.86
752,2015-08-23,1200.42
753,2015-08-24,1199.97
754,2015-08-25,1199.47
755,2015-08-26,1200.03
756,2015-08-27,1200.35
757,2015-08-28,1201.11
758,2015-08-29,1201.2
759,2015-08-30,1201.64
760,2015-08-31,1201.35
761,2015-09-01,1201.23
762,2015-09-02,1200.05
763,2015-09-03,1200.3
764,2015-09-04,1201.28
765,2015-09-05,1201.86
766,2015-09-06,1201.76
767,2015-09-07,1201.17
768,2015-09-08,1200.61
769,2015-09-09,1200.6
770,2015-09-10,1202.37
771,2015-09-11,1202.7
772,2015-09-12,1202.62
773,2015-09-13,1202.76
774,2015-09-14,1201.92
775,2015-09-15,1201.33
776,2015-09-16,1200.1
777,2015-09-17,1201.29
778,2015-09-18,1201.09
779,2015-09-19,1201.13
780,2015-09-20,1201.82
781,2015-09-21,1200.78
782,2015-09-22,1201.03
783,2015-09-23,1200.52
784,2015-09-24,1200.74
785,2015-09-25,1200.56
786,2015-09-26,1200.19
787,2015-09-27,1200.52
788,2015-09-28,1200.3
789,2015-09-29,1199.8
790,2015-09-30,1198.14
791,2015-10-01,1200.35
792,2015-10-02,1201.43
793,2015-10-03,1201.29
794,2015-10-04,1201.26
795,2015-10-05,1199.49
796,2015-10-06,1199.98
797,2015-10-07,1198.12
798,2015-10-08,1200.41
799,2015-10-09,1199.95
800,2015-10-10,1200.38
801,2015-10-11,1200.84
802,2015-10-12,1201.48
803,2015-10-13,1195.65
804,2015-10-14,1193.7
805,2015-10-15,1202.63
806,2015-10-16,1202.95
807,2015-10-17,1202.52
808,2015-10-18,1202.86
809,2015-10-19,1203.12
810,2015-10-20,1203.73
811,2015-10-21,1202.93
812,2015-10-22,1204.1
813,2015-10-23,1202.65
814,2015-10-24,1202.11
815,2015-10-25,1202.27
816,2015-10-26,1202.24
817,2015-10-27,1202.5
818,2015-10-28,1202.82
819,2015-10-29,1202.26
820,2015-10-30,1201.99
821,2015-10-31,1201.73
822,2015-11-01,1197.59
823,2015-11-02,1201.67
824,2015-11-03,1201.24
825,2015-11-04,1199.96
826,2015-11-05,1201.67
827,2015-11-06,1200.89
828,2015-11-07,1201.52
829,2015-11-08,1201.78
830,2015-11-09,1201.7
831,2015-11-10,1200.55
832,2015-11-11,1201.69
833,2015-11-12,1201.75
834,2015-11-13,1202.27
835,2015-11-14,1202.88
836,2015-11-15,1201.14
837,2015-11-16,1202.46
838,2015-11-17,1203.51
839,2015-11-18,1202.83
840,2015-11-19,1202.88
841,2015-11-20,1202.55
842,2015-11-21,1201.37
843,2015-11-22,1201.96
844,2015-11-23,1201.44
845,2015-11-24,1202.14
846,2015-11-25,1200.36
847,2015-11-26,1200.38
848,2015-11-27,1200.74
849,2015-11-28,1200.86
850,2015-11-29,1200.22
851,2015-11-30,1199.61
852,2015-12-01,1200.35
853,2015-12-02,1198.32
854,2015-12-03,1201.26
855,2015-12-04,1200.47
