,datetime,UPPER_BLUE_LAKE_NR_MARKLEEVILLE_CA.tsv
310,2014-02-20,1890.0
311,2014-02-21,1890.0
312,2014-02-22,1890.0
313,2014-02-23,1890.0
314,2014-02-24,1890.0
315,2014-02-25,1890.0
316,2014-02-26,1890.0
317,2014-02-27,1890.0
318,2014-02-28,1890.0
319,2014-03-01,1890.0
320,2014-03-02,1890.0
321,2014-03-03,1890.0
322,2014-03-04,1890.0
323,2014-03-05,1890.0
324,2014-03-06,1890.0
325,2014-03-07,1890.0
326,2014-03-08,1890.0
327,2014-03-09,1890.0
328,2014-03-10,1890.0
329,2014-03-11,1890.0
330,2014-03-12,1890.0
331,2014-03-13,1890.0
332,2014-03-14,1890.0
333,2014-03-15,1890.0
334,2014-03-16,1890.0
335,2014-03-17,1890.0
336,2014-03-18,1890.0
337,2014-03-19,1890.0
338,2014-03-20,1890.0
339,2014-03-21,1890.0
340,2014-03-22,1890.0
341,2014-03-23,1890.0
342,2014-03-24,1890.0
343,2014-03-25,1890.0
344,2014-03-26,1890.0
345,2014-03-27,1890.0
346,2014-03-28,1890.0
347,2014-03-29,1890.0
348,2014-03-30,1890.0
349,2014-03-31,1890.0
350,2014-04-01,1890.0
351,2014-04-02,1890.0
352,2014-04-03,1890.0
353,2014-04-04,1890.0
354,2014-04-05,1890.0
355,2014-04-06,1890.0
356,2014-04-07,1890.0
357,2014-04-08,1900.0
358,2014-04-09,1900.0
359,2014-04-10,1920.0
360,2014-04-11,1940.0
361,2014-04-12,1960.0
362,2014-04-13,1980.0
363,2014-04-14,2000.0
364,2014-04-15,2020.0
365,2014-04-16,2050.0
366,2014-04-17,2080.0
367,2014-04-18,2120.0
368,2014-04-19,2170.0
369,2014-04-20,2200.0
370,2014-04-21,2240.0
371,2014-04-22,2260.0
372,2014-04-23,2280.0
373,2014-04-24,2300.0
374,2014-04-25,2350.0
375,2014-04-26,2360.0
376,2014-04-27,2370.0
377,2014-04-28,2390.0
378,2014-04-29,2390.0
379,2014-04-30,2410.0
380,2014-05-01,2430.0
381,2014-05-02,2470.0
382,2014-05-03,2500.0
383,2014-05-04,2540.0
384,2014-05-05,2570.0
385,2014-05-06,2600.0
386,2014-05-07,2630.0
387,2014-05-08,2650.0
388,2014-05-09,2680.0
389,2014-05-10,2710.0
390,2014-05-11,2730.0
391,2014-05-12,2750.0
392,2014-05-13,2770.0
393,2014-05-14,2800.0
394,2014-05-15,2840.0
395,2014-05-16,2890.0
396,2014-05-17,2920.0
397,2014-05-18,2960.0
398,2014-05-19,2980.0
399,2014-05-20,3020.0
400,2014-05-21,3040.0
401,2014-05-22,3070.0
402,2014-05-23,3100.0
403,2014-05-24,3140.0
404,2014-05-25,3170.0
405,2014-05-26,3210.0
406,2014-05-27,3230.0
407,2014-05-28,3260.0
408,2014-05-29,3280.0
409,2014-05-30,3290.0
410,2014-05-31,3300.0
411,2014-06-01,3310.0
412,2014-06-02,3320.0
413,2014-06-03,3330.0
414,2014-06-04,3340.0
415,2014-06-05,3360.0
416,2014-06-06,3370.0
417,2014-06-07,3380.0
418,2014-06-08,3380.0
419,2014-06-09,3380.0
420,2014-06-10,3390.0
421,2014-06-11,3380.0
422,2014-06-12,3380.0
423,2014-06-13,3380.0
424,2014-06-14,3380.0
425,2014-06-15,3380.0
426,2014-06-16,3380.0
427,2014-06-17,3380.0
428,2014-06-18,3370.0
429,2014-06-19,3370.0
430,2014-06-20,3380.0
431,2014-06-21,3370.0
432,2014-06-22,3360.0
433,2014-06-23,3360.0
434,2014-06-24,3360.0
435,2014-06-25,3350.0
436,2014-06-26,3350.0
437,2014-06-27,3350.0
438,2014-06-28,3340.0
439,2014-06-29,3350.0
440,2014-06-30,3350.0
441,2014-07-01,3340.0
442,2014-07-02,3330.0
443,2014-07-03,3320.0
444,2014-07-04,3320.0
445,2014-07-05,3300.0
446,2014-07-06,3290.0
447,2014-07-07,3290.0
448,2014-07-08,3280.0
449,2014-07-09,3270.0
450,2014-07-10,3250.0
451,2014-07-11,3240.0
452,2014-07-12,3240.0
453,2014-07-13,3230.0
454,2014-07-14,3230.0
455,2014-07-15,3240.0
456,2014-07-16,3230.0
457,2014-07-17,3240.0
458,2014-07-18,3220.0
459,2014-07-19,3220.0
460,2014-07-20,3220.0
461,2014-07-21,3220.0
462,2014-07-22,3200.0
463,2014-07-23,3200.0
464,2014-07-24,3190.0
465,2014-07-25,3180.0
466,2014-07-26,3190.0
467,2014-07-27,3170.0
468,2014-07-28,3160.0
469,2014-07-29,3150.0
470,2014-07-30,3160.0
471,2014-07-31,3150.0
472,2014-08-01,3140.0
473,2014-08-02,3130.0
474,2014-08-03,3130.0
475,2014-08-04,3130.0
476,2014-08-05,3120.0
477,2014-08-06,3120.0
478,2014-08-07,3110.0
479,2014-08-08,3100.0
480,2014-08-09,3080.0
481,2014-08-10,3070.0
482,2014-08-11,3070.0
483,2014-08-12,3060.0
484,2014-08-13,3040.0
485,2014-08-14,3040.0
486,2014-08-15,3010.0
487,2014-08-16,3000.0
488,2014-08-17,2990.0
489,2014-08-18,2970.0
490,2014-08-19,2950.0
491,2014-08-20,2930.0
492,2014-08-21,2900.0
493,2014-08-22,2880.0
494,2014-08-23,2850.0
495,2014-08-24,2820.0
496,2014-08-25,2800.0
497,2014-08-26,2780.0
498,2014-08-27,2750.0
499,2014-08-28,2730.0
500,2014-08-29,2700.0
501,2014-08-30,2680.0
502,2014-08-31,2660.0
503,2014-09-01,2630.0
504,2014-09-02,2610.0
505,2014-09-03,2580.0
506,2014-09-04,2560.0
507,2014-09-05,2530.0
508,2014-09-06,2510.0
509,2014-09-07,2490.0
510,2014-09-08,2460.0
511,2014-09-09,2430.0
512,2014-09-10,2410.0
513,2014-09-11,2390.0
514,2014-09-12,2360.0
515,2014-09-13,2340.0
516,2014-09-14,2310.0
517,2014-09-15,2280.0
518,2014-09-16,2260.0
519,2014-09-17,2230.0
520,2014-09-18,2210.0
521,2014-09-19,2190.0
522,2014-09-20,2170.0
523,2014-09-21,2150.0
524,2014-09-22,2130.0
525,2014-09-23,2110.0
526,2014-09-24,2100.0
527,2014-09-25,2100.0
528,2014-09-26,2100.0
529,2014-09-27,2110.0
530,2014-09-28,2100.0
531,2014-09-29,2100.0
532,2014-09-30,2090.0
533,2014-10-01,2080.0
534,2014-10-02,2070.0
535,2014-10-03,2060.0
536,2014-10-04,2050.0
537,2014-10-05,2040.0
538,2014-10-06,2030.0
539,2014-10-07,2010.0
540,2014-10-08,2000.0
541,2014-10-09,1980.0
542,2014-10-10,1980.0
543,2014-10-11,1970.0
544,2014-10-12,1960.0
545,2014-10-13,1950.0
546,2014-10-14,1940.0
547,2014-10-15,1930.0
548,2014-10-16,1920.0
549,2014-10-17,1910.0
550,2014-10-18,1910.0
551,2014-10-19,1890.0
552,2014-10-20,1890.0
553,2014-10-21,1870.0
554,2014-10-22,1870.0
555,2014-10-23,1860.0
556,2014-10-24,1860.0
557,2014-10-25,1870.0
558,2014-10-26,1860.0
559,2014-10-27,1870.0
560,2014-10-28,1870.0
561,2014-10-29,1860.0
562,2014-10-30,1860.0
563,2014-10-31,1860.0
564,2014-11-01,1870.0
565,2014-11-02,1860.0
566,2014-11-03,1860.0
567,2014-11-04,1860.0
568,2014-11-05,1870.0
569,2014-11-06,1880.0
570,2014-11-07,1880.0
571,2014-11-08,1890.0
572,2014-11-09,1900.0
573,2014-11-10,1910.0
574,2014-11-11,1920.0
575,2014-11-12,1920.0
576,2014-11-13,1940.0
577,2014-11-14,1930.0
578,2014-11-15,1930.0
579,2014-11-16,1920.0
580,2014-11-17,1920.0
581,2014-11-18,1920.0
582,2014-11-19,1920.0
583,2014-11-20,1920.0
584,2014-11-21,1920.0
585,2014-11-22,1950.0
586,2014-11-23,1950.0
587,2014-11-24,1950.0
588,2014-11-25,1950.0
589,2014-11-26,1940.0
590,2014-11-27,1940.0
591,2014-11-28,1940.0
592,2014-11-29,1950.0
593,2014-11-30,1955.6204379562043
594,2014-12-01,1961.2408759124087
595,2014-12-02,1966.8613138686133
596,2014-12-03,1972.4817518248176
597,2014-12-04,1978.102189781022
598,2014-12-05,1983.7226277372263
599,2014-12-06,1989.3430656934306
600,2014-12-07,1994.963503649635
601,2014-12-08,2000.5839416058393
602,2014-12-09,2006.2043795620439
603,2014-12-10,2011.8248175182482
