,datetime,LAKE_SHANNON_AT_CONCRETE__WA.tsv
344,2013-12-11,427.66
345,2013-12-12,426.8
346,2013-12-13,425.44
347,2013-12-14,424.38
348,2013-12-15,422.93
349,2013-12-16,423.12
350,2013-12-17,423.92
351,2013-12-18,424.71
352,2013-12-19,425.37
353,2013-12-20,425.26
354,2013-12-21,424.81
355,2013-12-22,424.32
356,2013-12-23,425.34
357,2013-12-24,426.44
358,2013-12-25,425.39
359,2013-12-26,426.1
360,2013-12-27,427.14
361,2013-12-28,426.64
362,2013-12-29,425.43
363,2013-12-30,424.93
364,2013-12-31,424.81
365,2014-01-01,423.43
366,2014-01-02,422.76
367,2014-01-03,423.4
368,2014-01-04,421.64
369,2014-01-05,420.19
370,2014-01-06,418.81
371,2014-01-07,418.33
372,2014-01-08,418.56
373,2014-01-09,418.76
374,2014-01-10,419.18
375,2014-01-11,421.64
376,2014-01-12,422.8
377,2014-01-13,425.07
378,2014-01-14,426.69
379,2014-01-15,427.2
380,2014-01-16,426.39
381,2014-01-17,425.45
382,2014-01-18,423.49
383,2014-01-19,422.79
384,2014-01-20,421.6
385,2014-01-21,420.78
386,2014-01-22,420.37
387,2014-01-23,419.07
388,2014-01-24,417.31
389,2014-01-25,417.07
390,2014-01-26,415.94
391,2014-01-27,415.24
392,2014-01-28,414.2
393,2014-01-29,414.65
394,2014-01-30,415.09
395,2014-01-31,415.45
396,2014-02-01,415.25
397,2014-02-02,414.17
398,2014-02-03,413.6
399,2014-02-04,412.84
400,2014-02-05,412.06
401,2014-02-06,410.6
402,2014-02-07,409.49
403,2014-02-08,410.12
404,2014-02-09,410.25
405,2014-02-10,410.22
406,2014-02-11,409.88
407,2014-02-12,410.6
408,2014-02-13,410.3
409,2014-02-14,410.86
410,2014-02-15,411.36
411,2014-02-16,410.45
412,2014-02-17,411.21
413,2014-02-18,412.71
414,2014-02-19,413.95
415,2014-02-20,414.57
416,2014-02-21,415.07
417,2014-02-22,417.02
418,2014-02-23,416.54
419,2014-02-24,417.14
420,2014-02-25,417.81
421,2014-02-26,418.48
422,2014-02-27,417.75
423,2014-02-28,418.85
424,2014-03-01,421.67
425,2014-03-02,424.56
426,2014-03-03,426.32
427,2014-03-04,428.53
428,2014-03-05,430.47
429,2014-03-06,433.22
430,2014-03-07,434.87
431,2014-03-08,436.39
432,2014-03-09,438.23
433,2014-03-10,438.81
434,2014-03-11,438.8
435,2014-03-12,438.83
436,2014-03-13,438.76
437,2014-03-14,439.64
438,2014-03-15,438.31
439,2014-03-16,439.12
440,2014-03-17,437.28
441,2014-03-18,436.27
442,2014-03-19,436.93
443,2014-03-20,437.1
444,2014-03-21,436.42
445,2014-03-22,435.16
446,2014-03-23,435.39
447,2014-03-24,435.08
448,2014-03-25,435.53
449,2014-03-26,436.1
450,2014-03-27,438.31
451,2014-03-28,438.83
452,2014-03-29,438.0
453,2014-03-30,437.9
454,2014-03-31,437.74
455,2014-04-01,439.36
456,2014-04-02,438.98
457,2014-04-03,438.21
458,2014-04-04,436.55
459,2014-04-05,437.13
460,2014-04-06,438.6
461,2014-04-07,437.41
462,2014-04-08,438.81
463,2014-04-09,438.78
464,2014-04-10,437.65
465,2014-04-11,438.6
466,2014-04-12,438.44
467,2014-04-13,438.5
468,2014-04-14,438.37
469,2014-04-15,437.85
470,2014-04-16,437.64
471,2014-04-17,437.46
472,2014-04-18,436.92
473,2014-04-19,436.97
474,2014-04-20,436.68
475,2014-04-21,434.21
476,2014-04-22,433.07
477,2014-04-23,432.97
478,2014-04-24,432.71
479,2014-04-25,432.1
480,2014-04-26,432.5
481,2014-04-27,431.08
482,2014-04-28,430.41
483,2014-04-29,428.79
484,2014-04-30,427.61
485,2014-05-01,426.38
486,2014-05-02,426.1
487,2014-05-03,426.56
488,2014-05-04,426.12
489,2014-05-05,425.06
490,2014-05-06,425.43
491,2014-05-07,425.31
492,2014-05-08,424.2
493,2014-05-09,426.39
494,2014-05-10,426.97
495,2014-05-11,426.23
496,2014-05-12,426.14
497,2014-05-13,427.99
498,2014-05-14,430.0
499,2014-05-15,432.38
500,2014-05-16,432.07
501,2014-05-17,434.85
502,2014-05-18,435.75
503,2014-05-19,436.24
504,2014-05-20,437.89
505,2014-05-21,438.1
506,2014-05-22,438.77
507,2014-05-23,439.18
508,2014-05-24,439.68
509,2014-05-25,439.09
510,2014-05-26,438.45
511,2014-05-27,438.5
512,2014-05-28,438.66
513,2014-05-29,437.46
514,2014-05-30,436.77
515,2014-05-31,436.3
516,2014-06-01,436.32
517,2014-06-02,436.58
518,2014-06-03,436.7
519,2014-06-04,434.5
520,2014-06-05,433.97
521,2014-06-06,433.67
522,2014-06-07,434.23
523,2014-06-08,433.9
524,2014-06-09,433.75
525,2014-06-10,433.74
526,2014-06-11,433.91
527,2014-06-12,434.64
528,2014-06-13,435.73
529,2014-06-14,435.1
530,2014-06-15,434.55
531,2014-06-16,434.28
532,2014-06-17,434.14
533,2014-06-18,434.1683333333333
534,2014-06-19,434.19666666666666
535,2014-06-20,434.225
536,2014-06-21,434.25333333333333
537,2014-06-22,434.28166666666664
538,2014-06-23,434.31
539,2014-06-24,434.33833333333337
540,2014-06-25,434.3666666666667
541,2014-06-26,434.395
542,2014-06-27,434.42333333333335
543,2014-06-28,434.4516666666667
544,2014-06-29,434.48
545,2014-06-30,434.37
546,2014-07-01,435.13
547,2014-07-02,435.19
548,2014-07-03,435.63
549,2014-07-04,435.2
550,2014-07-05,433.63
551,2014-07-06,432.99
552,2014-07-07,432.82
553,2014-07-08,432.71
554,2014-07-09,433.08
555,2014-07-10,431.95
556,2014-07-11,430.24
557,2014-07-12,430.3
558,2014-07-13,431.11
559,2014-07-14,431.75
560,2014-07-15,433.15
561,2014-07-16,433.05
562,2014-07-17,432.6
563,2014-07-18,432.44
564,2014-07-19,432.81
565,2014-07-20,432.62
566,2014-07-21,433.58
567,2014-07-22,433.96
568,2014-07-23,432.94
569,2014-07-24,432.69
570,2014-07-25,433.81
571,2014-07-26,433.91
572,2014-07-27,434.03
573,2014-07-28,433.89
574,2014-07-29,433.56
575,2014-07-30,433.33
576,2014-07-31,432.81
577,2014-08-01,432.2
578,2014-08-02,431.36
579,2014-08-03,430.68
580,2014-08-04,430.83
581,2014-08-05,430.59
582,2014-08-06,428.61
583,2014-08-07,426.25
584,2014-08-08,423.34
585,2014-08-09,420.73
586,2014-08-10,418.45
587,2014-08-11,416.48
588,2014-08-12,415.28
589,2014-08-13,416.2
590,2014-08-14,416.9
591,2014-08-15,415.6
592,2014-08-16,414.96
593,2014-08-17,412.52
594,2014-08-18,410.64
595,2014-08-19,408.79
596,2014-08-20,407.28
597,2014-08-21,405.62
598,2014-08-22,404.17
599,2014-08-23,401.94
600,2014-08-24,400.51
601,2014-08-25,401.86
602,2014-08-26,400.37
603,2014-08-27,399.39
604,2014-08-28,399.36
605,2014-08-29,398.24
606,2014-08-30,398.67
607,2014-08-31,398.32
608,2014-09-01,399.46
609,2014-09-02,400.95
610,2014-09-03,401.94
611,2014-09-04,401.8
612,2014-09-05,400.59
613,2014-09-06,399.78
614,2014-09-07,399.03
615,2014-09-08,397.67
616,2014-09-09,396.6
617,2014-09-10,395.49
618,2014-09-11,394.89
619,2014-09-12,394.05
620,2014-09-13,393.81
621,2014-09-14,392.36
622,2014-09-15,390.3
623,2014-09-16,390.58
624,2014-09-17,392.06
625,2014-09-18,392.1
626,2014-09-19,392.87
627,2014-09-20,392.84
628,2014-09-21,392.22
629,2014-09-22,390.41
630,2014-09-23,390.01
631,2014-09-24,390.12
632,2014-09-25,391.2
633,2014-09-26,392.55
634,2014-09-27,393.95
635,2014-09-28,395.12
636,2014-09-29,396.21
637,2014-09-30,395.84
638,2014-10-01,395.5
639,2014-10-02,393.32
640,2014-10-03,390.51
641,2014-10-04,390.56
642,2014-10-05,390.87
643,2014-10-06,391.46
644,2014-10-07,392.44
645,2014-10-08,393.47
646,2014-10-09,394.71
647,2014-10-10,395.81
648,2014-10-11,398.18
649,2014-10-12,400.39
650,2014-10-13,400.85
651,2014-10-14,401.98
652,2014-10-15,404.55
653,2014-10-16,404.72
654,2014-10-17,404.62
655,2014-10-18,404.72
656,2014-10-19,404.53
657,2014-10-20,404.49
658,2014-10-21,403.45
659,2014-10-22,402.29
660,2014-10-23,404.97
661,2014-10-24,409.71
662,2014-10-25,410.22
663,2014-10-26,412.18
664,2014-10-27,412.26
665,2014-10-28,412.16
666,2014-10-29,412.69
667,2014-10-30,416.45
668,2014-10-31,422.28
669,2014-11-01,424.26
670,2014-11-02,426.03
671,2014-11-03,429.42
672,2014-11-04,434.41
673,2014-11-05,435.11
674,2014-11-06,435.83
675,2014-11-07,435.62
676,2014-11-08,435.09
677,2014-11-09,434.59
678,2014-11-10,433.15
679,2014-11-11,432.2
680,2014-11-12,431.65
681,2014-11-13,431.33
682,2014-11-14,430.82
683,2014-11-15,430.1
684,2014-11-16,429.34
685,2014-11-17,428.66
686,2014-11-18,427.85
687,2014-11-19,426.81
688,2014-11-20,427.0
689,2014-11-21,427.56
690,2014-11-22,428.68
