,datetime,LOWER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
367,2014-01-04,8178.672413793103
368,2014-01-05,8191.808620689655
369,2014-01-06,8204.944827586207
370,2014-01-07,8218.081034482759
371,2014-01-08,8231.21724137931
372,2014-01-09,8244.353448275862
373,2014-01-10,8257.489655172414
374,2014-01-11,8270.625862068966
375,2014-01-12,8283.762068965518
376,2014-01-13,8296.89827586207
377,2014-01-14,8310.03448275862
378,2014-01-15,8323.170689655173
379,2014-01-16,8336.306896551725
380,2014-01-17,8349.443103448277
381,2014-01-18,8362.579310344827
382,2014-01-19,8375.71551724138
383,2014-01-20,8388.85172413793
384,2014-01-21,8401.987931034482
385,2014-01-22,8415.124137931034
386,2014-01-23,8428.260344827586
387,2014-01-24,8441.396551724138
388,2014-01-25,8454.53275862069
389,2014-01-26,8467.668965517241
390,2014-01-27,8480.805172413793
391,2014-01-28,8493.941379310345
392,2014-01-29,8507.077586206897
393,2014-01-30,8520.213793103449
394,2014-01-31,8533.35
395,2014-02-01,8551.086923076924
396,2014-02-02,8568.823846153848
397,2014-02-03,8586.56076923077
398,2014-02-04,8604.297692307693
399,2014-02-05,8622.034615384617
400,2014-02-06,8639.771538461539
401,2014-02-07,8657.508461538462
402,2014-02-08,8675.245384615384
403,2014-02-09,8692.982307692308
404,2014-02-10,8710.719230769231
405,2014-02-11,8728.456153846153
406,2014-02-12,8746.193076923078
407,2014-02-13,8763.93
408,2014-02-14,8781.666923076922
409,2014-02-15,8799.403846153848
410,2014-02-16,8817.14076923077
411,2014-02-17,8834.877692307693
412,2014-02-18,8852.614615384617
413,2014-02-19,8870.351538461538
414,2014-02-20,8888.088461538462
415,2014-02-21,8905.825384615384
416,2014-02-22,8923.562307692308
417,2014-02-23,8941.299230769231
418,2014-02-24,8959.036153846155
419,2014-02-25,8976.773076923077
420,2014-02-26,8994.51
421,2014-02-27,8999.977878787879
422,2014-02-28,9005.445757575759
423,2014-03-01,9010.913636363637
424,2014-03-02,9016.381515151515
425,2014-03-03,9021.849393939394
426,2014-03-04,9027.317272727272
427,2014-03-05,9032.785151515152
428,2014-03-06,9038.25303030303
429,2014-03-07,9043.72090909091
430,2014-03-08,9049.188787878787
431,2014-03-09,9054.656666666666
432,2014-03-10,9060.124545454546
433,2014-03-11,9065.592424242424
434,2014-03-12,9071.060303030303
435,2014-03-13,9076.528181818181
436,2014-03-14,9081.996060606061
437,2014-03-15,9087.46393939394
438,2014-03-16,9092.931818181818
439,2014-03-17,9098.399696969696
440,2014-03-18,9103.867575757577
441,2014-03-19,9109.335454545455
442,2014-03-20,9114.803333333333
443,2014-03-21,9120.271212121212
444,2014-03-22,9125.73909090909
445,2014-03-23,9131.20696969697
446,2014-03-24,9136.674848484849
447,2014-03-25,9142.142727272727
448,2014-03-26,9147.610606060605
449,2014-03-27,9153.078484848485
450,2014-03-28,9158.546363636364
451,2014-03-29,9164.014242424242
452,2014-03-30,9169.48212121212
453,2014-03-31,9174.95
454,2014-04-01,9173.947333333334
455,2014-04-02,9172.944666666666
456,2014-04-03,9171.942
457,2014-04-04,9170.939333333332
458,2014-04-05,9169.936666666666
459,2014-04-06,9168.934000000001
460,2014-04-07,9167.931333333334
461,2014-04-08,9166.928666666667
462,2014-04-09,9165.926
463,2014-04-10,9164.923333333332
464,2014-04-11,9163.920666666667
465,2014-04-12,9162.918
466,2014-04-13,9161.915333333334
467,2014-04-14,9160.912666666667
468,2014-04-15,9159.91
469,2014-04-16,9158.907333333333
470,2014-04-17,9157.904666666665
471,2014-04-18,9156.902
472,2014-04-19,9155.899333333333
473,2014-04-20,9154.896666666667
474,2014-04-21,9153.894
475,2014-04-22,9152.891333333333
476,2014-04-23,9151.888666666666
477,2014-04-24,9150.885999999999
478,2014-04-25,9149.883333333333
479,2014-04-26,9148.880666666668
480,2014-04-27,9147.878
481,2014-04-28,9146.875333333333
482,2014-04-29,9145.872666666666
483,2014-04-30,9144.869999999999
484,2014-05-01,9151.249696969697
485,2014-05-02,9157.629393939395
486,2014-05-03,9164.00909090909
487,2014-05-04,9170.388787878788
488,2014-05-05,9176.768484848484
489,2014-05-06,9183.148181818182
490,2014-05-07,9189.527878787878
491,2014-05-08,9195.907575757576
492,2014-05-09,9202.287272727273
493,2014-05-10,9208.66696969697
494,2014-05-11,9215.046666666665
495,2014-05-12,9221.426363636363
496,2014-05-13,9227.80606060606
497,2014-05-14,9234.185757575757
498,2014-05-15,9240.565454545454
499,2014-05-16,9246.945151515152
500,2014-05-17,9253.324848484848
501,2014-05-18,9259.704545454546
502,2014-05-19,9266.084242424242
503,2014-05-20,9272.46393939394
504,2014-05-21,9278.843636363636
505,2014-05-22,9285.223333333333
506,2014-05-23,9291.60303030303
507,2014-05-24,9297.982727272727
508,2014-05-25,9304.362424242423
509,2014-05-26,9310.74212121212
510,2014-05-27,9317.121818181819
511,2014-05-28,9323.501515151514
512,2014-05-29,9329.881212121212
513,2014-05-30,9336.26090909091
514,2014-05-31,9342.640606060606
515,2014-06-01,9349.020303030302
516,2014-06-02,9355.4
517,2014-06-03,9345.02896551724
518,2014-06-04,9334.657931034482
519,2014-06-05,9324.286896551723
520,2014-06-06,9313.915862068965
521,2014-06-07,9303.544827586207
522,2014-06-08,9293.173793103448
523,2014-06-09,9282.802758620688
524,2014-06-10,9272.43172413793
525,2014-06-11,9262.060689655173
526,2014-06-12,9251.689655172413
527,2014-06-13,9241.318620689655
528,2014-06-14,9230.947586206898
529,2014-06-15,9220.576551724138
530,2014-06-16,9210.20551724138
531,2014-06-17,9199.83448275862
532,2014-06-18,9189.463448275863
533,2014-06-19,9179.092413793103
534,2014-06-20,9168.721379310346
535,2014-06-21,9158.350344827586
536,2014-06-22,9147.979310344828
537,2014-06-23,9137.608275862069
538,2014-06-24,9127.237241379311
539,2014-06-25,9116.866206896551
540,2014-06-26,9106.495172413794
541,2014-06-27,9096.124137931034
542,2014-06-28,9085.753103448276
543,2014-06-29,9075.382068965517
544,2014-06-30,9065.011034482759
545,2014-07-01,9054.64
546,2014-07-02,9037.597666666667
547,2014-07-03,9020.555333333334
548,2014-07-04,9003.512999999999
549,2014-07-05,8986.470666666668
550,2014-07-06,8969.428333333333
551,2014-07-07,8952.386
552,2014-07-08,8935.343666666668
553,2014-07-09,8918.301333333333
554,2014-07-10,8901.259
555,2014-07-11,8884.216666666667
556,2014-07-12,8867.174333333332
557,2014-07-13,8850.132000000001
558,2014-07-14,8833.089666666667
559,2014-07-15,8816.047333333334
560,2014-07-16,8799.005000000001
561,2014-07-17,8781.962666666666
562,2014-07-18,8764.920333333333
563,2014-07-19,8747.878
564,2014-07-20,8730.835666666666
565,2014-07-21,8713.793333333333
566,2014-07-22,8696.751
567,2014-07-23,8679.708666666666
568,2014-07-24,8662.666333333334
569,2014-07-25,8645.624
570,2014-07-26,8628.581666666667
571,2014-07-27,8611.539333333334
572,2014-07-28,8594.497
573,2014-07-29,8577.454666666667
574,2014-07-30,8560.412333333334
575,2014-07-31,8543.369999999999
576,2014-08-01,8533.344848484849
577,2014-08-02,8523.319696969696
578,2014-08-03,8513.294545454544
579,2014-08-04,8503.269393939394
580,2014-08-05,8493.244242424244
581,2014-08-06,8483.21909090909
582,2014-08-07,8473.19393939394
583,2014-08-08,8463.168787878789
584,2014-08-09,8453.143636363637
585,2014-08-10,8443.118484848485
586,2014-08-11,8433.093333333334
587,2014-08-12,8423.068181818182
588,2014-08-13,8413.04303030303
589,2014-08-14,8403.01787878788
590,2014-08-15,8392.992727272727
591,2014-08-16,8382.967575757575
592,2014-08-17,8372.942424242425
593,2014-08-18,8362.917272727273
594,2014-08-19,8352.89212121212
595,2014-08-20,8342.86696969697
596,2014-08-21,8332.841818181818
597,2014-08-22,8322.816666666666
598,2014-08-23,8312.791515151515
599,2014-08-24,8302.766363636363
600,2014-08-25,8292.741212121211
601,2014-08-26,8282.71606060606
602,2014-08-27,8272.69090909091
603,2014-08-28,8262.665757575756
604,2014-08-29,8252.640606060606
605,2014-08-30,8242.615454545456
606,2014-08-31,8232.590303030303
607,2014-09-01,8222.565151515151
608,2014-09-02,8212.54
609,2014-09-03,8212.886206896552
610,2014-09-04,8213.232413793103
611,2014-09-05,8213.578620689656
612,2014-09-06,8213.924827586206
613,2014-09-07,8214.27103448276
614,2014-09-08,8214.61724137931
615,2014-09-09,8214.963448275861
616,2014-09-10,8215.309655172414
617,2014-09-11,8215.655862068965
618,2014-09-12,8216.002068965518
619,2014-09-13,8216.348275862068
620,2014-09-14,8216.69448275862
621,2014-09-15,8217.040689655172
622,2014-09-16,8217.386896551723
623,2014-09-17,8217.733103448276
624,2014-09-18,8218.079310344827
625,2014-09-19,8218.42551724138
626,2014-09-20,8218.77172413793
627,2014-09-21,8219.117931034483
628,2014-09-22,8219.464137931034
629,2014-09-23,8219.810344827585
630,2014-09-24,8220.156551724138
631,2014-09-25,8220.502758620689
632,2014-09-26,8220.848965517242
633,2014-09-27,8221.195172413793
634,2014-09-28,8221.541379310345
635,2014-09-29,8221.887586206896
636,2014-09-30,8222.233793103449
637,2014-10-01,8222.58
638,2014-10-02,8216.498
639,2014-10-03,8210.416
640,2014-10-04,8204.333999999999
641,2014-10-05,8198.252
642,2014-10-06,8192.17
643,2014-10-07,8186.088000000001
644,2014-10-08,8180.005999999999
645,2014-10-09,8173.923999999999
646,2014-10-10,8167.842
647,2014-10-11,8161.759999999999
648,2014-10-12,8155.678
649,2014-10-13,8149.596
650,2014-10-14,8143.514
651,2014-10-15,8137.432
652,2014-10-16,8131.35
653,2014-10-17,8125.268
654,2014-10-18,8119.186
655,2014-10-19,8113.104
656,2014-10-20,8107.022
657,2014-10-21,8100.9400000000005
658,2014-10-22,8094.858
659,2014-10-23,8088.776
660,2014-10-24,8082.6939999999995
661,2014-10-25,8076.611999999999
662,2014-10-26,8070.53
663,2014-10-27,8064.447999999999
664,2014-10-28,8058.366
665,2014-10-29,8052.284
666,2014-10-30,8046.202
667,2014-10-31,8040.12
668,2014-11-01,8036.11
669,2014-11-02,8032.1
670,2014-11-03,8028.09
671,2014-11-04,8024.08
672,2014-11-05,8020.07
673,2014-11-06,8016.0599999999995
674,2014-11-07,8012.05
675,2014-11-08,8008.04
676,2014-11-09,8004.03
677,2014-11-10,8000.02
678,2014-11-11,7996.01
679,2014-11-12,7992.0
680,2014-11-13,7987.99
681,2014-11-14,7983.98
682,2014-11-15,7979.97
683,2014-11-16,7975.96
684,2014-11-17,7971.95
685,2014-11-18,7967.9400000000005
686,2014-11-19,7963.93
687,2014-11-20,7959.92
688,2014-11-21,7955.91
689,2014-11-22,7951.9
690,2014-11-23,7947.89
691,2014-11-24,7943.88
692,2014-11-25,7939.87
693,2014-11-26,7935.860000000001
694,2014-11-27,7931.85
695,2014-11-28,7927.84
696,2014-11-29,7923.83
697,2014-11-30,7919.82
698,2014-12-01,7915.81
699,2014-12-02,7911.8
700,2014-12-03,7924.245172413794
701,2014-12-04,7936.690344827586
702,2014-12-05,7949.13551724138
703,2014-12-06,7961.580689655173
704,2014-12-07,7974.025862068966
705,2014-12-08,7986.471034482758
706,2014-12-09,7998.916206896552
707,2014-12-10,8011.361379310345
708,2014-12-11,8023.806551724138
709,2014-12-12,8036.251724137931
710,2014-12-13,8048.696896551724
711,2014-12-14,8061.142068965518
712,2014-12-15,8073.58724137931
713,2014-12-16,8086.032413793104
714,2014-12-17,8098.477586206896
715,2014-12-18,8110.92275862069
716,2014-12-19,8123.367931034482
717,2014-12-20,8135.813103448276
718,2014-12-21,8148.258275862069
719,2014-12-22,8160.703448275862
720,2014-12-23,8173.148620689655
721,2014-12-24,8185.593793103449
722,2014-12-25,8198.038965517242
723,2014-12-26,8210.484137931035
724,2014-12-27,8222.929310344827
725,2014-12-28,8235.374482758622
726,2014-12-29,8247.819655172414
727,2014-12-30,8260.264827586207
728,2014-12-31,8272.71
729,2015-01-01,8277.570303030303
730,2015-01-02,8282.430606060607
731,2015-01-03,8287.290909090909
732,2015-01-04,8292.151212121213
733,2015-01-05,8297.011515151515
734,2015-01-06,8301.871818181819
735,2015-01-07,8306.73212121212
736,2015-01-08,8311.592424242424
737,2015-01-09,8316.452727272726
738,2015-01-10,8321.31303030303
739,2015-01-11,8326.173333333334
740,2015-01-12,8331.033636363636
741,2015-01-13,8335.89393939394
742,2015-01-14,8340.754242424242
743,2015-01-15,8345.614545454546
744,2015-01-16,8350.474848484848
745,2015-01-17,8355.335151515152
746,2015-01-18,8360.195454545456
747,2015-01-19,8365.055757575758
748,2015-01-20,8369.916060606061
749,2015-01-21,8374.776363636363
750,2015-01-22,8379.636666666667
751,2015-01-23,8384.49696969697
752,2015-01-24,8389.357272727273
753,2015-01-25,8394.217575757577
754,2015-01-26,8399.077878787879
