,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.tsv
407,2014-02-12,16365.69
408,2014-02-13,16385.71
409,2014-02-14,16415.75
410,2014-02-15,16415.75
411,2014-02-16,16465.82
412,2014-02-17,16495.85
413,2014-02-18,16485.84
414,2014-02-19,16475.83
415,2014-02-20,16485.84
416,2014-02-21,16505.87
417,2014-02-22,16515.88
418,2014-02-23,16495.86
419,2014-02-24,16495.85
420,2014-02-25,16545.92
421,2014-02-26,16696.11
422,2014-02-27,17296.87
423,2014-02-28,18378.24
424,2014-03-01,19259.29
425,2014-03-02,19479.7
426,2014-03-03,19870.31
427,2014-03-04,20981.83
428,2014-03-05,21442.45
429,2014-03-06,21883.06
430,2014-03-07,22173.46
431,2014-03-08,22373.74
432,2014-03-09,22533.96
433,2014-03-10,22714.22
434,2014-03-11,22844.41
435,2014-03-12,22934.54
436,2014-03-13,23014.66
437,2014-03-14,23114.8
438,2014-03-15,23194.91
439,2014-03-16,23234.97
440,2014-03-17,23305.07
441,2014-03-18,23355.14
442,2014-03-19,23415.23
443,2014-03-20,23415.24
444,2014-03-21,23475.32
445,2014-03-22,23485.33
446,2014-03-23,23495.35
447,2014-03-24,23535.41
448,2014-03-25,23575.46
449,2014-03-26,23615.53
450,2014-03-27,23685.63
451,2014-03-28,23725.68
452,2014-03-29,24506.84
453,2014-03-30,24877.41
454,2014-03-31,25237.98
455,2014-04-01,25658.66
456,2014-04-02,26169.43
457,2014-04-03,26580.01
458,2014-04-04,26990.47
459,2014-04-05,27280.79
460,2014-04-06,27551.09
461,2014-04-07,27861.41
462,2014-04-08,28101.67
463,2014-04-09,28271.84
464,2014-04-10,28391.97
465,2014-04-11,28502.09
466,2014-04-12,28652.24
467,2014-04-13,28712.31
468,2014-04-14,28802.4
469,2014-04-15,28842.45
470,2014-04-16,28872.48
471,2014-04-17,28932.54
472,2014-04-18,28982.59
473,2014-04-19,29002.61
474,2014-04-20,29042.65
475,2014-04-21,29052.67
476,2014-04-22,29062.68
477,2014-04-23,29102.72
478,2014-04-24,29132.75
479,2014-04-25,29182.8
480,2014-04-26,29232.85
481,2014-04-27,29252.87
482,2014-04-28,29262.89
483,2014-04-29,29252.88
484,2014-04-30,29272.9
485,2014-05-01,29272.9
486,2014-05-02,29272.9
487,2014-05-03,29262.89
488,2014-05-04,29282.91
489,2014-05-05,29312.94
490,2014-05-06,29272.9
491,2014-05-07,29302.93
492,2014-05-08,29312.94
493,2014-05-09,29342.97
494,2014-05-10,29342.97
495,2014-05-11,29332.96
496,2014-05-12,29322.95
497,2014-05-13,29322.95
498,2014-05-14,29332.96
499,2014-05-15,29282.91
500,2014-05-16,29292.92
501,2014-05-17,29272.9
502,2014-05-18,29262.89
503,2014-05-19,29272.9
504,2014-05-20,29242.86
505,2014-05-21,29222.84
506,2014-05-22,29212.83
507,2014-05-23,29142.76
508,2014-05-24,29182.8
509,2014-05-25,29152.77
510,2014-05-26,29142.76
511,2014-05-27,29092.71
512,2014-05-28,29102.72
513,2014-05-29,29092.71
514,2014-05-30,29082.7
515,2014-05-31,29072.69
516,2014-06-01,29042.65
517,2014-06-02,29022.63
518,2014-06-03,29032.64
519,2014-06-04,28992.6
520,2014-06-05,28962.57
521,2014-06-06,28912.52
522,2014-06-07,28872.48
523,2014-06-08,28922.53
524,2014-06-09,28872.48
525,2014-06-10,28852.46
526,2014-06-11,28792.39
527,2014-06-12,28752.35
528,2014-06-13,28702.3
529,2014-06-14,28702.3
530,2014-06-15,28672.27
531,2014-06-16,28632.22
532,2014-06-17,28622.21
533,2014-06-18,28592.18
534,2014-06-19,28582.17
535,2014-06-20,28542.13
536,2014-06-21,28512.1
537,2014-06-22,28472.05
538,2014-06-23,28482.06
539,2014-06-24,28452.03
540,2014-06-25,28422.0
541,2014-06-26,28391.97
542,2014-06-27,28351.93
543,2014-06-28,28311.89
544,2014-06-29,28321.9
545,2014-06-30,28261.83
546,2014-07-01,28201.77
547,2014-07-02,28201.77
548,2014-07-03,28131.7
549,2014-07-04,28151.72
550,2014-07-05,28111.68
551,2014-07-06,28051.61
552,2014-07-07,28071.63
553,2014-07-08,28031.59
554,2014-07-09,27971.53
555,2014-07-10,27931.49
556,2014-07-11,27911.47
557,2014-07-12,27941.5
558,2014-07-13,27801.35
559,2014-07-14,27791.34
560,2014-07-15,27801.35
561,2014-07-16,27731.28
562,2014-07-17,27691.23
563,2014-07-18,27661.2
564,2014-07-19,27601.14
565,2014-07-20,27571.11
566,2014-07-21,27551.08
567,2014-07-22,27511.04
568,2014-07-23,27450.98
569,2014-07-24,27430.96
570,2014-07-25,27420.94
571,2014-07-26,27380.9
572,2014-07-27,27340.86
573,2014-07-28,27300.81
574,2014-07-29,27270.78
575,2014-07-30,27270.78
576,2014-07-31,27250.76
577,2014-08-01,27200.7
578,2014-08-02,27170.67
579,2014-08-03,27130.63
580,2014-08-04,27110.6
581,2014-08-05,27060.55
582,2014-08-06,27040.52
583,2014-08-07,27020.5
584,2014-08-08,26990.47
585,2014-08-09,26940.41
586,2014-08-10,26900.37
587,2014-08-11,26890.36
588,2014-08-12,26860.32
589,2014-08-13,26830.29
590,2014-08-14,26800.26
591,2014-08-15,26760.21
592,2014-08-16,26760.21
593,2014-08-17,26700.15
594,2014-08-18,26670.11
595,2014-08-19,26630.07
596,2014-08-20,26590.02
597,2014-08-21,26559.99
598,2014-08-22,26529.95
599,2014-08-23,26499.9
600,2014-08-24,26479.87
601,2014-08-25,26449.83
602,2014-08-26,26409.77
603,2014-08-27,26389.74
604,2014-08-28,26359.7
605,2014-08-29,26339.67
606,2014-08-30,26309.63
607,2014-08-31,26299.61
608,2014-09-01,26269.58
609,2014-09-02,26249.55
610,2014-09-03,26229.51
611,2014-09-04,26199.47
612,2014-09-05,26179.44
613,2014-09-06,26149.4
614,2014-09-07,26129.38
615,2014-09-08,26109.34
616,2014-09-09,26069.29
617,2014-09-10,26049.26
618,2014-09-11,26009.2
619,2014-09-12,25999.19
620,2014-09-13,25979.16
621,2014-09-14,25959.13
622,2014-09-15,25929.08
623,2014-09-16,25909.06
624,2014-09-17,25879.02
625,2014-09-18,25858.99
626,2014-09-19,25848.96
627,2014-09-20,25818.92
628,2014-09-21,25798.88
629,2014-09-22,25768.84
630,2014-09-23,25748.8
631,2014-09-24,25728.78
632,2014-09-25,25708.75
633,2014-09-26,25698.73
634,2014-09-27,25658.67
635,2014-09-28,25658.66
636,2014-09-29,25638.63
637,2014-09-30,25618.6
638,2014-10-01,25588.55
639,2014-10-02,25568.52
640,2014-10-03,25548.48
641,2014-10-04,25518.44
642,2014-10-05,25488.39
643,2014-10-06,25468.35
644,2014-10-07,25448.33
645,2014-10-08,25428.29
646,2014-10-09,25398.25
647,2014-10-10,25378.21
648,2014-10-11,25358.18
649,2014-10-12,25328.13
650,2014-10-13,25308.1
651,2014-10-14,25288.07
652,2014-10-15,25278.05
653,2014-10-16,25258.02
654,2014-10-17,25248.0
655,2014-10-18,25227.97
656,2014-10-19,25207.94
657,2014-10-20,25187.9
658,2014-10-21,25167.88
659,2014-10-22,25147.84
660,2014-10-23,25147.84
661,2014-10-24,25117.8
662,2014-10-25,25127.81
663,2014-10-26,25107.78
664,2014-10-27,25087.75
665,2014-10-28,25087.74
666,2014-10-29,25057.7
667,2014-10-30,25047.68
668,2014-10-31,25057.7
669,2014-11-01,25077.73
670,2014-11-02,25077.73
671,2014-11-03,25047.68
672,2014-11-04,25027.65
673,2014-11-05,25017.63
674,2014-11-06,24997.61
