,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
188,2013-07-09,9619.396666666667
189,2013-07-10,9612.04
190,2013-07-11,9604.683333333332
191,2013-07-12,9597.326666666668
192,2013-07-13,9589.970000000001
193,2013-07-14,9582.613333333333
194,2013-07-15,9575.256666666666
195,2013-07-16,9567.9
196,2013-07-17,9560.543333333333
197,2013-07-18,9553.186666666666
198,2013-07-19,9545.83
199,2013-07-20,9538.473333333333
200,2013-07-21,9531.116666666667
201,2013-07-22,9523.76
202,2013-07-23,9516.403333333334
203,2013-07-24,9509.046666666667
204,2013-07-25,9501.69
205,2013-07-26,9494.333333333334
206,2013-07-27,9486.976666666667
207,2013-07-28,9479.619999999999
208,2013-07-29,9472.263333333334
209,2013-07-30,9464.906666666668
210,2013-07-31,9457.55
211,2013-08-01,9445.900967741936
212,2013-08-02,9434.251935483871
213,2013-08-03,9422.602903225807
214,2013-08-04,9410.953870967742
215,2013-08-05,9399.304838709679
216,2013-08-06,9387.655806451614
217,2013-08-07,9376.006774193549
218,2013-08-08,9364.357741935484
219,2013-08-09,9352.70870967742
220,2013-08-10,9341.059677419355
221,2013-08-11,9329.41064516129
222,2013-08-12,9317.761612903227
223,2013-08-13,9306.112580645162
224,2013-08-14,9294.463548387097
225,2013-08-15,9282.814516129034
226,2013-08-16,9271.165483870967
227,2013-08-17,9259.516451612903
228,2013-08-18,9247.86741935484
229,2013-08-19,9236.218387096775
230,2013-08-20,9224.56935483871
231,2013-08-21,9212.920322580645
232,2013-08-22,9201.27129032258
233,2013-08-23,9189.622258064515
234,2013-08-24,9177.973225806452
235,2013-08-25,9166.324193548387
236,2013-08-26,9154.675161290323
237,2013-08-27,9143.026129032258
238,2013-08-28,9131.377096774193
239,2013-08-29,9119.72806451613
240,2013-08-30,9108.079032258065
241,2013-08-31,9096.43
242,2013-09-01,9076.700666666668
243,2013-09-02,9056.971333333333
244,2013-09-03,9037.242
245,2013-09-04,9017.512666666667
246,2013-09-05,8997.783333333333
247,2013-09-06,8978.054
248,2013-09-07,8958.324666666667
249,2013-09-08,8938.595333333333
250,2013-09-09,8918.866
251,2013-09-10,8899.136666666667
252,2013-09-11,8879.407333333333
253,2013-09-12,8859.678
254,2013-09-13,8839.948666666667
255,2013-09-14,8820.219333333333
256,2013-09-15,8800.490000000002
257,2013-09-16,8780.760666666667
258,2013-09-17,8761.031333333334
259,2013-09-18,8741.302
260,2013-09-19,8721.572666666667
261,2013-09-20,8701.843333333334
262,2013-09-21,8682.114000000001
263,2013-09-22,8662.384666666667
264,2013-09-23,8642.655333333334
265,2013-09-24,8622.926
266,2013-09-25,8603.196666666667
267,2013-09-26,8583.467333333334
268,2013-09-27,8563.738000000001
269,2013-09-28,8544.008666666667
270,2013-09-29,8524.279333333334
271,2013-09-30,8504.55
272,2013-10-01,8504.226451612903
273,2013-10-02,8503.902903225808
274,2013-10-03,8503.57935483871
275,2013-10-04,8503.255806451612
276,2013-10-05,8502.932258064517
277,2013-10-06,8502.60870967742
278,2013-10-07,8502.285161290323
279,2013-10-08,8501.961612903226
280,2013-10-09,8501.63806451613
281,2013-10-10,8501.314516129032
282,2013-10-11,8500.990967741936
283,2013-10-12,8500.667419354839
284,2013-10-13,8500.343870967741
285,2013-10-14,8500.020322580645
286,2013-10-15,8499.69677419355
287,2013-10-16,8499.373225806452
288,2013-10-17,8499.049677419354
289,2013-10-18,8498.726129032259
290,2013-10-19,8498.402580645161
291,2013-10-20,8498.079032258065
292,2013-10-21,8497.755483870968
293,2013-10-22,8497.431935483872
294,2013-10-23,8497.108387096774
295,2013-10-24,8496.784838709678
296,2013-10-25,8496.46129032258
297,2013-10-26,8496.137741935485
298,2013-10-27,8495.814193548387
299,2013-10-28,8495.490645161291
300,2013-10-29,8495.167096774194
301,2013-10-30,8494.843548387098
302,2013-10-31,8494.52
303,2013-11-01,8499.849375000002
304,2013-11-02,8505.17875
305,2013-11-03,8510.508125
306,2013-11-04,8515.837500000001
307,2013-11-05,8521.166875
308,2013-11-06,8526.49625
309,2013-11-07,8531.825625000001
310,2013-11-08,8537.155
311,2013-11-09,8542.484375
312,2013-11-10,8547.813750000001
313,2013-11-11,8553.143125
314,2013-11-12,8558.4725
315,2013-11-13,8563.801875000001
316,2013-11-14,8569.13125
317,2013-11-15,8574.460625
318,2013-11-16,8579.79
319,2013-11-17,8585.119375
320,2013-11-18,8590.44875
321,2013-11-19,8595.778125
322,2013-11-20,8601.1075
323,2013-11-21,8606.436875
324,2013-11-22,8611.76625
325,2013-11-23,8617.095625000002
326,2013-11-24,8622.425
327,2013-11-25,8627.754375
328,2013-11-26,8633.083750000002
329,2013-11-27,8638.413125
330,2013-11-28,8643.7425
331,2013-11-29,8649.071875000001
332,2013-11-30,8654.40125
333,2013-12-01,8659.730625
334,2013-12-02,8665.060000000001
335,2013-12-03,8677.680967741935
336,2013-12-04,8690.301935483873
337,2013-12-05,8702.922903225806
338,2013-12-06,8715.543870967742
339,2013-12-07,8728.164838709677
340,2013-12-08,8740.785806451613
341,2013-12-09,8753.406774193549
342,2013-12-10,8766.027741935484
343,2013-12-11,8778.64870967742
344,2013-12-12,8791.269677419356
345,2013-12-13,8803.890645161291
346,2013-12-14,8816.511612903225
347,2013-12-15,8829.132580645162
348,2013-12-16,8841.753548387096
349,2013-12-17,8854.374516129032
350,2013-12-18,8866.99548387097
351,2013-12-19,8879.616451612903
352,2013-12-20,8892.237419354838
353,2013-12-21,8904.858387096774
354,2013-12-22,8917.47935483871
355,2013-12-23,8930.100322580645
356,2013-12-24,8942.72129032258
357,2013-12-25,8955.342258064516
358,2013-12-26,8967.963225806452
359,2013-12-27,8980.584193548388
360,2013-12-28,8993.205161290323
361,2013-12-29,9005.826129032259
362,2013-12-30,9018.447096774195
363,2013-12-31,9031.068064516128
364,2014-01-01,9043.689032258066
365,2014-01-02,9056.310000000001
366,2014-01-03,9061.153103448276
367,2014-01-04,9065.996206896552
368,2014-01-05,9070.839310344829
369,2014-01-06,9075.682413793103
370,2014-01-07,9080.52551724138
371,2014-01-08,9085.368620689655
372,2014-01-09,9090.211724137931
373,2014-01-10,9095.054827586207
374,2014-01-11,9099.897931034484
375,2014-01-12,9104.741034482759
376,2014-01-13,9109.584137931035
377,2014-01-14,9114.427241379311
378,2014-01-15,9119.270344827586
379,2014-01-16,9124.113448275863
380,2014-01-17,9128.956551724139
381,2014-01-18,9133.799655172414
382,2014-01-19,9138.64275862069
383,2014-01-20,9143.485862068967
384,2014-01-21,9148.328965517241
385,2014-01-22,9153.172068965518
386,2014-01-23,9158.015172413794
387,2014-01-24,9162.858275862069
388,2014-01-25,9167.701379310345
389,2014-01-26,9172.544482758622
390,2014-01-27,9177.387586206896
391,2014-01-28,9182.230689655173
392,2014-01-29,9187.07379310345
393,2014-01-30,9191.916896551724
394,2014-01-31,9196.76
395,2014-02-01,9197.531153846154
396,2014-02-02,9198.302307692307
397,2014-02-03,9199.07346153846
398,2014-02-04,9199.844615384616
399,2014-02-05,9200.61576923077
400,2014-02-06,9201.386923076923
401,2014-02-07,9202.158076923077
402,2014-02-08,9202.92923076923
403,2014-02-09,9203.700384615384
404,2014-02-10,9204.471538461537
405,2014-02-11,9205.242692307693
406,2014-02-12,9206.013846153846
407,2014-02-13,9206.785
408,2014-02-14,9207.556153846155
409,2014-02-15,9208.327307692309
410,2014-02-16,9209.098461538462
411,2014-02-17,9209.869615384616
412,2014-02-18,9210.64076923077
413,2014-02-19,9211.411923076923
414,2014-02-20,9212.183076923078
415,2014-02-21,9212.954230769232
416,2014-02-22,9213.725384615385
417,2014-02-23,9214.496538461539
418,2014-02-24,9215.267692307692
419,2014-02-25,9216.038846153846
420,2014-02-26,9216.810000000001
421,2014-02-27,9218.63393939394
422,2014-02-28,9220.457878787878
423,2014-03-01,9222.281818181818
424,2014-03-02,9224.105757575759
425,2014-03-03,9225.929696969697
426,2014-03-04,9227.753636363635
427,2014-03-05,9229.577575757576
428,2014-03-06,9231.401515151516
429,2014-03-07,9233.225454545454
430,2014-03-08,9235.049393939395
431,2014-03-09,9236.873333333333
432,2014-03-10,9238.697272727273
433,2014-03-11,9240.521212121212
434,2014-03-12,9242.345151515152
435,2014-03-13,9244.169090909092
436,2014-03-14,9245.99303030303
437,2014-03-15,9247.81696969697
438,2014-03-16,9249.64090909091
439,2014-03-17,9251.46484848485
440,2014-03-18,9253.288787878788
441,2014-03-19,9255.112727272728
442,2014-03-20,9256.936666666666
443,2014-03-21,9258.760606060607
444,2014-03-22,9260.584545454545
445,2014-03-23,9262.408484848485
446,2014-03-24,9264.232424242424
447,2014-03-25,9266.056363636364
448,2014-03-26,9267.880303030302
449,2014-03-27,9269.704242424243
450,2014-03-28,9271.528181818181
451,2014-03-29,9273.352121212121
452,2014-03-30,9275.17606060606
