,datetime,LAKE_BILLY_CHINOOK_NEAR_GRANDVIEW__OR.tsv
356,2013-12-23,1942.25
357,2013-12-24,1942.14
358,2013-12-25,1942.19
359,2013-12-26,1942.16
360,2013-12-27,1942.26
361,2013-12-28,1942.2
362,2013-12-29,1942.2
363,2013-12-30,1942.24
364,2013-12-31,1942.23
365,2014-01-01,1942.27
366,2014-01-02,1942.34
367,2014-01-03,1942.29
368,2014-01-04,1942.27
369,2014-01-05,1942.33
370,2014-01-06,1942.28
371,2014-01-07,1942.26
372,2014-01-08,1942.33
373,2014-01-09,1942.3
374,2014-01-10,1942.2
375,2014-01-11,1942.36
376,2014-01-12,1942.43
377,2014-01-13,1942.37
378,2014-01-14,1942.36
379,2014-01-15,1942.44
380,2014-01-16,1942.51
381,2014-01-17,1942.4
382,2014-01-18,1942.45
383,2014-01-19,1942.44
384,2014-01-20,1942.34
385,2014-01-21,1942.29
386,2014-01-22,1942.26
387,2014-01-23,1942.23
388,2014-01-24,1942.14
389,2014-01-25,1942.22
390,2014-01-26,1942.32
391,2014-01-27,1942.26
392,2014-01-28,1942.32
393,2014-01-29,1942.56
394,2014-01-30,1942.65
395,2014-01-31,1942.85
396,2014-02-01,1942.68
397,2014-02-02,1942.7
398,2014-02-03,1942.64
399,2014-02-04,1942.61
400,2014-02-05,1942.53
401,2014-02-06,1942.55
402,2014-02-07,1942.53
403,2014-02-08,1942.42
404,2014-02-09,1942.16
405,2014-02-10,1941.97
406,2014-02-11,1941.98
407,2014-02-12,1942.07
408,2014-02-13,1942.25
409,2014-02-14,1942.51
410,2014-02-15,1942.41
411,2014-02-16,1942.08
412,2014-02-17,1941.61
413,2014-02-18,1941.16
414,2014-02-19,1940.96
415,2014-02-20,1940.7
416,2014-02-21,1940.26
417,2014-02-22,1940.19
418,2014-02-23,1940.27
419,2014-02-24,1940.43
420,2014-02-25,1940.49
421,2014-02-26,1940.56
422,2014-02-27,1940.64
423,2014-02-28,1940.48
424,2014-03-01,1940.57
425,2014-03-02,1940.87
426,2014-03-03,1941.05
427,2014-03-04,1941.02
428,2014-03-05,1941.22
429,2014-03-06,1941.85
430,2014-03-07,1942.11
431,2014-03-08,1942.32
432,2014-03-09,1942.82
433,2014-03-10,1943.09
434,2014-03-11,1943.04
435,2014-03-12,1942.89
436,2014-03-13,1942.69
437,2014-03-14,1942.26
438,2014-03-15,1942.04
439,2014-03-16,1942.14
440,2014-03-17,1941.87
441,2014-03-18,1942.09
442,2014-03-19,1942.04
443,2014-03-20,1941.86
444,2014-03-21,1941.8
445,2014-03-22,1941.57
446,2014-03-23,1941.84
447,2014-03-24,1942.0
448,2014-03-25,1941.82
449,2014-03-26,1941.98
450,2014-03-27,1941.82
451,2014-03-28,1942.05
452,2014-03-29,1942.14
453,2014-03-30,1942.34
454,2014-03-31,1942.38
455,2014-04-01,1942.73
456,2014-04-02,1942.58
457,2014-04-03,1942.52
458,2014-04-04,1942.17
459,2014-04-05,1942.23
460,2014-04-06,1942.05
461,2014-04-07,1942.79
462,2014-04-08,1942.84
463,2014-04-09,1942.89
464,2014-04-10,1942.98
465,2014-04-11,1943.16
466,2014-04-12,1943.41
467,2014-04-13,1943.7
468,2014-04-14,1943.73
469,2014-04-15,1943.78
470,2014-04-16,1944.02
471,2014-04-17,1943.79
472,2014-04-18,1943.62
473,2014-04-19,1944.06
474,2014-04-20,1944.27
475,2014-04-21,1944.24
476,2014-04-22,1944.21
477,2014-04-23,1944.5
478,2014-04-24,1944.63
479,2014-04-25,1944.74
480,2014-04-26,1944.59
481,2014-04-27,1944.86
482,2014-04-28,1944.75
483,2014-04-29,1944.63
