,datetime,LAKE_TAPPS_NEAR_SUMNER__WA.
433,2012-03-09,27908.3
434,2012-03-10,28739.1
435,2012-03-11,29539.86
436,2012-03-12,30370.64
437,2012-03-13,31241.46
438,2012-03-14,32052.2
439,2012-03-15,33003.06
440,2012-03-16,33963.92
441,2012-03-17,35225.04
442,2012-03-18,36476.14
443,2012-03-19,37236.8
444,2012-03-20,37907.38
445,2012-03-21,38908.24
446,2012-03-22,39608.84
447,2012-03-23,40129.28
448,2012-03-24,40649.72
449,2012-03-25,41150.14
450,2012-03-26,41650.56
451,2012-03-27,42130.96
452,2012-03-28,42301.1
453,2012-03-29,42771.5
454,2012-03-30,43241.88
455,2012-03-31,43732.28
456,2012-04-01,44072.56
457,2012-04-02,44442.86
458,2012-04-03,44873.22
459,2012-04-04,45093.4
460,2012-04-05,45143.44
461,2012-04-06,45123.42
462,2012-04-07,45093.4
463,2012-04-08,45073.38
464,2012-04-09,45073.38
465,2012-04-10,45003.32
466,2012-04-11,45003.32
467,2012-04-12,45023.34
468,2012-04-13,44973.3
469,2012-04-14,44953.28
470,2012-04-15,44953.28
471,2012-04-16,45053.36
472,2012-04-17,45073.38
473,2012-04-18,45093.4
474,2012-04-19,45273.54
475,2012-04-20,45593.8
476,2012-04-21,45593.8
477,2012-04-22,45623.82
478,2012-04-23,45673.86
479,2012-04-24,45753.92
480,2012-04-25,45974.1
481,2012-04-26,46254.32
482,2012-04-27,46404.44
483,2012-04-28,46534.54
484,2012-04-29,46634.62
485,2012-04-30,46904.84
486,2012-05-01,47115.0
487,2012-05-02,47135.02
488,2012-05-03,47335.18
489,2012-05-04,47415.24
490,2012-05-05,47335.18
491,2012-05-06,47215.08
492,2012-05-07,47185.06
493,2012-05-08,47115.0
494,2012-05-09,47034.94
495,2012-05-10,46884.82
496,2012-05-11,46854.8
497,2012-05-12,46804.76
498,2012-05-13,46784.74
499,2012-05-14,46754.72
500,2012-05-15,46734.7
501,2012-05-16,46704.68
502,2012-05-17,46734.7
503,2012-05-18,46704.68
504,2012-05-19,46704.68
505,2012-05-20,46884.82
506,2012-05-21,47135.02
507,2012-05-22,47165.04
508,2012-05-23,47215.08
509,2012-05-24,47215.08
510,2012-05-25,47165.04
511,2012-05-26,47115.0
512,2012-05-27,47064.96
513,2012-05-28,47004.92
514,2012-05-29,46904.84
515,2012-05-30,46754.72
516,2012-05-31,46834.78
517,2012-06-01,46934.86
518,2012-06-02,46934.86
519,2012-06-03,46934.86
520,2012-06-04,46934.86
521,2012-06-05,47115.0
522,2012-06-06,47064.96
523,2012-06-07,47135.02
524,2012-06-08,47135.02
525,2012-06-09,47004.92
526,2012-06-10,46904.84
527,2012-06-11,46804.76
528,2012-06-12,46734.7
529,2012-06-13,46604.6
530,2012-06-14,46554.56
531,2012-06-15,46554.56
532,2012-06-16,46584.58
533,2012-06-17,46634.62
534,2012-06-18,46704.68
535,2012-06-19,46784.74
536,2012-06-20,46804.76
537,2012-06-21,46834.78
538,2012-06-22,47004.92
539,2012-06-23,47115.0
540,2012-06-24,47135.02
541,2012-06-25,47135.02
542,2012-06-26,47115.0
543,2012-06-27,47115.0
544,2012-06-28,47064.96
545,2012-06-29,47064.96
546,2012-06-30,47034.94
547,2012-07-01,46954.88
548,2012-07-02,46904.84
549,2012-07-03,46904.84
550,2012-07-04,46884.82
551,2012-07-05,46884.82
552,2012-07-06,46884.82
553,2012-07-07,46884.82
554,2012-07-08,46884.82
555,2012-07-09,46884.82
556,2012-07-10,46884.82
557,2012-07-11,46884.82
558,2012-07-12,46934.86
559,2012-07-13,46884.82
560,2012-07-14,46804.76
561,2012-07-15,46684.66
562,2012-07-16,46634.62
563,2012-07-17,46584.58
564,2012-07-18,46484.5
565,2012-07-19,46504.52
566,2012-07-20,46754.72
567,2012-07-21,46754.72
568,2012-07-22,46734.7
569,2012-07-23,46704.68
570,2012-07-24,46754.72
571,2012-07-25,46834.78
572,2012-07-26,46884.82
573,2012-07-27,46934.86
574,2012-07-28,46984.9
575,2012-07-29,46984.9
576,2012-07-30,46934.86
577,2012-07-31,46834.78
578,2012-08-01,46804.76
579,2012-08-02,46884.82
580,2012-08-03,46934.86
581,2012-08-04,46984.9
582,2012-08-05,47004.92
583,2012-08-06,47034.94
584,2012-08-07,47034.94
585,2012-08-08,47034.94
586,2012-08-09,47004.92
587,2012-08-10,47004.92
588,2012-08-11,46984.9
589,2012-08-12,47004.92
590,2012-08-13,46984.9
591,2012-08-14,46954.88
592,2012-08-15,46984.9
593,2012-08-16,46984.9
594,2012-08-17,47004.92
595,2012-08-18,47004.92
596,2012-08-19,47004.92
597,2012-08-20,47004.92
598,2012-08-21,47004.92
599,2012-08-22,47004.92
600,2012-08-23,47004.92
601,2012-08-24,46984.9
602,2012-08-25,47004.92
603,2012-08-26,47004.92
604,2012-08-27,47004.92
605,2012-08-28,47004.92
606,2012-08-29,47004.92
607,2012-08-30,47004.92
608,2012-08-31,47004.92
609,2012-09-01,47034.94
610,2012-09-02,47034.94
611,2012-09-03,47034.94
612,2012-09-04,46984.9
613,2012-09-05,46904.84
614,2012-09-06,46904.84
615,2012-09-07,46884.82
616,2012-09-08,46784.74
617,2012-09-09,46704.68
618,2012-09-10,46634.62
619,2012-09-11,46554.56
620,2012-09-12,46554.56
621,2012-09-13,46504.52
622,2012-09-14,46484.5
623,2012-09-15,46434.46
624,2012-09-16,46384.42
625,2012-09-17,46324.38
626,2012-09-18,46404.44
627,2012-09-19,46404.44
628,2012-09-20,46454.48
629,2012-09-21,46434.46
630,2012-09-22,46384.42
631,2012-09-23,46324.38
632,2012-09-24,46254.32
633,2012-09-25,46304.36
634,2012-09-26,46254.32
635,2012-09-27,46204.28
636,2012-09-28,46174.26
637,2012-09-29,46104.2
638,2012-09-30,46024.14
639,2012-10-01,45954.08
640,2012-10-02,45924.06
641,2012-10-03,45823.98
642,2012-10-04,45723.9
643,2012-10-05,45673.86
644,2012-10-06,45593.8
645,2012-10-07,45523.74
646,2012-10-08,45443.68
647,2012-10-09,45393.64
648,2012-10-10,45323.58
649,2012-10-11,45243.52
650,2012-10-12,45193.48
651,2012-10-13,45093.4
652,2012-10-14,45123.42
653,2012-10-15,45023.34
654,2012-10-16,44853.2
655,2012-10-17,44733.1
656,2012-10-18,44703.08
657,2012-10-19,44633.02
658,2012-10-20,44532.94
659,2012-10-21,44412.84
660,2012-10-22,44342.78
661,2012-10-23,44222.68
662,2012-10-24,44092.58
663,2012-10-25,44002.5
664,2012-10-26,43902.42
665,2012-10-27,44022.52
666,2012-10-28,44022.52
667,2012-10-29,44122.6
668,2012-10-30,44312.76
669,2012-10-31,43852.38
670,2012-11-01,43241.88
671,2012-11-02,42391.18
672,2012-11-03,41680.58
673,2012-11-04,40889.92
674,2012-11-05,40129.28
675,2012-11-06,39428.68
676,2012-11-07,39098.4
677,2012-11-08,38978.3
678,2012-11-09,38868.2
679,2012-11-10,38748.1
680,2012-11-11,38748.1
681,2012-11-12,38728.08
682,2012-11-13,38628.0
683,2012-11-14,38557.94
684,2012-11-15,38437.84
685,2012-11-16,38397.8
686,2012-11-17,38327.74
687,2012-11-18,38257.68
688,2012-11-19,38658.02
689,2012-11-20,38698.06
690,2012-11-21,38678.04
691,2012-11-22,38607.98
692,2012-11-23,38798.14
693,2012-11-24,38818.16
694,2012-11-25,38728.08
695,2012-11-26,38658.02
696,2012-11-27,38557.94
697,2012-11-28,38487.88
698,2012-11-29,38397.8
699,2012-11-30,38467.86
700,2012-12-01,38437.84
701,2012-12-02,38487.88
702,2012-12-03,38517.9
703,2012-12-04,38678.04
704,2012-12-05,38628.0
705,2012-12-06,38678.04
706,2012-12-07,38678.04
707,2012-12-08,38587.96
708,2012-12-09,38557.94
709,2012-12-10,38487.88
710,2012-12-11,38487.88
711,2012-12-12,38437.84
712,2012-12-13,38367.78
713,2012-12-14,38367.78
714,2012-12-15,38327.74
715,2012-12-16,38367.78
716,2012-12-17,38347.76
717,2012-12-18,38297.72
718,2012-12-19,38327.74
719,2012-12-20,38297.72
720,2012-12-21,38297.72
721,2012-12-22,38207.64
722,2012-12-23,38207.64
723,2012-12-24,38117.56
724,2012-12-25,38137.58
725,2012-12-26,38137.58
726,2012-12-27,38047.5
727,2012-12-28,38017.48
728,2012-12-29,37927.4
729,2012-12-30,37837.32
730,2012-12-31,37747.24
731,2013-01-01,37627.14
732,2013-01-02,37537.06
733,2013-01-03,37467.0
734,2013-01-04,37376.92
735,2013-01-05,37326.88
736,2013-01-06,37236.8
737,2013-01-07,37216.78
738,2013-01-08,37146.72
739,2013-01-09,36776.4
740,2013-01-10,36045.76
741,2013-01-11,35225.04
742,2013-01-12,34434.34
743,2013-01-13,33643.64
744,2013-01-14,32852.92
745,2013-01-15,32032.18
746,2013-01-16,31221.44
747,2013-01-17,30430.7
748,2013-01-18,29639.96
749,2013-01-19,28839.2
750,2013-01-20,28058.44
751,2013-01-21,27227.64
752,2013-01-22,26426.84
753,2013-01-23,26146.56
754,2013-01-24,26126.54
755,2013-01-25,26106.52
756,2013-01-26,26076.48
757,2013-01-27,26106.52
758,2013-01-28,26186.6
759,2013-01-29,26306.72
760,2013-01-30,26366.78
761,2013-01-31,26386.8
762,2013-02-01,26306.72
763,2013-02-02,26226.64
764,2013-02-03,26146.56
765,2013-02-04,26036.44
766,2013-02-05,26036.44
767,2013-02-06,26016.42
768,2013-02-07,25976.38
769,2013-02-08,25936.34
770,2013-02-09,25836.24
771,2013-02-10,25836.24
772,2013-02-11,25916.32
773,2013-02-12,25996.4
774,2013-02-13,25996.4
775,2013-02-14,26056.46
776,2013-02-15,26056.46
777,2013-02-16,25976.38
778,2013-02-17,26056.46
779,2013-02-18,26016.42
780,2013-02-19,25996.4
781,2013-02-20,26056.46
782,2013-02-21,26076.48
783,2013-02-22,26166.58
784,2013-02-23,26186.6
785,2013-02-24,26406.82
786,2013-02-25,26406.82
787,2013-02-26,26406.82
788,2013-02-27,26486.9
789,2013-02-28,26546.96
790,2013-03-01,26647.06
791,2013-03-02,26687.1
792,2013-03-03,26867.28
793,2013-03-04,26867.28
794,2013-03-05,26867.28
795,2013-03-06,27207.62
796,2013-03-07,27728.12
797,2013-03-08,28198.58
798,2013-03-09,28799.16
799,2013-03-10,29359.7
800,2013-03-11,29940.24
801,2013-03-12,30560.82
802,2013-03-13,31261.48
803,2013-03-14,32272.4
804,2013-03-15,33313.34
805,2013-03-16,34364.28
806,2013-03-17,35315.12
807,2013-03-18,36275.96
808,2013-03-19,37256.82
809,2013-03-20,38397.8
810,2013-03-21,39378.64
811,2013-03-22,40319.44
812,2013-03-23,40819.86
813,2013-03-24,41270.24
814,2013-03-25,41720.62
815,2013-03-26,42201.02
816,2013-03-27,42631.38
817,2013-03-28,43021.7
818,2013-03-29,43412.02
819,2013-03-30,43782.32
820,2013-03-31,44142.62
821,2013-04-01,44392.82
822,2013-04-02,44482.9
823,2013-04-03,44582.98
824,2013-04-04,44753.12
825,2013-04-05,45053.36
826,2013-04-06,45323.58
827,2013-04-07,45854.0
828,2013-04-08,46054.16
829,2013-04-09,46004.12
830,2013-04-10,45974.1
831,2013-04-11,45904.04
832,2013-04-12,45954.08
833,2013-04-13,45874.02
834,2013-04-14,45803.96
835,2013-04-15,45723.9
836,2013-04-16,45623.82
837,2013-04-17,45573.78
838,2013-04-18,45593.8
839,2013-04-19,45904.04
840,2013-04-20,45924.06
841,2013-04-21,45854.0
842,2013-04-22,45773.94
843,2013-04-23,45773.94
844,2013-04-24,45773.94
845,2013-04-25,45773.94
846,2013-04-26,45773.94
847,2013-04-27,45773.94
848,2013-04-28,45773.94
849,2013-04-29,45723.9
850,2013-04-30,45623.82
851,2013-05-01,45803.96
852,2013-05-02,46054.16
853,2013-05-03,46324.38
854,2013-05-04,46584.58
855,2013-05-05,46834.78
856,2013-05-06,47235.1
857,2013-05-07,47565.36
858,2013-05-08,47665.44
859,2013-05-09,47135.02
860,2013-05-10,47135.02
861,2013-05-11,47115.0
862,2013-05-12,47185.06
863,2013-05-13,47215.08
864,2013-05-14,47165.04
865,2013-05-15,47084.98
866,2013-05-16,47064.96
867,2013-05-17,47034.94
868,2013-05-18,46984.9
869,2013-05-19,46904.84
870,2013-05-20,46834.78
871,2013-05-21,46884.82
872,2013-05-22,46884.82
873,2013-05-23,46834.78
874,2013-05-24,46834.78
875,2013-05-25,46834.78
876,2013-05-26,46834.78
877,2013-05-27,46904.84
878,2013-05-28,46954.88
879,2013-05-29,46984.9
880,2013-05-30,46954.88
881,2013-05-31,46904.84
882,2013-06-01,46854.8
883,2013-06-02,46884.82
884,2013-06-03,46834.78
885,2013-06-04,46854.8
886,2013-06-05,46854.8
887,2013-06-06,46854.8
888,2013-06-07,46854.8
889,2013-06-08,46854.8
890,2013-06-09,46854.8
891,2013-06-10,46854.8
892,2013-06-11,46904.84
893,2013-06-12,46904.84
894,2013-06-13,46904.84
895,2013-06-14,46904.84
896,2013-06-15,46934.86
897,2013-06-16,46934.86
898,2013-06-17,46934.86
899,2013-06-18,46954.88
900,2013-06-19,46984.9
901,2013-06-20,47034.94
902,2013-06-21,47034.94
903,2013-06-22,47034.94
904,2013-06-23,47034.94
905,2013-06-24,47115.0
906,2013-06-25,47084.98
907,2013-06-26,47004.92
908,2013-06-27,46954.88
909,2013-06-28,46904.84
910,2013-06-29,46934.86
911,2013-06-30,46934.86
912,2013-07-01,46954.88
913,2013-07-02,46934.86
914,2013-07-03,46934.86
915,2013-07-04,46934.86
916,2013-07-05,46954.88
917,2013-07-06,46954.88
918,2013-07-07,46984.9
919,2013-07-08,46984.9
920,2013-07-09,46984.9
921,2013-07-10,46984.9
922,2013-07-11,46954.88
923,2013-07-12,46954.88
924,2013-07-13,46934.86
925,2013-07-14,46904.84
926,2013-07-15,46884.82
927,2013-07-16,46854.8
928,2013-07-17,46884.82
929,2013-07-18,46904.84
930,2013-07-19,46904.84
931,2013-07-20,46934.86
932,2013-07-21,46904.84
933,2013-07-22,46834.78
934,2013-07-23,46784.74
935,2013-07-24,46704.68
936,2013-07-25,46734.7
937,2013-07-26,46804.76
938,2013-07-27,46884.82
939,2013-07-28,46884.82
940,2013-07-29,46884.82
941,2013-07-30,46834.78
942,2013-07-31,46834.78
943,2013-08-01,46854.8
944,2013-08-02,46904.84
945,2013-08-03,46884.82
946,2013-08-04,46884.82
947,2013-08-05,46884.82
948,2013-08-06,46854.8
949,2013-08-07,46834.78
950,2013-08-08,46904.84
951,2013-08-09,46984.9
952,2013-08-10,46954.88
953,2013-08-11,46904.84
954,2013-08-12,46854.8
955,2013-08-13,46904.84
956,2013-08-14,46904.84
957,2013-08-15,46954.88
958,2013-08-16,46984.9
959,2013-08-17,46954.88
960,2013-08-18,46954.88
961,2013-08-19,46954.88
962,2013-08-20,46904.84
963,2013-08-21,46904.84
964,2013-08-22,46884.82
965,2013-08-23,46804.76
966,2013-08-24,46734.7
967,2013-08-25,46734.7
968,2013-08-26,46654.64
969,2013-08-27,46634.62
970,2013-08-28,46684.66
971,2013-08-29,46934.86
972,2013-08-30,46904.84
973,2013-08-31,46854.8
974,2013-09-01,46834.78
975,2013-09-02,46754.72
976,2013-09-03,46784.74
977,2013-09-04,46784.74
978,2013-09-05,47004.92
979,2013-09-06,46884.82
980,2013-09-07,46534.54
