,datetime,CRATER_LAKE_NEAR_CRATER_LAKE__OR.
382,2012-01-18,6171.1
383,2012-01-19,6171.32
384,2012-01-20,6171.4
385,2012-01-21,6171.5
386,2012-01-22,6171.53
387,2012-01-23,6171.54
388,2012-01-24,6171.6
389,2012-01-25,6171.71
390,2012-01-26,6171.8
391,2012-01-27,6171.8
392,2012-01-28,6171.79
393,2012-01-29,6171.79
394,2012-01-30,6171.83
395,2012-01-31,6171.81
396,2012-02-01,6171.82
397,2012-02-02,6171.81
398,2012-02-03,6171.79
399,2012-02-04,6171.77
400,2012-02-05,6171.76
401,2012-02-06,6171.74
402,2012-02-07,6171.72
403,2012-02-08,6171.73
404,2012-02-09,6171.74
405,2012-02-10,6171.73
406,2012-02-11,6171.73
407,2012-02-12,6171.72
408,2012-02-13,6171.71
409,2012-02-14,6171.7
410,2012-02-15,6171.69
411,2012-02-16,6171.68
412,2012-02-17,6171.68
413,2012-02-18,6171.7
414,2012-02-19,6171.69
415,2012-02-20,6171.71
416,2012-02-21,6171.73
417,2012-02-22,6171.76
418,2012-02-23,6171.73
419,2012-02-24,6171.73
420,2012-02-25,6171.81
421,2012-02-26,6171.79
422,2012-02-27,6171.78
423,2012-02-28,6171.77
424,2012-02-29,6171.85
425,2012-03-01,6171.89
426,2012-03-02,6171.87
427,2012-03-03,6171.86
428,2012-03-04,6171.85
429,2012-03-05,6171.86
430,2012-03-06,6171.89
431,2012-03-07,6171.87
432,2012-03-08,6171.85
433,2012-03-09,6171.84
434,2012-03-10,6171.82
435,2012-03-11,6171.88
436,2012-03-12,6171.89
437,2012-03-13,6171.98
438,2012-03-14,6171.97
439,2012-03-15,6172.06
440,2012-03-16,6172.18
441,2012-03-17,6172.21
442,2012-03-18,6172.21
443,2012-03-19,6172.2
444,2012-03-20,6172.3
445,2012-03-21,6172.39
446,2012-03-22,6172.41
447,2012-03-23,6172.39
448,2012-03-24,6172.36
449,2012-03-25,6172.38
450,2012-03-26,6172.39
451,2012-03-27,6172.44
452,2012-03-28,6172.55
453,2012-03-29,6172.57
454,2012-03-30,6172.71
455,2012-03-31,6172.76
456,2012-04-01,6172.84
457,2012-04-02,6172.84
458,2012-04-03,6172.82
459,2012-04-04,6172.83
460,2012-04-05,6172.82
461,2012-04-06,6172.81
462,2012-04-07,6172.79
463,2012-04-08,6172.76
464,2012-04-09,6172.74
465,2012-04-10,6172.73
466,2012-04-11,6172.74
467,2012-04-12,6172.76
468,2012-04-13,6172.8
469,2012-04-14,6172.82
470,2012-04-15,6172.8
471,2012-04-16,6172.83
472,2012-04-17,6172.85
473,2012-04-18,6172.88
474,2012-04-19,6172.92
475,2012-04-20,6172.95
476,2012-04-21,6172.95
477,2012-04-22,6172.94
478,2012-04-23,6172.94
479,2012-04-24,6172.95
480,2012-04-25,6172.94
481,2012-04-26,6173.04
482,2012-04-27,6173.08
483,2012-04-28,6173.07
484,2012-04-29,6173.06
485,2012-04-30,6173.1
486,2012-05-01,6173.1
487,2012-05-02,6173.09
488,2012-05-03,6173.1
489,2012-05-04,6173.13
490,2012-05-05,6173.12
491,2012-05-06,6173.12
492,2012-05-07,6173.1
493,2012-05-08,6173.1
494,2012-05-09,6173.09
495,2012-05-10,6173.08
496,2012-05-11,6173.07
497,2012-05-12,6173.06
498,2012-05-13,6173.06
499,2012-05-14,6173.06
500,2012-05-15,6173.05
501,2012-05-16,6173.06
502,2012-05-17,6173.05
503,2012-05-18,6173.04
504,2012-05-19,6173.04
505,2012-05-20,6173.03
506,2012-05-21,6173.05
507,2012-05-22,6173.08
508,2012-05-23,6173.08
509,2012-05-24,6173.11
510,2012-05-25,6173.14
511,2012-05-26,6173.14
512,2012-05-27,6173.13
513,2012-05-28,6173.12
514,2012-05-29,6173.11
515,2012-05-30,6173.1
516,2012-05-31,6173.1
517,2012-06-01,6173.1
518,2012-06-02,6173.11
519,2012-06-03,6173.11
520,2012-06-04,6173.2
521,2012-06-05,6173.26
522,2012-06-06,6173.26
523,2012-06-07,6173.28
524,2012-06-08,6173.28
525,2012-06-09,6173.3
526,2012-06-10,6173.28
527,2012-06-11,6173.27
528,2012-06-12,6173.27
529,2012-06-13,6173.26
530,2012-06-14,6173.25
531,2012-06-15,6173.25
532,2012-06-16,6173.24
533,2012-06-17,6173.23
534,2012-06-18,6173.23
535,2012-06-19,6173.22
536,2012-06-20,6173.2
537,2012-06-21,6173.2
538,2012-06-22,6173.21
539,2012-06-23,6173.26
540,2012-06-24,6173.27
541,2012-06-25,6173.27
542,2012-06-26,6173.3
543,2012-06-27,6173.3
544,2012-06-28,6173.29
545,2012-06-29,6173.28
546,2012-06-30,6173.28
547,2012-07-01,6173.28
548,2012-07-02,6173.26
549,2012-07-03,6173.24
550,2012-07-04,6173.23
551,2012-07-05,6173.22
552,2012-07-06,6173.21
553,2012-07-07,6173.2
554,2012-07-08,6173.19
555,2012-07-09,6173.19
556,2012-07-10,6173.18
557,2012-07-11,6173.17
558,2012-07-12,6173.16
559,2012-07-13,6173.14
560,2012-07-14,6173.14
561,2012-07-15,6173.12
562,2012-07-16,6173.1
563,2012-07-17,6173.09
564,2012-07-18,6173.08
565,2012-07-19,6173.06
566,2012-07-20,6173.05
567,2012-07-21,6173.04
568,2012-07-22,6173.03
569,2012-07-23,6173.01
570,2012-07-24,6173.0
571,2012-07-25,6172.98
572,2012-07-26,6172.97
573,2012-07-27,6172.96
574,2012-07-28,6172.94
575,2012-07-29,6172.92
576,2012-07-30,6172.91
577,2012-07-31,6172.89
578,2012-08-01,6172.87
579,2012-08-02,6172.86
580,2012-08-03,6172.84
581,2012-08-04,6172.83
582,2012-08-05,6172.82
583,2012-08-06,6172.8
584,2012-08-07,6172.78
585,2012-08-08,6172.77
586,2012-08-09,6172.75
587,2012-08-10,6172.74
588,2012-08-11,6172.72
589,2012-08-12,6172.7
590,2012-08-13,6172.69
591,2012-08-14,6172.68
592,2012-08-15,6172.66
593,2012-08-16,6172.64
594,2012-08-17,6172.63
595,2012-08-18,6172.61
596,2012-08-19,6172.6
597,2012-08-20,6172.58
598,2012-08-21,6172.56
599,2012-08-22,6172.54
600,2012-08-23,6172.52
601,2012-08-24,6172.49
602,2012-08-25,6172.48
603,2012-08-26,6172.45
604,2012-08-27,6172.42
605,2012-08-28,6172.4
606,2012-08-29,6172.37
607,2012-08-30,6172.36
608,2012-08-31,6172.34
609,2012-09-01,6172.32
610,2012-09-02,6172.3
611,2012-09-03,6172.28
612,2012-09-04,6172.26
613,2012-09-05,6172.25
614,2012-09-06,6172.23
615,2012-09-07,6172.21
616,2012-09-08,6172.2
617,2012-09-09,6172.17
618,2012-09-10,6172.14
619,2012-09-11,6172.12
620,2012-09-12,6172.1
621,2012-09-13,6172.08
622,2012-09-14,6172.07
623,2012-09-15,6172.06
624,2012-09-16,6172.04
625,2012-09-17,6172.02
626,2012-09-18,6172.0
627,2012-09-19,6171.99
628,2012-09-20,6171.97
629,2012-09-21,6171.95
630,2012-09-22,6171.94
631,2012-09-23,6171.91
632,2012-09-24,6171.88
633,2012-09-25,6171.87
634,2012-09-26,6171.85
635,2012-09-27,6171.84
636,2012-09-28,6171.82
637,2012-09-29,6171.81
638,2012-09-30,6171.79
639,2012-10-01,6171.77
640,2012-10-02,6171.76
641,2012-10-03,6171.74
642,2012-10-04,6171.72
643,2012-10-05,6171.69
644,2012-10-06,6171.66
645,2012-10-07,6171.64
646,2012-10-08,6171.62
647,2012-10-09,6171.6
648,2012-10-10,6171.58
649,2012-10-11,6171.57
650,2012-10-12,6171.55
651,2012-10-13,6171.55
652,2012-10-14,6171.54
653,2012-10-15,6171.58
654,2012-10-16,6171.78
655,2012-10-17,6171.77
656,2012-10-18,6171.75
657,2012-10-19,6171.75
658,2012-10-20,6171.75
659,2012-10-21,6171.72
660,2012-10-22,6171.74
661,2012-10-23,6171.76
662,2012-10-24,6171.76
663,2012-10-25,6171.73
664,2012-10-26,6171.72
665,2012-10-27,6171.71
666,2012-10-28,6171.74
667,2012-10-29,6171.75
668,2012-10-30,6171.72
669,2012-10-31,6171.72
670,2012-11-01,6171.76
671,2012-11-02,6171.74
672,2012-11-03,6171.74
673,2012-11-04,6171.72
674,2012-11-05,6171.71
675,2012-11-06,6171.71
676,2012-11-07,6171.69
677,2012-11-08,6171.67
678,2012-11-09,6171.66
679,2012-11-10,6171.64
680,2012-11-11,6171.62
681,2012-11-12,6171.63
682,2012-11-13,6171.64
683,2012-11-14,6171.62
684,2012-11-15,6171.61
685,2012-11-16,6171.59
686,2012-11-17,6171.61
687,2012-11-18,6171.66
688,2012-11-19,6171.62
689,2012-11-20,6171.77
690,2012-11-21,6171.9
691,2012-11-22,6171.89
692,2012-11-23,6171.87
693,2012-11-24,6171.92
694,2012-11-25,6171.94
695,2012-11-26,6171.93
696,2012-11-27,6171.91
697,2012-11-28,6171.9
698,2012-11-29,6171.94
699,2012-11-30,6172.12
700,2012-12-01,6172.21
701,2012-12-02,6172.42
702,2012-12-03,6172.43
703,2012-12-04,6172.55
704,2012-12-05,6172.69
705,2012-12-06,6172.67
706,2012-12-07,6172.66
707,2012-12-08,6172.64
708,2012-12-09,6172.62
709,2012-12-10,6172.61
710,2012-12-11,6172.6
711,2012-12-12,6172.61
712,2012-12-13,6172.59
713,2012-12-14,6172.58
714,2012-12-15,6172.57
715,2012-12-16,6172.64
716,2012-12-17,6172.76
717,2012-12-18,6172.77
718,2012-12-19,6172.75
719,2012-12-20,6172.77
720,2012-12-21,6172.85
721,2012-12-22,6172.93
722,2012-12-23,6172.96
723,2012-12-24,6173.0
724,2012-12-25,6173.01
725,2012-12-26,6173.02
726,2012-12-27,6173.02
727,2012-12-28,6173.0
728,2012-12-29,6173.0
729,2012-12-30,6172.98
730,2012-12-31,6172.96
731,2013-01-01,6172.94
732,2013-01-02,6172.92
733,2013-01-03,6172.9
734,2013-01-04,6172.89
735,2013-01-05,6172.88
736,2013-01-06,6172.88
737,2013-01-07,6172.88
738,2013-01-08,6172.87
739,2013-01-09,6172.89
740,2013-01-10,6172.91
741,2013-01-11,6172.91
742,2013-01-12,6172.89
743,2013-01-13,6172.87
744,2013-01-14,6172.85
745,2013-01-15,6172.84
746,2013-01-16,6172.83
747,2013-01-17,6172.82
748,2013-01-18,6172.8
749,2013-01-19,6172.79
750,2013-01-20,6172.78
751,2013-01-21,6172.77
752,2013-01-22,6172.75
753,2013-01-23,6172.73
754,2013-01-24,6172.76
755,2013-01-25,6172.78
756,2013-01-26,6172.82
757,2013-01-27,6172.82
758,2013-01-28,6172.85
759,2013-01-29,6172.87
760,2013-01-30,6172.84
761,2013-01-31,6172.83
762,2013-02-01,6172.82
763,2013-02-02,6172.81
764,2013-02-03,6172.8
765,2013-02-04,6172.78
766,2013-02-05,6172.78
767,2013-02-06,6172.77
768,2013-02-07,6172.76
769,2013-02-08,6172.75
770,2013-02-09,6172.72
771,2013-02-10,6172.71
772,2013-02-11,6172.69
773,2013-02-12,6172.68
774,2013-02-13,6172.66
775,2013-02-14,6172.65
776,2013-02-15,6172.63
777,2013-02-16,6172.62
778,2013-02-17,6172.6
779,2013-02-18,6172.59
780,2013-02-19,6172.58
781,2013-02-20,6172.57
782,2013-02-21,6172.56
783,2013-02-22,6172.58
784,2013-02-23,6172.61
785,2013-02-24,6172.59
786,2013-02-25,6172.6
787,2013-02-26,6172.59
788,2013-02-27,6172.57
789,2013-02-28,6172.59
790,2013-03-01,6172.59
791,2013-03-02,6172.58
792,2013-03-03,6172.57
793,2013-03-04,6172.56
794,2013-03-05,6172.54
795,2013-03-06,6172.64
796,2013-03-07,6172.65
797,2013-03-08,6172.64
798,2013-03-09,6172.63
799,2013-03-10,6172.62
800,2013-03-11,6172.6
801,2013-03-12,6172.59
802,2013-03-13,6172.58
803,2013-03-14,6172.56
804,2013-03-15,6172.55
805,2013-03-16,6172.55
806,2013-03-17,6172.57
807,2013-03-18,6172.55
808,2013-03-19,6172.54
809,2013-03-20,6172.63
810,2013-03-21,6172.66
811,2013-03-22,6172.64
812,2013-03-23,6172.62
813,2013-03-24,6172.61
814,2013-03-25,6172.59
815,2013-03-26,6172.59
816,2013-03-27,6172.58
817,2013-03-28,6172.58
818,2013-03-29,6172.57
819,2013-03-30,6172.56
820,2013-03-31,6172.56
821,2013-04-01,6172.58
822,2013-04-02,6172.58
823,2013-04-03,6172.56
824,2013-04-04,6172.58
825,2013-04-05,6172.62
826,2013-04-06,6172.66
827,2013-04-07,6172.75
828,2013-04-08,6172.78
829,2013-04-09,6172.76
830,2013-04-10,6172.76
831,2013-04-11,6172.75
832,2013-04-12,6172.75
833,2013-04-13,6172.74
834,2013-04-14,6172.72
835,2013-04-15,6172.72
836,2013-04-16,6172.71
837,2013-04-17,6172.7
838,2013-04-18,6172.68
839,2013-04-19,6172.7
840,2013-04-20,6172.7
841,2013-04-21,6172.69
842,2013-04-22,6172.68
843,2013-04-23,6172.66
844,2013-04-24,6172.64
845,2013-04-25,6172.63
846,2013-04-26,6172.62
847,2013-04-27,6172.61
848,2013-04-28,6172.6
849,2013-04-29,6172.6
850,2013-04-30,6172.58
851,2013-05-01,6172.56
852,2013-05-02,6172.55
853,2013-05-03,6172.54
854,2013-05-04,6172.53
855,2013-05-05,6172.51
856,2013-05-06,6172.53
857,2013-05-07,6172.59
858,2013-05-08,6172.61
859,2013-05-09,6172.64
860,2013-05-10,6172.64
861,2013-05-11,6172.64
862,2013-05-12,6172.64
863,2013-05-13,6172.64
864,2013-05-14,6172.63
865,2013-05-15,6172.63
866,2013-05-16,6172.63
867,2013-05-17,6172.63
868,2013-05-18,6172.63
869,2013-05-19,6172.62
870,2013-05-20,6172.62
871,2013-05-21,6172.64
872,2013-05-22,6172.67
873,2013-05-23,6172.65
874,2013-05-24,6172.64
875,2013-05-25,6172.63
876,2013-05-26,6172.64
877,2013-05-27,6172.67
878,2013-05-28,6172.73
879,2013-05-29,6172.77
880,2013-05-30,6172.78
881,2013-05-31,6172.77
882,2013-06-01,6172.76
883,2013-06-02,6172.75
884,2013-06-03,6172.74
885,2013-06-04,6172.74
886,2013-06-05,6172.74
887,2013-06-06,6172.73
888,2013-06-07,6172.72
