,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
163,2011-06-13,1045.19
164,2011-06-14,1044.46
165,2011-06-15,1044.46
166,2011-06-16,1044.4
167,2011-06-17,1044.59
168,2011-06-18,1045.09
169,2011-06-19,1044.91
170,2011-06-20,1045.03
171,2011-06-21,1044.77
172,2011-06-22,1044.94
173,2011-06-23,1044.84
174,2011-06-24,1045.04
175,2011-06-25,1045.08
176,2011-06-26,1045.23
177,2011-06-27,1045.33
178,2011-06-28,1045.07
179,2011-06-29,1045.21
180,2011-06-30,1045.14
181,2011-07-01,1045.18
182,2011-07-02,1045.14
183,2011-07-03,1045.25
184,2011-07-04,1045.12
185,2011-07-05,1045.15
186,2011-07-06,1045.14
187,2011-07-07,1045.15
188,2011-07-08,1045.08
189,2011-07-09,1045.14
190,2011-07-10,1045.15
191,2011-07-11,1044.67
192,2011-07-12,1044.38
193,2011-07-13,1044.48
194,2011-07-14,1044.46
195,2011-07-15,1044.38
196,2011-07-16,1044.39
197,2011-07-17,1044.77
198,2011-07-18,1044.68
199,2011-07-19,1044.74
200,2011-07-20,1044.6
201,2011-07-21,1044.71
202,2011-07-22,1044.86
203,2011-07-23,1044.9
204,2011-07-24,1044.78
205,2011-07-25,1044.66
206,2011-07-26,1044.39
207,2011-07-27,1044.26
208,2011-07-28,1043.97
209,2011-07-29,1043.8
210,2011-07-30,1043.38
211,2011-07-31,1043.19
212,2011-08-01,1042.87
213,2011-08-02,1042.66
214,2011-08-03,1042.24
215,2011-08-04,1042.18
216,2011-08-05,1042.06
217,2011-08-06,1042.6
218,2011-08-07,1043.11
219,2011-08-08,1043.19
220,2011-08-09,1043.29
221,2011-08-10,1043.17
222,2011-08-11,1043.05
223,2011-08-12,1042.91
224,2011-08-13,1042.69
225,2011-08-14,1042.57
226,2011-08-15,1042.34
227,2011-08-16,1042.0
228,2011-08-17,1041.05
229,2011-08-18,1040.66
230,2011-08-19,1040.1
231,2011-08-20,1039.56
232,2011-08-21,1038.86
233,2011-08-22,1038.71
234,2011-08-23,1039.2
235,2011-08-24,1039.64
236,2011-08-25,1040.04
237,2011-08-26,1040.46
238,2011-08-27,1040.85
239,2011-08-28,1041.23
240,2011-08-29,1041.5900000000001
241,2011-08-30,1041.95
242,2011-08-31,1042.33
243,2011-09-01,1042.02
244,2011-09-02,1038.39
245,2011-09-03,1035.52
246,2011-09-04,1032.6
247,2011-09-05,1029.34
248,2011-09-06,1028.59
249,2011-09-07,1027.82
250,2011-09-08,1027.03
251,2011-09-09,1026.27
252,2011-09-10,1025.35
253,2011-09-11,1024.57
254,2011-09-12,1023.75
255,2011-09-13,1022.89
256,2011-09-14,1023.27
257,2011-09-15,1023.66
258,2011-09-16,1024.06
259,2011-09-17,1024.45
260,2011-09-18,1024.99
261,2011-09-19,1025.6
262,2011-09-20,1026.06
263,2011-09-21,1026.46
264,2011-09-22,1026.84
265,2011-09-23,1027.22
266,2011-09-24,1027.59
267,2011-09-25,1026.63
268,2011-09-26,1025.85
269,2011-09-27,1025.45
270,2011-09-28,1023.57
271,2011-09-29,1020.75
272,2011-09-30,1017.87
273,2011-10-01,1014.31
274,2011-10-02,1010.64
275,2011-10-03,1008.23
276,2011-10-04,1006.29
277,2011-10-05,1005.5
278,2011-10-06,1005.67
279,2011-10-07,1006.23
280,2011-10-08,1006.47
281,2011-10-09,1006.31
282,2011-10-10,1006.6
283,2011-10-11,1009.42
284,2011-10-12,1011.45
285,2011-10-13,1012.43
286,2011-10-14,1013.11
287,2011-10-15,1013.66
288,2011-10-16,1013.76
289,2011-10-17,1013.96
