,datetime,DETROIT_LAKE_NEAR_DETROIT__OR.tsv
391,2014-08-25,1553.46
392,2014-08-26,1553.24
393,2014-08-27,1553.0
394,2014-08-28,1552.79
395,2014-08-29,1552.55
396,2014-08-30,1552.37
397,2014-08-31,1552.17
398,2014-09-01,1551.86
399,2014-09-02,1551.5
400,2014-09-03,1551.23
401,2014-09-04,1550.91
402,2014-09-05,1550.57
403,2014-09-06,1550.21
404,2014-09-07,1549.86
405,2014-09-08,1549.5
406,2014-09-09,1549.16
407,2014-09-10,1548.82
408,2014-09-11,1548.46
409,2014-09-12,1548.07
410,2014-09-13,1547.71
411,2014-09-14,1547.35
412,2014-09-15,1546.99
413,2014-09-16,1546.66
414,2014-09-17,1546.27
415,2014-09-18,1545.91
416,2014-09-19,1545.47
417,2014-09-20,1545.0
418,2014-09-21,1544.4
419,2014-09-22,1543.84
420,2014-09-23,1543.26
421,2014-09-24,1542.9
422,2014-09-25,1542.41
423,2014-09-26,1541.89
424,2014-09-27,1541.27
425,2014-09-28,1540.65
426,2014-09-29,1539.84
427,2014-09-30,1539.05
428,2014-10-01,1538.16
429,2014-10-02,1537.04
430,2014-10-03,1535.82
431,2014-10-04,1534.42
432,2014-10-05,1532.85
433,2014-10-06,1531.28
434,2014-10-07,1529.64
435,2014-10-08,1528.01
436,2014-10-09,1526.39
437,2014-10-10,1524.7
438,2014-10-11,1522.97
439,2014-10-12,1521.24
440,2014-10-13,1519.46
441,2014-10-14,1517.81
442,2014-10-15,1516.11
443,2014-10-16,1514.35
444,2014-10-17,1512.66
445,2014-10-18,1510.69
446,2014-10-19,1508.79
447,2014-10-20,1507.25
448,2014-10-21,1505.46
449,2014-10-22,1504.01
450,2014-10-23,1503.83
451,2014-10-24,1502.83
452,2014-10-25,1501.17
453,2014-10-26,1500.25
454,2014-10-27,1499.32
455,2014-10-28,1498.0
456,2014-10-29,1495.86
457,2014-10-30,1493.43
458,2014-10-31,1492.24
459,2014-11-01,1490.21
460,2014-11-02,1487.89
461,2014-11-03,1485.67
462,2014-11-04,1484.16
463,2014-11-05,1483.48
464,2014-11-06,1482.11
465,2014-11-07,1480.79
466,2014-11-08,1479.13
467,2014-11-09,1477.39
468,2014-11-10,1475.59
469,2014-11-11,1473.67
470,2014-11-12,1471.56
471,2014-11-13,1469.99
472,2014-11-14,1470.68
473,2014-11-15,1470.5
474,2014-11-16,1469.82
475,2014-11-17,1468.85
476,2014-11-18,1466.87
477,2014-11-19,1464.75
478,2014-11-20,1463.24
479,2014-11-21,1463.22
480,2014-11-22,1470.1
481,2014-11-23,1472.85
482,2014-11-24,1474.74
483,2014-11-25,1476.07
484,2014-11-26,1476.35
485,2014-11-27,1473.84
486,2014-11-28,1474.93
487,2014-11-29,1477.8
488,2014-11-30,1476.52
489,2014-12-01,1473.85
490,2014-12-02,1470.55
491,2014-12-03,1466.7
492,2014-12-04,1463.33
493,2014-12-05,1460.44
494,2014-12-06,1458.0
495,2014-12-07,1455.83
496,2014-12-08,1454.47
497,2014-12-09,1453.36
498,2014-12-10,1453.16
499,2014-12-11,1453.53
500,2014-12-12,1453.08
501,2014-12-13,1452.43
502,2014-12-14,1451.63
503,2014-12-15,1450.58
504,2014-12-16,1449.84
505,2014-12-17,1449.41
506,2014-12-18,1449.15
507,2014-12-19,1449.14
508,2014-12-20,1455.45
509,2014-12-21,1480.68
510,2014-12-22,1494.05
511,2014-12-23,1494.74
512,2014-12-24,1492.7
513,2014-12-25,1489.45
514,2014-12-26,1484.94
515,2014-12-27,1479.67
516,2014-12-28,1474.35
517,2014-12-29,1468.36
518,2014-12-30,1460.97
519,2014-12-31,1456.51
520,2015-01-01,1453.92
521,2015-01-02,1452.77
522,2015-01-03,1451.67
523,2015-01-04,1451.56
524,2015-01-05,1451.79
525,2015-01-06,1452.26
526,2015-01-07,1453.05
527,2015-01-08,1453.72
528,2015-01-09,1454.36
529,2015-01-10,1454.75
530,2015-01-11,1455.0
531,2015-01-12,1455.09
532,2015-01-13,1455.18
533,2015-01-14,1455.0
534,2015-01-15,1454.89
535,2015-01-16,1456.46
536,2015-01-17,1460.63
537,2015-01-18,1470.07
538,2015-01-19,1474.81
539,2015-01-20,1477.35
540,2015-01-21,1478.32
541,2015-01-22,1478.61
542,2015-01-23,1477.72
543,2015-01-24,1476.45
544,2015-01-25,1474.84
545,2015-01-26,1473.05
546,2015-01-27,1471.54
547,2015-01-28,1470.48
548,2015-01-29,1469.42
549,2015-01-30,1468.68
550,2015-01-31,1468.8
551,2015-02-01,1469.24
552,2015-02-02,1469.94
553,2015-02-03,1470.75
554,2015-02-04,1471.68
555,2015-02-05,1471.38
556,2015-02-06,1469.58
557,2015-02-07,1470.52
558,2015-02-08,1471.03
559,2015-02-09,1471.37
560,2015-02-10,1474.91
561,2015-02-11,1477.29
562,2015-02-12,1478.44
563,2015-02-13,1479.05
564,2015-02-14,1479.88
565,2015-02-15,1480.98
566,2015-02-16,1481.83
567,2015-02-17,1482.56
568,2015-02-18,1483.14
569,2015-02-19,1483.62
570,2015-02-20,1484.1
571,2015-02-21,1484.55
572,2015-02-22,1484.92
573,2015-02-23,1485.23
574,2015-02-24,1485.49
575,2015-02-25,1485.73
576,2015-02-26,1485.98
577,2015-02-27,1486.4
578,2015-02-28,1486.67
579,2015-03-01,1486.84
580,2015-03-02,1487.02
581,2015-03-03,1487.21
582,2015-03-04,1487.28
583,2015-03-05,1487.33
584,2015-03-06,1487.35
585,2015-03-07,1487.36
586,2015-03-08,1487.34
587,2015-03-09,1487.31
588,2015-03-10,1487.33
589,2015-03-11,1487.24
590,2015-03-12,1487.28
591,2015-03-13,1487.22
592,2015-03-14,1487.53
593,2015-03-15,1489.17
594,2015-03-16,1490.47
595,2015-03-17,1491.18
596,2015-03-18,1491.59
597,2015-03-19,1491.84
598,2015-03-20,1492.09
599,2015-03-21,1492.41
600,2015-03-22,1492.49
601,2015-03-23,1492.92
602,2015-03-24,1493.81
603,2015-03-25,1494.81
604,2015-03-26,1495.77
605,2015-03-27,1496.55
606,2015-03-28,1497.37
607,2015-03-29,1497.95
608,2015-03-30,1498.39
609,2015-03-31,1499.04
610,2015-04-01,1499.62
611,2015-04-02,1500.28
612,2015-04-03,1500.83
613,2015-04-04,1501.28
614,2015-04-05,1501.68
615,2015-04-06,1502.06
616,2015-04-07,1502.34
617,2015-04-08,1502.71
618,2015-04-09,1503.03
619,2015-04-10,1503.29
620,2015-04-11,1503.63
621,2015-04-12,1503.97
622,2015-04-13,1504.36
623,2015-04-14,1504.79
624,2015-04-15,1505.18
625,2015-04-16,1505.56
626,2015-04-17,1505.94
627,2015-04-18,1506.4
628,2015-04-19,1506.82
629,2015-04-20,1507.23
630,2015-04-21,1507.52
631,2015-04-22,1507.82
632,2015-04-23,1508.01
633,2015-04-24,1508.15
634,2015-04-25,1508.4
635,2015-04-26,1508.61
636,2015-04-27,1508.77
637,2015-04-28,1508.89
638,2015-04-29,1509.0
639,2015-04-30,1509.2
640,2015-05-01,1509.31
641,2015-05-02,1509.26
642,2015-05-03,1509.2
643,2015-05-04,1509.1
644,2015-05-05,1509.0
645,2015-05-06,1508.95
646,2015-05-07,1508.9
647,2015-05-08,1508.91
648,2015-05-09,1508.72
649,2015-05-10,1508.51
650,2015-05-11,1508.41
651,2015-05-12,1508.38
652,2015-05-13,1508.32
653,2015-05-14,1508.19
654,2015-05-15,1508.06
655,2015-05-16,1507.97
656,2015-05-17,1507.87
657,2015-05-18,1507.79
658,2015-05-19,1507.68
659,2015-05-20,1507.66
660,2015-05-21,1507.6
661,2015-05-22,1507.72
662,2015-05-23,1507.74
663,2015-05-24,1507.75
664,2015-05-25,1507.71
665,2015-05-26,1507.63
666,2015-05-27,1507.57
667,2015-05-28,1507.36
668,2015-05-29,1507.21
669,2015-05-30,1507.12
670,2015-05-31,1506.94
671,2015-06-01,1506.76
672,2015-06-02,1506.58
673,2015-06-03,1506.4
674,2015-06-04,1506.22
675,2015-06-05,1505.99
676,2015-06-06,1505.78
677,2015-06-07,1505.53
678,2015-06-08,1505.29
679,2015-06-09,1505.04
680,2015-06-10,1504.83
681,2015-06-11,1504.6
682,2015-06-12,1504.37
683,2015-06-13,1504.08
684,2015-06-14,1503.72
685,2015-06-15,1503.33
686,2015-06-16,1503.04
687,2015-06-17,1502.71
688,2015-06-18,1502.36
689,2015-06-19,1502.04
690,2015-06-20,1501.72
691,2015-06-21,1501.39
692,2015-06-22,1501.04
693,2015-06-23,1500.65
694,2015-06-24,1500.24
695,2015-06-25,1499.9
696,2015-06-26,1499.57
697,2015-06-27,1499.18
698,2015-06-28,1498.75
699,2015-06-29,1498.43
700,2015-06-30,1498.09
701,2015-07-01,1497.67
702,2015-07-02,1497.23
703,2015-07-03,1496.79
704,2015-07-04,1496.37
705,2015-07-05,1495.89
706,2015-07-06,1495.47
707,2015-07-07,1495.04
708,2015-07-08,1494.61
709,2015-07-09,1494.18
710,2015-07-10,1493.83
711,2015-07-11,1493.43
712,2015-07-12,1493.01
713,2015-07-13,1492.6
714,2015-07-14,1492.27
715,2015-07-15,1491.65
716,2015-07-16,1491.18
717,2015-07-17,1490.8
718,2015-07-18,1490.25
719,2015-07-19,1489.75
720,2015-07-20,1489.37
721,2015-07-21,1488.98
722,2015-07-22,1488.53
723,2015-07-23,1488.1
724,2015-07-24,1487.74
725,2015-07-25,1487.31
726,2015-07-26,1486.91
727,2015-07-27,1486.54
728,2015-07-28,1486.07
729,2015-07-29,1485.64
730,2015-07-30,1485.12
731,2015-07-31,1484.67
732,2015-08-01,1484.21
733,2015-08-02,1483.82
734,2015-08-03,1483.41
735,2015-08-04,1482.94
736,2015-08-05,1482.44
737,2015-08-06,1481.97
738,2015-08-07,1481.5
739,2015-08-08,1481.11
740,2015-08-09,1480.68
741,2015-08-10,1480.27
742,2015-08-11,1479.86
743,2015-08-12,1479.44
744,2015-08-13,1478.99
745,2015-08-14,1478.53
746,2015-08-15,1478.05
747,2015-08-16,1477.54
748,2015-08-17,1477.05
749,2015-08-18,1476.57
750,2015-08-19,1476.04
751,2015-08-20,1475.54
752,2015-08-21,1474.99
753,2015-08-22,1474.5
754,2015-08-23,1474.02
755,2015-08-24,1473.55
756,2015-08-25,1473.11
757,2015-08-26,1472.55
758,2015-08-27,1472.06
759,2015-08-28,1471.52
760,2015-08-29,1471.02
761,2015-08-30,1470.64
762,2015-08-31,1470.21
763,2015-09-01,1469.71
764,2015-09-02,1469.33
765,2015-09-03,1468.88
766,2015-09-04,1468.32
767,2015-09-05,1467.83
768,2015-09-06,1467.34
769,2015-09-07,1466.87
770,2015-09-08,1466.4
771,2015-09-09,1465.87
772,2015-09-10,1465.26
773,2015-09-11,1464.71
774,2015-09-12,1464.06
775,2015-09-13,1463.3
776,2015-09-14,1462.56
777,2015-09-15,1461.83
778,2015-09-16,1461.13
779,2015-09-17,1460.53
780,2015-09-18,1459.88
781,2015-09-19,1459.05
782,2015-09-20,1458.12
783,2015-09-21,1457.3
784,2015-09-22,1456.4
785,2015-09-23,1455.52
786,2015-09-24,1454.6
787,2015-09-25,1453.67
788,2015-09-26,1452.79
789,2015-09-27,1451.83
790,2015-09-28,1450.89
791,2015-09-29,1449.93
792,2015-09-30,1449.09
793,2015-10-01,1448.03
794,2015-10-02,1447.03
795,2015-10-03,1446.17
796,2015-10-04,1445.23
797,2015-10-05,1444.4
798,2015-10-06,1443.42
799,2015-10-07,1442.74
800,2015-10-08,1441.76
801,2015-10-09,1440.87
802,2015-10-10,1440.01
803,2015-10-11,1439.17
804,2015-10-12,1438.26
805,2015-10-13,1437.77
806,2015-10-14,1437.02
807,2015-10-15,1435.59
808,2015-10-16,1434.79
809,2015-10-17,1434.07
810,2015-10-18,1433.32
811,2015-10-19,1432.6
812,2015-10-20,1431.84
813,2015-10-21,1431.15
814,2015-10-22,1430.33
815,2015-10-23,1429.68
816,2015-10-24,1428.95
817,2015-10-25,1428.27
818,2015-10-26,1427.7
819,2015-10-27,1426.99
820,2015-10-28,1426.32
821,2015-10-29,1425.86
822,2015-10-30,1426.0
823,2015-10-31,1428.62
824,2015-11-01,1432.86
825,2015-11-02,1433.96
826,2015-11-03,1434.55
827,2015-11-04,1434.77
828,2015-11-05,1434.52
829,2015-11-06,1434.37
830,2015-11-07,1434.05
831,2015-11-08,1434.33
832,2015-11-09,1434.68
833,2015-11-10,1434.82
834,2015-11-11,1434.77
835,2015-11-12,1434.71
836,2015-11-13,1435.23
837,2015-11-14,1435.81
838,2015-11-15,1436.31
839,2015-11-16,1436.52
840,2015-11-17,1440.77
841,2015-11-18,1447.29
842,2015-11-19,1453.83
843,2015-11-20,1457.61
844,2015-11-21,1459.47
845,2015-11-22,1460.47
846,2015-11-23,1461.15
847,2015-11-24,1461.69
848,2015-11-25,1462.12
849,2015-11-26,1462.07
850,2015-11-27,1461.88
851,2015-11-28,1461.6
852,2015-11-29,1461.32
853,2015-11-30,1461.01
854,2015-12-01,1460.63
855,2015-12-02,1460.75
856,2015-12-03,1460.67
857,2015-12-04,1459.66
858,2015-12-05,1457.71
859,2015-12-06,1456.16
860,2015-12-07,1467.28
861,2015-12-08,1476.48
862,2015-12-09,1485.32
863,2015-12-10,1490.45
864,2015-12-11,1490.01
865,2015-12-12,1489.72
866,2015-12-13,1491.35
867,2015-12-14,1490.21
868,2015-12-15,1487.52
869,2015-12-16,1485.45
870,2015-12-17,1490.25
871,2015-12-18,1502.61
872,2015-12-19,1507.49
873,2015-12-20,1510.04
874,2015-12-21,1512.4
875,2015-12-22,1514.79
876,2015-12-23,1511.93
877,2015-12-24,1507.24
878,2015-12-25,1501.88
879,2015-12-26,1495.99
880,2015-12-27,1489.62
881,2015-12-28,1482.77
882,2015-12-29,1476.42
883,2015-12-30,1472.23
884,2015-12-31,1469.3
885,2016-01-01,1466.97
886,2016-01-02,1464.55
887,2016-01-03,1462.1
888,2016-01-04,1459.75
889,2016-01-05,1457.43
890,2016-01-06,1455.46
891,2016-01-07,1454.61
892,2016-01-08,1454.34
893,2016-01-09,1453.93
894,2016-01-10,1453.3
895,2016-01-11,1452.83
896,2016-01-12,1453.03
897,2016-01-13,1454.97
898,2016-01-14,1455.65
899,2016-01-15,1454.12
900,2016-01-16,1454.25
901,2016-01-17,1456.07
902,2016-01-18,1457.73
903,2016-01-19,1459.2
