,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
321,2014-06-18,1539.61
322,2014-06-19,1539.5
323,2014-06-20,1538.97
324,2014-06-21,1538.01
325,2014-06-22,1537.0
326,2014-06-23,1535.95
327,2014-06-24,1534.89
328,2014-06-25,1533.89
329,2014-06-26,1532.97
330,2014-06-27,1532.0
331,2014-06-28,1531.15
332,2014-06-29,1530.47
333,2014-06-30,1529.77
334,2014-07-01,1529.06
335,2014-07-02,1528.4
336,2014-07-03,1527.99
337,2014-07-04,1527.82
338,2014-07-05,1527.63
339,2014-07-06,1527.43
340,2014-07-07,1527.22
341,2014-07-08,1527.02
342,2014-07-09,1526.8
343,2014-07-10,1526.58
344,2014-07-11,1526.35
345,2014-07-12,1526.13
346,2014-07-13,1525.9
347,2014-07-14,1525.67
348,2014-07-15,1525.43
349,2014-07-16,1524.99
350,2014-07-17,1524.34
351,2014-07-18,1523.69
352,2014-07-19,1523.04
353,2014-07-20,1522.38
354,2014-07-21,1521.73
355,2014-07-22,1521.08
356,2014-07-23,1520.53
357,2014-07-24,1519.89
358,2014-07-25,1519.25
359,2014-07-26,1518.6
360,2014-07-27,1517.94
361,2014-07-28,1517.29
362,2014-07-29,1516.47
363,2014-07-30,1515.56
364,2014-07-31,1514.66
365,2014-08-01,1513.73
366,2014-08-02,1512.81
367,2014-08-03,1511.88
368,2014-08-04,1510.94
369,2014-08-05,1510.0
370,2014-08-06,1509.04
371,2014-08-07,1508.08
372,2014-08-08,1507.11
373,2014-08-09,1506.15
374,2014-08-10,1505.19
375,2014-08-11,1504.22
376,2014-08-12,1503.28
377,2014-08-13,1502.33
378,2014-08-14,1501.38
379,2014-08-15,1500.39
380,2014-08-16,1499.37
381,2014-08-17,1498.32
382,2014-08-18,1497.22
383,2014-08-19,1496.12
384,2014-08-20,1495.0
385,2014-08-21,1493.98
386,2014-08-22,1493.36
387,2014-08-23,1492.87
388,2014-08-24,1492.37
389,2014-08-25,1491.87
390,2014-08-26,1491.37
391,2014-08-27,1490.87
392,2014-08-28,1490.37
393,2014-08-29,1489.86
394,2014-08-30,1489.37
395,2014-08-31,1488.87
396,2014-09-01,1488.36
397,2014-09-02,1487.83
398,2014-09-03,1487.5
399,2014-09-04,1487.31
400,2014-09-05,1487.11
401,2014-09-06,1486.91
402,2014-09-07,1486.71
403,2014-09-08,1486.51
404,2014-09-09,1486.31
405,2014-09-10,1486.11
406,2014-09-11,1485.92
407,2014-09-12,1485.71
408,2014-09-13,1485.51
409,2014-09-14,1485.3
410,2014-09-15,1485.1
411,2014-09-16,1484.9
412,2014-09-17,1484.72
413,2014-09-18,1484.51
414,2014-09-19,1484.3
415,2014-09-20,1484.1
416,2014-09-21,1483.89
417,2014-09-22,1483.68
418,2014-09-23,1483.48
419,2014-09-24,1483.41
420,2014-09-25,1483.35
421,2014-09-26,1483.19
422,2014-09-27,1483.01
423,2014-09-28,1482.82
424,2014-09-29,1482.64
425,2014-09-30,1482.46
426,2014-10-01,1482.27
427,2014-10-02,1482.07
428,2014-10-03,1481.87
429,2014-10-04,1481.67
430,2014-10-05,1481.46
431,2014-10-06,1481.26
432,2014-10-07,1481.06
433,2014-10-08,1480.85
434,2014-10-09,1480.65
435,2014-10-10,1480.43
436,2014-10-11,1480.23
437,2014-10-12,1480.02
438,2014-10-13,1479.81
439,2014-10-14,1479.63
440,2014-10-15,1479.57
441,2014-10-16,1479.43
442,2014-10-17,1479.26
443,2014-10-18,1479.08
444,2014-10-19,1478.89
445,2014-10-20,1478.82
446,2014-10-21,1478.68
447,2014-10-22,1478.58
448,2014-10-23,1479.03
449,2014-10-24,1479.13
450,2014-10-25,1479.09
451,2014-10-26,1479.42
452,2014-10-27,1479.43
453,2014-10-28,1479.23
454,2014-10-29,1479.01
455,2014-10-30,1478.9
456,2014-10-31,1480.19
457,2014-11-01,1480.58
458,2014-11-02,1480.61
459,2014-11-03,1480.49
460,2014-11-04,1480.41
