,datetime,BULL_RUN_LAKE_NEAR_BRIGHTWOOD__OR.
377,2012-01-13,3173.98
378,2012-01-14,3174.04
379,2012-01-15,3173.98
380,2012-01-16,3173.97
381,2012-01-17,3174.09
382,2012-01-18,3174.49
383,2012-01-19,3175.53
384,2012-01-20,3176.11
385,2012-01-21,3176.52
386,2012-01-22,3176.67
387,2012-01-23,3176.73
388,2012-01-24,3177.24
389,2012-01-25,3177.68
390,2012-01-26,3177.96
391,2012-01-27,3178.03
392,2012-01-28,3178.05
393,2012-01-29,3178.25
394,2012-01-30,3178.53
395,2012-01-31,3178.6
396,2012-02-01,3178.67
397,2012-02-02,3178.6
398,2012-02-03,3178.61
399,2012-02-04,3178.54
400,2012-02-05,3178.5
401,2012-02-06,3178.43
402,2012-02-07,3178.34
403,2012-02-08,3178.29
404,2012-02-09,3178.25
405,2012-02-10,3178.26
406,2012-02-11,3178.19
407,2012-02-12,3178.13
408,2012-02-13,3178.07
409,2012-02-14,3178.06
410,2012-02-15,3177.99
411,2012-02-16,3177.92
412,2012-02-17,3177.83
413,2012-02-18,3178.01
414,2012-02-19,3177.94
415,2012-02-20,3178.01
416,2012-02-21,3178.29
417,2012-02-22,3178.96
418,2012-02-23,3179.13
419,2012-02-24,3179.25
420,2012-02-25,3179.34
421,2012-02-26,3179.36
422,2012-02-27,3179.32
423,2012-02-28,3179.32
424,2012-02-29,3179.28
425,2012-03-01,3179.33
426,2012-03-02,3179.31
427,2012-03-03,3179.3
428,2012-03-04,3179.28
429,2012-03-05,3179.31
430,2012-03-06,3179.24
431,2012-03-07,3179.19
432,2012-03-08,3179.11
433,2012-03-09,3179.05
434,2012-03-10,3179.03
435,2012-03-11,3179.02
436,2012-03-12,3179.05
437,2012-03-13,3179.04
438,2012-03-14,3179.15
439,2012-03-15,3179.57
440,2012-03-16,3179.72
441,2012-03-17,3179.8
442,2012-03-18,3179.82
443,2012-03-19,3179.79
444,2012-03-20,3179.99
445,2012-03-21,3180.08
446,2012-03-22,3180.04
447,2012-03-23,3180.02
448,2012-03-24,3179.91
449,2012-03-25,3179.83
450,2012-03-26,3179.76
451,2012-03-27,3179.67
452,2012-03-28,3179.62
453,2012-03-29,3179.79
454,2012-03-30,3180.56
455,2012-03-31,3180.66
456,2012-04-01,3180.68
457,2012-04-02,3180.59
458,2012-04-03,3180.53
459,2012-04-04,3180.48
460,2012-04-05,3180.42
461,2012-04-06,3180.35
462,2012-04-07,3180.29
463,2012-04-08,3180.11
464,2012-04-09,3180.11
465,2012-04-10,3180.1
466,2012-04-11,3180.09
467,2012-04-12,3180.09
468,2012-04-13,3180.05
469,2012-04-14,3180.01
470,2012-04-15,3179.95
471,2012-04-16,3180.18
472,2012-04-17,3180.26
473,2012-04-18,3180.32
474,2012-04-19,3180.48
475,2012-04-20,3180.7
476,2012-04-21,3180.78
477,2012-04-22,3180.88
478,2012-04-23,3181.0
479,2012-04-24,3180.99
480,2012-04-25,3180.99
481,2012-04-26,3181.07
482,2012-04-27,3180.97
483,2012-04-28,3180.82
484,2012-04-29,3180.67
485,2012-04-30,3180.88
486,2012-05-01,3180.77
487,2012-05-02,3180.68
488,2012-05-03,3180.79
489,2012-05-04,3180.85
490,2012-05-05,3180.72
491,2012-05-06,3180.61
492,2012-05-07,3180.54
493,2012-05-08,3180.49
494,2012-05-09,3180.45
495,2012-05-10,3180.4
496,2012-05-11,3180.36
497,2012-05-12,3180.3
498,2012-05-13,3180.29
499,2012-05-14,3180.33
500,2012-05-15,3180.39
501,2012-05-16,3180.4
502,2012-05-17,3180.37
503,2012-05-18,3180.34
504,2012-05-19,3180.29
505,2012-05-20,3180.25
506,2012-05-21,3180.38
507,2012-05-22,3180.52
508,2012-05-23,3180.57
509,2012-05-24,3180.64
510,2012-05-25,3180.59
511,2012-05-26,3180.51
512,2012-05-27,3180.46
513,2012-05-28,3180.41
514,2012-05-29,3180.34
515,2012-05-30,3180.3
516,2012-05-31,3180.25
517,2012-06-01,3180.29
518,2012-06-02,3180.32
519,2012-06-03,3180.29
520,2012-06-04,3180.38
521,2012-06-05,3180.44
522,2012-06-06,3180.4
523,2012-06-07,3180.44
524,2012-06-08,3180.52
525,2012-06-09,3180.51
526,2012-06-10,3180.47
527,2012-06-11,3180.4
528,2012-06-12,3180.41
529,2012-06-13,3180.4
530,2012-06-14,3180.34
531,2012-06-15,3180.28
532,2012-06-16,3180.22
533,2012-06-17,3180.17
534,2012-06-18,3180.3
535,2012-06-19,3180.28
536,2012-06-20,3180.23
537,2012-06-21,3180.16
538,2012-06-22,3180.13
539,2012-06-23,3180.11
540,2012-06-24,3180.05
541,2012-06-25,3179.97
542,2012-06-26,3180.02
543,2012-06-27,3179.96
544,2012-06-28,3179.87
545,2012-06-29,3179.8
546,2012-06-30,3179.74
547,2012-07-01,3179.66
548,2012-07-02,3179.58
549,2012-07-03,3179.58
550,2012-07-04,3179.48
551,2012-07-05,3179.39
552,2012-07-06,3179.3
553,2012-07-07,3179.2
554,2012-07-08,3179.15
555,2012-07-09,3179.0
556,2012-07-10,3178.89
557,2012-07-11,3178.78
558,2012-07-12,3178.67
559,2012-07-13,3178.55
560,2012-07-14,3178.44
561,2012-07-15,3178.33
562,2012-07-16,3178.22
563,2012-07-17,3178.11
564,2012-07-18,3178.0
565,2012-07-19,3177.9
566,2012-07-20,3177.8
567,2012-07-21,3177.69
568,2012-07-22,3177.59
569,2012-07-23,3177.45
570,2012-07-24,3177.34
571,2012-07-25,3177.22
572,2012-07-26,3177.1
573,2012-07-27,3176.98
574,2012-07-28,3176.86
575,2012-07-29,3176.74
576,2012-07-30,3176.62
577,2012-07-31,3176.51
578,2012-08-01,3176.38
579,2012-08-02,3176.27
580,2012-08-03,3176.22
581,2012-08-04,3176.01
582,2012-08-05,3175.88
583,2012-08-06,3175.75
584,2012-08-07,3175.65
585,2012-08-08,3175.53
586,2012-08-09,3175.4
587,2012-08-10,3175.3
588,2012-08-11,3175.17
589,2012-08-12,3175.05
590,2012-08-13,3174.94
591,2012-08-14,3174.83
592,2012-08-15,3174.72
593,2012-08-16,3174.57
594,2012-08-17,3174.45
595,2012-08-18,3174.35
596,2012-08-19,3174.22
597,2012-08-20,3174.11
598,2012-08-21,3173.99
599,2012-08-22,3173.87
600,2012-08-23,3173.75
601,2012-08-24,3173.63
602,2012-08-25,3173.5
603,2012-08-26,3173.4
604,2012-08-27,3173.25
605,2012-08-28,3173.14
606,2012-08-29,3173.04
607,2012-08-30,3172.92
608,2012-08-31,3172.81
609,2012-09-01,3172.69
610,2012-09-02,3172.58
611,2012-09-03,3172.46
612,2012-09-04,3172.36
613,2012-09-05,3172.25
614,2012-09-06,3172.11
615,2012-09-07,3172.0
616,2012-09-08,3171.89
617,2012-09-09,3171.8
618,2012-09-10,3171.68
619,2012-09-11,3171.58
620,2012-09-12,3171.43
621,2012-09-13,3171.33
622,2012-09-14,3171.22
623,2012-09-15,3171.12
624,2012-09-16,3171.0
625,2012-09-17,3170.89
626,2012-09-18,3170.79
627,2012-09-19,3170.69
628,2012-09-20,3170.59
629,2012-09-21,3170.49
630,2012-09-22,3170.37
631,2012-09-23,3170.28
632,2012-09-24,3170.17
633,2012-09-25,3170.06
634,2012-09-26,3169.97
635,2012-09-27,3169.85
636,2012-09-28,3169.75
637,2012-09-29,3169.65
638,2012-09-30,3169.54
639,2012-10-01,3169.44
640,2012-10-02,3169.34
641,2012-10-03,3169.27
642,2012-10-04,3169.19
643,2012-10-05,3169.07
644,2012-10-06,3168.8
645,2012-10-07,3168.73
646,2012-10-08,3168.63
647,2012-10-09,3168.53
648,2012-10-10,3168.43
649,2012-10-11,3168.33
650,2012-10-12,3168.29
651,2012-10-13,3168.27
652,2012-10-14,3168.22
653,2012-10-15,3168.62
654,2012-10-16,3168.72
655,2012-10-17,3168.61
656,2012-10-18,3168.6
657,2012-10-19,3168.59
658,2012-10-20,3168.83
659,2012-10-21,3168.84
660,2012-10-22,3168.85
661,2012-10-23,3168.81
662,2012-10-24,3168.78
663,2012-10-25,3168.73
664,2012-10-26,3168.66
665,2012-10-27,3168.96
666,2012-10-28,3169.66
667,2012-10-29,3170.3
668,2012-10-30,3170.44
669,2012-10-31,3170.53
670,2012-11-01,3170.7
671,2012-11-02,3170.72
672,2012-11-03,3170.81
673,2012-11-04,3170.86
674,2012-11-05,3170.86
675,2012-11-06,3170.84
676,2012-11-07,3170.82
677,2012-11-08,3170.77
678,2012-11-09,3170.75
679,2012-11-10,3170.68
680,2012-11-11,3170.7
681,2012-11-12,3170.91
682,2012-11-13,3170.95
683,2012-11-14,3171.01
684,2012-11-15,3170.98
685,2012-11-16,3170.94
686,2012-11-17,3170.97
687,2012-11-18,3171.06
688,2012-11-19,3171.57
689,2012-11-20,3172.19
690,2012-11-21,3172.42
691,2012-11-22,3172.54
692,2012-11-23,3172.71
693,2012-11-24,3173.03
694,2012-11-25,3173.12
695,2012-11-26,3173.15
696,2012-11-27,3173.11
697,2012-11-28,3173.07
698,2012-11-29,3173.02
699,2012-11-30,3173.03
700,2012-12-01,3173.07
701,2012-12-02,3173.22
702,2012-12-03,3173.26
703,2012-12-04,3173.92
704,2012-12-05,3174.27
705,2012-12-06,3174.42
706,2012-12-07,3174.59
707,2012-12-08,3174.62
708,2012-12-09,3174.66
709,2012-12-10,3174.71
710,2012-12-11,3174.79
711,2012-12-12,3174.87
712,2012-12-13,3174.84
713,2012-12-14,3174.8
714,2012-12-15,3174.75
715,2012-12-16,3174.56
716,2012-12-17,3175.19
717,2012-12-18,3175.16
718,2012-12-19,3175.14
719,2012-12-20,3175.15
720,2012-12-21,3175.12
721,2012-12-22,3175.07
722,2012-12-23,3175.02
723,2012-12-24,3175.02
724,2012-12-25,3175.09
725,2012-12-26,3175.09
726,2012-12-27,3175.02
727,2012-12-28,3174.94
728,2012-12-29,3174.86
729,2012-12-30,3174.76
730,2012-12-31,3174.69
731,2013-01-01,3174.57
732,2013-01-02,3174.49
733,2013-01-03,3174.43
734,2013-01-04,3174.36
735,2013-01-05,3174.29
736,2013-01-06,3174.26
737,2013-01-07,3174.5
738,2013-01-08,3174.67
739,2013-01-09,3174.79
740,2013-01-10,3174.86
741,2013-01-11,3174.83
