,datetime,BOUNDARY_RESERVOIR_AT_FOREBAY_NR_METALINE_FALLS.tsv
360,2013-12-27,1711.7
361,2013-12-28,1719.2
362,2013-12-29,1722.3
363,2013-12-30,1718.9
364,2013-12-31,1718.7
365,2014-01-01,1725.5
366,2014-01-02,1720.6
367,2014-01-03,1712.8
368,2014-01-04,1724.9
369,2014-01-05,1735.1
370,2014-01-06,1729.9
371,2014-01-07,1718.6
372,2014-01-08,1711.6
373,2014-01-09,1704.0
374,2014-01-10,1705.6
375,2014-01-11,1694.8
376,2014-01-12,1708.4
377,2014-01-13,1725.0
378,2014-01-14,1734.9
379,2014-01-15,1733.9
380,2014-01-16,1737.5
381,2014-01-17,1733.6
382,2014-01-18,1731.4
383,2014-01-19,1730.3
384,2014-01-20,1737.7
385,2014-01-21,1736.0
386,2014-01-22,1737.1
387,2014-01-23,1743.3
388,2014-01-24,1742.4
389,2014-01-25,1737.2
390,2014-01-26,1730.5
391,2014-01-27,1732.2
392,2014-01-28,1731.9
393,2014-01-29,1717.8
394,2014-01-30,1715.8
395,2014-01-31,1722.4
396,2014-02-01,1725.2
397,2014-02-02,1720.6
398,2014-02-03,1722.8
399,2014-02-04,1733.5
400,2014-02-05,1733.7
401,2014-02-06,1721.5
402,2014-02-07,1704.6
403,2014-02-08,1711.2
404,2014-02-09,1712.1
405,2014-02-10,1714.0
406,2014-02-11,1711.0
407,2014-02-12,1699.0
408,2014-02-13,1707.0
409,2014-02-14,1711.0
410,2014-02-15,1713.0
411,2014-02-16,1713.0
412,2014-02-17,1707.0
413,2014-02-18,1703.0
414,2014-02-19,1703.0
415,2014-02-20,1701.0
416,2014-02-21,1704.0
417,2014-02-22,1705.0
418,2014-02-23,1702.1
419,2014-02-24,1716.0
420,2014-02-25,1723.4
421,2014-02-26,1718.8
422,2014-02-27,1704.0
423,2014-02-28,1706.2
424,2014-03-01,1713.2
425,2014-03-02,1711.8
426,2014-03-03,1707.2
427,2014-03-04,1708.1478260869567
428,2014-03-05,1709.0956521739129
429,2014-03-06,1710.0434782608695
430,2014-03-07,1710.9913043478261
431,2014-03-08,1711.9391304347826
432,2014-03-09,1712.886956521739
433,2014-03-10,1713.8347826086956
434,2014-03-11,1714.782608695652
435,2014-03-12,1715.7304347826084
436,2014-03-13,1716.678260869565
437,2014-03-14,1717.626086956522
438,2014-03-15,1718.5739130434781
439,2014-03-16,1719.521739130435
440,2014-03-17,1720.4695652173916
441,2014-03-18,1721.4173913043478
442,2014-03-19,1722.3652173913044
443,2014-03-20,1723.313043478261
444,2014-03-21,1724.2608695652175
445,2014-03-22,1725.208695652174
446,2014-03-23,1726.1565217391305
447,2014-03-24,1727.104347826087
448,2014-03-25,1728.0521739130434
449,2014-03-26,1729.0
450,2014-03-27,1738.6
451,2014-03-28,1742.1
452,2014-03-29,1741.6
453,2014-03-30,1752.5
454,2014-03-31,1754.9
455,2014-04-01,1746.6
456,2014-04-02,1749.9
457,2014-04-03,1750.7
458,2014-04-04,1749.4
459,2014-04-05,1755.3
460,2014-04-06,1763.8
461,2014-04-07,1769.2
462,2014-04-08,1764.7
463,2014-04-09,1765.0
464,2014-04-10,1773.7
465,2014-04-11,1771.1
466,2014-04-12,1783.3
467,2014-04-13,1793.6
468,2014-04-14,1793.1
469,2014-04-15,1782.9
470,2014-04-16,1785.4
471,2014-04-17,1782.9
472,2014-04-18,1786.6
473,2014-04-19,1786.4
474,2014-04-20,1795.4
475,2014-04-21,1795.3
476,2014-04-22,1781.2
477,2014-04-23,1785.2
478,2014-04-24,1784.2
479,2014-04-25,1783.9
480,2014-04-26,1785.2
481,2014-04-27,1793.6
482,2014-04-28,1813.8
483,2014-04-29,1825.1
484,2014-04-30,1829.5
485,2014-05-01,1825.7
486,2014-05-02,1816.3
487,2014-05-03,1812.8
488,2014-05-04,1814.7
489,2014-05-05,1815.8
490,2014-05-06,1818.3
491,2014-05-07,1821.3
492,2014-05-08,1822.1
493,2014-05-09,1829.4
494,2014-05-10,1839.4
495,2014-05-11,1851.2
496,2014-05-12,1858.8
497,2014-05-13,1862.4
498,2014-05-14,1859.7
499,2014-05-15,1856.8
500,2014-05-16,1853.9
501,2014-05-17,1848.9
502,2014-05-18,1844.9
503,2014-05-19,1848.5
504,2014-05-20,1850.6
505,2014-05-21,1849.4
506,2014-05-22,1849.4
507,2014-05-23,1844.9
508,2014-05-24,1845.0
509,2014-05-25,1840.1
510,2014-05-26,1837.0
511,2014-05-27,1827.5
512,2014-05-28,1816.7
513,2014-05-29,1814.5
514,2014-05-30,1803.7
515,2014-05-31,1798.5
516,2014-06-01,1802.8
517,2014-06-02,1804.5
518,2014-06-03,1805.6
519,2014-06-04,1806.4
520,2014-06-05,1808.8
521,2014-06-06,1810.6
522,2014-06-07,1810.5
523,2014-06-08,1813.1
524,2014-06-09,1807.2
525,2014-06-10,1836.9
526,2014-06-11,1864.4
527,2014-06-12,1860.1
528,2014-06-13,1851.7
529,2014-06-14,1847.9
530,2014-06-15,1852.5
531,2014-06-16,1849.5
532,2014-06-17,1839.8
533,2014-06-18,1849.5
534,2014-06-19,1847.6
535,2014-06-20,1842.8
536,2014-06-21,1849.9
537,2014-06-22,1857.3
538,2014-06-23,1853.5
539,2014-06-24,1853.1
540,2014-06-25,1854.9
541,2014-06-26,1853.5
542,2014-06-27,1854.8
543,2014-06-28,1855.8
544,2014-06-29,1863.6
545,2014-06-30,1870.6
546,2014-07-01,1864.9
547,2014-07-02,1861.9
548,2014-07-03,1866.5
549,2014-07-04,1869.1
550,2014-07-05,1869.5
551,2014-07-06,1872.0
552,2014-07-07,1873.6
553,2014-07-08,1864.2
554,2014-07-09,1856.5
555,2014-07-10,1866.5
556,2014-07-11,1868.1
557,2014-07-12,1865.9
558,2014-07-13,1860.0
559,2014-07-14,1851.8
560,2014-07-15,1845.4
561,2014-07-16,1838.6
562,2014-07-17,1827.7
563,2014-07-18,1828.0
564,2014-07-19,1817.7
565,2014-07-20,1807.3
566,2014-07-21,1804.0
567,2014-07-22,1802.3
568,2014-07-23,1799.4
569,2014-07-24,1797.0
570,2014-07-25,1798.1
571,2014-07-26,1800.2
572,2014-07-27,1797.7
573,2014-07-28,1795.9
574,2014-07-29,1797.6
575,2014-07-30,1798.7
576,2014-07-31,1802.1
577,2014-08-01,1802.8
578,2014-08-02,1806.6
579,2014-08-03,1804.7
