,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
572,2014-07-27,36450.0
573,2014-07-28,36440.0
574,2014-07-29,36420.0
575,2014-07-30,36400.0
576,2014-07-31,36390.0
577,2014-08-01,36370.0
578,2014-08-02,36370.0
579,2014-08-03,36380.0
580,2014-08-04,36360.0
581,2014-08-05,36340.0
582,2014-08-06,36330.0
583,2014-08-07,36310.0
584,2014-08-08,36300.0
585,2014-08-09,36280.0
586,2014-08-10,36270.0
587,2014-08-11,36260.0
588,2014-08-12,36240.0
589,2014-08-13,36230.0
590,2014-08-14,36220.0
591,2014-08-15,36190.0
592,2014-08-16,36180.0
593,2014-08-17,36170.0
594,2014-08-18,36150.0
595,2014-08-19,36130.0
596,2014-08-20,36120.0
597,2014-08-21,36110.0
598,2014-08-22,36100.0
599,2014-08-23,36080.0
600,2014-08-24,36050.0
601,2014-08-25,36040.0
602,2014-08-26,36030.0
603,2014-08-27,36020.0
604,2014-08-28,36000.0
605,2014-08-29,35970.0
606,2014-08-30,35960.0
607,2014-08-31,35950.0
608,2014-09-01,35930.0
609,2014-09-02,35920.0
610,2014-09-03,35900.0
611,2014-09-04,35880.0
612,2014-09-05,35870.0
613,2014-09-06,35870.0
614,2014-09-07,35860.0
615,2014-09-08,35840.0
616,2014-09-09,35820.0
617,2014-09-10,35810.0
618,2014-09-11,35800.0
619,2014-09-12,35780.0
620,2014-09-13,35770.0
621,2014-09-14,35760.0
622,2014-09-15,35750.0
623,2014-09-16,35740.0
624,2014-09-17,35720.0
625,2014-09-18,35710.0
626,2014-09-19,35700.0
627,2014-09-20,35680.0
628,2014-09-21,35660.0
629,2014-09-22,35640.0
630,2014-09-23,35570.0
631,2014-09-24,35540.0
632,2014-09-25,35520.0
633,2014-09-26,35500.0
634,2014-09-27,35480.0
635,2014-09-28,35470.0
636,2014-09-29,35460.0
637,2014-09-30,35450.0
638,2014-10-01,35430.0
639,2014-10-02,35420.0
640,2014-10-03,35400.0
641,2014-10-04,35390.0
642,2014-10-05,35370.0
643,2014-10-06,35360.0
644,2014-10-07,35340.0
645,2014-10-08,35330.0
646,2014-10-09,35310.0
647,2014-10-10,35300.0
648,2014-10-11,35290.0
649,2014-10-12,35290.0
650,2014-10-13,35280.0
651,2014-10-14,35260.0
652,2014-10-15,35250.0
653,2014-10-16,35240.0
654,2014-10-17,35240.0
655,2014-10-18,35220.0
656,2014-10-19,35220.0
657,2014-10-20,35210.0
658,2014-10-21,35200.0
659,2014-10-22,35190.0
660,2014-10-23,35190.0
661,2014-10-24,35170.0
662,2014-10-25,35150.0
663,2014-10-26,35140.0
664,2014-10-27,35130.0
665,2014-10-28,35130.0
666,2014-10-29,35120.0
667,2014-10-30,35100.0
668,2014-10-31,35100.0
669,2014-11-01,35130.0
670,2014-11-02,35130.0
671,2014-11-03,35110.0
672,2014-11-04,35100.0
673,2014-11-05,35080.0
674,2014-11-06,35070.0
675,2014-11-07,35060.0
676,2014-11-08,35050.0
677,2014-11-09,35040.0
678,2014-11-10,35030.0
679,2014-11-11,35020.0
680,2014-11-12,35020.0
681,2014-11-13,35020.0
682,2014-11-14,35010.0
683,2014-11-15,35000.0
684,2014-11-16,34990.0
685,2014-11-17,34990.0
686,2014-11-18,34970.0
