,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.tsv
350,2013-12-17,872.09
351,2013-12-18,872.24
352,2013-12-19,872.16
353,2013-12-20,872.48
354,2013-12-21,871.8
355,2013-12-22,871.21
356,2013-12-23,872.19
357,2013-12-24,871.54
358,2013-12-25,871.74
359,2013-12-26,871.8
360,2013-12-27,871.63
361,2013-12-28,871.52
362,2013-12-29,871.72
363,2013-12-30,871.57
364,2013-12-31,871.43
365,2014-01-01,871.73
366,2014-01-02,871.57
367,2014-01-03,871.48
368,2014-01-04,871.16
369,2014-01-05,871.24
370,2014-01-06,871.55
371,2014-01-07,871.84
372,2014-01-08,872.77
373,2014-01-09,872.82
374,2014-01-10,869.91
375,2014-01-11,871.35
376,2014-01-12,871.48
377,2014-01-13,870.93
378,2014-01-14,871.54
379,2014-01-15,870.92
380,2014-01-16,871.11
381,2014-01-17,871.55
382,2014-01-18,871.31
383,2014-01-19,872.0
384,2014-01-20,871.99
385,2014-01-21,871.2
386,2014-01-22,872.19
387,2014-01-23,870.68
388,2014-01-24,871.55
389,2014-01-25,870.91
390,2014-01-26,869.62
391,2014-01-27,870.73
392,2014-01-28,871.54
393,2014-01-29,871.88
394,2014-01-30,871.14
395,2014-01-31,871.03
396,2014-02-01,872.18
397,2014-02-02,871.75
398,2014-02-03,872.05
399,2014-02-04,871.38
400,2014-02-05,871.03
401,2014-02-06,871.78
402,2014-02-07,872.15
403,2014-02-08,871.11
404,2014-02-09,871.57
405,2014-02-10,871.04
406,2014-02-11,871.42
407,2014-02-12,870.84
408,2014-02-13,871.57
409,2014-02-14,871.49
410,2014-02-15,871.39
411,2014-02-16,871.15
412,2014-02-17,871.92
413,2014-02-18,871.2
414,2014-02-19,871.96
415,2014-02-20,870.58
416,2014-02-21,871.2
417,2014-02-22,871.75
418,2014-02-23,871.76
419,2014-02-24,871.73
420,2014-02-25,870.36
421,2014-02-26,870.76
422,2014-02-27,871.11
423,2014-02-28,870.99
424,2014-03-01,871.01
425,2014-03-02,871.45
426,2014-03-03,871.2
427,2014-03-04,871.24
428,2014-03-05,865.99
429,2014-03-06,867.7
430,2014-03-07,867.06
431,2014-03-08,869.6
432,2014-03-09,870.12
433,2014-03-10,869.48
434,2014-03-11,871.1
435,2014-03-12,870.92
436,2014-03-13,870.74
437,2014-03-14,868.8
438,2014-03-15,871.23
439,2014-03-16,871.16
440,2014-03-17,870.57
441,2014-03-18,871.32
442,2014-03-19,871.58
443,2014-03-20,871.14
444,2014-03-21,870.1
445,2014-03-22,870.77
446,2014-03-23,871.11
447,2014-03-24,872.98
448,2014-03-25,872.57
449,2014-03-26,872.55
450,2014-03-27,872.05
451,2014-03-28,870.66
452,2014-03-29,871.05
453,2014-03-30,870.74
454,2014-03-31,872.48
455,2014-04-01,873.98
456,2014-04-02,870.91
457,2014-04-03,871.6
458,2014-04-04,871.18
459,2014-04-05,870.95
460,2014-04-06,870.48
461,2014-04-07,871.28
462,2014-04-08,871.4
463,2014-04-09,871.6
464,2014-04-10,871.86
465,2014-04-11,870.59
466,2014-04-12,870.71
467,2014-04-13,872.08
468,2014-04-14,871.93
469,2014-04-15,870.5
470,2014-04-16,872.96
471,2014-04-17,872.35
472,2014-04-18,871.07
473,2014-04-19,872.37
474,2014-04-20,873.24
475,2014-04-21,871.64
476,2014-04-22,871.2
477,2014-04-23,871.38
478,2014-04-24,870.46
479,2014-04-25,870.15
480,2014-04-26,870.44
481,2014-04-27,870.45
482,2014-04-28,870.66
483,2014-04-29,870.59
484,2014-04-30,871.61
485,2014-05-01,871.3
486,2014-05-02,871.8
487,2014-05-03,870.91
488,2014-05-04,871.28
489,2014-05-05,870.85
490,2014-05-06,870.36
491,2014-05-07,871.17
492,2014-05-08,871.15
493,2014-05-09,872.14
494,2014-05-10,871.96
495,2014-05-11,870.5
496,2014-05-12,872.04
497,2014-05-13,871.82
498,2014-05-14,871.85
499,2014-05-15,870.73
500,2014-05-16,871.97
501,2014-05-17,870.87
502,2014-05-18,871.08
503,2014-05-19,871.52
504,2014-05-20,871.85
505,2014-05-21,871.95
506,2014-05-22,872.44
507,2014-05-23,870.12
508,2014-05-24,870.42
509,2014-05-25,871.86
510,2014-05-26,872.72
511,2014-05-27,871.72
512,2014-05-28,872.48
513,2014-05-29,872.81
514,2014-05-30,871.13
515,2014-05-31,870.04
516,2014-06-01,871.05
517,2014-06-02,872.49
518,2014-06-03,872.08
519,2014-06-04,871.0
520,2014-06-05,870.79
521,2014-06-06,870.17
522,2014-06-07,871.81
523,2014-06-08,872.6
524,2014-06-09,871.34
525,2014-06-10,870.92
526,2014-06-11,871.11
527,2014-06-12,871.87
528,2014-06-13,871.76
529,2014-06-14,870.63
530,2014-06-15,871.34
531,2014-06-16,872.03
532,2014-06-17,870.92
533,2014-06-18,871.85
534,2014-06-19,871.79
535,2014-06-20,871.91
536,2014-06-21,871.55
537,2014-06-22,871.56
538,2014-06-23,872.91
539,2014-06-24,873.99
540,2014-06-25,873.02
541,2014-06-26,873.73
542,2014-06-27,873.61
543,2014-06-28,872.76
544,2014-06-29,871.69
545,2014-06-30,870.41
546,2014-07-01,871.15
547,2014-07-02,872.22
548,2014-07-03,870.8
549,2014-07-04,871.8
550,2014-07-05,871.04
551,2014-07-06,873.05
552,2014-07-07,873.33
553,2014-07-08,872.97
554,2014-07-09,872.77
555,2014-07-10,871.88
556,2014-07-11,871.54
557,2014-07-12,871.9
558,2014-07-13,871.26
559,2014-07-14,871.6
560,2014-07-15,872.36
561,2014-07-16,871.58
562,2014-07-17,870.3
563,2014-07-18,872.53
564,2014-07-19,871.72
565,2014-07-20,870.96
566,2014-07-21,871.26
567,2014-07-22,871.78
568,2014-07-23,871.63
569,2014-07-24,870.89
570,2014-07-25,870.26
571,2014-07-26,870.24
572,2014-07-27,870.38
573,2014-07-28,871.21
574,2014-07-29,873.3
575,2014-07-30,872.72
576,2014-07-31,871.49
577,2014-08-01,871.58
578,2014-08-02,871.18
579,2014-08-03,871.07
580,2014-08-04,871.21
581,2014-08-05,871.58
582,2014-08-06,871.94
583,2014-08-07,872.17
584,2014-08-08,870.46
585,2014-08-09,871.57
586,2014-08-10,870.65
587,2014-08-11,871.18
588,2014-08-12,871.29
589,2014-08-13,872.17
590,2014-08-14,870.84
591,2014-08-15,872.11
592,2014-08-16,871.78
593,2014-08-17,872.23
594,2014-08-18,873.19
595,2014-08-19,871.3
596,2014-08-20,873.25
597,2014-08-21,872.53
598,2014-08-22,872.21
599,2014-08-23,872.17
600,2014-08-24,870.64
601,2014-08-25,871.22
602,2014-08-26,871.41
603,2014-08-27,872.01
604,2014-08-28,871.2
605,2014-08-29,871.53
606,2014-08-30,871.58
607,2014-08-31,872.05
608,2014-09-01,872.12
609,2014-09-02,871.43
610,2014-09-03,871.22
611,2014-09-04,871.77
612,2014-09-05,871.53
613,2014-09-06,871.37
614,2014-09-07,872.25
615,2014-09-08,871.46
616,2014-09-09,871.95
617,2014-09-10,872.41
618,2014-09-11,871.41
619,2014-09-12,870.89
620,2014-09-13,871.14
621,2014-09-14,870.78
622,2014-09-15,871.38
623,2014-09-16,871.83
624,2014-09-17,871.94
625,2014-09-18,872.3
626,2014-09-19,871.73
627,2014-09-20,871.36
628,2014-09-21,872.28
629,2014-09-22,871.26
630,2014-09-23,871.0
631,2014-09-24,871.89
632,2014-09-25,870.92
633,2014-09-26,871.46
634,2014-09-27,871.83
635,2014-09-28,871.91
636,2014-09-29,871.45
637,2014-09-30,872.33
638,2014-10-01,871.25
639,2014-10-02,870.44
640,2014-10-03,870.96
641,2014-10-04,871.7
642,2014-10-05,870.8
643,2014-10-06,871.94
644,2014-10-07,870.34
645,2014-10-08,870.94
646,2014-10-09,871.28
647,2014-10-10,870.6
648,2014-10-11,871.6
649,2014-10-12,871.51
650,2014-10-13,871.07
651,2014-10-14,871.2
652,2014-10-15,871.78
653,2014-10-16,870.57
654,2014-10-17,871.65
655,2014-10-18,871.21
656,2014-10-19,870.8
657,2014-10-20,870.4
658,2014-10-21,869.72
659,2014-10-22,870.1
660,2014-10-23,870.98
661,2014-10-24,871.36
662,2014-10-25,870.86
663,2014-10-26,870.69
664,2014-10-27,871.65
665,2014-10-28,872.16
666,2014-10-29,870.71
667,2014-10-30,871.52
668,2014-10-31,870.71
669,2014-11-01,870.32
670,2014-11-02,872.29
671,2014-11-03,871.61
672,2014-11-04,870.91
673,2014-11-05,870.33
674,2014-11-06,871.36
675,2014-11-07,870.3
676,2014-11-08,870.92
677,2014-11-09,870.44
678,2014-11-10,870.59
679,2014-11-11,871.78
680,2014-11-12,868.57
681,2014-11-13,869.77
682,2014-11-14,870.79
683,2014-11-15,871.46
684,2014-11-16,869.61
685,2014-11-17,870.69
686,2014-11-18,867.66
687,2014-11-19,866.72
688,2014-11-20,872.28
689,2014-11-21,871.46
690,2014-11-22,869.55
691,2014-11-23,870.63
692,2014-11-24,870.91
693,2014-11-25,870.26
694,2014-11-26,872.19
695,2014-11-27,874.21
696,2014-11-28,874.05
697,2014-11-29,873.96
698,2014-11-30,872.97
699,2014-12-01,872.08
700,2014-12-02,870.71
701,2014-12-03,870.29
702,2014-12-04,871.49
703,2014-12-05,871.04
704,2014-12-06,870.4
705,2014-12-07,871.13
706,2014-12-08,869.94
707,2014-12-09,870.95
708,2014-12-10,871.68
709,2014-12-11,870.57
710,2014-12-12,869.97
711,2014-12-13,871.33
712,2014-12-14,871.31
713,2014-12-15,871.72
714,2014-12-16,872.79
715,2014-12-17,871.87
716,2014-12-18,869.68
717,2014-12-19,869.89
718,2014-12-20,870.08
719,2014-12-21,870.81
720,2014-12-22,869.89
721,2014-12-23,870.01
722,2014-12-24,869.3
723,2014-12-25,871.02
724,2014-12-26,870.94
725,2014-12-27,870.12
726,2014-12-28,870.76
727,2014-12-29,869.99
728,2014-12-30,870.65
729,2014-12-31,870.79
730,2015-01-01,871.88
731,2015-01-02,872.48
732,2015-01-03,872.42
733,2015-01-04,872.33
734,2015-01-05,871.47
735,2015-01-06,870.35
736,2015-01-07,870.61
737,2015-01-08,871.09
738,2015-01-09,872.64
739,2015-01-10,871.7
740,2015-01-11,871.57
741,2015-01-12,871.76
742,2015-01-13,871.36
743,2015-01-14,871.0
744,2015-01-15,871.49
745,2015-01-16,870.83
746,2015-01-17,871.03
747,2015-01-18,870.54
748,2015-01-19,870.56
749,2015-01-20,870.8
750,2015-01-21,871.09
751,2015-01-22,871.53
752,2015-01-23,874.09
753,2015-01-24,872.54
754,2015-01-25,870.65
755,2015-01-26,872.23
756,2015-01-27,873.11
757,2015-01-28,872.47
758,2015-01-29,872.28
759,2015-01-30,872.8
760,2015-01-31,872.78
761,2015-02-01,871.18
762,2015-02-02,871.23
763,2015-02-03,872.1
764,2015-02-04,872.09
765,2015-02-05,871.32
766,2015-02-06,872.5
767,2015-02-07,871.14
768,2015-02-08,871.37
769,2015-02-09,869.97
770,2015-02-10,870.15
771,2015-02-11,870.02
772,2015-02-12,870.05
773,2015-02-13,871.57
774,2015-02-14,871.74
775,2015-02-15,870.93
776,2015-02-16,870.68
777,2015-02-17,870.27
778,2015-02-18,870.69
779,2015-02-19,870.38
780,2015-02-20,870.76
781,2015-02-21,871.22
782,2015-02-22,870.94
783,2015-02-23,870.54
784,2015-02-24,870.95
785,2015-02-25,870.72
786,2015-02-26,871.09
787,2015-02-27,871.5
788,2015-02-28,871.08
789,2015-03-01,870.98
790,2015-03-02,870.64
791,2015-03-03,871.2
792,2015-03-04,872.31
793,2015-03-05,870.82
794,2015-03-06,872.59
795,2015-03-07,871.94
796,2015-03-08,871.06
797,2015-03-09,872.15
798,2015-03-10,872.86
799,2015-03-11,872.71
800,2015-03-12,872.62
801,2015-03-13,872.09
802,2015-03-14,870.1
803,2015-03-15,870.19
804,2015-03-16,870.93
805,2015-03-17,872.14
806,2015-03-18,872.15
807,2015-03-19,873.09
808,2015-03-20,872.85
809,2015-03-21,873.19
810,2015-03-22,873.83
811,2015-03-23,872.39
812,2015-03-24,871.54
813,2015-03-25,871.25
814,2015-03-26,871.26
815,2015-03-27,872.24
816,2015-03-28,872.31
817,2015-03-29,873.05
818,2015-03-30,872.16
819,2015-03-31,871.35
820,2015-04-01,871.75
821,2015-04-02,870.93
822,2015-04-03,870.96
823,2015-04-04,871.13
824,2015-04-05,871.16
825,2015-04-06,870.82
826,2015-04-07,872.27
827,2015-04-08,870.44
828,2015-04-09,870.95
829,2015-04-10,871.2
830,2015-04-11,870.96
831,2015-04-12,870.93
832,2015-04-13,871.73
833,2015-04-14,872.68
834,2015-04-15,872.31
835,2015-04-16,872.41
836,2015-04-17,871.34
837,2015-04-18,871.4
838,2015-04-19,871.9
839,2015-04-20,871.38
840,2015-04-21,871.76
841,2015-04-22,871.5
842,2015-04-23,870.42
843,2015-04-24,870.94
844,2015-04-25,871.91
845,2015-04-26,871.33
846,2015-04-27,869.51
847,2015-04-28,870.18
848,2015-04-29,870.15
849,2015-04-30,872.45
