,datetime,COUGAR_LAKE_NEAR_RAINBOW__OR.tsv
316,2014-07-30,1660.86
317,2014-07-31,1660.53
318,2014-08-01,1660.19
319,2014-08-02,1659.84
320,2014-08-03,1659.48
321,2014-08-04,1658.99
322,2014-08-05,1658.29
323,2014-08-06,1657.59
324,2014-08-07,1656.9
325,2014-08-08,1656.2
326,2014-08-09,1655.51
327,2014-08-10,1654.81
328,2014-08-11,1654.14
329,2014-08-12,1653.46
330,2014-08-13,1652.78
331,2014-08-14,1652.18
332,2014-08-15,1651.47
333,2014-08-16,1650.73
334,2014-08-17,1649.98
335,2014-08-18,1649.23
336,2014-08-19,1648.64
337,2014-08-20,1648.18
338,2014-08-21,1647.73
339,2014-08-22,1647.26
340,2014-08-23,1646.79
341,2014-08-24,1646.33
342,2014-08-25,1645.85
343,2014-08-26,1645.37
344,2014-08-27,1644.89
345,2014-08-28,1644.4
346,2014-08-29,1643.91
347,2014-08-30,1643.44
348,2014-08-31,1642.97
349,2014-09-01,1642.47
350,2014-09-02,1641.97
351,2014-09-03,1641.46
352,2014-09-04,1640.94
353,2014-09-05,1640.43
354,2014-09-06,1639.92
355,2014-09-07,1639.4
356,2014-09-08,1638.88
357,2014-09-09,1638.35
358,2014-09-10,1637.82
359,2014-09-11,1637.29
360,2014-09-12,1636.77
361,2014-09-13,1636.24
362,2014-09-14,1635.71
363,2014-09-15,1635.17
364,2014-09-16,1634.63
365,2014-09-17,1634.09
366,2014-09-18,1633.57
367,2014-09-19,1633.05
368,2014-09-20,1632.51
369,2014-09-21,1631.97
370,2014-09-22,1631.45
371,2014-09-23,1630.91
372,2014-09-24,1630.56
373,2014-09-25,1630.14
374,2014-09-26,1629.63
375,2014-09-27,1629.1
376,2014-09-28,1628.56
377,2014-09-29,1628.01
378,2014-09-30,1627.49
379,2014-10-01,1626.93
380,2014-10-02,1626.36
381,2014-10-03,1625.79
382,2014-10-04,1625.2
383,2014-10-05,1624.62
384,2014-10-06,1624.03
385,2014-10-07,1623.45
386,2014-10-08,1622.87
387,2014-10-09,1622.27
388,2014-10-10,1621.67
389,2014-10-11,1621.1
390,2014-10-12,1620.51
391,2014-10-13,1619.92
392,2014-10-14,1619.34
393,2014-10-15,1618.89
394,2014-10-16,1618.33
395,2014-10-17,1617.77
396,2014-10-18,1617.2
397,2014-10-19,1616.64
398,2014-10-20,1616.09
399,2014-10-21,1615.51
400,2014-10-22,1615.01
401,2014-10-23,1615.22
402,2014-10-24,1614.01
403,2014-10-25,1612.48
404,2014-10-26,1611.89
405,2014-10-27,1610.78
406,2014-10-28,1608.8
407,2014-10-29,1606.11
408,2014-10-30,1603.36
409,2014-10-31,1602.0
410,2014-11-01,1599.84
411,2014-11-02,1597.17
412,2014-11-03,1594.45
413,2014-11-04,1592.74
414,2014-11-05,1591.5
415,2014-11-06,1589.97
416,2014-11-07,1588.26
417,2014-11-08,1586.4
418,2014-11-09,1584.48
419,2014-11-10,1582.44
420,2014-11-11,1580.31
421,2014-11-12,1578.1
422,2014-11-13,1575.9
423,2014-11-14,1581.31
424,2014-11-15,1581.64
425,2014-11-16,1580.12
426,2014-11-17,1576.96
427,2014-11-18,1572.39
428,2014-11-19,1567.53
429,2014-11-20,1562.6
430,2014-11-21,1558.27
431,2014-11-22,1561.35
432,2014-11-23,1561.28
433,2014-11-24,1559.98
434,2014-11-25,1560.99
435,2014-11-26,1559.78
436,2014-11-27,1556.79
437,2014-11-28,1555.99
438,2014-11-29,1560.59
439,2014-11-30,1560.18
440,2014-12-01,1559.28
441,2014-12-02,1559.77
442,2014-12-03,1558.58
443,2014-12-04,1556.53
444,2014-12-05,1553.75
445,2014-12-06,1551.08
446,2014-12-07,1547.8
447,2014-12-08,1544.68
448,2014-12-09,1542.01
449,2014-12-10,1539.31
450,2014-12-11,1536.5
451,2014-12-12,1534.19
452,2014-12-13,1532.01
453,2014-12-14,1529.6
454,2014-12-15,1528.53
455,2014-12-16,1528.4
456,2014-12-17,1528.47
457,2014-12-18,1528.37
458,2014-12-19,1528.55
459,2014-12-20,1534.29
460,2014-12-21,1572.5
461,2014-12-22,1596.99
462,2014-12-23,1599.56
463,2014-12-24,1598.48
464,2014-12-25,1595.58
465,2014-12-26,1591.41
466,2014-12-27,1586.68
467,2014-12-28,1581.59
468,2014-12-29,1576.19
469,2014-12-30,1570.29
470,2014-12-31,1564.07
471,2015-01-01,1557.7
472,2015-01-02,1552.29
473,2015-01-03,1550.22
474,2015-01-04,1548.16
475,2015-01-05,1546.08
476,2015-01-06,1544.17
477,2015-01-07,1542.51
