,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
270,2013-09-28,568247.92
271,2013-09-29,564947.74
272,2013-09-30,562447.61
273,2013-10-01,558847.42
274,2013-10-02,556447.29
275,2013-10-03,559647.46
276,2013-10-04,552547.08
277,2013-10-05,552147.06
278,2013-10-06,553847.15
279,2013-10-07,558847.42
280,2013-10-08,562447.61
281,2013-10-09,567947.9
282,2013-10-10,571348.08
283,2013-10-11,571648.1
284,2013-10-12,573748.21
285,2013-10-13,574148.23
286,2013-10-14,576648.36
287,2013-10-15,577048.38
288,2013-10-16,577948.43
289,2013-10-17,580848.58
290,2013-10-18,580848.58
291,2013-10-19,581548.62
292,2013-10-20,579648.52
293,2013-10-21,573548.2
294,2013-10-22,569647.99
295,2013-10-23,569948.01
296,2013-10-24,571348.08
297,2013-10-25,572248.13
298,2013-10-26,571148.07
299,2013-10-27,569647.99
300,2013-10-28,569647.99
301,2013-10-29,568647.94
302,2013-10-30,572648.15
303,2013-10-31,580648.57
304,2013-11-01,585348.82
305,2013-11-02,588248.97
306,2013-11-03,586148.86
307,2013-11-04,586148.86
308,2013-11-05,584648.78
309,2013-11-06,584948.8
310,2013-11-07,588648.99
311,2013-11-08,589549.04
312,2013-11-09,588448.98
313,2013-11-10,585148.81
314,2013-11-11,582548.67
315,2013-11-12,580848.58
316,2013-11-13,581548.62
317,2013-11-14,586148.86
318,2013-11-15,588448.98
319,2013-11-16,589349.03
320,2013-11-17,591749.15
321,2013-11-18,595049.32
322,2013-11-19,591949.16
323,2013-11-20,589949.06
324,2013-11-21,592949.21
325,2013-11-22,594149.27
326,2013-11-23,595649.35
327,2013-11-24,597449.44
328,2013-11-25,598649.5
329,2013-11-26,598449.49
330,2013-11-27,595449.34
331,2013-11-28,592349.18
332,2013-11-29,590349.08
333,2013-11-30,589549.04
334,2013-12-01,588448.98
335,2013-12-02,587448.93
336,2013-12-03,588749.0
337,2013-12-04,586548.88
338,2013-12-05,584248.76
339,2013-12-06,579448.51
340,2013-12-07,577048.38
341,2013-12-08,572248.13
342,2013-12-09,566447.82
343,2013-12-10,555547.24
344,2013-12-11,547446.8
345,2013-12-12,540446.41
346,2013-12-13,537746.26
347,2013-12-14,534246.07
348,2013-12-15,528745.76
349,2013-12-16,525445.58
350,2013-12-17,527245.68
351,2013-12-18,523445.47
352,2013-12-19,523845.49
353,2013-12-20,526545.64
354,2013-12-21,524345.52
355,2013-12-22,526745.65
356,2013-12-23,527445.69
357,2013-12-24,528145.73
358,2013-12-25,530345.85
359,2013-12-26,533746.04
360,2013-12-27,531545.92
361,2013-12-28,528345.74
362,2013-12-29,529645.81
363,2013-12-30,531945.94
364,2013-12-31,533546.03
365,2014-01-01,538646.31
366,2014-01-02,541446.47
367,2014-01-03,540946.44
368,2014-01-04,544546.64
369,2014-01-05,543446.58
370,2014-01-06,544746.65
371,2014-01-07,543846.6
372,2014-01-08,542246.51
373,2014-01-09,542546.53
374,2014-01-10,542546.53
375,2014-01-11,541346.46
376,2014-01-12,539646.37
377,2014-01-13,541646.48
378,2014-01-14,540246.4
379,2014-01-15,540246.4
380,2014-01-16,543446.58
381,2014-01-17,541846.49
382,2014-01-18,540746.43
383,2014-01-19,539146.34
384,2014-01-20,539846.38
385,2014-01-21,539146.34
386,2014-01-22,536946.22
387,2014-01-23,538446.3
388,2014-01-24,538746.32
389,2014-01-25,541646.48
390,2014-01-26,545046.67
391,2014-01-27,544546.64
392,2014-01-28,544546.64
393,2014-01-29,545046.67
394,2014-01-30,549046.89
395,2014-01-31,549246.9
396,2014-02-01,549746.93
397,2014-02-02,546746.76
398,2014-02-03,546546.75
399,2014-02-04,546746.76
400,2014-02-05,550346.96
401,2014-02-06,555847.26
402,2014-02-07,556247.28
403,2014-02-08,557547.35
404,2014-02-09,559847.47
405,2014-02-10,557947.37
406,2014-02-11,554547.19
407,2014-02-12,552847.1
408,2014-02-13,553647.14
409,2014-02-14,551947.05
410,2014-02-15,551247.01
411,2014-02-16,551347.02
412,2014-02-17,553047.11
413,2014-02-18,552847.1
414,2014-02-19,552847.1
415,2014-02-20,555547.24
416,2014-02-21,553847.15
417,2014-02-22,555347.23
