,datetime,LAKE_H_G_WEST_FOREBAY_AT_LOWER_MONUMENTAL_DAM__WA.tsv
307,2014-01-13,345.7
308,2014-01-14,345.4492307692308
309,2014-01-15,345.1984615384615
310,2014-01-16,344.9476923076923
311,2014-01-17,344.69692307692304
312,2014-01-18,344.44615384615383
313,2014-01-19,344.1953846153846
314,2014-01-20,343.9446153846154
315,2014-01-21,343.69384615384615
316,2014-01-22,343.4430769230769
317,2014-01-23,343.19230769230774
318,2014-01-24,342.94153846153847
319,2014-01-25,342.6907692307692
320,2014-01-26,342.44
321,2014-01-27,342.1892307692308
322,2014-01-28,341.9384615384616
323,2014-01-29,341.6876923076923
324,2014-01-30,341.4369230769231
325,2014-01-31,341.18615384615384
326,2014-02-01,340.93538461538463
327,2014-02-02,340.68461538461537
328,2014-02-03,340.43384615384616
329,2014-02-04,340.1830769230769
330,2014-02-05,339.93230769230775
331,2014-02-06,339.6815384615385
332,2014-02-07,339.4307692307692
333,2014-02-08,339.17999999999995
334,2014-02-09,338.9292307692308
335,2014-02-10,338.67846153846153
336,2014-02-11,338.4276923076923
337,2014-02-12,338.17692307692306
338,2014-02-13,337.92615384615385
339,2014-02-14,337.6753846153846
340,2014-02-15,337.4246153846154
341,2014-02-16,337.17384615384617
342,2014-02-17,336.92307692307696
343,2014-02-18,336.6723076923077
344,2014-02-19,336.42153846153843
345,2014-02-20,336.1707692307692
346,2014-02-21,335.91999999999996
347,2014-02-22,335.6692307692308
348,2014-02-23,335.41846153846154
349,2014-02-24,335.1676923076923
350,2014-02-25,334.9169230769231
351,2014-02-26,334.66615384615386
352,2014-02-27,334.4153846153846
353,2014-02-28,334.1646153846154
354,2014-03-01,333.9138461538462
355,2014-03-02,333.6630769230769
356,2014-03-03,333.4123076923077
357,2014-03-04,333.16153846153844
358,2014-03-05,332.91076923076923
359,2014-03-06,332.65999999999997
360,2014-03-07,332.40923076923076
361,2014-03-08,332.15846153846155
362,2014-03-09,331.9076923076923
363,2014-03-10,331.656923076923
364,2014-03-11,331.40615384615387
365,2014-03-12,331.1553846153846
366,2014-03-13,330.9046153846154
367,2014-03-14,330.65384615384613
368,2014-03-15,330.4030769230769
369,2014-03-16,330.1523076923077
370,2014-03-17,329.90153846153845
371,2014-03-18,329.65076923076924
372,2014-03-19,329.4
373,2014-03-20,336.5
374,2014-03-21,334.6
375,2014-03-22,328.7
376,2014-03-23,326.9
377,2014-03-24,326.2
378,2014-03-25,328.8
379,2014-03-26,329.3
380,2014-03-27,327.7
381,2014-03-28,326.1
382,2014-03-29,327.3
383,2014-03-30,326.4
384,2014-03-31,327.5
385,2014-04-01,330.7
386,2014-04-02,330.5
387,2014-04-03,332.3
388,2014-04-04,332.8
389,2014-04-05,335.4
390,2014-04-06,340.7
391,2014-04-07,343.1
392,2014-04-08,350.4
393,2014-04-09,356.8
394,2014-04-10,361.2
395,2014-04-11,364.0
396,2014-04-12,367.8
397,2014-04-13,361.4
398,2014-04-14,364.1
399,2014-04-15,366.0
400,2014-04-16,365.7
401,2014-04-17,368.7
402,2014-04-18,363.1
403,2014-04-19,358.1
404,2014-04-20,357.1
405,2014-04-21,362.9
406,2014-04-22,366.6
407,2014-04-23,362.2
408,2014-04-24,359.9
409,2014-04-25,360.0
410,2014-04-26,361.8
411,2014-04-27,362.6
412,2014-04-28,358.4
413,2014-04-29,361.7
414,2014-04-30,371.2
415,2014-05-01,372.8
416,2014-05-02,375.4
417,2014-05-03,376.9
418,2014-05-04,373.3
419,2014-05-05,372.6
420,2014-05-06,372.2
421,2014-05-07,377.2
422,2014-05-08,380.3
423,2014-05-09,375.8
424,2014-05-10,370.0
425,2014-05-11,366.5
426,2014-05-12,366.8
427,2014-05-13,367.9
428,2014-05-14,371.7
429,2014-05-15,376.7
430,2014-05-16,378.5
431,2014-05-17,378.6
432,2014-05-18,379.9
433,2014-05-19,380.7
434,2014-05-20,382.1
435,2014-05-21,385.2
436,2014-05-22,387.7
437,2014-05-23,386.0
438,2014-05-24,379.9
439,2014-05-25,379.7
440,2014-05-26,379.9
441,2014-05-27,384.9
442,2014-05-28,385.7
443,2014-05-29,383.0
444,2014-05-30,384.6
445,2014-05-31,388.7
446,2014-06-01,389.4
447,2014-06-02,391.1
448,2014-06-03,388.8
449,2014-06-04,384.5
450,2014-06-05,381.2
451,2014-06-06,382.9
452,2014-06-07,387.4
453,2014-06-08,388.4
454,2014-06-09,390.0
455,2014-06-10,387.9
456,2014-06-11,384.0
457,2014-06-12,387.5
458,2014-06-13,381.8
459,2014-06-14,374.3
460,2014-06-15,375.6
461,2014-06-16,376.1
462,2014-06-17,373.9
463,2014-06-18,371.4
464,2014-06-19,371.5
465,2014-06-20,374.6
466,2014-06-21,373.4
467,2014-06-22,375.6
468,2014-06-23,379.2
469,2014-06-24,380.4
470,2014-06-25,382.1
471,2014-06-26,383.7
472,2014-06-27,385.0
473,2014-06-28,384.1
474,2014-06-29,382.5
475,2014-06-30,383.2
476,2014-07-01,391.3
477,2014-07-02,390.4
478,2014-07-03,390.5
479,2014-07-04,392.5
480,2014-07-05,389.1
481,2014-07-06,387.0
482,2014-07-07,388.3
483,2014-07-08,391.2
484,2014-07-09,393.9
485,2014-07-10,396.3
486,2014-07-11,395.9
487,2014-07-12,395.2
488,2014-07-13,399.4
489,2014-07-14,399.1
490,2014-07-15,400.4
491,2014-07-16,401.0
492,2014-07-17,399.9
493,2014-07-18,400.2
494,2014-07-19,396.0
495,2014-07-20,392.1
496,2014-07-21,389.1
