,datetime,MOSES_LAKE_AT_MOSES_LAKE__WA.
1548,2015-03-29,1043.56
1549,2015-03-30,1043.56
1550,2015-03-31,1043.57
1551,2015-04-01,1043.58
1552,2015-04-02,1043.67
1553,2015-04-03,1043.82
1554,2015-04-04,1043.98
1555,2015-04-05,1044.11
1556,2015-04-06,1044.26
1557,2015-04-07,1044.5
1558,2015-04-08,1044.69
1559,2015-04-09,1044.85
1560,2015-04-10,1044.98
1561,2015-04-11,1045.1
1562,2015-04-12,1045.24
1563,2015-04-13,1045.35
1564,2015-04-14,1045.46
1565,2015-04-15,1045.51
1566,2015-04-16,1045.57
1567,2015-04-17,1045.64
1568,2015-04-18,1045.92
1569,2015-04-19,1046.22
1570,2015-04-20,1046.5
1571,2015-04-21,1046.65
1572,2015-04-22,1046.76
1573,2015-04-23,1046.83
1574,2015-04-24,1046.84
1575,2015-04-25,1046.82
1576,2015-04-26,1046.81
1577,2015-04-27,1046.79
1578,2015-04-28,1046.75
1579,2015-04-29,1046.73
1580,2015-04-30,1046.73
1581,2015-05-01,1046.77
1582,2015-05-02,1046.78
1583,2015-05-03,1046.79
1584,2015-05-04,1046.78
1585,2015-05-05,1046.74
1586,2015-05-06,1046.73
1587,2015-05-07,1046.72
1588,2015-05-08,1046.75
1589,2015-05-09,1046.75
1590,2015-05-10,1046.76
1591,2015-05-11,1046.76
1592,2015-05-12,1046.76
1593,2015-05-13,1046.77
1594,2015-05-14,1046.73
1595,2015-05-15,1046.7
1596,2015-05-16,1046.7
1597,2015-05-17,1046.7
1598,2015-05-18,1046.72
1599,2015-05-19,1046.72
1600,2015-05-20,1046.69
1601,2015-05-21,1046.67
1602,2015-05-22,1046.69
1603,2015-05-23,1046.72
1604,2015-05-24,1046.72
1605,2015-05-25,1046.74
1606,2015-05-26,1046.76
1607,2015-05-27,1046.78
1608,2015-05-28,1046.8
1609,2015-05-29,1046.81
1610,2015-05-30,1046.79
1611,2015-05-31,1046.8
1612,2015-06-01,1046.8
1613,2015-06-02,1046.77
1614,2015-06-03,1046.75
1615,2015-06-04,1046.77
1616,2015-06-05,1046.77
1617,2015-06-06,1046.74
1618,2015-06-07,1046.73
1619,2015-06-08,1046.72
1620,2015-06-09,1046.71
1621,2015-06-10,1046.75
1622,2015-06-11,1046.77
1623,2015-06-12,1046.78
1624,2015-06-13,1046.77
1625,2015-06-14,1046.76
1626,2015-06-15,1046.76
1627,2015-06-16,1046.76
1628,2015-06-17,1046.76
1629,2015-06-18,1046.77
1630,2015-06-19,1046.77
1631,2015-06-20,1046.76
1632,2015-06-21,1046.77
1633,2015-06-22,1046.77
1634,2015-06-23,1046.78
1635,2015-06-24,1046.78
1636,2015-06-25,1046.79
1637,2015-06-26,1046.8
1638,2015-06-27,1046.8
1639,2015-06-28,1046.81
1640,2015-06-29,1046.79
1641,2015-06-30,1046.75
1642,2015-07-01,1046.72
1643,2015-07-02,1046.71
1644,2015-07-03,1046.71
1645,2015-07-04,1046.72
1646,2015-07-05,1046.71
1647,2015-07-06,1046.69
1648,2015-07-07,1046.68
1649,2015-07-08,1046.68
1650,2015-07-09,1046.66
1651,2015-07-10,1046.66
1652,2015-07-11,1046.67
1653,2015-07-12,1046.69
1654,2015-07-13,1046.73
1655,2015-07-14,1046.76
1656,2015-07-15,1046.78
1657,2015-07-16,1046.78
1658,2015-07-17,1046.77
1659,2015-07-18,1046.77
1660,2015-07-19,1046.76
1661,2015-07-20,1046.76
1662,2015-07-21,1046.75
1663,2015-07-22,1046.75
1664,2015-07-23,1046.76
1665,2015-07-24,1046.77
1666,2015-07-25,1046.78
1667,2015-07-26,1046.79
1668,2015-07-27,1046.79
1669,2015-07-28,1046.78
1670,2015-07-29,1046.78
1671,2015-07-30,1046.76
1672,2015-07-31,1046.73
1673,2015-08-01,1046.74
1674,2015-08-02,1046.74
1675,2015-08-03,1046.73
1676,2015-08-04,1046.69
1677,2015-08-05,1046.69
1678,2015-08-06,1046.69
1679,2015-08-07,1046.76
1680,2015-08-08,1046.78
1681,2015-08-09,1046.77
1682,2015-08-10,1046.76
1683,2015-08-11,1046.75
1684,2015-08-12,1046.73
1685,2015-08-13,1046.78
1686,2015-08-14,1046.76
1687,2015-08-15,1046.72
1688,2015-08-16,1046.73
1689,2015-08-17,1046.74
1690,2015-08-18,1046.75
1691,2015-08-19,1046.76
1692,2015-08-20,1046.78
1693,2015-08-21,1046.79
1694,2015-08-22,1046.8
1695,2015-08-23,1046.79
1696,2015-08-24,1046.77
1697,2015-08-25,1046.73
1698,2015-08-26,1046.72
1699,2015-08-27,1046.74
1700,2015-08-28,1046.75
1701,2015-08-29,1046.74
1702,2015-08-30,1046.75
1703,2015-08-31,1046.75
1704,2015-09-01,1046.77
1705,2015-09-02,1046.78
1706,2015-09-03,1046.8
1707,2015-09-04,1046.81
1708,2015-09-05,1046.76
1709,2015-09-06,1046.69
1710,2015-09-07,1046.72
1711,2015-09-08,1046.76
1712,2015-09-09,1046.76
1713,2015-09-10,1046.73
1714,2015-09-11,1046.71
1715,2015-09-12,1046.71
1716,2015-09-13,1046.72
1717,2015-09-14,1046.78
1718,2015-09-15,1046.85
1719,2015-09-16,1046.93
1720,2015-09-17,1047.0
1721,2015-09-18,1046.96
1722,2015-09-19,1046.78
