,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.tsv
403,2014-02-08,21050
404,2014-02-09,21560
405,2014-02-10,21890
406,2014-02-11,21980
407,2014-02-12,22020
408,2014-02-13,22090
409,2014-02-14,22130
410,2014-02-15,22100
411,2014-02-16,22130
412,2014-02-17,22200
413,2014-02-18,22240
414,2014-02-19,22240
415,2014-02-20,22230
416,2014-02-21,22230
417,2014-02-22,22180
418,2014-02-23,22150
419,2014-02-24,22180
420,2014-02-25,22200
421,2014-02-26,22220
422,2014-02-27,22350
423,2014-02-28,22660
424,2014-03-01,22770
425,2014-03-02,22840
426,2014-03-03,22960
427,2014-03-04,23190
428,2014-03-05,23300
429,2014-03-06,23600
430,2014-03-07,23750
431,2014-03-08,23750
432,2014-03-09,23840
433,2014-03-10,23940
434,2014-03-11,24010
435,2014-03-12,24060
436,2014-03-13,24120
437,2014-03-14,24120
438,2014-03-15,24190
439,2014-03-16,24210
440,2014-03-17,24280
441,2014-03-18,24290
442,2014-03-19,24280
443,2014-03-20,24350
444,2014-03-21,24340
445,2014-03-22,24320
446,2014-03-23,24310
447,2014-03-24,24310
448,2014-03-25,24310
449,2014-03-26,24370
450,2014-03-27,24420
451,2014-03-28,24440
452,2014-03-29,24520
453,2014-03-30,24570
454,2014-03-31,24770
455,2014-04-01,24850
456,2014-04-02,24970
457,2014-04-03,25010
458,2014-04-04,25080
459,2014-04-05,25110
460,2014-04-06,25180
461,2014-04-07,25310
462,2014-04-08,25440
463,2014-04-09,25650
464,2014-04-10,25800
465,2014-04-11,25960
466,2014-04-12,26140
467,2014-04-13,26280
468,2014-04-14,26390
469,2014-04-15,26500
470,2014-04-16,26600
471,2014-04-17,26720
472,2014-04-18,26850
473,2014-04-19,26920
474,2014-04-20,27010
475,2014-04-21,27150
476,2014-04-22,27190
477,2014-04-23,27230
478,2014-04-24,27250
479,2014-04-25,27410
480,2014-04-26,27490
481,2014-04-27,27580
482,2014-04-28,27620
483,2014-04-29,27730
484,2014-04-30,27870
485,2014-05-01,27930
486,2014-05-02,27870
487,2014-05-03,27810
488,2014-05-04,27740
489,2014-05-05,27670
490,2014-05-06,27890
491,2014-05-07,27930
492,2014-05-08,28100
493,2014-05-09,28310
494,2014-05-10,28510
495,2014-05-11,28560
496,2014-05-12,28720
497,2014-05-13,28880
498,2014-05-14,29010
499,2014-05-15,29080
500,2014-05-16,29070
501,2014-05-17,28980
502,2014-05-18,28900
