,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.tsv
320,2013-11-17,143.0
321,2013-11-18,142.0
322,2013-11-19,151.0
323,2013-11-20,163.0
324,2013-11-21,164.0
325,2013-11-22,164.0
326,2013-11-23,164.0
327,2013-11-24,164.0
328,2013-11-25,164.0
329,2013-11-26,164.0
330,2013-11-27,164.0
331,2013-11-28,164.0
332,2013-11-29,164.0
333,2013-11-30,164.0
334,2013-12-01,164.0
335,2013-12-02,166.0
336,2013-12-03,166.0
337,2013-12-04,164.0
338,2013-12-05,164.0
339,2013-12-06,165.0
340,2013-12-07,165.0
341,2013-12-08,165.0
342,2013-12-09,165.0
343,2013-12-10,165.0
344,2013-12-11,164.0
345,2013-12-12,164.0
346,2013-12-13,164.0
347,2013-12-14,164.0
348,2013-12-15,164.0
349,2013-12-16,164.0
350,2013-12-17,164.0
351,2013-12-18,164.0
352,2013-12-19,165.0
353,2013-12-20,164.0
354,2013-12-21,164.0
355,2013-12-22,164.0
356,2013-12-23,164.0
357,2013-12-24,164.0
358,2013-12-25,163.0
359,2013-12-26,163.0
360,2013-12-27,159.0
361,2013-12-28,159.0
362,2013-12-29,158.0
363,2013-12-30,157.0
364,2013-12-31,157.0
365,2014-01-01,156.0
366,2014-01-02,156.0
367,2014-01-03,155.0
368,2014-01-04,155.0
369,2014-01-05,154.0
370,2014-01-06,153.0
371,2014-01-07,153.0
372,2014-01-08,152.0
373,2014-01-09,152.0
374,2014-01-10,152.0
375,2014-01-11,154.0
376,2014-01-12,154.0
377,2014-01-13,154.0
378,2014-01-14,153.0
379,2014-01-15,153.0
380,2014-01-16,152.0
381,2014-01-17,152.0
382,2014-01-18,151.0
383,2014-01-19,151.0
384,2014-01-20,150.0
385,2014-01-21,149.0
386,2014-01-22,149.0
387,2014-01-23,148.0
388,2014-01-24,148.0
389,2014-01-25,149.0
390,2014-01-26,149.0
391,2014-01-27,149.0
392,2014-01-28,150.0
393,2014-01-29,166.0
394,2014-01-30,168.0
395,2014-01-31,169.0
396,2014-02-01,169.0
397,2014-02-02,170.0
398,2014-02-03,170.0
399,2014-02-04,170.0
400,2014-02-05,170.0
401,2014-02-06,171.0
402,2014-02-07,177.0
403,2014-02-08,185.0
404,2014-02-09,237.0
405,2014-02-10,255.0
406,2014-02-11,264.0
407,2014-02-12,272.0
408,2014-02-13,296.0
409,2014-02-14,311.0
410,2014-02-15,323.0
411,2014-02-16,334.0
412,2014-02-17,339.0
413,2014-02-18,344.0
414,2014-02-19,350.0
415,2014-02-20,354.0
416,2014-02-21,357.0
417,2014-02-22,359.0
418,2014-02-23,362.0
419,2014-02-24,364.0
420,2014-02-25,366.0
421,2014-02-26,372.0
422,2014-02-27,381.0
423,2014-02-28,388.0
424,2014-03-01,395.0
425,2014-03-02,406.0
426,2014-03-03,436.0
427,2014-03-04,454.0
428,2014-03-05,482.0
429,2014-03-06,512.0
430,2014-03-07,527.0
431,2014-03-08,539.0
432,2014-03-09,585.0
433,2014-03-10,656.0
434,2014-03-11,685.0
435,2014-03-12,705.0
436,2014-03-13,721.0
437,2014-03-14,733.0
438,2014-03-15,743.0
439,2014-03-16,751.0
440,2014-03-17,760.0
441,2014-03-18,765.0
442,2014-03-19,770.0
443,2014-03-20,775.0
444,2014-03-21,779.0
445,2014-03-22,783.0
446,2014-03-23,785.0
447,2014-03-24,787.0
448,2014-03-25,797.0
449,2014-03-26,807.0
450,2014-03-27,813.0
451,2014-03-28,824.0
452,2014-03-29,873.0
453,2014-03-30,889.0
454,2014-03-31,902.0
455,2014-04-01,910.0
456,2014-04-02,916.0
457,2014-04-03,924.0
458,2014-04-04,930.0
459,2014-04-05,935.0
460,2014-04-06,942.0
461,2014-04-07,949.0
462,2014-04-08,958.0
463,2014-04-09,967.0
464,2014-04-10,976.0
465,2014-04-11,985.0
466,2014-04-12,994.0
467,2014-04-13,1000.0
468,2014-04-14,1010.0
469,2014-04-15,1010.0
470,2014-04-16,1010.0
471,2014-04-17,1020.0
472,2014-04-18,1020.0
473,2014-04-19,1020.0
474,2014-04-20,1020.0
475,2014-04-21,1020.0
476,2014-04-22,1030.0
477,2014-04-23,1030.0
478,2014-04-24,1040.0
479,2014-04-25,1050.0
480,2014-04-26,1050.0
481,2014-04-27,1050.0
482,2014-04-28,1050.0
483,2014-04-29,1060.0
484,2014-04-30,1060.0
485,2014-05-01,1060.0
486,2014-05-02,1060.0
487,2014-05-03,1060.0
488,2014-05-04,1060.0
489,2014-05-05,1060.0
490,2014-05-06,1050.0
491,2014-05-07,1050.0
492,2014-05-08,1060.0
493,2014-05-09,1070.0
494,2014-05-10,1070.0
495,2014-05-11,1070.0
496,2014-05-12,1060.0
497,2014-05-13,1060.0
498,2014-05-14,1060.0
499,2014-05-15,1060.0
