,datetime,LAKE_MERWIN_AT_ARIEL__WA.tsv
334,2013-12-01,364534.87
335,2013-12-02,364534.79
336,2013-12-03,364534.08
337,2013-12-04,364532.2
338,2013-12-05,364530.95
339,2013-12-06,364531.19
340,2013-12-07,364531.36
341,2013-12-08,364531.89
342,2013-12-09,364531.75
343,2013-12-10,364533.52
344,2013-12-11,364536.07
345,2013-12-12,364536.79
346,2013-12-13,364537.2
347,2013-12-14,364536.86
348,2013-12-15,364535.06
349,2013-12-16,364535.2
350,2013-12-17,364535.78
351,2013-12-18,364535.64
352,2013-12-19,364534.83
353,2013-12-20,364534.21
354,2013-12-21,364533.54
355,2013-12-22,364533.04
356,2013-12-23,364533.38
357,2013-12-24,364534.53
358,2013-12-25,364535.77
359,2013-12-26,364537.23
360,2013-12-27,364537.48
361,2013-12-28,364537.68
362,2013-12-29,364537.33
363,2013-12-30,364537.24
364,2013-12-31,364537.13
365,2014-01-01,364536.42
366,2014-01-02,364535.74
367,2014-01-03,364535.46
368,2014-01-04,364535.29
369,2014-01-05,364536.3
370,2014-01-06,364536.74
371,2014-01-07,364537.31
372,2014-01-08,364536.65
373,2014-01-09,364535.77
374,2014-01-10,364535.89
375,2014-01-11,364535.53
376,2014-01-12,364536.18
377,2014-01-13,364535.75
378,2014-01-14,364534.72
379,2014-01-15,364534.92
380,2014-01-16,364534.79
381,2014-01-17,364535.44
382,2014-01-18,364534.77
383,2014-01-19,364533.86
384,2014-01-20,364533.21
385,2014-01-21,364533.91
386,2014-01-22,364534.26
387,2014-01-23,364534.43
388,2014-01-24,364535.67
389,2014-01-25,364536.73
390,2014-01-26,364537.96
391,2014-01-27,364538.12
392,2014-01-28,364537.36
393,2014-01-29,364534.7
394,2014-01-30,364532.67
395,2014-01-31,364530.82
396,2014-02-01,364529.97
397,2014-02-02,364529.33
398,2014-02-03,364529.99
399,2014-02-04,364529.74
400,2014-02-05,364530.37
401,2014-02-06,364532.75
402,2014-02-07,364535.11
403,2014-02-08,364537.39
404,2014-02-09,364538.02
405,2014-02-10,364538.49
