,datetime,LAKE_VALLEY_RES_NR_CISCO_CA.tsv
369,2014-01-05,2780
370,2014-01-06,2780
371,2014-01-07,2770
372,2014-01-08,2770
373,2014-01-09,2760
374,2014-01-10,2760
375,2014-01-11,2760
376,2014-01-12,2760
377,2014-01-13,2750
378,2014-01-14,2740
379,2014-01-15,2710
380,2014-01-16,2690
381,2014-01-17,2670
382,2014-01-18,2640
383,2014-01-19,2620
384,2014-01-20,2600
385,2014-01-21,2580
386,2014-01-22,2560
387,2014-01-23,2540
388,2014-01-24,2530
389,2014-01-25,2520
390,2014-01-26,2520
391,2014-01-27,2510
392,2014-01-28,2510
393,2014-01-29,2550
394,2014-01-30,2560
395,2014-01-31,2560
396,2014-02-01,2570
397,2014-02-02,2580
398,2014-02-03,2580
399,2014-02-04,2590
400,2014-02-05,2590
401,2014-02-06,2600
402,2014-02-07,2620
403,2014-02-08,2830
404,2014-02-09,3430
405,2014-02-10,3710
406,2014-02-11,3760
407,2014-02-12,3790
408,2014-02-13,3830
409,2014-02-14,3870
410,2014-02-15,3890
411,2014-02-16,3950
412,2014-02-17,3980
413,2014-02-18,4000
414,2014-02-19,4030
415,2014-02-20,4040
416,2014-02-21,4060
417,2014-02-22,4070
418,2014-02-23,4070
419,2014-02-24,4080
420,2014-02-25,4090
421,2014-02-26,4140
422,2014-02-27,4190
423,2014-02-28,4260
424,2014-03-01,4300
425,2014-03-02,4380
426,2014-03-03,4500
427,2014-03-04,4610
428,2014-03-05,4740
429,2014-03-06,4960
430,2014-03-07,5030
431,2014-03-08,5080
432,2014-03-09,5130
433,2014-03-10,5200
434,2014-03-11,5230
435,2014-03-12,5270
436,2014-03-13,5290
437,2014-03-14,5320
438,2014-03-15,5320
439,2014-03-16,5350
440,2014-03-17,5370
441,2014-03-18,5380
442,2014-03-19,5390
443,2014-03-20,5410
444,2014-03-21,5420
445,2014-03-22,5420
446,2014-03-23,5430
447,2014-03-24,5440
448,2014-03-25,5460
449,2014-03-26,5500
450,2014-03-27,5520
451,2014-03-28,5540
452,2014-03-29,5700
453,2014-03-30,5740
454,2014-03-31,5790
455,2014-04-01,5830
456,2014-04-02,5850
457,2014-04-03,5860
458,2014-04-04,5890
459,2014-04-05,5900
460,2014-04-06,5930
461,2014-04-07,5970
462,2014-04-08,6030
463,2014-04-09,6100
464,2014-04-10,6170
465,2014-04-11,6250
466,2014-04-12,6310
467,2014-04-13,6350
468,2014-04-14,6370
469,2014-04-15,6390
470,2014-04-16,6420
471,2014-04-17,6440
472,2014-04-18,6470
473,2014-04-19,6510
474,2014-04-20,6540
475,2014-04-21,6580
476,2014-04-22,6610
477,2014-04-23,6640
478,2014-04-24,6660
479,2014-04-25,6750
480,2014-04-26,6780
481,2014-04-27,6810
482,2014-04-28,6840
483,2014-04-29,6880
484,2014-04-30,6890
485,2014-05-01,6930
486,2014-05-02,6950
487,2014-05-03,6970
488,2014-05-04,7000
489,2014-05-05,7020
490,2014-05-06,7040
491,2014-05-07,7060
492,2014-05-08,7080
493,2014-05-09,7130
494,2014-05-10,7160
495,2014-05-11,7130
496,2014-05-12,7120
497,2014-05-13,7130
498,2014-05-14,7160
499,2014-05-15,7160
500,2014-05-16,7180
501,2014-05-17,7200
502,2014-05-18,7200
503,2014-05-19,7200
504,2014-05-20,7200
505,2014-05-21,7210
506,2014-05-22,7220
507,2014-05-23,7200
508,2014-05-24,7220
509,2014-05-25,7210
510,2014-05-26,7200
511,2014-05-27,7190
512,2014-05-28,7200
513,2014-05-29,7190
514,2014-05-30,7180
515,2014-05-31,7180
516,2014-06-01,7170
517,2014-06-02,7170
518,2014-06-03,7160
519,2014-06-04,7160
520,2014-06-05,7150
521,2014-06-06,7140
522,2014-06-07,7130
523,2014-06-08,7120
524,2014-06-09,7110
525,2014-06-10,7100
526,2014-06-11,7090
527,2014-06-12,7070
528,2014-06-13,7060
529,2014-06-14,7050
530,2014-06-15,7030
531,2014-06-16,7020
532,2014-06-17,7010
533,2014-06-18,7000
534,2014-06-19,6990
535,2014-06-20,6970
536,2014-06-21,6960
537,2014-06-22,6950
538,2014-06-23,6930
539,2014-06-24,6920
540,2014-06-25,6900
541,2014-06-26,6890
542,2014-06-27,6880
543,2014-06-28,6870
544,2014-06-29,6860
545,2014-06-30,6850
546,2014-07-01,6830
547,2014-07-02,6820
548,2014-07-03,6800
549,2014-07-04,6780
550,2014-07-05,6770
551,2014-07-06,6750
552,2014-07-07,6740
553,2014-07-08,6730
554,2014-07-09,6710
555,2014-07-10,6690
556,2014-07-11,6680
557,2014-07-12,6670
558,2014-07-13,6660
559,2014-07-14,6640
560,2014-07-15,6620
561,2014-07-16,6610
562,2014-07-17,6590
563,2014-07-18,6580
564,2014-07-19,6560
565,2014-07-20,6550
566,2014-07-21,6540
567,2014-07-22,6510
568,2014-07-23,6500
569,2014-07-24,6480
570,2014-07-25,6470
571,2014-07-26,6450
572,2014-07-27,6440
573,2014-07-28,6420
574,2014-07-29,6410
575,2014-07-30,6390
576,2014-07-31,6380
577,2014-08-01,6360
578,2014-08-02,6350
579,2014-08-03,6330
580,2014-08-04,6320
581,2014-08-05,6320
582,2014-08-06,6330
583,2014-08-07,6320
584,2014-08-08,6310
585,2014-08-09,6300
586,2014-08-10,6300
587,2014-08-11,6280
588,2014-08-12,6260
589,2014-08-13,6250
590,2014-08-14,6240
591,2014-08-15,6220
592,2014-08-16,6210
593,2014-08-17,6190
594,2014-08-18,6180
595,2014-08-19,6160
596,2014-08-20,6150
597,2014-08-21,6130
598,2014-08-22,6110
599,2014-08-23,6100
600,2014-08-24,6090
601,2014-08-25,6070
602,2014-08-26,6060
603,2014-08-27,6050
604,2014-08-28,6030
605,2014-08-29,6020
606,2014-08-30,6000
607,2014-08-31,5990
608,2014-09-01,5970
609,2014-09-02,5960
610,2014-09-03,5940
611,2014-09-04,5920
612,2014-09-05,5910
613,2014-09-06,5900
614,2014-09-07,5880
615,2014-09-08,5870
616,2014-09-09,5860
617,2014-09-10,5850
618,2014-09-11,5830
619,2014-09-12,5820
620,2014-09-13,5800
621,2014-09-14,5790
622,2014-09-15,5780
623,2014-09-16,5760
624,2014-09-17,5750
625,2014-09-18,5730
626,2014-09-19,5720
627,2014-09-20,5700
628,2014-09-21,5690
629,2014-09-22,5670
630,2014-09-23,5660
631,2014-09-24,5650
632,2014-09-25,5650
633,2014-09-26,5640
634,2014-09-27,5630
635,2014-09-28,5620
636,2014-09-29,5610
637,2014-09-30,5600
638,2014-10-01,5580
639,2014-10-02,5560
640,2014-10-03,5550
641,2014-10-04,5540
642,2014-10-05,5520
643,2014-10-06,5500
644,2014-10-07,5490
645,2014-10-08,5460
646,2014-10-09,5410
647,2014-10-10,5340
648,2014-10-11,5270
649,2014-10-12,5190
650,2014-10-13,5130
651,2014-10-14,5060
652,2014-10-15,5030
653,2014-10-16,4980
654,2014-10-17,4920
655,2014-10-18,4860
656,2014-10-19,4800
657,2014-10-20,4770
658,2014-10-21,4740
659,2014-10-22,4710
660,2014-10-23,4680
661,2014-10-24,4630
662,2014-10-25,4590
663,2014-10-26,4550
664,2014-10-27,4500
665,2014-10-28,4460
666,2014-10-29,4410
667,2014-10-30,4360
668,2014-10-31,4330
669,2014-11-01,4300
670,2014-11-02,4260
671,2014-11-03,4210
672,2014-11-04,4170
673,2014-11-05,4130
674,2014-11-06,4080
675,2014-11-07,4040
676,2014-11-08,3990
677,2014-11-09,3950
678,2014-11-10,3900
679,2014-11-11,3850
680,2014-11-12,3810
681,2014-11-13,3780
682,2014-11-14,3740
683,2014-11-15,3690
684,2014-11-16,3650
685,2014-11-17,3600
686,2014-11-18,3560
687,2014-11-19,3520
688,2014-11-20,3490
689,2014-11-21,3450
690,2014-11-22,3440
691,2014-11-23,3400
692,2014-11-24,3350
693,2014-11-25,3310
694,2014-11-26,3280
695,2014-11-27,3230
696,2014-11-28,3190
697,2014-11-29,3190
698,2014-11-30,3170
699,2014-12-01,3160
700,2014-12-02,3170
701,2014-12-03,3490
702,2014-12-04,3670
703,2014-12-05,3710
704,2014-12-06,3790
705,2014-12-07,3800
706,2014-12-08,3780
707,2014-12-09,3780
708,2014-12-10,3790
709,2014-12-11,3890
710,2014-12-12,3950
711,2014-12-13,3980
712,2014-12-14,3990
713,2014-12-15,3990
714,2014-12-16,4010
715,2014-12-17,4030
716,2014-12-18,4040
717,2014-12-19,4070
718,2014-12-20,4110
719,2014-12-21,4170
720,2014-12-22,4220
721,2014-12-23,4250
722,2014-12-24,4300
723,2014-12-25,4330
724,2014-12-26,4370
725,2014-12-27,4390
726,2014-12-28,4400
727,2014-12-29,4410
728,2014-12-30,4420
729,2014-12-31,4420
730,2015-01-01,4430
731,2015-01-02,4430
732,2015-01-03,4450
733,2015-01-04,4450
734,2015-01-05,4460
735,2015-01-06,4470
736,2015-01-07,4480
737,2015-01-08,4490
738,2015-01-09,4500
739,2015-01-10,4510
740,2015-01-11,4520
741,2015-01-12,4530
742,2015-01-13,4540
743,2015-01-14,4540
744,2015-01-15,4550
745,2015-01-16,4560
746,2015-01-17,4580
747,2015-01-18,4590
748,2015-01-19,4610
749,2015-01-20,4630
750,2015-01-21,4630
751,2015-01-22,4630
752,2015-01-23,4640
753,2015-01-24,4660
754,2015-01-25,4650
755,2015-01-26,4650
756,2015-01-27,4660
757,2015-01-28,4670
758,2015-01-29,4670
759,2015-01-30,4670
760,2015-01-31,4680
761,2015-02-01,4690
762,2015-02-02,4690
763,2015-02-03,4700
764,2015-02-04,4700
765,2015-02-05,4710
766,2015-02-06,4800
767,2015-02-07,5100
768,2015-02-08,5460
769,2015-02-09,5830
770,2015-02-10,5940
771,2015-02-11,6000
772,2015-02-12,6050
773,2015-02-13,6090
774,2015-02-14,6110
775,2015-02-15,6140
776,2015-02-16,6160
777,2015-02-17,6170
778,2015-02-18,6210
779,2015-02-19,6200
780,2015-02-20,6210
781,2015-02-21,6220
782,2015-02-22,6220
783,2015-02-23,6240
784,2015-02-24,6240
785,2015-02-25,6250
786,2015-02-26,6260
787,2015-02-27,6280
788,2015-02-28,6290
789,2015-03-01,6300
790,2015-03-02,6300
791,2015-03-03,6300
792,2015-03-04,6300
793,2015-03-05,6310
794,2015-03-06,6310
795,2015-03-07,6300
796,2015-03-08,6310
797,2015-03-09,6310
798,2015-03-10,6310
799,2015-03-11,6330
800,2015-03-12,6350
801,2015-03-13,6350
802,2015-03-14,6360
803,2015-03-15,6360
804,2015-03-16,6360
805,2015-03-17,6360
806,2015-03-18,6370
807,2015-03-19,6370
808,2015-03-20,6370
809,2015-03-21,6370
810,2015-03-22,6370
811,2015-03-23,6380
812,2015-03-24,6390
813,2015-03-25,6390
814,2015-03-26,6390
815,2015-03-27,6390
816,2015-03-28,6390
817,2015-03-29,6380
818,2015-03-30,6380
819,2015-03-31,6360
820,2015-04-01,6360
821,2015-04-02,6350
822,2015-04-03,6350
823,2015-04-04,6350
824,2015-04-05,6350
825,2015-04-06,6350
826,2015-04-07,6370
827,2015-04-08,6370
828,2015-04-09,6370
829,2015-04-10,6370
830,2015-04-11,6370
