,datetime,WILLOW_CREEK_LAKE_AT_HEPPNER__OR.
426,2012-03-02,2068.42
427,2012-03-03,2068.58
428,2012-03-04,2068.8
429,2012-03-05,2069.04
430,2012-03-06,2069.29
431,2012-03-07,2069.52
432,2012-03-08,2069.75
433,2012-03-09,2069.98
434,2012-03-10,2070.22
435,2012-03-11,2070.47
436,2012-03-12,2070.73
437,2012-03-13,2070.96
438,2012-03-14,2071.21
439,2012-03-15,2071.53
440,2012-03-16,2072.11
441,2012-03-17,2072.62
442,2012-03-18,2073.01
443,2012-03-19,2073.26
444,2012-03-20,2073.41
445,2012-03-21,2073.62
446,2012-03-22,2073.91
447,2012-03-23,2074.27
448,2012-03-24,2074.62
449,2012-03-25,2074.97
450,2012-03-26,2075.21
451,2012-03-27,2075.27
452,2012-03-28,2075.29
453,2012-03-29,2075.29
454,2012-03-30,2075.35
455,2012-03-31,2075.57
456,2012-04-01,2075.69
457,2012-04-02,2075.75
458,2012-04-03,2075.73
459,2012-04-04,2075.75
460,2012-04-05,2075.73
461,2012-04-06,2075.68
462,2012-04-07,2075.6
463,2012-04-08,2075.49
464,2012-04-09,2075.47
465,2012-04-10,2075.48
466,2012-04-11,2075.58
467,2012-04-12,2075.78
468,2012-04-13,2075.94
469,2012-04-14,2076.05
470,2012-04-15,2076.14
471,2012-04-16,2076.35
472,2012-04-17,2076.64
473,2012-04-18,2076.81
474,2012-04-19,2076.9
475,2012-04-20,2077.04
476,2012-04-21,2077.2
477,2012-04-22,2077.3
478,2012-04-23,2077.28
479,2012-04-24,2076.97
480,2012-04-25,2076.56
481,2012-04-26,2076.31
482,2012-04-27,2076.13
483,2012-04-28,2076.03
484,2012-04-29,2075.85
485,2012-04-30,2075.75
486,2012-05-01,2075.9
487,2012-05-02,2076.0
488,2012-05-03,2076.06
489,2012-05-04,2075.97
490,2012-05-05,2075.84
491,2012-05-06,2075.66
492,2012-05-07,2075.51
493,2012-05-08,2075.73
494,2012-05-09,2076.03
495,2012-05-10,2076.12
496,2012-05-11,2076.16
497,2012-05-12,2076.14
498,2012-05-13,2076.06
499,2012-05-14,2075.99
500,2012-05-15,2076.0
501,2012-05-16,2076.02
502,2012-05-17,2076.02
503,2012-05-18,2076.0
504,2012-05-19,2075.98
505,2012-05-20,2075.96
506,2012-05-21,2075.97
507,2012-05-22,2076.01
508,2012-05-23,2076.02
509,2012-05-24,2076.01
510,2012-05-25,2076.07
511,2012-05-26,2076.09
512,2012-05-27,2076.09
513,2012-05-28,2076.07
514,2012-05-29,2076.04
515,2012-05-30,2075.98
516,2012-05-31,2075.95
517,2012-06-01,2075.96
518,2012-06-02,2075.99
519,2012-06-03,2076.01
520,2012-06-04,2076.11
521,2012-06-05,2076.32
522,2012-06-06,2076.51
523,2012-06-07,2076.67
524,2012-06-08,2076.75
525,2012-06-09,2076.91
526,2012-06-10,2077.04
527,2012-06-11,2077.06
528,2012-06-12,2076.96
529,2012-06-13,2076.8
530,2012-06-14,2076.6
531,2012-06-15,2076.44
532,2012-06-16,2076.32
533,2012-06-17,2076.15
534,2012-06-18,2076.05
535,2012-06-19,2076.03
536,2012-06-20,2076.01
537,2012-06-21,2075.98
538,2012-06-22,2075.965
539,2012-06-23,2075.95
540,2012-06-24,2075.86
541,2012-06-25,2075.75
542,2012-06-26,2075.7
543,2012-06-27,2075.64
544,2012-06-28,2075.54
545,2012-06-29,2075.44
546,2012-06-30,2075.39
547,2012-07-01,2075.39
548,2012-07-02,2075.39
549,2012-07-03,2075.21
550,2012-07-04,2075.13
551,2012-07-05,2075.06
552,2012-07-06,2074.99
553,2012-07-07,2074.88
554,2012-07-08,2074.78
555,2012-07-09,2074.69
556,2012-07-10,2074.55
557,2012-07-11,2074.4
558,2012-07-12,2074.24
559,2012-07-13,2074.06
560,2012-07-14,2073.91
561,2012-07-15,2073.74
562,2012-07-16,2073.59
563,2012-07-17,2073.53
564,2012-07-18,2073.4
565,2012-07-19,2073.25
566,2012-07-20,2073.1
567,2012-07-21,2072.95
568,2012-07-22,2072.77
569,2012-07-23,2072.63
570,2012-07-24,2072.49
571,2012-07-25,2072.35
572,2012-07-26,2072.22
573,2012-07-27,2072.06
574,2012-07-28,2071.92
575,2012-07-29,2071.79
576,2012-07-30,2071.63
577,2012-07-31,2071.48
578,2012-08-01,2071.28
579,2012-08-02,2071.09
580,2012-08-03,2070.9
581,2012-08-04,2070.67
582,2012-08-05,2070.42
583,2012-08-06,2070.17
584,2012-08-07,2069.9
585,2012-08-08,2069.63
586,2012-08-09,2069.36
587,2012-08-10,2069.09
588,2012-08-11,2068.82
589,2012-08-12,2068.55
590,2012-08-13,2068.27
591,2012-08-14,2068.0
592,2012-08-15,2067.72
593,2012-08-16,2067.44
594,2012-08-17,2067.15
595,2012-08-18,2066.87
596,2012-08-19,2066.59
597,2012-08-20,2066.31
598,2012-08-21,2066.01
599,2012-08-22,2065.71
600,2012-08-23,2065.41
601,2012-08-24,2065.12
602,2012-08-25,2064.83
603,2012-08-26,2064.54
604,2012-08-27,2064.25
605,2012-08-28,2063.96
606,2012-08-29,2063.67
607,2012-08-30,2063.38
608,2012-08-31,2063.08
609,2012-09-01,2062.84
610,2012-09-02,2062.64
611,2012-09-03,2062.44
612,2012-09-04,2062.27
613,2012-09-05,2062.11
614,2012-09-06,2061.95
615,2012-09-07,2061.8
616,2012-09-08,2061.65
617,2012-09-09,2061.48
618,2012-09-10,2061.32
619,2012-09-11,2061.17
620,2012-09-12,2061.02
621,2012-09-13,2060.87
622,2012-09-14,2060.72
623,2012-09-15,2060.58
624,2012-09-16,2060.47
625,2012-09-17,2060.35
626,2012-09-18,2060.25
627,2012-09-19,2060.16
628,2012-09-20,2060.05
629,2012-09-21,2059.94
630,2012-09-22,2059.84
631,2012-09-23,2059.75
632,2012-09-24,2059.65
633,2012-09-25,2059.52
634,2012-09-26,2059.39
635,2012-09-27,2059.25
636,2012-09-28,2059.11
637,2012-09-29,2058.96
638,2012-09-30,2058.81
639,2012-10-01,2058.67
640,2012-10-02,2058.51
641,2012-10-03,2058.35
642,2012-10-04,2058.21
643,2012-10-05,2058.06
644,2012-10-06,2057.92
645,2012-10-07,2057.78
646,2012-10-08,2057.65
647,2012-10-09,2057.53
648,2012-10-10,2057.44
649,2012-10-11,2057.38
650,2012-10-12,2057.33
651,2012-10-13,2057.29
652,2012-10-14,2057.25
653,2012-10-15,2057.24
654,2012-10-16,2057.22
655,2012-10-17,2057.19
656,2012-10-18,2057.16
657,2012-10-19,2057.13
658,2012-10-20,2057.11
659,2012-10-21,2057.09
660,2012-10-22,2057.07
661,2012-10-23,2057.07
662,2012-10-24,2057.08
663,2012-10-25,2057.08
664,2012-10-26,2057.09
665,2012-10-27,2057.11
666,2012-10-28,2057.15
667,2012-10-29,2057.19
668,2012-10-30,2057.22
669,2012-10-31,2057.26
670,2012-11-01,2057.27
671,2012-11-02,2057.26
672,2012-11-03,2057.26
673,2012-11-04,2057.24
674,2012-11-05,2057.23
675,2012-11-06,2057.22
676,2012-11-07,2057.22
677,2012-11-08,2057.23
678,2012-11-09,2057.25
679,2012-11-10,2057.28
680,2012-11-11,2057.32
681,2012-11-12,2057.36
682,2012-11-13,2057.4
683,2012-11-14,2057.41
684,2012-11-15,2057.42
685,2012-11-16,2057.44
686,2012-11-17,2057.46
687,2012-11-18,2057.57
688,2012-11-19,2057.45
689,2012-11-20,2057.48
690,2012-11-21,2057.54
691,2012-11-22,2057.58
692,2012-11-23,2057.61
693,2012-11-24,2057.63
694,2012-11-25,2057.67
695,2012-11-26,2057.7
696,2012-11-27,2057.71
697,2012-11-28,2057.73
698,2012-11-29,2057.74
699,2012-11-30,2057.81
700,2012-12-01,2057.87
701,2012-12-02,2058.09
702,2012-12-03,2058.26
703,2012-12-04,2058.36
704,2012-12-05,2058.45
705,2012-12-06,2058.52
706,2012-12-07,2058.59
707,2012-12-08,2058.64
708,2012-12-09,2058.7
709,2012-12-10,2058.76
710,2012-12-11,2058.83
711,2012-12-12,2058.89
712,2012-12-13,2058.94
713,2012-12-14,2058.98
714,2012-12-15,2059.01
715,2012-12-16,2059.09
716,2012-12-17,2059.12
717,2012-12-18,2059.15
718,2012-12-19,2059.27
719,2012-12-20,2059.19
720,2012-12-21,2059.28
721,2012-12-22,2059.34
722,2012-12-23,2059.37
723,2012-12-24,2059.41
724,2012-12-25,2059.48
725,2012-12-26,2059.57
726,2012-12-27,2059.62
727,2012-12-28,2059.65
728,2012-12-29,2059.69
729,2012-12-30,2059.74
730,2012-12-31,2059.75
731,2013-01-01,2059.78
732,2013-01-02,2059.81
733,2013-01-03,2059.84
734,2013-01-04,2059.88
735,2013-01-05,2059.93
736,2013-01-06,2060.0
737,2013-01-07,2060.07
738,2013-01-08,2060.2
739,2013-01-09,2060.39
740,2013-01-10,2060.64
741,2013-01-11,2060.88
742,2013-01-12,2061.03
743,2013-01-13,2061.17
744,2013-01-14,2061.31
745,2013-01-15,2061.46
746,2013-01-16,2061.58
747,2013-01-17,2061.68
748,2013-01-18,2061.8
749,2013-01-19,2061.91
750,2013-01-20,2062.01
751,2013-01-21,2062.1
752,2013-01-22,2062.19
753,2013-01-23,2062.29
754,2013-01-24,2062.4
755,2013-01-25,2062.59
756,2013-01-26,2062.88
757,2013-01-27,2063.18
758,2013-01-28,2063.46
759,2013-01-29,2063.72
760,2013-01-30,2064.01
761,2013-01-31,2064.4
762,2013-02-01,2064.76
763,2013-02-02,2065.09
764,2013-02-03,2065.37
765,2013-02-04,2065.54
766,2013-02-05,2065.62
767,2013-02-06,2065.66
768,2013-02-07,2065.66
769,2013-02-08,2065.64
770,2013-02-09,2065.58
771,2013-02-10,2065.52
772,2013-02-11,2065.52
773,2013-02-12,2065.6
774,2013-02-13,2065.65
775,2013-02-14,2065.74
776,2013-02-15,2065.85
777,2013-02-16,2065.97
778,2013-02-17,2066.09
779,2013-02-18,2066.21
780,2013-02-19,2066.33
781,2013-02-20,2066.45
782,2013-02-21,2066.56
783,2013-02-22,2066.66
784,2013-02-23,2066.76
785,2013-02-24,2066.84
786,2013-02-25,2066.93
787,2013-02-26,2067.04
788,2013-02-27,2067.13
789,2013-02-28,2067.24
790,2013-03-01,2067.41
791,2013-03-02,2067.66
792,2013-03-03,2067.98
793,2013-03-04,2068.29
794,2013-03-05,2068.58
795,2013-03-06,2068.88
796,2013-03-07,2069.16
797,2013-03-08,2069.41
798,2013-03-09,2069.63
799,2013-03-10,2069.83
800,2013-03-11,2070.05
801,2013-03-12,2070.3
802,2013-03-13,2070.61
803,2013-03-14,2070.99
804,2013-03-15,2071.46
805,2013-03-16,2071.91
806,2013-03-17,2072.23
807,2013-03-18,2072.43
808,2013-03-19,2072.5
809,2013-03-20,2072.58
810,2013-03-21,2072.72
811,2013-03-22,2072.8
812,2013-03-23,2072.85
813,2013-03-24,2072.88
814,2013-03-25,2072.91
815,2013-03-26,2073.03
816,2013-03-27,2073.17
817,2013-03-28,2073.35
818,2013-03-29,2073.59
819,2013-03-30,2073.92
820,2013-03-31,2074.35
821,2013-04-01,2074.75
822,2013-04-02,2075.07
823,2013-04-03,2075.43
824,2013-04-04,2075.69
825,2013-04-05,2075.88
826,2013-04-06,2075.87
827,2013-04-07,2075.82
828,2013-04-08,2075.72
829,2013-04-09,2075.49
830,2013-04-10,2075.35
831,2013-04-11,2075.43
832,2013-04-12,2075.6
833,2013-04-13,2075.73
834,2013-04-14,2075.84
