,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
280,2014-07-07,1346.82
281,2014-07-08,1346.86
282,2014-07-09,1346.88
283,2014-07-10,1346.9
284,2014-07-11,1346.92
285,2014-07-12,1346.92
286,2014-07-13,1346.92
287,2014-07-14,1346.92
288,2014-07-15,1346.92
289,2014-07-16,1346.91
290,2014-07-17,1346.88
291,2014-07-18,1346.86
292,2014-07-19,1346.83
293,2014-07-20,1346.79
294,2014-07-21,1346.63
295,2014-07-22,1346.27
296,2014-07-23,1346.0
297,2014-07-24,1345.68
298,2014-07-25,1345.32
299,2014-07-26,1344.96
300,2014-07-27,1344.59
301,2014-07-28,1344.22
302,2014-07-29,1343.85
303,2014-07-30,1343.46
304,2014-07-31,1342.83
305,2014-08-01,1341.97
306,2014-08-02,1341.1
307,2014-08-03,1340.23
308,2014-08-04,1339.36
309,2014-08-05,1338.48
310,2014-08-06,1337.58
311,2014-08-07,1336.68
312,2014-08-08,1335.77
313,2014-08-09,1334.87
314,2014-08-10,1333.96
315,2014-08-11,1333.06
316,2014-08-12,1332.09
317,2014-08-13,1331.13
318,2014-08-14,1330.17
319,2014-08-15,1329.2
320,2014-08-16,1328.21
321,2014-08-17,1327.22
322,2014-08-18,1326.24
323,2014-08-19,1325.23
324,2014-08-20,1324.23
325,2014-08-21,1323.22
326,2014-08-22,1322.19
327,2014-08-23,1321.17
328,2014-08-24,1320.14
329,2014-08-25,1319.11
330,2014-08-26,1318.08
331,2014-08-27,1316.99
332,2014-08-28,1315.9
333,2014-08-29,1314.81
334,2014-08-30,1313.74
335,2014-08-31,1312.66
336,2014-09-01,1311.56
337,2014-09-02,1310.44
338,2014-09-03,1309.29
339,2014-09-04,1308.11
340,2014-09-05,1306.92
341,2014-09-06,1305.72
342,2014-09-07,1304.52
343,2014-09-08,1303.31
344,2014-09-09,1302.1
345,2014-09-10,1301.44
346,2014-09-11,1301.3
347,2014-09-12,1300.37
348,2014-09-13,1299.09
349,2014-09-14,1297.8
350,2014-09-15,1296.51
351,2014-09-16,1295.2
352,2014-09-17,1293.9
353,2014-09-18,1292.57
354,2014-09-19,1291.23
355,2014-09-20,1289.88
356,2014-09-21,1288.5
357,2014-09-22,1287.11
358,2014-09-23,1285.7
359,2014-09-24,1284.49
360,2014-09-25,1283.2
361,2014-09-26,1281.81
362,2014-09-27,1280.36
363,2014-09-28,1278.82
364,2014-09-29,1277.18
365,2014-09-30,1275.1
366,2014-10-01,1272.98
367,2014-10-02,1270.79
368,2014-10-03,1268.56
369,2014-10-04,1266.31
370,2014-10-05,1264.01
371,2014-10-06,1261.67
372,2014-10-07,1259.29
373,2014-10-08,1256.9
374,2014-10-09,1254.46
375,2014-10-10,1251.98
376,2014-10-11,1249.51
377,2014-10-12,1246.98
378,2014-10-13,1244.39
379,2014-10-14,1241.76
380,2014-10-15,1239.21
381,2014-10-16,1236.35
382,2014-10-17,1232.94
383,2014-10-18,1229.31
384,2014-10-19,1225.49
385,2014-10-20,1221.33
386,2014-10-21,1217.33
387,2014-10-22,1213.62
388,2014-10-23,1215.04
389,2014-10-24,1211.91
390,2014-10-25,1207.79
391,2014-10-26,1208.31
392,2014-10-27,1207.62
393,2014-10-28,1205.34
394,2014-10-29,1204.49
395,2014-10-30,1201.81
396,2014-10-31,1206.55
397,2014-11-01,1203.57
398,2014-11-02,1197.66
399,2014-11-03,1194.23
400,2014-11-04,1198.6
401,2014-11-05,1204.05
402,2014-11-06,1206.45
403,2014-11-07,1206.52
404,2014-11-08,1205.6
405,2014-11-09,1204.25
406,2014-11-10,1202.61
407,2014-11-11,1200.6
408,2014-11-12,1198.31
409,2014-11-13,1200.87
410,2014-11-14,1222.43
411,2014-11-15,1222.06
412,2014-11-16,1217.36
413,2014-11-17,1210.37
414,2014-11-18,1201.55
415,2014-11-19,1191.54
416,2014-11-20,1181.17
417,2014-11-21,1182.9
418,2014-11-22,1213.92
419,2014-11-23,1218.7
420,2014-11-24,1219.13
421,2014-11-25,1222.03
422,2014-11-26,1220.54
423,2014-11-27,1215.81
424,2014-11-28,1223.6
425,2014-11-29,1235.72
426,2014-11-30,1233.01
427,2014-12-01,1226.78
428,2014-12-02,1220.98
429,2014-12-03,1212.37
430,2014-12-04,1202.9
431,2014-12-05,1193.32
432,2014-12-06,1188.62
433,2014-12-07,1186.22
434,2014-12-08,1184.31
435,2014-12-09,1183.55
436,2014-12-10,1183.66
437,2014-12-11,1184.62
438,2014-12-12,1183.87
439,2014-12-13,1181.8
440,2014-12-14,1180.34
441,2014-12-15,1180.02
442,2014-12-16,1180.63
443,2014-12-17,1180.42
444,2014-12-18,1179.61
445,2014-12-19,1181.86
446,2014-12-20,1215.65
447,2014-12-21,1267.89
448,2014-12-22,1284.14
449,2014-12-23,1272.788
450,2014-12-24,1261.4360000000001
451,2014-12-25,1250.084
452,2014-12-26,1238.7320000000002
453,2014-12-27,1227.38
454,2014-12-28,1210.28
455,2014-12-29,1196.02
456,2014-12-30,1188.37
457,2014-12-31,1184.17
458,2015-01-01,1182.01
459,2015-01-02,1180.84
460,2015-01-03,1180.67
461,2015-01-04,1181.02
462,2015-01-05,1181.94
463,2015-01-06,1181.93
464,2015-01-07,1183.42
465,2015-01-08,1181.68
466,2015-01-09,1181.38
467,2015-01-10,1180.53
468,2015-01-11,1180.4
469,2015-01-12,1180.47
470,2015-01-13,1180.13
471,2015-01-14,1179.94
472,2015-01-15,1180.17
473,2015-01-16,1189.91
474,2015-01-17,1201.95
475,2015-01-18,1216.63
476,2015-01-19,1217.15
477,2015-01-20,1213.2
478,2015-01-21,1211.64
479,2015-01-22,1210.27
480,2015-01-23,1207.86
481,2015-01-24,1204.72
482,2015-01-25,1200.96
483,2015-01-26,1196.89
484,2015-01-27,1194.73
485,2015-01-28,1193.69
486,2015-01-29,1192.32
