,datetime,LAKE_BRYAN_FOREBAY_AT_LITTLE_GOOSE_DAM__WA.tsv
322,2014-02-04,345.5801020408163
323,2014-02-05,345.3642857142857
324,2014-02-06,345.1484693877551
325,2014-02-07,344.9326530612245
326,2014-02-08,344.71683673469386
327,2014-02-09,344.5010204081633
328,2014-02-10,344.2852040816326
329,2014-02-11,344.06938775510207
330,2014-02-12,343.8535714285714
331,2014-02-13,343.63775510204084
332,2014-02-14,343.42193877551017
333,2014-02-15,343.2061224489796
334,2014-02-16,342.99030612244894
335,2014-02-17,342.7744897959184
336,2014-02-18,342.55867346938777
337,2014-02-19,342.34285714285716
338,2014-02-20,342.12704081632654
339,2014-02-21,341.9112244897959
340,2014-02-22,341.6954081632653
341,2014-02-23,341.4795918367347
342,2014-02-24,341.2637755102041
343,2014-02-25,341.04795918367347
344,2014-02-26,340.83214285714286
345,2014-02-27,340.61632653061224
346,2014-02-28,340.4005102040816
347,2014-03-01,340.184693877551
348,2014-03-02,339.9688775510204
349,2014-03-03,339.7530612244898
350,2014-03-04,339.53724489795917
351,2014-03-05,339.32142857142856
352,2014-03-06,339.10561224489794
353,2014-03-07,338.8897959183673
354,2014-03-08,338.67397959183677
355,2014-03-09,338.4581632653061
356,2014-03-10,338.24234693877554
357,2014-03-11,338.02653061224487
358,2014-03-12,337.8107142857143
359,2014-03-13,337.59489795918364
360,2014-03-14,337.3790816326531
361,2014-03-15,337.1632653061224
362,2014-03-16,336.94744897959185
363,2014-03-17,336.73163265306124
364,2014-03-18,336.5158163265306
365,2014-03-19,336.3
366,2014-03-20,332.3
367,2014-03-21,330.8
368,2014-03-22,325.4
369,2014-03-23,326.3
370,2014-03-24,325.2
371,2014-03-25,328.9
372,2014-03-26,333.4
373,2014-03-27,331.3
374,2014-03-28,330.3
375,2014-03-29,333.6
376,2014-03-30,333.1
377,2014-03-31,334.3
378,2014-04-01,335.0
379,2014-04-02,334.2
380,2014-04-03,333.5
381,2014-04-04,335.7
382,2014-04-05,336.8
383,2014-04-06,342.0
384,2014-04-07,347.7
385,2014-04-08,357.3
386,2014-04-09,359.2
387,2014-04-10,361.5
388,2014-04-11,363.4
389,2014-04-12,363.7
390,2014-04-13,357.4
391,2014-04-14,359.8
392,2014-04-15,359.4
393,2014-04-16,357.1
394,2014-04-17,359.1
395,2014-04-18,358.7
396,2014-04-19,357.9
397,2014-04-20,352.8
398,2014-04-21,354.9
399,2014-04-22,357.7
400,2014-04-23,357.7
401,2014-04-24,354.7
402,2014-04-25,352.6
403,2014-04-26,355.5
404,2014-04-27,355.5
405,2014-04-28,347.8
406,2014-04-29,341.4
407,2014-04-30,348.5
408,2014-05-01,359.0
409,2014-05-02,364.5
410,2014-05-03,366.8
411,2014-05-04,365.4
412,2014-05-05,365.3
413,2014-05-06,365.8
414,2014-05-07,363.9
415,2014-05-08,369.5
416,2014-05-09,370.3
417,2014-05-10,359.6
418,2014-05-11,352.3
419,2014-05-12,353.1
420,2014-05-13,356.5
421,2014-05-14,358.3
422,2014-05-15,363.9
423,2014-05-16,368.8
424,2014-05-17,368.3
425,2014-05-18,368.0
426,2014-05-19,367.5
427,2014-05-20,371.6
428,2014-05-21,377.0
429,2014-05-22,372.2
430,2014-05-23,364.2
431,2014-05-24,366.1
432,2014-05-25,375.6
433,2014-05-26,382.5
434,2014-05-27,386.4
435,2014-05-28,385.1
436,2014-05-29,380.4
437,2014-05-30,382.3
438,2014-05-31,385.3
439,2014-06-01,387.5
440,2014-06-02,386.1
441,2014-06-03,382.7
442,2014-06-04,376.4
443,2014-06-05,376.1
444,2014-06-06,377.7
445,2014-06-07,376.0
446,2014-06-08,374.8
447,2014-06-09,375.5
448,2014-06-10,373.0
449,2014-06-11,369.5
450,2014-06-12,372.5
451,2014-06-13,367.0
452,2014-06-14,362.9
453,2014-06-15,360.9
454,2014-06-16,360.3
455,2014-06-17,359.9
456,2014-06-18,361.4
457,2014-06-19,364.9
458,2014-06-20,367.8
459,2014-06-21,367.8
460,2014-06-22,370.4
461,2014-06-23,375.2
462,2014-06-24,378.5
463,2014-06-25,383.9
464,2014-06-26,389.5
465,2014-06-27,389.3
466,2014-06-28,385.4
467,2014-06-29,380.5
468,2014-06-30,378.2
469,2014-07-01,385.7
470,2014-07-02,394.6
471,2014-07-03,390.4
472,2014-07-04,388.6
473,2014-07-05,387.1
474,2014-07-06,387.5
475,2014-07-07,391.9
476,2014-07-08,400.4
477,2014-07-09,403.2
478,2014-07-10,400.7
479,2014-07-11,403.4
480,2014-07-12,402.8
481,2014-07-13,398.4
482,2014-07-14,399.2
483,2014-07-15,403.1
484,2014-07-16,402.7
485,2014-07-17,399.9
486,2014-07-18,396.1
487,2014-07-19,392.8
488,2014-07-20,391.1
489,2014-07-21,385.2
490,2014-07-22,382.2
491,2014-07-23,381.0
492,2014-07-24,378.7
493,2014-07-25,378.8
494,2014-07-26,377.8
495,2014-07-27,378.2
496,2014-07-28,380.1
497,2014-07-29,382.0
498,2014-07-30,388.5
499,2014-07-31,397.0
500,2014-08-01,401.9
501,2014-08-02,405.0
502,2014-08-03,403.8
503,2014-08-04,399.3
504,2014-08-05,401.3
505,2014-08-06,398.9
506,2014-08-07,399.5
507,2014-08-08,397.9
508,2014-08-09,398.5
509,2014-08-10,395.8
510,2014-08-11,397.5
511,2014-08-12,399.8
512,2014-08-13,400.0
513,2014-08-14,398.7
514,2014-08-15,398.5
515,2014-08-16,401.2
516,2014-08-17,400.9
517,2014-08-18,398.3
518,2014-08-19,399.6
519,2014-08-20,400.9
520,2014-08-21,399.2
521,2014-08-22,397.5
522,2014-08-23,394.2
523,2014-08-24,391.5
524,2014-08-25,390.0
525,2014-08-26,388.1
526,2014-08-27,387.4
527,2014-08-28,387.2
528,2014-08-29,389.0
529,2014-08-30,386.3
530,2014-08-31,383.3
531,2014-09-01,381.3
532,2014-09-02,379.9
533,2014-09-03,373.5
534,2014-09-04,370.3
535,2014-09-05,368.1
536,2014-09-06,367.8
537,2014-09-07,368.3
538,2014-09-08,364.5
539,2014-09-09,356.6
540,2014-09-10,358.4
541,2014-09-11,361.7
542,2014-09-12,363.7
543,2014-09-13,362.5
544,2014-09-14,354.4
545,2014-09-15,351.1
546,2014-09-16,349.3
547,2014-09-17,351.4
548,2014-09-18,349.3
549,2014-09-19,347.1
550,2014-09-20,358.0
551,2014-09-21,360.6
552,2014-09-22,351.0
553,2014-09-23,352.1
554,2014-09-24,352.8
555,2014-09-25,352.6712643678161
556,2014-09-26,352.54252873563223
557,2014-09-27,352.4137931034483
558,2014-09-28,352.2850574712644
559,2014-09-29,352.1563218390805
560,2014-09-30,352.02758620689656
561,2014-10-01,351.89885057471264
562,2014-10-02,351.7701149425287
563,2014-10-03,351.64137931034486
564,2014-10-04,351.5126436781609
565,2014-10-05,351.383908045977
566,2014-10-06,351.25517241379305
567,2014-10-07,351.1264367816092
568,2014-10-08,350.99770114942527
569,2014-10-09,350.86896551724135
570,2014-10-10,350.7402298850575
571,2014-10-11,350.61149425287357
572,2014-10-12,350.48275862068965
573,2014-10-13,350.35402298850573
574,2014-10-14,350.2252873563218
575,2014-10-15,350.09655172413795
576,2014-10-16,349.96781609195403
577,2014-10-17,349.8390804597701
578,2014-10-18,349.7103448275862
579,2014-10-19,349.5816091954023
580,2014-10-20,349.4528735632184
581,2014-10-21,349.3241379310345
582,2014-10-22,349.1954022988506
583,2014-10-23,349.06666666666666
584,2014-10-24,348.93793103448274
585,2014-10-25,348.8091954022988
586,2014-10-26,348.68045977011496
587,2014-10-27,348.55172413793105
588,2014-10-28,348.4229885057472
589,2014-10-29,348.2942528735632
590,2014-10-30,348.1655172413793
591,2014-10-31,348.0367816091954
592,2014-11-01,347.9080459770115
593,2014-11-02,347.77931034482754
594,2014-11-03,347.6505747126437
595,2014-11-04,347.52183908045976
596,2014-11-05,347.39310344827584
597,2014-11-06,347.264367816092
598,2014-11-07,347.135632183908
599,2014-11-08,347.00689655172414
600,2014-11-09,346.8781609195402
601,2014-11-10,346.7494252873563
602,2014-11-11,346.62068965517244
603,2014-11-12,346.4919540229885
604,2014-11-13,346.3632183908046
605,2014-11-14,346.2344827586207
606,2014-11-15,346.10574712643677
607,2014-11-16,345.9770114942529
608,2014-11-17,345.848275862069
609,2014-11-18,345.71954022988507
610,2014-11-19,345.59080459770115
611,2014-11-20,345.46206896551723
612,2014-11-21,345.3333333333333
613,2014-11-22,345.20459770114945
614,2014-11-23,345.07586206896553
615,2014-11-24,344.94712643678156
616,2014-11-25,344.8183908045977
617,2014-11-26,344.68965517241384
618,2014-11-27,344.56091954022986
619,2014-11-28,344.432183908046
620,2014-11-29,344.3034482758621
621,2014-11-30,344.17471264367816
622,2014-12-01,344.04597701149424
623,2014-12-02,343.9172413793103
624,2014-12-03,343.7885057471264
625,2014-12-04,343.6597701149425
626,2014-12-05,343.5310344827586
627,2014-12-06,343.4022988505747
628,2014-12-07,343.2735632183908
629,2014-12-08,343.14482758620693
630,2014-12-09,343.01609195402295
631,2014-12-10,342.8873563218391
632,2014-12-11,342.7586206896551
633,2014-12-12,342.62988505747126
634,2014-12-13,342.5011494252874
635,2014-12-14,342.3724137931035
636,2014-12-15,342.2436781609195
637,2014-12-16,342.11494252873564
638,2014-12-17,341.9862068965517
639,2014-12-18,341.85747126436786
640,2014-12-19,341.7287356321839
641,2014-12-20,341.6
642,2014-12-21,341.4712643678161
643,2014-12-22,341.3425287356322
644,2014-12-23,341.2137931034483
645,2014-12-24,341.0850574712644
646,2014-12-25,340.9563218390805
647,2014-12-26,340.82758620689657
648,2014-12-27,340.69885057471265
649,2014-12-28,340.57011494252873
650,2014-12-29,340.4413793103448
651,2014-12-30,340.3126436781609
652,2014-12-31,340.183908045977
653,2015-01-01,340.0551724137931
654,2015-01-02,339.9264367816092
655,2015-01-03,339.7977011494253
656,2015-01-04,339.66896551724136
657,2015-01-05,339.54022988505744
658,2015-01-06,339.4114942528736
659,2015-01-07,339.28275862068966
660,2015-01-08,339.15402298850574
661,2015-01-09,339.0252873563218
662,2015-01-10,338.8965517241379
663,2015-01-11,338.76781609195405
664,2015-01-12,338.6390804597701
665,2015-01-13,338.5103448275862
666,2015-01-14,338.38160919540235
667,2015-01-15,338.25287356321843
668,2015-01-16,338.1241379310345
669,2015-01-17,337.99540229885054
670,2015-01-18,337.8666666666667
671,2015-01-19,337.73793103448276
672,2015-01-20,337.60919540229884
673,2015-01-21,337.4804597701149
674,2015-01-22,337.351724137931
675,2015-01-23,337.22298850574714
676,2015-01-24,337.0942528735632
677,2015-01-25,336.9655172413793
678,2015-01-26,336.83678160919544
679,2015-01-27,336.7080459770115
680,2015-01-28,336.5793103448276
681,2015-01-29,336.4505747126437
682,2015-01-30,336.32183908045977
683,2015-01-31,336.19310344827585
684,2015-02-01,336.06436781609193
685,2015-02-02,335.93563218390807
686,2015-02-03,335.80689655172415
687,2015-02-04,335.67816091954023
688,2015-02-05,335.5494252873563
689,2015-02-06,335.4206896551724
690,2015-02-07,335.2919540229885
691,2015-02-08,335.16321839080456
692,2015-02-09,335.0344827586207
693,2015-02-10,334.9057471264368
694,2015-02-11,334.77701149425286
695,2015-02-12,334.648275862069
696,2015-02-13,334.519540229885
697,2015-02-14,334.39080459770116
698,2015-02-15,334.26206896551724
699,2015-02-16,334.1333333333333
700,2015-02-17,334.00459770114946
701,2015-02-18,333.8758620689655
702,2015-02-19,333.74712643678157
703,2015-02-20,333.6183908045977
704,2015-02-21,333.4896551724138
705,2015-02-22,333.3609195402299
706,2015-02-23,333.23218390804595
707,2015-02-24,333.1034482758621
708,2015-02-25,332.9747126436781
709,2015-02-26,332.84597701149426
710,2015-02-27,332.71724137931034
711,2015-02-28,332.5885057471264
712,2015-03-01,332.45977011494256
713,2015-03-02,332.33103448275864
714,2015-03-03,332.2022988505747
715,2015-03-04,332.0735632183908
716,2015-03-05,331.9448275862069
717,2015-03-06,331.816091954023
718,2015-03-07,331.6873563218391
719,2015-03-08,331.5586206896552
