,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
441,2014-03-18,1270.21
442,2014-03-19,1269.37
443,2014-03-20,1268.32
444,2014-03-21,1267.61
445,2014-03-22,1266.73
446,2014-03-23,1265.48
447,2014-03-24,1264.65
448,2014-03-25,1263.94
449,2014-03-26,1262.92
450,2014-03-27,1261.72
451,2014-03-28,1260.62
452,2014-03-29,1259.76
453,2014-03-30,1258.75
454,2014-03-31,1257.9
455,2014-04-01,1256.75
456,2014-04-02,1255.83
457,2014-04-03,1254.79
458,2014-04-04,1253.85
459,2014-04-05,1252.73
460,2014-04-06,1251.79
461,2014-04-07,1250.77
462,2014-04-08,1249.76
463,2014-04-09,1249.29
464,2014-04-10,1249.02
465,2014-04-11,1248.35
466,2014-04-12,1247.72
467,2014-04-13,1246.96
468,2014-04-14,1246.37
469,2014-04-15,1245.52
470,2014-04-16,1244.53
471,2014-04-17,1243.48
472,2014-04-18,1242.54
473,2014-04-19,1241.38
474,2014-04-20,1240.44
475,2014-04-21,1239.54
476,2014-04-22,1238.78
477,2014-04-23,1238.07
478,2014-04-24,1237.26
479,2014-04-25,1236.24
480,2014-04-26,1235.63
481,2014-04-27,1235.04
482,2014-04-28,1234.55
483,2014-04-29,1233.84
484,2014-04-30,1233.37
485,2014-05-01,1232.64
486,2014-05-02,1232.17
487,2014-05-03,1231.95
488,2014-05-04,1231.82
489,2014-05-05,1231.98
490,2014-05-06,1232.73
491,2014-05-07,1233.21
492,2014-05-08,1233.72
493,2014-05-09,1234.76
494,2014-05-10,1235.54
495,2014-05-11,1236.38
496,2014-05-12,1236.97
497,2014-05-13,1237.33
498,2014-05-14,1237.57
499,2014-05-15,1237.98
500,2014-05-16,1238.69
501,2014-05-17,1239.92
502,2014-05-18,1241.63
503,2014-05-19,1243.17
504,2014-05-20,1244.6
505,2014-05-21,1245.94
506,2014-05-22,1247.38
507,2014-05-23,1249.02
508,2014-05-24,1251.27
509,2014-05-25,1253.31
510,2014-05-26,1255.54
511,2014-05-27,1257.68
512,2014-05-28,1260.43
513,2014-05-29,1262.56
514,2014-05-30,1264.39
515,2014-05-31,1265.96
516,2014-06-01,1267.27
517,2014-06-02,1268.29
518,2014-06-03,1269.72
519,2014-06-04,1271.09
520,2014-06-05,1272.62
521,2014-06-06,1274.23
522,2014-06-07,1275.74
523,2014-06-08,1276.97
524,2014-06-09,1278.15
525,2014-06-10,1279.51
526,2014-06-11,1280.45
527,2014-06-12,1281.94
528,2014-06-13,1283.27
529,2014-06-14,1284.52
530,2014-06-15,1285.84
531,2014-06-16,1286.48
532,2014-06-17,1287.29
533,2014-06-18,1287.56
534,2014-06-19,1287.62
535,2014-06-20,1287.54
536,2014-06-21,1287.49
537,2014-06-22,1287.37
538,2014-06-23,1287.32
539,2014-06-24,1287.17
540,2014-06-25,1287.0
541,2014-06-26,1286.69
542,2014-06-27,1286.24
543,2014-06-28,1285.81
544,2014-06-29,1285.84
545,2014-06-30,1285.99
546,2014-07-01,1285.94
547,2014-07-02,1285.82
548,2014-07-03,1285.62
549,2014-07-04,1285.8
550,2014-07-05,1286.02
551,2014-07-06,1286.22
552,2014-07-07,1286.77
553,2014-07-08,1287.45
554,2014-07-09,1287.96
555,2014-07-10,1288.5
556,2014-07-11,1288.72
557,2014-07-12,1289.0
558,2014-07-13,1289.57
559,2014-07-14,1289.39
560,2014-07-15,1289.22
561,2014-07-16,1289.14
562,2014-07-17,1289.11
563,2014-07-18,1289.13
564,2014-07-19,1289.03
565,2014-07-20,1289.21
566,2014-07-21,1289.3
567,2014-07-22,1289.21
568,2014-07-23,1288.97
569,2014-07-24,1288.72
570,2014-07-25,1288.48
571,2014-07-26,1288.27
572,2014-07-27,1288.4
573,2014-07-28,1288.4
574,2014-07-29,1288.37
575,2014-07-30,1288.14
576,2014-07-31,1287.73
577,2014-08-01,1287.62
578,2014-08-02,1287.7
579,2014-08-03,1288.04
580,2014-08-04,1287.98
581,2014-08-05,1287.92
582,2014-08-06,1287.62
583,2014-08-07,1287.3
584,2014-08-08,1287.07
585,2014-08-09,1286.71
586,2014-08-10,1286.46
587,2014-08-11,1286.06
588,2014-08-12,1285.5
589,2014-08-13,1285.1
590,2014-08-14,1284.97
591,2014-08-15,1285.01
592,2014-08-16,1285.21
593,2014-08-17,1285.21
594,2014-08-18,1284.87
595,2014-08-19,1284.79
596,2014-08-20,1284.68
597,2014-08-21,1284.47
598,2014-08-22,1284.3
599,2014-08-23,1284.26
600,2014-08-24,1284.33
601,2014-08-25,1283.82
602,2014-08-26,1283.24
603,2014-08-27,1282.46
604,2014-08-28,1281.44
605,2014-08-29,1280.49
606,2014-08-30,1279.97
607,2014-08-31,1279.48
608,2014-09-01,1279.66
609,2014-09-02,1279.77
610,2014-09-03,1279.72
611,2014-09-04,1279.84
612,2014-09-05,1280.08
613,2014-09-06,1280.39
614,2014-09-07,1280.37
615,2014-09-08,1280.64
616,2014-09-09,1280.49
617,2014-09-10,1280.55
618,2014-09-11,1280.55
619,2014-09-12,1280.57
620,2014-09-13,1280.71
621,2014-09-14,1280.82
622,2014-09-15,1280.6
623,2014-09-16,1280.38
624,2014-09-17,1280.67
625,2014-09-18,1280.86
626,2014-09-19,1280.93
627,2014-09-20,1280.93
628,2014-09-21,1281.22
629,2014-09-22,1281.69
630,2014-09-23,1281.98
631,2014-09-24,1282.05
632,2014-09-25,1281.99
633,2014-09-26,1281.93
634,2014-09-27,1282.22
635,2014-09-28,1282.56
636,2014-09-29,1283.17
637,2014-09-30,1283.68
638,2014-10-01,1284.03
639,2014-10-02,1284.28
640,2014-10-03,1284.47
641,2014-10-04,1284.79
642,2014-10-05,1284.88
643,2014-10-06,1285.05
644,2014-10-07,1285.13
645,2014-10-08,1285.18
646,2014-10-09,1285.12
647,2014-10-10,1285.27
648,2014-10-11,1285.68
649,2014-10-12,1285.83
650,2014-10-13,1285.6
651,2014-10-14,1285.42
652,2014-10-15,1285.52
653,2014-10-16,1285.61
654,2014-10-17,1285.44
655,2014-10-18,1285.4
656,2014-10-19,1285.64
657,2014-10-20,1285.63
658,2014-10-21,1285.86
659,2014-10-22,1285.85
660,2014-10-23,1286.14
661,2014-10-24,1286.04
662,2014-10-25,1286.3
663,2014-10-26,1286.87
664,2014-10-27,1286.86
665,2014-10-28,1286.99
666,2014-10-29,1287.12
667,2014-10-30,1286.94
668,2014-10-31,1287.15
669,2014-11-01,1287.54
670,2014-11-02,1287.92
671,2014-11-03,1287.71
672,2014-11-04,1287.63
673,2014-11-05,1287.46
674,2014-11-06,1287.58
675,2014-11-07,1287.35
676,2014-11-08,1286.97
677,2014-11-09,1286.93
678,2014-11-10,1286.46
679,2014-11-11,1286.09
680,2014-11-12,1285.28
681,2014-11-13,1284.36
682,2014-11-14,1283.45
683,2014-11-15,1282.79
684,2014-11-16,1282.46
685,2014-11-17,1282.38
686,2014-11-18,1282.09
687,2014-11-19,1282.12
688,2014-11-20,1282.25
689,2014-11-21,1282.48
690,2014-11-22,1283.11
691,2014-11-23,1283.55
692,2014-11-24,1283.39
693,2014-11-25,1283.42
