,datetime,CASTLE_LAKE_NEAR_MOUNT_ST._HELENS__WA.tsv
798,2015-03-10,2578.16
799,2015-03-11,2578.19
800,2015-03-12,2578.19
801,2015-03-13,2578.19
802,2015-03-14,2578.42
803,2015-03-15,2578.92
804,2015-03-16,2579.03
805,2015-03-17,2579.0
806,2015-03-18,2578.92
807,2015-03-19,2578.81
808,2015-03-20,2578.76
809,2015-03-21,2578.81
810,2015-03-22,2578.81
811,2015-03-23,2578.82
812,2015-03-24,2578.83
813,2015-03-25,2578.86
814,2015-03-26,2578.83
815,2015-03-27,2578.83
816,2015-03-28,2578.87
817,2015-03-29,2578.81
818,2015-03-30,2578.75
819,2015-03-31,2578.78
820,2015-04-01,2578.77
821,2015-04-02,2578.72
822,2015-04-03,2578.69
823,2015-04-04,2578.64
824,2015-04-05,2578.59
825,2015-04-06,2578.55
826,2015-04-07,2578.52
827,2015-04-08,2578.48
828,2015-04-09,2578.45
829,2015-04-10,2578.49
830,2015-04-11,2578.52
831,2015-04-12,2578.52
832,2015-04-13,2578.53
833,2015-04-14,2578.55
834,2015-04-15,2578.52
835,2015-04-16,2578.5
836,2015-04-17,2578.48
837,2015-04-18,2578.47
838,2015-04-19,2578.46
839,2015-04-20,2578.44
840,2015-04-21,2578.42
841,2015-04-22,2578.39
842,2015-04-23,2578.39
843,2015-04-24,2578.44
844,2015-04-25,2578.42
845,2015-04-26,2578.39
846,2015-04-27,2578.32
847,2015-04-28,2578.35
848,2015-04-29,2578.33
849,2015-04-30,2578.31
850,2015-05-01,2578.28
851,2015-05-02,2578.27
852,2015-05-03,2578.25
853,2015-05-04,2578.23
854,2015-05-05,2578.27
855,2015-05-06,2578.25
856,2015-05-07,2578.24
857,2015-05-08,2578.22
858,2015-05-09,2578.2
859,2015-05-10,2578.18
860,2015-05-11,2578.19
861,2015-05-12,2578.2
862,2015-05-13,2578.22
863,2015-05-14,2578.21
864,2015-05-15,2578.19
865,2015-05-16,2578.19
866,2015-05-17,2578.18
867,2015-05-18,2578.19
868,2015-05-19,2578.18
869,2015-05-20,2578.17
870,2015-05-21,2578.16
871,2015-05-22,2578.15
872,2015-05-23,2578.14
873,2015-05-24,2578.12
874,2015-05-25,2578.11
875,2015-05-26,2578.1
876,2015-05-27,2578.09
877,2015-05-28,2578.08
878,2015-05-29,2578.08
879,2015-05-30,2578.06
880,2015-05-31,2578.05
881,2015-06-01,2578.06
882,2015-06-02,2578.11
883,2015-06-03,2578.11
884,2015-06-04,2578.1
885,2015-06-05,2578.08
886,2015-06-06,2578.07
887,2015-06-07,2578.06
888,2015-06-08,2578.04
889,2015-06-09,2578.03
890,2015-06-10,2578.01
891,2015-06-11,2578.0
892,2015-06-12,2577.99
893,2015-06-13,2577.97
894,2015-06-14,2577.97
895,2015-06-15,2577.96
896,2015-06-16,2577.95
897,2015-06-17,2577.94
898,2015-06-18,2577.93
899,2015-06-19,2577.92
900,2015-06-20,2577.92
901,2015-06-21,2577.91
902,2015-06-22,2577.9
903,2015-06-23,2577.89
904,2015-06-24,2577.89
905,2015-06-25,2577.89
906,2015-06-26,2577.88
907,2015-06-27,2577.88
908,2015-06-28,2577.88
909,2015-06-29,2577.88
910,2015-06-30,2577.87
911,2015-07-01,2577.86
912,2015-07-02,2577.85
913,2015-07-03,2577.84
914,2015-07-04,2577.83
915,2015-07-05,2577.82
916,2015-07-06,2577.8
917,2015-07-07,2577.8
918,2015-07-08,2577.79
919,2015-07-09,2577.78
920,2015-07-10,2577.77
921,2015-07-11,2577.76
922,2015-07-12,2577.75
923,2015-07-13,2577.74
924,2015-07-14,2577.73
925,2015-07-15,2577.72
926,2015-07-16,2577.72
927,2015-07-17,2577.7
928,2015-07-18,2577.69
929,2015-07-19,2577.69
930,2015-07-20,2577.68
931,2015-07-21,2577.67
932,2015-07-22,2577.66
933,2015-07-23,2577.65
934,2015-07-24,2577.65
935,2015-07-25,2577.69
936,2015-07-26,2577.7
937,2015-07-27,2577.7
938,2015-07-28,2577.69
939,2015-07-29,2577.69
940,2015-07-30,2577.68
941,2015-07-31,2577.68
942,2015-08-01,2577.68
943,2015-08-02,2577.67
944,2015-08-03,2577.67
945,2015-08-04,2577.66
946,2015-08-05,2577.65
947,2015-08-06,2577.65
948,2015-08-07,2577.64
949,2015-08-08,2577.63
