,datetime,SPADA_LAKE_NEAR_STARTUP__WA.
594,2012-08-17,1433.2
595,2012-08-18,1432.4
596,2012-08-19,1431.8
597,2012-08-20,1431.3
598,2012-08-21,1430.9
599,2012-08-22,1430.5
600,2012-08-23,1430.0
601,2012-08-24,1429.7
602,2012-08-25,1429.2
603,2012-08-26,1428.8
604,2012-08-27,1428.3
605,2012-08-28,1427.9
606,2012-08-29,1427.5
607,2012-08-30,1427.2
608,2012-08-31,1426.6
609,2012-09-01,1426.1
610,2012-09-02,1425.7
611,2012-09-03,1425.2
612,2012-09-04,1424.8
613,2012-09-05,1424.4
614,2012-09-06,1424.0
615,2012-09-07,1423.6
616,2012-09-08,1423.2
617,2012-09-09,1422.8
618,2012-09-10,1422.6
619,2012-09-11,1422.2
620,2012-09-12,1421.8
621,2012-09-13,1421.4
622,2012-09-14,1420.5
623,2012-09-15,1420.1
624,2012-09-16,1419.7
625,2012-09-17,1419.3
626,2012-09-18,1419.0
627,2012-09-19,1418.5
628,2012-09-20,1418.1
629,2012-09-21,1417.8
630,2012-09-22,1417.3
631,2012-09-23,1416.9
632,2012-09-24,1416.5
633,2012-09-25,1416.1
634,2012-09-26,1415.6
635,2012-09-27,1414.9
636,2012-09-28,1414.5
637,2012-09-29,1413.9
638,2012-09-30,1413.2
639,2012-10-01,1412.8
640,2012-10-02,1412.3
641,2012-10-03,1411.7
642,2012-10-04,1411.2
643,2012-10-05,1410.7
644,2012-10-06,1410.2
645,2012-10-07,1409.6
646,2012-10-08,1409.1
647,2012-10-09,1408.6
648,2012-10-10,1408.0
649,2012-10-11,1407.4
650,2012-10-12,1407.1
651,2012-10-13,1407.3
652,2012-10-14,1409.8
653,2012-10-15,1412.8
654,2012-10-16,1415.4
655,2012-10-17,1415.9
656,2012-10-18,1416.2
657,2012-10-19,1418.2
658,2012-10-20,1419.9
659,2012-10-21,1420.5
660,2012-10-22,1421.0
661,2012-10-23,1421.1
662,2012-10-24,1421.1
663,2012-10-25,1420.8
664,2012-10-26,1420.8
665,2012-10-27,1423.2
666,2012-10-28,1427.1
667,2012-10-29,1429.8
668,2012-10-30,1432.4
669,2012-10-31,1434.4
670,2012-11-01,1435.0
671,2012-11-02,1435.0
672,2012-11-03,1435.2
673,2012-11-04,1435.9
674,2012-11-05,1437.5
675,2012-11-06,1437.2
676,2012-11-07,1437.0
677,2012-11-08,1436.2
678,2012-11-09,1435.3
679,2012-11-10,1434.2
680,2012-11-11,1433.1
681,2012-11-12,1432.5
682,2012-11-13,1432.2
683,2012-11-14,1432.6
684,2012-11-15,1432.0
685,2012-11-16,1431.2
686,2012-11-17,1430.3
687,2012-11-18,1429.6
688,2012-11-19,1431.9
689,2012-11-20,1432.9
690,2012-11-21,1433.0
691,2012-11-22,1432.4
692,2012-11-23,1433.9
693,2012-11-24,1435.0
694,2012-11-25,1434.7
695,2012-11-26,1434.0
696,2012-11-27,1433.1
697,2012-11-28,1432.0
698,2012-11-29,1431.1
699,2012-11-30,1430.3
700,2012-12-01,1430.3
701,2012-12-02,1430.3
702,2012-12-03,1430.5
703,2012-12-04,1431.6
704,2012-12-05,1431.9
705,2012-12-06,1431.8
706,2012-12-07,1431.7
707,2012-12-08,1431.0
708,2012-12-09,1430.0
709,2012-12-10,1429.1
710,2012-12-11,1428.1
711,2012-12-12,1427.7
712,2012-12-13,1427.0
713,2012-12-14,1426.6
714,2012-12-15,1426.0
715,2012-12-16,1425.6
716,2012-12-17,1425.5
717,2012-12-18,1425.0
718,2012-12-19,1424.3
719,2012-12-20,1423.8
720,2012-12-21,1423.2
721,2012-12-22,1422.5
722,2012-12-23,1421.7
723,2012-12-24,1421.0
724,2012-12-25,1420.3
725,2012-12-26,1419.6
726,2012-12-27,1419.1
727,2012-12-28,1418.9
728,2012-12-29,1418.6
729,2012-12-30,1418.3
730,2012-12-31,1418.0
731,2013-01-01,1417.6
732,2013-01-02,1417.2
733,2013-01-03,1416.8
734,2013-01-04,1416.7
735,2013-01-05,1416.6
736,2013-01-06,1416.5
737,2013-01-07,1417.9
738,2013-01-08,1420.0
739,2013-01-09,1425.5
740,2013-01-10,1426.6
741,2013-01-11,1427.0
742,2013-01-12,1427.0
743,2013-01-13,1427.0
744,2013-01-14,1426.4
745,2013-01-15,1426.1
746,2013-01-16,1425.6
747,2013-01-17,1425.2
748,2013-01-18,1424.3
749,2013-01-19,1423.2
750,2013-01-20,1422.0
751,2013-01-21,1421.0
752,2013-01-22,1420.0
753,2013-01-23,1419.6
754,2013-01-24,1419.2
755,2013-01-25,1419.2
756,2013-01-26,1419.2
757,2013-01-27,1418.9
758,2013-01-28,1418.6
759,2013-01-29,1418.6
760,2013-01-30,1418.8
761,2013-01-31,1419.4
762,2013-02-01,1419.9
763,2013-02-02,1420.1
764,2013-02-03,1420.5
765,2013-02-04,1420.8
766,2013-02-05,1421.3
767,2013-02-06,1421.8
768,2013-02-07,1422.1
769,2013-02-08,1422.3
770,2013-02-09,1422.3
771,2013-02-10,1422.0
772,2013-02-11,1421.6
773,2013-02-12,1421.2
774,2013-02-13,1421.2
775,2013-02-14,1421.1
776,2013-02-15,1420.8
777,2013-02-16,1421.1
778,2013-02-17,1421.2
779,2013-02-18,1420.7
780,2013-02-19,1420.4
781,2013-02-20,1420.1
782,2013-02-21,1420.3
783,2013-02-22,1420.5
784,2013-02-23,1420.8
785,2013-02-24,1420.6
786,2013-02-25,1420.8
787,2013-02-26,1420.4
788,2013-02-27,1419.8
789,2013-02-28,1419.6
790,2013-03-01,1421.4
791,2013-03-02,1422.9
792,2013-03-03,1423.6
793,2013-03-04,1423.3
794,2013-03-05,1422.5
795,2013-03-06,1421.6
796,2013-03-07,1420.7
797,2013-03-08,1419.8
798,2013-03-09,1419.3
799,2013-03-10,1418.8
800,2013-03-11,1418.1
801,2013-03-12,1419.3
802,2013-03-13,1423.5
803,2013-03-14,1426.0
804,2013-03-15,1428.3
805,2013-03-16,1430.4
806,2013-03-17,1431.6
807,2013-03-18,1431.6
808,2013-03-19,1431.2
809,2013-03-20,1431.4
810,2013-03-21,1431.3
811,2013-03-22,1430.7
812,2013-03-23,1430.0
813,2013-03-24,1429.0
814,2013-03-25,1428.0
815,2013-03-26,1426.8
816,2013-03-27,1425.5
817,2013-03-28,1424.4
818,2013-03-29,1423.8
819,2013-03-30,1423.8
820,2013-03-31,1424.2
821,2013-04-01,1424.2
822,2013-04-02,1424.1
823,2013-04-03,1423.6
824,2013-04-04,1423.6
825,2013-04-05,1428.1
826,2013-04-06,1430.8
827,2013-04-07,1431.8
828,2013-04-08,1431.9
829,2013-04-09,1431.3
830,2013-04-10,1432.4
831,2013-04-11,1433.1
832,2013-04-12,1433.1
833,2013-04-13,1432.8
834,2013-04-14,1432.1
835,2013-04-15,1431.4
836,2013-04-16,1430.5
837,2013-04-17,1429.6
838,2013-04-18,1428.5
839,2013-04-19,1428.7
840,2013-04-20,1429.6
841,2013-04-21,1430.0
842,2013-04-22,1429.6
843,2013-04-23,1429.0
844,2013-04-24,1428.3
845,2013-04-25,1427.7
846,2013-04-26,1427.2
847,2013-04-27,1427.1
848,2013-04-28,1427.9
849,2013-04-29,1429.2
850,2013-04-30,1429.7
851,2013-05-01,1429.8
852,2013-05-02,1429.9
853,2013-05-03,1430.0
854,2013-05-04,1430.7
855,2013-05-05,1431.7
856,2013-05-06,1433.0
857,2013-05-07,1434.3
858,2013-05-08,1435.7
859,2013-05-09,1437.0
860,2013-05-10,1438.0
861,2013-05-11,1439.2
862,2013-05-12,1440.4
863,2013-05-13,1442.9
864,2013-05-14,1443.6
865,2013-05-15,1443.4
866,2013-05-16,1443.2
867,2013-05-17,1443.0
868,2013-05-18,1442.6
869,2013-05-19,1442.1
870,2013-05-20,1441.5
871,2013-05-21,1441.1
872,2013-05-22,1440.5
873,2013-05-23,1439.7
874,2013-05-24,1438.8
875,2013-05-25,1438.0
876,2013-05-26,1437.0
877,2013-05-27,1436.4
878,2013-05-28,1436.1
879,2013-05-29,1435.9
880,2013-05-30,1436.2
881,2013-05-31,1436.1
882,2013-06-01,1436.1
883,2013-06-02,1436.3
884,2013-06-03,1436.4
885,2013-06-04,1436.1
886,2013-06-05,1435.7
887,2013-06-06,1435.3
888,2013-06-07,1435.0
889,2013-06-08,1434.9
890,2013-06-09,1434.9
891,2013-06-10,1434.8
892,2013-06-11,1434.6
893,2013-06-12,1434.6
894,2013-06-13,1434.6
895,2013-06-14,1434.6
896,2013-06-15,1434.4
897,2013-06-16,1434.6
898,2013-06-17,1434.8
899,2013-06-18,1435.0
900,2013-06-19,1435.2
901,2013-06-20,1437.0
902,2013-06-21,1437.9
903,2013-06-22,1438.5
904,2013-06-23,1439.1
905,2013-06-24,1439.9
906,2013-06-25,1440.6
907,2013-06-26,1441.4
908,2013-06-27,1442.0
909,2013-06-28,1442.4
910,2013-06-29,1442.8
911,2013-06-30,1443.4
912,2013-07-01,1443.5
913,2013-07-02,1443.4
914,2013-07-03,1443.2
915,2013-07-04,1442.9
916,2013-07-05,1442.6
917,2013-07-06,1442.3
918,2013-07-07,1442.0
919,2013-07-08,1441.7
920,2013-07-09,1441.4
921,2013-07-10,1441.3
922,2013-07-11,1441.1
923,2013-07-12,1440.8
924,2013-07-13,1440.5
925,2013-07-14,1440.2
926,2013-07-15,1439.6
927,2013-07-16,1439.3
928,2013-07-17,1439.0
929,2013-07-18,1438.8
930,2013-07-19,1438.5
931,2013-07-20,1438.3
932,2013-07-21,1438.0
933,2013-07-22,1437.6
934,2013-07-23,1437.2
935,2013-07-24,1437.0
936,2013-07-25,1436.6
937,2013-07-26,1436.3
938,2013-07-27,1436.1
939,2013-07-28,1435.7
940,2013-07-29,1435.4
941,2013-07-30,1435.0
942,2013-07-31,1434.7
943,2013-08-01,1434.4
944,2013-08-02,1434.0
