,datetime,LEMOLO_LAKE_NEAR_TOKETEE_FALLS__OR.tsv
335,2013-12-02,4125.45
336,2013-12-03,4125.59
337,2013-12-04,4125.47
338,2013-12-05,4125.17
339,2013-12-06,4125.23
340,2013-12-07,4124.88
341,2013-12-08,4124.53
342,2013-12-09,4124.65
343,2013-12-10,4124.92
344,2013-12-11,4125.04
345,2013-12-12,4125.26
346,2013-12-13,4125.29
347,2013-12-14,4125.29
348,2013-12-15,4125.2
349,2013-12-16,4124.97
350,2013-12-17,4124.93
351,2013-12-18,4124.8
352,2013-12-19,4124.8
353,2013-12-20,4124.71
354,2013-12-21,4124.66
355,2013-12-22,4124.49
356,2013-12-23,4124.32
357,2013-12-24,4124.18
358,2013-12-25,4124.01
359,2013-12-26,4123.8
360,2013-12-27,4123.75
361,2013-12-28,4123.68
362,2013-12-29,4123.6
363,2013-12-30,4123.59
364,2013-12-31,4123.65
365,2014-01-01,4123.69
366,2014-01-02,4123.75
367,2014-01-03,4123.74
368,2014-01-04,4123.8
369,2014-01-05,4123.88
370,2014-01-06,4123.78
371,2014-01-07,4123.94
372,2014-01-08,4124.16
373,2014-01-09,4124.15
374,2014-01-10,4123.85
375,2014-01-11,4124.09
376,2014-01-12,4124.15
377,2014-01-13,4124.32
378,2014-01-14,4124.61
379,2014-01-15,4124.58
380,2014-01-16,4124.68
381,2014-01-17,4124.76
382,2014-01-18,4124.8
383,2014-01-19,4124.86
384,2014-01-20,4124.72
385,2014-01-21,4124.71
386,2014-01-22,4124.72
387,2014-01-23,4124.65
388,2014-01-24,4124.67
389,2014-01-25,4124.73
390,2014-01-26,4124.67
391,2014-01-27,4124.76
392,2014-01-28,4124.88
393,2014-01-29,4126.56
394,2014-01-30,4127.26
395,2014-01-31,4127.43
396,2014-02-01,4127.56
397,2014-02-02,4127.74
398,2014-02-03,4127.87
399,2014-02-04,4127.67
400,2014-02-05,4127.57
401,2014-02-06,4127.52
402,2014-02-07,4127.45
403,2014-02-08,4128.0
404,2014-02-09,4128.85
405,2014-02-10,4129.26
406,2014-02-11,4129.69
407,2014-02-12,4131.29
408,2014-02-13,4132.48
409,2014-02-14,4135.34
410,2014-02-15,4136.85
411,2014-02-16,4137.54
412,2014-02-17,4137.83
413,2014-02-18,4137.91
414,2014-02-19,4137.72
415,2014-02-20,4137.36
416,2014-02-21,4136.98
417,2014-02-22,4136.72
418,2014-02-23,4136.22
419,2014-02-24,4135.92
420,2014-02-25,4135.55
421,2014-02-26,4135.54
422,2014-02-27,4135.43
423,2014-02-28,4135.31
