,datetime,149696_62614_00003,149697_00010_00001,149698_00010_00002,149699_00010_00003
289,2013-10-17,911.06,14.2,12.7,13.4
290,2013-10-18,911.04,13.8,12.7,13.3
291,2013-10-19,911.02,13.6,12.8,13.3
292,2013-10-20,911.02,13.6,12.5,13.2
293,2013-10-21,911.01,14.0,13.0,13.4
294,2013-10-22,910.99,14.0,12.7,13.4
295,2013-10-23,910.94,13.5,12.8,13.1
296,2013-10-24,910.9,13.2,12.5,12.8
297,2013-10-25,910.86,13.0,12.3,12.6
298,2013-10-26,910.82,12.5,11.8,12.2
299,2013-10-27,910.8,12.2,11.4,11.8
300,2013-10-28,910.77,11.4,9.9,10.4
301,2013-10-29,910.69,11.6,10.0,10.9
302,2013-10-30,910.65,11.1,10.4,10.7
303,2013-10-31,910.62,10.9,10.0,10.4
304,2013-11-01,910.59,10.3,9.8,10.1
305,2013-11-02,910.57,10.6,9.6,10.1
306,2013-11-03,910.54,10.4,9.4,9.9
307,2013-11-04,910.5,9.8,9.0,9.3
308,2013-11-05,910.45,9.7,9.0,9.4
309,2013-11-06,910.42,9.6,9.0,9.2
310,2013-11-07,910.38,9.1,8.6,8.9
311,2013-11-08,910.36,9.4,8.6,9.0
312,2013-11-09,910.32,9.0,8.3,8.6
313,2013-11-10,910.3,8.8,8.5,8.7
314,2013-11-11,910.28,8.8,8.4,8.6
315,2013-11-12,910.24,8.9,8.4,8.6
316,2013-11-13,910.22,9.2,8.6,8.9
317,2013-11-14,910.2,9.1,8.4,8.7
318,2013-11-15,910.18,8.6,8.2,8.4
319,2013-11-16,910.15,8.2,7.1,7.7
320,2013-11-17,910.11,7.8,7.2,7.4
321,2013-11-18,910.08,7.7,6.9,7.3
322,2013-11-19,910.06,8.0,5.6,7.3
323,2013-11-20,910.03,5.6,3.4,4.5
324,2013-11-21,909.99,5.8,4.6,5.3
325,2013-11-22,909.95,5.7,4.6,5.2
326,2013-11-23,909.9,5.5,4.6,5.1
327,2013-11-24,909.84,4.8,4.1,4.4
328,2013-11-25,909.8,4.7,4.3,4.5
329,2013-11-26,909.76,4.8,4.3,4.5
330,2013-11-27,909.72,5.0,4.4,4.7
331,2013-11-28,909.68,5.2,4.2,4.8
332,2013-11-29,909.63,4.4,3.8,4.1
333,2013-11-30,909.61,4.5,3.9,4.2
334,2013-12-01,909.6,4.7,4.0,4.4
335,2013-12-02,909.63,4.8,1.8,3.7
336,2013-12-03,909.59,2.1,0.3,1.3
337,2013-12-04,909.51,1.1,0.0,0.0
338,2013-12-05,909.47,2.7,0.0,1.5
339,2013-12-06,909.46,1.3,0.0,-0.0
340,2013-12-07,909.49,0.0,0.0,0.0
341,2013-12-08,909.49,0.8,0.0,0.4
342,2013-12-09,909.48,1.0,0.6,0.8
343,2013-12-10,909.47,1.2,0.7,1.0
344,2013-12-11,909.46,1.4,0.7,1.2
345,2013-12-12,909.45,1.2,0.8,1.0
346,2013-12-13,909.47,1.2,0.6,1.0
347,2013-12-14,909.48,1.2,0.7,1.0
348,2013-12-15,909.49,1.1,0.4,0.9
349,2013-12-16,909.5,1.4,0.8,1.1
350,2013-12-17,909.51,1.0,0.5,0.8
351,2013-12-18,909.53,1.2,0.7,0.9
352,2013-12-19,909.52,1.1,0.4,0.8
353,2013-12-20,909.51,0.7,0.4,0.6
354,2013-12-21,909.51,0.6,0.4,0.5
355,2013-12-22,909.51,0.5,0.4,0.4
356,2013-12-23,909.5,0.5,0.4,0.4
357,2013-12-24,909.5,0.5,0.4,0.5
358,2013-12-25,909.49,0.5,0.4,0.4
359,2013-12-26,909.48,0.5,0.4,0.4
360,2013-12-27,909.48,0.5,0.3,0.4
361,2013-12-28,909.48,0.5,0.3,0.4
362,2013-12-29,909.47,0.5,0.3,0.4
363,2013-12-30,909.47,0.5,0.4,0.5
364,2013-12-31,909.47,0.6,0.4,0.5
365,2014-01-01,909.48,0.6,0.5,0.5
366,2014-01-02,909.48,0.5,0.4,0.5
367,2014-01-03,909.49,0.7,0.4,0.5
368,2014-01-04,909.49,0.7,0.5,0.6
369,2014-01-05,909.49,0.7,0.4,0.6
370,2014-01-06,909.5,0.7,0.5,0.6
371,2014-01-07,909.5,0.6,0.4,0.5
372,2014-01-08,909.5,0.6,0.4,0.5
373,2014-01-09,909.51,0.6,0.4,0.5
374,2014-01-10,909.51,0.5,0.4,0.5
375,2014-01-11,909.53,0.9,0.3,0.6
376,2014-01-12,909.52,1.0,0.6,0.8
377,2014-01-13,909.52,1.2,0.7,0.9
378,2014-01-14,909.52,1.2,0.7,1.0
379,2014-01-15,909.51,1.4,0.8,1.1
380,2014-01-16,909.51,1.1,0.7,0.9
381,2014-01-17,909.5,0.9,0.7,0.8
382,2014-01-18,909.49,1.1,0.7,0.9
383,2014-01-19,909.49,1.1,0.7,0.9
384,2014-01-20,909.48,1.2,0.7,1.0
385,2014-01-21,909.48,1.1,0.8,1.0
386,2014-01-22,909.48,1.2,0.8,0.9
387,2014-01-23,909.48,1.2,0.8,1.0
388,2014-01-24,909.48,1.2,0.8,1.0
389,2014-01-25,909.48,1.2,0.9,1.0
390,2014-01-26,909.48,1.0,0.8,0.9
391,2014-01-27,909.48,1.2,0.8,0.9
392,2014-01-28,909.48,1.3,0.8,1.1
393,2014-01-29,909.49,1.1,0.9,1.1
394,2014-01-30,909.5,1.1,0.9,1.0
395,2014-01-31,909.5,1.0,0.8,1.0
396,2014-02-01,909.5,1.0,0.9,1.0
397,2014-02-02,909.49,1.0,0.8,0.9
398,2014-02-03,909.49,0.9,0.8,0.9
399,2014-02-04,909.48,0.9,0.7,0.8
400,2014-02-05,909.47,0.9,0.7,0.8
401,2014-02-06,909.46,0.8,0.6,0.7
402,2014-02-07,909.46,0.7,0.6,0.7
403,2014-02-08,909.46,0.6,0.5,0.6
404,2014-02-09,909.46,0.6,0.4,0.5
405,2014-02-10,909.45,0.5,0.4,0.4
406,2014-02-11,909.46,0.5,0.4,0.4
407,2014-02-12,909.49,0.5,0.4,0.5
408,2014-02-13,909.49,0.6,0.4,0.5
409,2014-02-14,909.51,0.8,0.5,0.6
410,2014-02-15,909.56,1.0,0.6,0.8
411,2014-02-16,909.61,1.4,0.7,1.0
412,2014-02-17,909.57,1.2,0.8,1.0
413,2014-02-18,909.55,1.1,0.8,0.9
414,2014-02-19,909.58,1.8,0.8,1.3
415,2014-02-20,909.61,1.9,0.8,1.4
416,2014-02-21,909.64,1.8,1.1,1.5
417,2014-02-22,909.66,1.8,1.4,1.6
418,2014-02-23,909.69,1.6,1.4,1.5
419,2014-02-24,909.71,1.8,1.4,1.6
