,datetime,150395_00054_32400,150395_00054_32400_cd,150396_62614_32400
291,2013-10-19,372600.0,,480.91
292,2013-10-20,372600.0,,480.74
293,2013-10-21,372600.0,,481.25
294,2013-10-22,372600.0,,482.0
295,2013-10-23,372600.0,,482.12
296,2013-10-24,372600.0,,482.63
297,2013-10-25,372600.0,,483.14
298,2013-10-26,372600.0,,483.63
299,2013-10-27,372600.0,,483.72
300,2013-10-28,372600.0,,482.39
301,2013-10-29,372600.0,,482.63
302,2013-10-30,372600.0,,482.5
303,2013-10-31,372600.0,,481.37
304,2013-11-01,372600.0,,480.77
305,2013-11-02,372600.0,,481.18
306,2013-11-03,372600.0,,480.94
307,2013-11-04,372600.0,,481.25
308,2013-11-05,372600.0,,481.01
309,2013-11-06,372600.0,,480.36
310,2013-11-07,372600.0,,480.36
311,2013-11-08,372600.0,,480.66
312,2013-11-09,372600.0,,480.79
313,2013-11-10,372600.0,,480.94
314,2013-11-11,372600.0,,481.32
315,2013-11-12,372600.0,,481.38
316,2013-11-13,372600.0,,481.61
317,2013-11-14,372600.0,,480.55
318,2013-11-15,372600.0,,480.14
319,2013-11-16,372600.0,,478.85
320,2013-11-17,372600.0,,477.47
321,2013-11-18,372600.0,,477.42
322,2013-11-19,372600.0,,477.12
323,2013-11-20,372600.0,,476.44
324,2013-11-21,372600.0,,476.58
325,2013-11-22,372600.0,,476.49
326,2013-11-23,372600.0,,476.98
327,2013-11-24,372600.0,,477.58
328,2013-11-25,372600.0,,478.11
329,2013-11-26,372600.0,,479.36
330,2013-11-27,372600.0,,480.55
331,2013-11-28,372600.0,,480.9
332,2013-11-29,372600.0,,481.58
333,2013-11-30,372600.0,,481.55
334,2013-12-01,372600.0,,482.79
335,2013-12-02,372600.0,,484.26
336,2013-12-03,372600.0,,484.34
337,2013-12-04,372600.0,,484.4
338,2013-12-05,372600.0,,484.52
339,2013-12-06,372600.0,,485.05
340,2013-12-07,372600.0,,484.65
341,2013-12-08,372600.0,,483.92
342,2013-12-09,372600.0,,483.78
343,2013-12-10,372600.0,,482.38
344,2013-12-11,372600.0,,480.88
345,2013-12-12,372600.0,,479.44
346,2013-12-13,372600.0,,477.97
347,2013-12-14,372600.0,,477.32
348,2013-12-15,372600.0,,477.89
349,2013-12-16,372600.0,,477.62
350,2013-12-17,372600.0,,477.38
351,2013-12-18,372600.0,,477.02
352,2013-12-19,372600.0,,478.88
353,2013-12-20,372600.0,,480.11
354,2013-12-21,372600.0,,481.34
355,2013-12-22,372600.0,,482.9
356,2013-12-23,372600.0,,483.4
357,2013-12-24,372600.0,,483.39
358,2013-12-25,372600.0,,482.85
359,2013-12-26,372600.0,,482.78
360,2013-12-27,372600.0,,483.02
361,2013-12-28,372600.0,,483.15
362,2013-12-29,372600.0,,483.04
363,2013-12-30,372600.0,,482.84
