,datetime,150401_62614_32400,150402_00054_32400,150402_00054_32400_cd
323,2013-11-20,238.64,364300.0,
324,2013-11-21,237.24,364300.0,
325,2013-11-22,236.5,364300.0,
326,2013-11-23,236.57,364300.0,
327,2013-11-24,236.05,364300.0,
328,2013-11-25,235.57,364300.0,
329,2013-11-26,234.95,364300.0,
330,2013-11-27,235.16,364300.0,
331,2013-11-28,234.98,364300.0,
332,2013-11-29,234.89,364300.0,
333,2013-11-30,234.65,364300.0,
334,2013-12-01,234.87,364300.0,
335,2013-12-02,234.79,364300.0,
336,2013-12-03,234.08,364300.0,
337,2013-12-04,232.2,364300.0,
338,2013-12-05,230.95,364300.0,
339,2013-12-06,231.19,364300.0,
340,2013-12-07,231.36,364300.0,
341,2013-12-08,231.89,364300.0,
342,2013-12-09,231.75,364300.0,
343,2013-12-10,233.52,364300.0,
344,2013-12-11,236.07,364300.0,
345,2013-12-12,236.79,364300.0,
346,2013-12-13,237.2,364300.0,
347,2013-12-14,236.86,364300.0,
348,2013-12-15,235.06,364300.0,
349,2013-12-16,235.2,364300.0,
350,2013-12-17,235.78,364300.0,
351,2013-12-18,235.64,364300.0,
352,2013-12-19,234.83,364300.0,
353,2013-12-20,234.21,364300.0,
354,2013-12-21,233.54,364300.0,
355,2013-12-22,233.04,364300.0,
356,2013-12-23,233.38,364300.0,
357,2013-12-24,234.53,364300.0,
358,2013-12-25,235.77,364300.0,
359,2013-12-26,237.23,364300.0,
360,2013-12-27,237.48,364300.0,
361,2013-12-28,237.68,364300.0,
362,2013-12-29,237.33,364300.0,
363,2013-12-30,237.24,364300.0,
364,2013-12-31,237.13,364300.0,
365,2014-01-01,236.42,364300.0,
366,2014-01-02,235.74,364300.0,
367,2014-01-03,235.46,364300.0,
368,2014-01-04,235.29,364300.0,
369,2014-01-05,236.3,364300.0,
370,2014-01-06,236.74,364300.0,
371,2014-01-07,237.31,364300.0,
372,2014-01-08,236.65,364300.0,
373,2014-01-09,235.77,364300.0,
374,2014-01-10,235.89,364300.0,
375,2014-01-11,235.53,364300.0,
376,2014-01-12,236.18,364300.0,
377,2014-01-13,235.75,364300.0,
378,2014-01-14,234.72,364300.0,
379,2014-01-15,234.92,364300.0,
380,2014-01-16,234.79,364300.0,
381,2014-01-17,235.44,364300.0,
382,2014-01-18,234.77,364300.0,
383,2014-01-19,233.86,364300.0,
384,2014-01-20,233.21,364300.0,
385,2014-01-21,233.91,364300.0,
386,2014-01-22,234.26,364300.0,
387,2014-01-23,234.43,364300.0,
388,2014-01-24,235.67,364300.0,
389,2014-01-25,236.73,364300.0,
390,2014-01-26,237.96,364300.0,
391,2014-01-27,238.12,364300.0,
392,2014-01-28,237.36,364300.0,
393,2014-01-29,234.7,364300.0,
394,2014-01-30,232.67,364300.0,
395,2014-01-31,230.82,364300.0,
396,2014-02-01,229.97,364300.0,
397,2014-02-02,229.33,364300.0,
398,2014-02-03,229.99,364300.0,
399,2014-02-04,229.74,364300.0,
400,2014-02-05,230.37,364300.0,
401,2014-02-06,232.75,364300.0,
402,2014-02-07,235.11,364300.0,
403,2014-02-08,237.39,364300.0,
404,2014-02-09,238.02,364300.0,
405,2014-02-10,238.49,364300.0,
406,2014-02-11,237.49,364300.0,
407,2014-02-12,235.81,364300.0,
408,2014-02-13,235.02,364300.0,
409,2014-02-14,233.79,364300.0,
410,2014-02-15,233.09,364300.0,
411,2014-02-16,232.43,364300.0,
412,2014-02-17,232.53,364300.0,
413,2014-02-18,232.33,364300.0,
414,2014-02-19,231.56,364300.0,
415,2014-02-20,230.63,364300.0,
416,2014-02-21,229.21,364300.0,
417,2014-02-22,229.65,364300.0,
