,datetime,LAKE_SABRINA_NR_BISHOP_CA.
552,2012-07-06,4650.0
553,2012-07-07,4650.0
554,2012-07-08,4640.0
555,2012-07-09,4630.0
556,2012-07-10,4630.0
557,2012-07-11,4630.0
558,2012-07-12,4640.0
559,2012-07-13,4640.0
560,2012-07-14,4640.0
561,2012-07-15,4640.0
562,2012-07-16,4620.0
563,2012-07-17,4590.0
564,2012-07-18,4560.0
565,2012-07-19,4520.0
566,2012-07-20,4470.0
567,2012-07-21,4430.0
568,2012-07-22,4440.0
569,2012-07-23,4430.0
570,2012-07-24,4410.0
571,2012-07-25,4390.0
572,2012-07-26,4350.0
573,2012-07-27,4300.0
574,2012-07-28,4260.0
575,2012-07-29,4220.0
576,2012-07-30,4170.0
577,2012-07-31,4150.0
578,2012-08-01,4140.0
579,2012-08-02,4160.0
580,2012-08-03,4140.0
581,2012-08-04,4130.0
582,2012-08-05,4110.0
583,2012-08-06,4090.0
584,2012-08-07,4070.0
585,2012-08-08,4050.0
586,2012-08-09,4040.0
587,2012-08-10,4030.0
588,2012-08-11,4020.0
589,2012-08-12,4010.0
590,2012-08-13,4030.0
591,2012-08-14,4060.0
592,2012-08-15,4090.0
593,2012-08-16,4120.0
594,2012-08-17,4130.0
595,2012-08-18,4150.0
596,2012-08-19,4170.0
597,2012-08-20,4180.0
598,2012-08-21,4190.0
599,2012-08-22,4170.0
600,2012-08-23,4140.0
601,2012-08-24,4110.0
602,2012-08-25,4080.0
603,2012-08-26,4030.0
604,2012-08-27,3970.0
605,2012-08-28,3900.0
606,2012-08-29,3830.0
607,2012-08-30,3760.0
608,2012-08-31,3690.0
609,2012-09-01,3630.0
610,2012-09-02,3570.0
611,2012-09-03,3510.0
612,2012-09-04,3450.0
613,2012-09-05,3390.0
614,2012-09-06,3330.0
615,2012-09-07,3270.0
616,2012-09-08,3210.0
617,2012-09-09,3160.0
618,2012-09-10,3100.0
619,2012-09-11,3040.0
620,2012-09-12,2980.0
621,2012-09-13,2930.0
622,2012-09-14,2870.0
623,2012-09-15,2810.0
624,2012-09-16,2750.0
625,2012-09-17,2700.0
626,2012-09-18,2640.0
627,2012-09-19,2580.0
628,2012-09-20,2520.0
629,2012-09-21,2510.0
630,2012-09-22,2510.0
631,2012-09-23,2500.0
632,2012-09-24,2470.0
633,2012-09-25,2410.0
634,2012-09-26,2350.0
635,2012-09-27,2300.0
636,2012-09-28,2220.0
637,2012-09-29,2150.0
638,2012-09-30,2080.0
639,2012-10-01,2020.0
640,2012-10-02,1950.0
641,2012-10-03,1880.0
642,2012-10-04,1820.0
643,2012-10-05,1750.0
644,2012-10-06,1680.0
645,2012-10-07,1620.0
646,2012-10-08,1550.0
647,2012-10-09,1480.0
648,2012-10-10,1410.0
649,2012-10-11,1340.0
650,2012-10-12,1270.0
651,2012-10-13,1200.0
652,2012-10-14,1130.0
653,2012-10-15,1060.0
654,2012-10-16,988.0
655,2012-10-17,917.0
656,2012-10-18,849.0
657,2012-10-19,781.0
658,2012-10-20,709.0
659,2012-10-21,642.0
660,2012-10-22,584.0
661,2012-10-23,506.0
662,2012-10-24,433.0
663,2012-10-25,370.0
664,2012-10-26,312.0
665,2012-10-27,258.0
666,2012-10-28,212.0
