,datetime,GREEN_PETER_LAKE_NEAR_FOSTER__OR.
440,2014-12-15,921.47
441,2014-12-16,921.4
442,2014-12-17,921.22
443,2014-12-18,921.03
444,2014-12-19,920.78
445,2014-12-20,925.03
446,2014-12-21,942.19
447,2014-12-22,951.97
448,2014-12-23,956.52
449,2014-12-24,957.62
450,2014-12-25,956.34
451,2014-12-26,953.8
452,2014-12-27,949.99
453,2014-12-28,946.0
454,2014-12-29,941.7
455,2014-12-30,936.79
456,2014-12-31,931.44
457,2015-01-01,925.85
458,2015-01-02,921.65
459,2015-01-03,920.6
460,2015-01-04,920.5
461,2015-01-05,920.81
462,2015-01-06,921.83
463,2015-01-07,922.34
464,2015-01-08,922.78
465,2015-01-09,923.22
466,2015-01-10,923.5
467,2015-01-11,923.66
468,2015-01-12,923.75
469,2015-01-13,923.75
470,2015-01-14,923.69
471,2015-01-15,923.55
472,2015-01-16,924.66
473,2015-01-17,928.44
474,2015-01-18,934.64
475,2015-01-19,937.63
476,2015-01-20,938.96
477,2015-01-21,938.02
478,2015-01-22,936.75
479,2015-01-23,935.18
480,2015-01-24,933.47
481,2015-01-25,931.61
482,2015-01-26,929.6
483,2015-01-27,927.71
484,2015-01-28,926.91
485,2015-01-29,926.85
486,2015-01-30,926.24
487,2015-01-31,926.32
488,2015-02-01,926.4
489,2015-02-02,926.82
490,2015-02-03,927.28
491,2015-02-04,927.76
492,2015-02-05,928.17
493,2015-02-06,929.23
494,2015-02-07,932.84
495,2015-02-08,935.5
496,2015-02-09,938.2
497,2015-02-10,943.65
498,2015-02-11,946.3
499,2015-02-12,947.95
500,2015-02-13,949.06
501,2015-02-14,950.27
502,2015-02-15,951.31
503,2015-02-16,952.21
504,2015-02-17,952.96
505,2015-02-18,953.64
506,2015-02-19,954.24
507,2015-02-20,954.82
508,2015-02-21,955.34
509,2015-02-22,955.79
510,2015-02-23,956.22
511,2015-02-24,956.62
512,2015-02-25,957.0
513,2015-02-26,957.39
514,2015-02-27,958.08
515,2015-02-28,958.59
516,2015-03-01,959.0
517,2015-03-02,958.66
518,2015-03-03,958.25
519,2015-03-04,958.08
520,2015-03-05,958.05
521,2015-03-06,957.99
522,2015-03-07,957.9
523,2015-03-08,957.81
524,2015-03-09,957.69
525,2015-03-10,957.58
526,2015-03-11,957.51
527,2015-03-12,957.48
528,2015-03-13,957.38
529,2015-03-14,957.66
530,2015-03-15,959.26
531,2015-03-16,960.77
532,2015-03-17,961.71
533,2015-03-18,962.43
534,2015-03-19,963.04
535,2015-03-20,963.6
536,2015-03-21,963.83
537,2015-03-22,964.02
538,2015-03-23,964.41
539,2015-03-24,966.0
540,2015-03-25,967.39
541,2015-03-26,968.56
542,2015-03-27,969.39
543,2015-03-28,970.27
544,2015-03-29,971.11
545,2015-03-30,971.53
546,2015-03-31,972.12
547,2015-04-01,972.98
548,2015-04-02,973.78
549,2015-04-03,974.51
550,2015-04-04,975.21
551,2015-04-05,975.87
552,2015-04-06,976.29
553,2015-04-07,976.69
554,2015-04-08,977.08
555,2015-04-09,977.45
556,2015-04-10,977.77
557,2015-04-11,978.26
558,2015-04-12,978.77
559,2015-04-13,979.26
560,2015-04-14,979.99
561,2015-04-15,980.69
562,2015-04-16,981.36
563,2015-04-17,981.99
564,2015-04-18,982.59
565,2015-04-19,982.94
566,2015-04-20,983.22
567,2015-04-21,983.47
568,2015-04-22,983.64
569,2015-04-23,983.82
570,2015-04-24,983.85
571,2015-04-25,984.03
572,2015-04-26,984.21
573,2015-04-27,984.33
574,2015-04-28,984.39
575,2015-04-29,983.94
576,2015-04-30,983.19
577,2015-05-01,982.39
578,2015-05-02,981.58
579,2015-05-03,980.73
580,2015-05-04,979.86
581,2015-05-05,979.14
582,2015-05-06,978.27
583,2015-05-07,977.37
584,2015-05-08,976.44
585,2015-05-09,975.99
586,2015-05-10,975.58
587,2015-05-11,975.55
588,2015-05-12,975.63
589,2015-05-13,975.45
590,2015-05-14,975.26
591,2015-05-15,975.24
592,2015-05-16,975.05
593,2015-05-17,975.04
594,2015-05-18,974.84
595,2015-05-19,974.7
596,2015-05-20,974.52
597,2015-05-21,974.37
598,2015-05-22,974.61
599,2015-05-23,974.62
600,2015-05-24,974.73
601,2015-05-25,974.64
602,2015-05-26,974.5
603,2015-05-27,974.37
604,2015-05-28,974.22
605,2015-05-29,974.04
606,2015-05-30,973.87
607,2015-05-31,973.66
608,2015-06-01,973.5
609,2015-06-02,973.33
610,2015-06-03,973.19
611,2015-06-04,973.02
612,2015-06-05,972.91
613,2015-06-06,972.72
614,2015-06-07,972.51
615,2015-06-08,972.27
616,2015-06-09,972.03
617,2015-06-10,971.76
618,2015-06-11,971.44
619,2015-06-12,971.11
620,2015-06-13,970.78
621,2015-06-14,970.46
622,2015-06-15,970.12
623,2015-06-16,969.78
624,2015-06-17,969.44
625,2015-06-18,969.07
626,2015-06-19,968.71
627,2015-06-20,968.34
628,2015-06-21,967.94
629,2015-06-22,967.53
630,2015-06-23,967.12
631,2015-06-24,966.72
632,2015-06-25,966.2
633,2015-06-26,965.77
634,2015-06-27,965.38
635,2015-06-28,964.97
636,2015-06-29,964.54
637,2015-06-30,964.14
638,2015-07-01,963.73
639,2015-07-02,963.32
640,2015-07-03,962.9
641,2015-07-04,962.51
642,2015-07-05,962.08
643,2015-07-06,961.66
644,2015-07-07,961.24
645,2015-07-08,960.81
646,2015-07-09,960.35
647,2015-07-10,960.01
648,2015-07-11,959.57
649,2015-07-12,959.17
650,2015-07-13,958.73
651,2015-07-14,958.3
652,2015-07-15,957.86
653,2015-07-16,957.38
654,2015-07-17,956.94
655,2015-07-18,956.51
656,2015-07-19,956.06
657,2015-07-20,955.62
658,2015-07-21,955.15
659,2015-07-22,954.69
660,2015-07-23,954.22
661,2015-07-24,953.77
662,2015-07-25,953.31
663,2015-07-26,952.86
664,2015-07-27,952.39
665,2015-07-28,951.94
666,2015-07-29,951.47
667,2015-07-30,950.98
668,2015-07-31,950.49
669,2015-08-01,949.99
670,2015-08-02,949.51
671,2015-08-03,949.04
672,2015-08-04,948.53
673,2015-08-05,948.04
674,2015-08-06,947.54
675,2015-08-07,946.97
676,2015-08-08,946.39
677,2015-08-09,945.82
678,2015-08-10,945.28
679,2015-08-11,944.72
680,2015-08-12,944.21
681,2015-08-13,943.69
682,2015-08-14,943.2
683,2015-08-15,942.73
684,2015-08-16,942.22
685,2015-08-17,941.71
686,2015-08-18,941.19
687,2015-08-19,940.65
688,2015-08-20,940.12
689,2015-08-21,939.59
690,2015-08-22,939.06
691,2015-08-23,938.51
692,2015-08-24,937.95
693,2015-08-25,937.41
694,2015-08-26,936.83
695,2015-08-27,936.29
696,2015-08-28,935.77
697,2015-08-29,935.27
698,2015-08-30,934.84
699,2015-08-31,934.38
700,2015-09-01,933.87
701,2015-09-02,933.37
702,2015-09-03,932.85
703,2015-09-04,932.31
704,2015-09-05,931.78
705,2015-09-06,931.26
706,2015-09-07,930.71
707,2015-09-08,930.15
708,2015-09-09,929.58
709,2015-09-10,929.01
710,2015-09-11,928.41
711,2015-09-12,927.84
712,2015-09-13,927.24
713,2015-09-14,926.66
714,2015-09-15,926.07
715,2015-09-16,925.5
716,2015-09-17,925.21
717,2015-09-18,924.83
718,2015-09-19,924.55
719,2015-09-20,923.98
720,2015-09-21,923.43
721,2015-09-22,922.85
722,2015-09-23,922.25
723,2015-09-24,921.83
724,2015-09-25,921.41
725,2015-09-26,921.02
726,2015-09-27,920.6
727,2015-09-28,920.2
728,2015-09-29,919.77
729,2015-09-30,919.36
730,2015-10-01,918.94
731,2015-10-02,918.62
732,2015-10-03,918.31
733,2015-10-04,917.98
734,2015-10-05,917.63
735,2015-10-06,916.78
736,2015-10-07,915.94
737,2015-10-08,915.17
738,2015-10-09,914.3
739,2015-10-10,913.47
740,2015-10-11,912.64
741,2015-10-12,911.78
742,2015-10-13,910.91
743,2015-10-14,910.02
744,2015-10-15,909.2
745,2015-10-16,908.44
746,2015-10-17,907.68
747,2015-10-18,906.92
748,2015-10-19,906.24
749,2015-10-20,905.49
750,2015-10-21,904.73
751,2015-10-22,903.95
752,2015-10-23,903.18
753,2015-10-24,902.4
754,2015-10-25,901.63
755,2015-10-26,900.91
756,2015-10-27,900.17
757,2015-10-28,899.53
758,2015-10-29,899.1
759,2015-10-30,899.06
760,2015-10-31,902.02
761,2015-11-01,907.14
762,2015-11-02,909.17
763,2015-11-03,910.29
764,2015-11-04,911.0
765,2015-11-05,911.52
766,2015-11-06,911.91
767,2015-11-07,911.75
768,2015-11-08,912.63
769,2015-11-09,913.99
770,2015-11-10,914.37
771,2015-11-11,914.97
772,2015-11-12,915.24
773,2015-11-13,916.51
774,2015-11-14,917.59
775,2015-11-15,918.22
776,2015-11-16,919.1
777,2015-11-17,924.34
778,2015-11-18,930.64
779,2015-11-19,937.71
780,2015-11-20,941.4
781,2015-11-21,943.38
782,2015-11-22,944.7
783,2015-11-23,945.72
784,2015-11-24,946.83
785,2015-11-25,947.67
786,2015-11-26,946.86
787,2015-11-27,945.96
788,2015-11-28,945.0
789,2015-11-29,943.96
790,2015-11-30,942.9
791,2015-12-01,941.85
792,2015-12-02,941.42
