,datetime,FERN_RIDGE_LAKE_NEAR_ELMIRA__OR.
421,2014-09-26,371.52
422,2014-09-27,371.5
423,2014-09-28,371.48
424,2014-09-29,371.46
425,2014-09-30,371.44
426,2014-10-01,371.37
427,2014-10-02,371.21
428,2014-10-03,371.0
429,2014-10-04,370.8
430,2014-10-05,370.59
431,2014-10-06,370.38
432,2014-10-07,370.18
433,2014-10-08,369.95
434,2014-10-09,369.74
435,2014-10-10,369.52
436,2014-10-11,369.28
437,2014-10-12,369.05
438,2014-10-13,368.78
439,2014-10-14,368.5
440,2014-10-15,368.19
441,2014-10-16,367.87
442,2014-10-17,367.54
443,2014-10-18,367.18
444,2014-10-19,366.83
445,2014-10-20,366.53
446,2014-10-21,366.18
447,2014-10-22,365.93
448,2014-10-23,365.63
449,2014-10-24,365.28
450,2014-10-25,364.96
451,2014-10-26,364.67
452,2014-10-27,364.31
453,2014-10-28,363.81
454,2014-10-29,363.17
455,2014-10-30,362.54
456,2014-10-31,361.96
457,2014-11-01,361.38
458,2014-11-02,360.78
459,2014-11-03,360.26
460,2014-11-04,359.8
461,2014-11-05,359.34
462,2014-11-06,358.89
463,2014-11-07,358.41
464,2014-11-08,357.91
465,2014-11-09,357.34
466,2014-11-10,356.73
467,2014-11-11,356.0
468,2014-11-12,355.32
469,2014-11-13,355.15
470,2014-11-14,355.99
471,2014-11-15,356.18
472,2014-11-16,355.7
473,2014-11-17,354.85
474,2014-11-18,353.66
475,2014-11-19,352.64
476,2014-11-20,351.65
477,2014-11-21,352.085
478,2014-11-22,352.52
479,2014-11-23,353.61
480,2014-11-24,353.54
481,2014-11-25,353.27
482,2014-11-26,353.02
483,2014-11-27,352.89
484,2014-11-28,353.23
485,2014-11-29,354.36
486,2014-11-30,354.89
487,2014-12-01,354.75
488,2014-12-02,355.12
489,2014-12-03,355.06
490,2014-12-04,354.87
491,2014-12-05,354.75
492,2014-12-06,354.67
493,2014-12-07,354.33
494,2014-12-08,353.93
495,2014-12-09,353.63
496,2014-12-10,353.93
497,2014-12-11,354.98
498,2014-12-12,355.18
499,2014-12-13,354.72
500,2014-12-14,354.07
501,2014-12-15,353.39
502,2014-12-16,353.14
503,2014-12-17,353.13
504,2014-12-18,353.1
505,2014-12-19,353.65
506,2014-12-20,356.15
507,2014-12-21,359.11
508,2014-12-22,361.14
509,2014-12-23,361.3
510,2014-12-24,361.32
511,2014-12-25,361.16
512,2014-12-26,360.64
513,2014-12-27,359.83
514,2014-12-28,358.82
515,2014-12-29,357.6
516,2014-12-30,356.255
517,2014-12-31,354.91
518,2015-01-01,353.43
519,2015-01-02,352.91
520,2015-01-03,353.05
521,2015-01-04,353.21
522,2015-01-05,353.29
523,2015-01-06,353.3
524,2015-01-07,353.26
525,2015-01-08,353.17
526,2015-01-09,353.12
527,2015-01-10,353.16
528,2015-01-11,353.21
529,2015-01-12,353.39
530,2015-01-13,353.52
531,2015-01-14,353.55
532,2015-01-15,353.7
533,2015-01-16,354.3
534,2015-01-17,355.14
535,2015-01-18,356.69
536,2015-01-19,357.69
537,2015-01-20,358.06
538,2015-01-21,358.06
539,2015-01-22,357.89
540,2015-01-23,357.72
541,2015-01-24,357.57
542,2015-01-25,357.4
543,2015-01-26,357.25
544,2015-01-27,357.16
545,2015-01-28,357.1
546,2015-01-29,357.04
547,2015-01-30,357.07
548,2015-01-31,357.12
549,2015-02-01,357.24
550,2015-02-02,357.54
551,2015-02-03,358.19
552,2015-02-04,358.77
553,2015-02-05,359.06
554,2015-02-06,359.73
555,2015-02-07,361.08
556,2015-02-08,362.28
557,2015-02-09,363.46
558,2015-02-10,364.5
559,2015-02-11,365.09
560,2015-02-12,365.25
561,2015-02-13,365.19
562,2015-02-14,365.0
563,2015-02-15,364.9
564,2015-02-16,364.85
565,2015-02-17,364.91
566,2015-02-18,365.03
567,2015-02-19,365.19
568,2015-02-20,365.31
569,2015-02-21,365.41
570,2015-02-22,365.51
571,2015-02-23,365.66
572,2015-02-24,365.76
573,2015-02-25,365.86
574,2015-02-26,365.99
575,2015-02-27,366.1
576,2015-02-28,366.21
577,2015-03-01,366.3
578,2015-03-02,366.39
579,2015-03-03,366.46
580,2015-03-04,366.53
581,2015-03-05,366.6
582,2015-03-06,366.66
583,2015-03-07,366.73
584,2015-03-08,366.79
585,2015-03-09,366.84
586,2015-03-10,366.9
587,2015-03-11,366.97
588,2015-03-12,367.03
589,2015-03-13,367.09
590,2015-03-14,367.24
591,2015-03-15,367.56
592,2015-03-16,367.81
593,2015-03-17,367.97
594,2015-03-18,368.11
595,2015-03-19,368.21
596,2015-03-20,368.32
597,2015-03-21,368.43
598,2015-03-22,368.55
599,2015-03-23,368.85
600,2015-03-24,369.16
601,2015-03-25,369.41
602,2015-03-26,369.58
603,2015-03-27,369.74
604,2015-03-28,369.84
605,2015-03-29,369.94
606,2015-03-30,370.02
607,2015-03-31,370.12
608,2015-04-01,370.22
609,2015-04-02,370.3
610,2015-04-03,370.38
611,2015-04-04,370.45
612,2015-04-05,370.52
613,2015-04-06,370.58
614,2015-04-07,370.66
615,2015-04-08,370.72
616,2015-04-09,370.78
617,2015-04-10,370.83
618,2015-04-11,370.87
619,2015-04-12,370.92
620,2015-04-13,370.96
621,2015-04-14,371.03
622,2015-04-15,371.08
623,2015-04-16,371.13
624,2015-04-17,371.16
625,2015-04-18,371.18
626,2015-04-19,371.23
627,2015-04-20,371.26
628,2015-04-21,371.27
629,2015-04-22,371.3
630,2015-04-23,371.33
631,2015-04-24,371.37
632,2015-04-25,371.4
633,2015-04-26,371.43
634,2015-04-27,371.46
635,2015-04-28,371.47
636,2015-04-29,371.48
637,2015-04-30,371.5
638,2015-05-01,371.51
639,2015-05-02,371.52
640,2015-05-03,371.53
641,2015-05-04,371.53
642,2015-05-05,371.54
643,2015-05-06,371.54
644,2015-05-07,371.55
645,2015-05-08,371.55
646,2015-05-09,371.56
647,2015-05-10,371.55
648,2015-05-11,371.57
649,2015-05-12,371.6
650,2015-05-13,371.61
651,2015-05-14,371.62
652,2015-05-15,371.63
653,2015-05-16,371.64
654,2015-05-17,371.65
655,2015-05-18,371.65
656,2015-05-19,371.65
657,2015-05-20,371.68
658,2015-05-21,371.69
659,2015-05-22,371.69
660,2015-05-23,371.69
661,2015-05-24,371.7
662,2015-05-25,371.7
663,2015-05-26,371.71
664,2015-05-27,371.71
665,2015-05-28,371.7
666,2015-05-29,371.69
667,2015-05-30,371.68
