,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.
805,2013-03-16,736.0
806,2013-03-17,735.0
807,2013-03-18,735.0
808,2013-03-19,739.0
809,2013-03-20,750.0
810,2013-03-21,745.0
811,2013-03-22,741.0
812,2013-03-23,740.0
813,2013-03-24,739.0
814,2013-03-25,741.0
815,2013-03-26,741.0
816,2013-03-27,742.0
817,2013-03-28,742.0
818,2013-03-29,741.0
819,2013-03-30,741.0
820,2013-03-31,750.0
821,2013-04-01,748.0
822,2013-04-02,747.0
823,2013-04-03,745.0
824,2013-04-04,749.0
825,2013-04-05,748.0
826,2013-04-06,753.0
827,2013-04-07,758.0
828,2013-04-08,752.0
829,2013-04-09,749.0
830,2013-04-10,750.0
831,2013-04-11,763.0
832,2013-04-12,785.0
833,2013-04-13,806.0
834,2013-04-14,825.0
835,2013-04-15,844.0
836,2013-04-16,858.0
837,2013-04-17,870.0
838,2013-04-18,883.0
839,2013-04-19,895.0
840,2013-04-20,904.0
841,2013-04-21,916.0
842,2013-04-22,926.0
843,2013-04-23,934.0
844,2013-04-24,943.0
845,2013-04-25,949.0
846,2013-04-26,956.0
847,2013-04-27,963.0
848,2013-04-28,968.0
849,2013-04-29,974.0
850,2013-04-30,978.0
851,2013-05-01,979.0
852,2013-05-02,983.0
853,2013-05-03,987.0
854,2013-05-04,990.0
855,2013-05-05,992.0
856,2013-05-06,999.0
857,2013-05-07,1000.0
858,2013-05-08,1010.0
859,2013-05-09,1010.0
860,2013-05-10,1020.0
861,2013-05-11,1020.0
862,2013-05-12,1020.0
863,2013-05-13,1020.0
864,2013-05-14,1020.0
865,2013-05-15,1020.0
866,2013-05-16,1030.0
867,2013-05-17,1040.0
868,2013-05-18,1040.0
869,2013-05-19,1040.0
870,2013-05-20,1040.0
871,2013-05-21,1040.0
872,2013-05-22,1030.0
873,2013-05-23,1030.0
874,2013-05-24,1030.0
875,2013-05-25,1030.0
876,2013-05-26,1030.0
877,2013-05-27,1040.0
878,2013-05-28,1060.0
879,2013-05-29,1060.0
880,2013-05-30,1060.0
881,2013-05-31,1060.0
882,2013-06-01,1060.0
883,2013-06-02,1060.0
884,2013-06-03,1060.0
885,2013-06-04,1060.0
886,2013-06-05,1050.0
887,2013-06-06,1050.0
888,2013-06-07,1050.0
889,2013-06-08,1040.0
890,2013-06-09,1040.0
891,2013-06-10,1040.0
892,2013-06-11,1030.0
893,2013-06-12,1030.0
894,2013-06-13,1030.0
895,2013-06-14,1020.0
896,2013-06-15,1020.0
897,2013-06-16,1010.0
898,2013-06-17,1010.0
899,2013-06-18,1010.0
900,2013-06-19,1010.0
901,2013-06-20,1000.0
902,2013-06-21,999.0
903,2013-06-22,995.0
904,2013-06-23,992.0
905,2013-06-24,993.0
906,2013-06-25,1020.0
907,2013-06-26,1020.0
908,2013-06-27,1020.0
909,2013-06-28,1020.0
910,2013-06-29,1010.0
911,2013-06-30,1010.0
912,2013-07-01,1010.0
913,2013-07-02,1000.0
914,2013-07-03,1000.0
915,2013-07-04,995.0
916,2013-07-05,992.0
917,2013-07-06,987.0
918,2013-07-07,983.0
919,2013-07-08,978.0
920,2013-07-09,973.0
921,2013-07-10,968.0
922,2013-07-11,964.0
923,2013-07-12,959.0
924,2013-07-13,955.0
925,2013-07-14,951.0
926,2013-07-15,947.0
927,2013-07-16,943.0
928,2013-07-17,938.0
929,2013-07-18,935.0
930,2013-07-19,931.0
931,2013-07-20,926.0
