,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
385,2012-01-21,27.18
386,2012-01-22,27.37
387,2012-01-23,27.47
388,2012-01-24,27.5
389,2012-01-25,27.55
390,2012-01-26,27.64
391,2012-01-27,27.7
392,2012-01-28,27.69
393,2012-01-29,27.72
394,2012-01-30,28.01
395,2012-01-31,28.17
396,2012-02-01,28.24
397,2012-02-02,28.25
398,2012-02-03,28.16
399,2012-02-04,28.05
400,2012-02-05,27.93
401,2012-02-06,27.81
402,2012-02-07,27.7
403,2012-02-08,27.61
404,2012-02-09,27.53
405,2012-02-10,27.46
406,2012-02-11,27.41
407,2012-02-12,27.35
408,2012-02-13,27.31
409,2012-02-14,27.28
410,2012-02-15,27.24
411,2012-02-16,27.2
412,2012-02-17,27.18
413,2012-02-18,27.26
414,2012-02-19,27.35
415,2012-02-20,27.36
416,2012-02-21,27.43
417,2012-02-22,27.59
418,2012-02-23,27.68
419,2012-02-24,27.71
420,2012-02-25,27.77
421,2012-02-26,27.75
422,2012-02-27,27.69
423,2012-02-28,27.63
424,2012-02-29,27.58
425,2012-03-01,27.53
426,2012-03-02,27.47
427,2012-03-03,27.43
428,2012-03-04,27.39
429,2012-03-05,27.38
430,2012-03-06,27.38
431,2012-03-07,27.34
432,2012-03-08,27.3
433,2012-03-09,27.26
434,2012-03-10,27.27
435,2012-03-11,27.35
436,2012-03-12,27.42
437,2012-03-13,27.58
438,2012-03-14,27.67
439,2012-03-15,27.88
440,2012-03-16,28.2
441,2012-03-17,28.35
442,2012-03-18,28.37
443,2012-03-19,28.3
444,2012-03-20,28.21
445,2012-03-21,28.12
446,2012-03-22,28.05
447,2012-03-23,27.96
448,2012-03-24,27.86
449,2012-03-25,27.77
450,2012-03-26,27.69
451,2012-03-27,27.61
452,2012-03-28,27.56
453,2012-03-29,27.59
454,2012-03-30,27.73
455,2012-03-31,27.82
456,2012-04-01,27.83
457,2012-04-02,27.8
458,2012-04-03,27.76
459,2012-04-04,27.72
460,2012-04-05,27.67
461,2012-04-06,27.62
462,2012-04-07,27.55
463,2012-04-08,27.49
464,2012-04-09,27.42
465,2012-04-10,27.35
466,2012-04-11,27.3
467,2012-04-12,27.27
468,2012-04-13,27.23
469,2012-04-14,27.18
470,2012-04-15,27.13
471,2012-04-16,27.1
472,2012-04-17,27.07
473,2012-04-18,27.04
474,2012-04-19,27.0
475,2012-04-20,27.08
476,2012-04-21,27.14
477,2012-04-22,27.14
478,2012-04-23,27.13
479,2012-04-24,27.11
480,2012-04-25,27.11
481,2012-04-26,27.17
482,2012-04-27,27.17
483,2012-04-28,27.15
484,2012-04-29,27.13
485,2012-04-30,27.16
486,2012-05-01,27.18
487,2012-05-02,27.17
488,2012-05-03,27.19
489,2012-05-04,27.32
490,2012-05-05,27.38
491,2012-05-06,27.38
492,2012-05-07,27.36
493,2012-05-08,27.32
494,2012-05-09,27.29
495,2012-05-10,27.24
496,2012-05-11,27.19
497,2012-05-12,27.14
498,2012-05-13,27.09
499,2012-05-14,27.05
500,2012-05-15,27.01
501,2012-05-16,26.96
502,2012-05-17,26.91
503,2012-05-18,26.85
504,2012-05-19,26.81
