,datetime,RIFFE_LAKE_NEAR_MOSSYROCK__WA.
479,2012-04-24,747.14
480,2012-04-25,748.99
481,2012-04-26,751.0
482,2012-04-27,752.52
483,2012-04-28,753.29
484,2012-04-29,753.74
485,2012-04-30,754.35
486,2012-05-01,755.4
487,2012-05-02,756.02
488,2012-05-03,756.59
489,2012-05-04,757.42
490,2012-05-05,758.51
491,2012-05-06,758.74
492,2012-05-07,758.76
493,2012-05-08,758.88
494,2012-05-09,759.68
495,2012-05-10,759.92
496,2012-05-11,759.89
497,2012-05-12,759.88
498,2012-05-13,759.86
499,2012-05-14,759.98
500,2012-05-15,760.84
501,2012-05-16,762.03
502,2012-05-17,762.83
503,2012-05-18,763.27
504,2012-05-19,763.46
505,2012-05-20,763.62
506,2012-05-21,763.78
507,2012-05-22,764.54
508,2012-05-23,765.58
509,2012-05-24,766.19
510,2012-05-25,766.7
511,2012-05-26,767.04
512,2012-05-27,767.51
513,2012-05-28,767.63
514,2012-05-29,767.78
515,2012-05-30,767.62
516,2012-05-31,767.58
517,2012-06-01,767.97
518,2012-06-02,769.12
519,2012-06-03,770.34
520,2012-06-04,770.54
521,2012-06-05,771.28
522,2012-06-06,771.84
523,2012-06-07,772.0
524,2012-06-08,772.46
525,2012-06-09,773.04
526,2012-06-10,773.24
527,2012-06-11,773.15
528,2012-06-12,773.24
529,2012-06-13,773.59
530,2012-06-14,773.76
531,2012-06-15,773.68
532,2012-06-16,773.86
533,2012-06-17,774.85
534,2012-06-18,775.42
535,2012-06-19,775.5
536,2012-06-20,774.8
537,2012-06-21,773.99
538,2012-06-22,773.82
539,2012-06-23,774.36
540,2012-06-24,774.73
541,2012-06-25,774.52
542,2012-06-26,774.42
543,2012-06-27,774.04
544,2012-06-28,773.8
545,2012-06-29,773.65
546,2012-06-30,773.77
547,2012-07-01,774.52
548,2012-07-02,774.74
549,2012-07-03,775.05
550,2012-07-04,775.44
551,2012-07-05,775.56
552,2012-07-06,775.66
553,2012-07-07,776.03
554,2012-07-08,776.46
555,2012-07-09,776.62
556,2012-07-10,776.76
557,2012-07-11,776.54
558,2012-07-12,776.24
559,2012-07-13,775.82
560,2012-07-14,775.5
561,2012-07-15,775.34
562,2012-07-16,774.8
563,2012-07-17,774.27
564,2012-07-18,774.17
565,2012-07-19,773.85
566,2012-07-20,774.02
567,2012-07-21,773.85
568,2012-07-22,774.18
569,2012-07-23,773.83
570,2012-07-24,773.62
571,2012-07-25,773.22
572,2012-07-26,772.81
573,2012-07-27,772.99
574,2012-07-28,773.14
575,2012-07-29,773.21
576,2012-07-30,773.24
577,2012-07-31,772.89
578,2012-08-01,772.9
579,2012-08-02,772.78
580,2012-08-03,772.76
581,2012-08-04,772.61
582,2012-08-05,772.57
583,2012-08-06,772.16
584,2012-08-07,771.97
585,2012-08-08,771.86
586,2012-08-09,771.22
587,2012-08-10,770.99
588,2012-08-11,770.63
589,2012-08-12,770.4
590,2012-08-13,770.19
591,2012-08-14,769.96
592,2012-08-15,769.76
593,2012-08-16,769.18
594,2012-08-17,768.47
595,2012-08-18,768.28
596,2012-08-19,768.27
597,2012-08-20,768.02
598,2012-08-21,767.78
599,2012-08-22,767.52
600,2012-08-23,767.44
601,2012-08-24,767.11
602,2012-08-25,766.85
603,2012-08-26,766.75
604,2012-08-27,766.42
605,2012-08-28,766.12
606,2012-08-29,765.74
607,2012-08-30,765.43
608,2012-08-31,765.12
609,2012-09-01,764.87
610,2012-09-02,764.58
611,2012-09-03,764.34
612,2012-09-04,764.2
613,2012-09-05,763.98
614,2012-09-06,763.73
615,2012-09-07,763.45
616,2012-09-08,763.08
617,2012-09-09,762.98
618,2012-09-10,762.68
619,2012-09-11,762.38
620,2012-09-12,762.02
621,2012-09-13,761.6
622,2012-09-14,760.68
623,2012-09-15,760.34
624,2012-09-16,760.21
625,2012-09-17,759.63
626,2012-09-18,759.0
627,2012-09-19,758.48
628,2012-09-20,757.9
629,2012-09-21,757.04
630,2012-09-22,756.54
631,2012-09-23,756.15
632,2012-09-24,755.54
633,2012-09-25,755.01
634,2012-09-26,754.36
635,2012-09-27,753.73
636,2012-09-28,753.08
637,2012-09-29,752.56
638,2012-09-30,752.09
639,2012-10-01,751.51
640,2012-10-02,750.98
641,2012-10-03,750.2
642,2012-10-04,749.52
643,2012-10-05,748.81
644,2012-10-06,748.07
645,2012-10-07,747.44
646,2012-10-08,746.72
647,2012-10-09,745.94
648,2012-10-10,745.15
649,2012-10-11,744.38
650,2012-10-12,743.85
651,2012-10-13,743.48
652,2012-10-14,743.2
653,2012-10-15,742.88
654,2012-10-16,742.76
655,2012-10-17,742.23
656,2012-10-18,741.77
657,2012-10-19,741.56
658,2012-10-20,741.78
659,2012-10-21,741.82
660,2012-10-22,741.3
661,2012-10-23,740.81
662,2012-10-24,740.24
663,2012-10-25,739.66
664,2012-10-26,739.06
665,2012-10-27,738.98
666,2012-10-28,740.3
667,2012-10-29,742.38
668,2012-10-30,744.58
669,2012-10-31,746.94
670,2012-11-01,748.14
671,2012-11-02,748.86
672,2012-11-03,749.65
673,2012-11-04,750.54
674,2012-11-05,750.6
675,2012-11-06,750.49
676,2012-11-07,750.49
677,2012-11-08,750.29
678,2012-11-09,749.78
679,2012-11-10,749.22
680,2012-11-11,749.32
681,2012-11-12,748.46
682,2012-11-13,747.64
683,2012-11-14,746.74
684,2012-11-15,745.64
685,2012-11-16,744.22
686,2012-11-17,743.0
687,2012-11-18,742.0
688,2012-11-19,742.37
689,2012-11-20,744.92
690,2012-11-21,745.92
691,2012-11-22,745.8
692,2012-11-23,745.47
693,2012-11-24,746.79
694,2012-11-25,747.31
695,2012-11-26,746.85
696,2012-11-27,746.0
697,2012-11-28,745.03
698,2012-11-29,743.97
699,2012-11-30,743.13
700,2012-12-01,742.96
701,2012-12-02,742.98
702,2012-12-03,743.05
703,2012-12-04,743.32
704,2012-12-05,744.28
705,2012-12-06,744.85
706,2012-12-07,745.08
707,2012-12-08,745.02
708,2012-12-09,744.64
709,2012-12-10,744.19
710,2012-12-11,743.63
711,2012-12-12,742.94
712,2012-12-13,742.07
713,2012-12-14,741.22
714,2012-12-15,740.27
715,2012-12-16,739.5
716,2012-12-17,739.12
717,2012-12-18,738.52
718,2012-12-19,738.1
719,2012-12-20,737.8
720,2012-12-21,737.16
721,2012-12-22,736.57
722,2012-12-23,735.86
723,2012-12-24,735.35
724,2012-12-25,734.54
725,2012-12-26,733.61
726,2012-12-27,732.94
727,2012-12-28,732.42
728,2012-12-29,731.47
729,2012-12-30,730.44
730,2012-12-31,729.43
731,2013-01-01,728.65
732,2013-01-02,727.6
733,2013-01-03,726.44
734,2013-01-04,725.66
735,2013-01-05,724.99
736,2013-01-06,724.78
737,2013-01-07,724.6
738,2013-01-08,724.62
739,2013-01-09,725.34
740,2013-01-10,725.34
741,2013-01-11,724.94
742,2013-01-12,724.51
743,2013-01-13,724.08
744,2013-01-14,723.11
745,2013-01-15,722.22
746,2013-01-16,720.93
747,2013-01-17,719.75
748,2013-01-18,718.86
749,2013-01-19,717.88
750,2013-01-20,717.02
751,2013-01-21,716.0
752,2013-01-22,714.86
753,2013-01-23,714.02
754,2013-01-24,713.6
755,2013-01-25,713.22
756,2013-01-26,713.02
757,2013-01-27,713.09
758,2013-01-28,713.15
759,2013-01-29,713.97
760,2013-01-30,715.28
761,2013-01-31,716.98
762,2013-02-01,718.43
763,2013-02-02,719.26
764,2013-02-03,720.23
765,2013-02-04,720.66
766,2013-02-05,721.28
767,2013-02-06,721.67
768,2013-02-07,722.02
769,2013-02-08,721.98
770,2013-02-09,722.44
771,2013-02-10,722.32
772,2013-02-11,722.35
773,2013-02-12,722.3
774,2013-02-13,722.56
775,2013-02-14,722.51
776,2013-02-15,722.34
777,2013-02-16,722.33
778,2013-02-17,722.49
779,2013-02-18,722.33
780,2013-02-19,721.71
781,2013-02-20,721.13
782,2013-02-21,720.42
783,2013-02-22,720.18
784,2013-02-23,720.36
785,2013-02-24,720.08
786,2013-02-25,719.64
787,2013-02-26,718.5
788,2013-02-27,717.71
789,2013-02-28,717.45
790,2013-03-01,717.62
791,2013-03-02,718.09
792,2013-03-03,718.63
793,2013-03-04,718.41
794,2013-03-05,718.13
795,2013-03-06,717.78
796,2013-03-07,717.63
797,2013-03-08,717.0
798,2013-03-09,716.84
799,2013-03-10,716.9
800,2013-03-11,716.25
801,2013-03-12,715.73
802,2013-03-13,715.44
803,2013-03-14,715.46
804,2013-03-15,715.84
805,2013-03-16,716.4
806,2013-03-17,717.04
807,2013-03-18,717.35
808,2013-03-19,716.65
809,2013-03-20,716.98
810,2013-03-21,717.46
811,2013-03-22,717.7
812,2013-03-23,717.69
813,2013-03-24,717.76
814,2013-03-25,717.1
815,2013-03-26,716.86
816,2013-03-27,716.66
817,2013-03-28,716.48
818,2013-03-29,716.44
819,2013-03-30,716.72
820,2013-03-31,717.26
821,2013-04-01,717.87
822,2013-04-02,719.04
823,2013-04-03,719.65
824,2013-04-04,720.34
825,2013-04-05,722.07
826,2013-04-06,725.4
827,2013-04-07,728.5
828,2013-04-08,730.38
829,2013-04-09,731.56
830,2013-04-10,732.74
831,2013-04-11,733.83
832,2013-04-12,734.68
833,2013-04-13,736.13
834,2013-04-14,736.87
835,2013-04-15,737.17
836,2013-04-16,737.41
837,2013-04-17,737.42
838,2013-04-18,737.09
839,2013-04-19,737.44
840,2013-04-20,738.76
841,2013-04-21,740.1
842,2013-04-22,740.0
843,2013-04-23,740.04
844,2013-04-24,740.03
845,2013-04-25,740.07
846,2013-04-26,739.93
847,2013-04-27,740.79
848,2013-04-28,742.1
849,2013-04-29,742.61
850,2013-04-30,742.97
851,2013-05-01,742.86
852,2013-05-02,742.57
853,2013-05-03,742.47
854,2013-05-04,742.92
855,2013-05-05,743.44
856,2013-05-06,743.7
857,2013-05-07,744.6
858,2013-05-08,745.8
859,2013-05-09,747.24
860,2013-05-10,748.56
861,2013-05-11,750.3
862,2013-05-12,752.56
863,2013-05-13,754.55
864,2013-05-14,755.88
865,2013-05-15,756.92
866,2013-05-16,757.59
867,2013-05-17,758.4
868,2013-05-18,759.34
869,2013-05-19,759.84
870,2013-05-20,759.7
871,2013-05-21,760.44
872,2013-05-22,760.82
873,2013-05-23,761.37
874,2013-05-24,762.01
875,2013-05-25,762.36
876,2013-05-26,762.83
877,2013-05-27,763.03
878,2013-05-28,763.65
879,2013-05-29,764.64
880,2013-05-30,765.87
881,2013-05-31,766.62
882,2013-06-01,767.19
883,2013-06-02,768.01
884,2013-06-03,768.06
885,2013-06-04,768.07
886,2013-06-05,768.57
887,2013-06-06,769.17
888,2013-06-07,769.78
889,2013-06-08,770.56
890,2013-06-09,771.25
891,2013-06-10,771.53
892,2013-06-11,772.0
893,2013-06-12,772.2
894,2013-06-13,772.35
895,2013-06-14,772.36
896,2013-06-15,772.39
897,2013-06-16,772.73
898,2013-06-17,772.79
899,2013-06-18,772.8
900,2013-06-19,772.97
901,2013-06-20,773.08
902,2013-06-21,773.02
903,2013-06-22,773.03
904,2013-06-23,773.09
905,2013-06-24,773.28
906,2013-06-25,773.45
907,2013-06-26,773.58
908,2013-06-27,773.7
909,2013-06-28,773.68
910,2013-06-29,773.74
911,2013-06-30,773.89
912,2013-07-01,773.79
913,2013-07-02,773.78
914,2013-07-03,773.96
915,2013-07-04,774.28
916,2013-07-05,774.26
917,2013-07-06,774.36
918,2013-07-07,774.35
919,2013-07-08,774.02
920,2013-07-09,773.72
921,2013-07-10,773.63
922,2013-07-11,773.66
923,2013-07-12,773.38
924,2013-07-13,773.34
925,2013-07-14,773.38
926,2013-07-15,772.92
927,2013-07-16,772.54
928,2013-07-17,772.31
929,2013-07-18,771.91
930,2013-07-19,771.74
931,2013-07-20,771.66
932,2013-07-21,771.54
933,2013-07-22,771.15
934,2013-07-23,770.66
935,2013-07-24,770.18
936,2013-07-25,769.67
937,2013-07-26,769.42
938,2013-07-27,769.49
939,2013-07-28,769.5
940,2013-07-29,769.32
941,2013-07-30,769.22
942,2013-07-31,769.03
943,2013-08-01,768.82
944,2013-08-02,768.68
945,2013-08-03,768.53
946,2013-08-04,768.56
947,2013-08-05,768.14
948,2013-08-06,767.8
949,2013-08-07,767.58
950,2013-08-08,767.28
951,2013-08-09,767.16
952,2013-08-10,766.96
953,2013-08-11,767.04
954,2013-08-12,766.82
955,2013-08-13,766.52
956,2013-08-14,766.19
957,2013-08-15,765.72
958,2013-08-16,765.43
959,2013-08-17,765.29
960,2013-08-18,765.22
961,2013-08-19,764.99
962,2013-08-20,764.55
963,2013-08-21,764.43
964,2013-08-22,764.12
965,2013-08-23,763.8
966,2013-08-24,763.69
967,2013-08-25,763.37
968,2013-08-26,762.97
969,2013-08-27,762.6
970,2013-08-28,762.26
971,2013-08-29,762.04
972,2013-08-30,761.8
973,2013-08-31,761.68
974,2013-09-01,761.48
975,2013-09-02,761.26
976,2013-09-03,760.92
977,2013-09-04,760.52
978,2013-09-05,760.39
979,2013-09-06,760.8
980,2013-09-07,760.98
981,2013-09-08,760.79
982,2013-09-09,760.48
983,2013-09-10,760.18
984,2013-09-11,759.71
985,2013-09-12,759.3
986,2013-09-13,758.96
987,2013-09-14,758.97
988,2013-09-15,759.08
989,2013-09-16,758.99
990,2013-09-17,758.76
991,2013-09-18,758.43
992,2013-09-19,758.11
993,2013-09-20,757.84
994,2013-09-21,757.56
995,2013-09-22,757.62
996,2013-09-23,757.31
997,2013-09-24,757.02
998,2013-09-25,756.65
999,2013-09-26,756.04
1000,2013-09-27,755.62
1001,2013-09-28,756.08
1002,2013-09-29,758.28
1003,2013-09-30,760.81
1004,2013-10-01,762.37
1005,2013-10-02,762.87
1006,2013-10-03,762.77
1007,2013-10-04,762.85
1008,2013-10-05,762.93
1009,2013-10-06,763.17
1010,2013-10-07,763.14
1011,2013-10-08,763.3
1012,2013-10-09,763.35
1013,2013-10-10,763.22
1014,2013-10-11,763.08
1015,2013-10-12,763.05
1016,2013-10-13,762.97
1017,2013-10-14,762.57
1018,2013-10-15,762.13
1019,2013-10-16,761.79
1020,2013-10-17,761.41
1021,2013-10-18,760.98
1022,2013-10-19,760.65
1023,2013-10-20,760.22
1024,2013-10-21,759.7
1025,2013-10-22,759.18
1026,2013-10-23,758.58
1027,2013-10-24,757.71
1028,2013-10-25,756.92
1029,2013-10-26,756.24
1030,2013-10-27,756.04
1031,2013-10-28,755.06
1032,2013-10-29,753.94
1033,2013-10-30,752.8
1034,2013-10-31,751.76
1035,2013-11-01,750.69
1036,2013-11-02,750.51
1037,2013-11-03,750.46
1038,2013-11-04,749.41
1039,2013-11-05,748.67
1040,2013-11-06,747.76
1041,2013-11-07,747.23
1042,2013-11-08,747.83
1043,2013-11-09,747.94
1044,2013-11-10,747.84
1045,2013-11-11,747.21
1046,2013-11-12,746.57
1047,2013-11-13,745.87
1048,2013-11-14,745.33
1049,2013-11-15,744.68
1050,2013-11-16,744.25
1051,2013-11-17,743.8
1052,2013-11-18,743.34
1053,2013-11-19,743.49
1054,2013-11-20,743.67
1055,2013-11-21,743.33
1056,2013-11-22,742.87
1057,2013-11-23,742.14
1058,2013-11-24,741.7
1059,2013-11-25,740.77
1060,2013-11-26,740.0
1061,2013-11-27,739.08
1062,2013-11-28,738.9
1063,2013-11-29,738.3
