,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
519,2012-06-03,75300
520,2012-06-04,75370
521,2012-06-05,76020
522,2012-06-06,76830
523,2012-06-07,77600
524,2012-06-08,78210
525,2012-06-09,78960
526,2012-06-10,79490
527,2012-06-11,80080
528,2012-06-12,80260
529,2012-06-13,80030
530,2012-06-14,79730
531,2012-06-15,79370
532,2012-06-16,79130
533,2012-06-17,79060
534,2012-06-18,78820
535,2012-06-19,78500
536,2012-06-20,77990
537,2012-06-21,77690
538,2012-06-22,77220
539,2012-06-23,76690
540,2012-06-24,76290
541,2012-06-25,75770
542,2012-06-26,75350
543,2012-06-27,74990
544,2012-06-28,74660
545,2012-06-29,74430
546,2012-06-30,73950
547,2012-07-01,73610
548,2012-07-02,73090
549,2012-07-03,72730
550,2012-07-04,72310
551,2012-07-05,71870
552,2012-07-06,71410
553,2012-07-07,70940
554,2012-07-08,70620
555,2012-07-09,70280
556,2012-07-10,70080
557,2012-07-11,69940
558,2012-07-12,69800
559,2012-07-13,69820
560,2012-07-14,70050
561,2012-07-15,69690
562,2012-07-16,69360
563,2012-07-17,68830
564,2012-07-18,68330
565,2012-07-19,67870
566,2012-07-20,67500
567,2012-07-21,67200
568,2012-07-22,66730
569,2012-07-23,66590
570,2012-07-24,66460
571,2012-07-25,66080
572,2012-07-26,65680
573,2012-07-27,65300
574,2012-07-28,64930
575,2012-07-29,64560
576,2012-07-30,64450
577,2012-07-31,64160
578,2012-08-01,63860
579,2012-08-02,63660
580,2012-08-03,63440
581,2012-08-04,63210
582,2012-08-05,62910
583,2012-08-06,62590
584,2012-08-07,62340
585,2012-08-08,62240
586,2012-08-09,61990
587,2012-08-10,61970
588,2012-08-11,61880
589,2012-08-12,61840
590,2012-08-13,61960
591,2012-08-14,61950
592,2012-08-15,61850
593,2012-08-16,61740
594,2012-08-17,61470
595,2012-08-18,61140
596,2012-08-19,60720
597,2012-08-20,60430
598,2012-08-21,60180
599,2012-08-22,59870
600,2012-08-23,59430
601,2012-08-24,58720
602,2012-08-25,58100
603,2012-08-26,57390
604,2012-08-27,56870
605,2012-08-28,56360
606,2012-08-29,55820
607,2012-08-30,55260
608,2012-08-31,54640
609,2012-09-01,54110
610,2012-09-02,53620
611,2012-09-03,53120
612,2012-09-04,52690
613,2012-09-05,52120
614,2012-09-06,51540
615,2012-09-07,51060
616,2012-09-08,50550
617,2012-09-09,49970
618,2012-09-10,49360
619,2012-09-11,48760
620,2012-09-12,48270
621,2012-09-13,47800
622,2012-09-14,47300
623,2012-09-15,46700
624,2012-09-16,46060
625,2012-09-17,45530
626,2012-09-18,45120
627,2012-09-19,44670
628,2012-09-20,44180
629,2012-09-21,43610
630,2012-09-22,43110
631,2012-09-23,42590
632,2012-09-24,42120
633,2012-09-25,41650
634,2012-09-26,41330
635,2012-09-27,41040
636,2012-09-28,40670
637,2012-09-29,40340
638,2012-09-30,40000
639,2012-10-01,39690
640,2012-10-02,39320
641,2012-10-03,39040
642,2012-10-04,38670
643,2012-10-05,38190
644,2012-10-06,37730
645,2012-10-07,37830
646,2012-10-08,38190
647,2012-10-09,38560
648,2012-10-10,39030
649,2012-10-11,39480
650,2012-10-12,39980
651,2012-10-13,40510
652,2012-10-14,41000
653,2012-10-15,41590
654,2012-10-16,42150
