,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
272,2011-09-30,1201.01
273,2011-10-01,1201.08
274,2011-10-02,1201.43
275,2011-10-03,1201.7
276,2011-10-04,1200.56
277,2011-10-05,1200.72
278,2011-10-06,1200.67
279,2011-10-07,1201.09
280,2011-10-08,1201.19
281,2011-10-09,1201.81
282,2011-10-10,1201.27
283,2011-10-11,1200.72
284,2011-10-12,1201.31
285,2011-10-13,1201.06
286,2011-10-14,1200.95
287,2011-10-15,1200.62
288,2011-10-16,1201.06
289,2011-10-17,1201.48
290,2011-10-18,1200.57
291,2011-10-19,1200.63
292,2011-10-20,1201.1
293,2011-10-21,1201.75
294,2011-10-22,1202.48
295,2011-10-23,1201.86
296,2011-10-24,1201.15
297,2011-10-25,1201.43
298,2011-10-26,1201.6
299,2011-10-27,1201.58
300,2011-10-28,1201.74
301,2011-10-29,1200.69
302,2011-10-30,1201.12
303,2011-10-31,1200.86
304,2011-11-01,1200.97
305,2011-11-02,1200.32
306,2011-11-03,1201.06
307,2011-11-04,1201.07
308,2011-11-05,1201.86
309,2011-11-06,1203.16
310,2011-11-07,1202.6
311,2011-11-08,1202.43
312,2011-11-09,1200.98
313,2011-11-10,1200.16
314,2011-11-11,1201.5
315,2011-11-12,1201.44
316,2011-11-13,1201.22
317,2011-11-14,1202.44
318,2011-11-15,1201.77
319,2011-11-16,1201.28
320,2011-11-17,1201.42
321,2011-11-18,1200.16
322,2011-11-19,1200.0
323,2011-11-20,1201.15
324,2011-11-21,1200.38
325,2011-11-22,1201.78
326,2011-11-23,1201.4
327,2011-11-24,1199.68
328,2011-11-25,1200.61
329,2011-11-26,1200.85
330,2011-11-27,1203.49
331,2011-11-28,1201.01
332,2011-11-29,1200.66
333,2011-11-30,1200.93
334,2011-12-01,1200.87
335,2011-12-02,1200.91
336,2011-12-03,1200.44
337,2011-12-04,1201.2
338,2011-12-05,1200.82
339,2011-12-06,1200.22
340,2011-12-07,1200.35
341,2011-12-08,1201.1
342,2011-12-09,1201.11
343,2011-12-10,1200.65
344,2011-12-11,1200.92
345,2011-12-12,1200.82
346,2011-12-13,1200.6
347,2011-12-14,1200.68
348,2011-12-15,1201.0
349,2011-12-16,1200.63
350,2011-12-17,1200.75
351,2011-12-18,1200.53
352,2011-12-19,1200.63
353,2011-12-20,1200.6
354,2011-12-21,1200.78
355,2011-12-22,1200.98
356,2011-12-23,1200.37
357,2011-12-24,1200.58
358,2011-12-25,1200.56
359,2011-12-26,1200.8
360,2011-12-27,1198.6
361,2011-12-28,1198.66
362,2011-12-29,1198.94
363,2011-12-30,1200.18
364,2011-12-31,1200.08
