,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
342,2011-12-09,871.89
343,2011-12-10,870.99
344,2011-12-11,871.33
345,2011-12-12,871.35
346,2011-12-13,871.27
347,2011-12-14,871.77
348,2011-12-15,872.24
349,2011-12-16,871.57
350,2011-12-17,871.21
351,2011-12-18,871.18
352,2011-12-19,871.57
353,2011-12-20,872.05
354,2011-12-21,870.75
355,2011-12-22,872.18
356,2011-12-23,871.53
357,2011-12-24,871.52
358,2011-12-25,870.82
359,2011-12-26,871.93
360,2011-12-27,868.7
361,2011-12-28,870.38
362,2011-12-29,869.84
363,2011-12-30,871.39
364,2011-12-31,871.4
365,2012-01-01,871.63
366,2012-01-02,870.75
367,2012-01-03,872.03
368,2012-01-04,871.17
369,2012-01-05,871.46
370,2012-01-06,871.61
371,2012-01-07,870.9
372,2012-01-08,870.68
373,2012-01-09,871.36
374,2012-01-10,871.17
375,2012-01-11,871.08
376,2012-01-12,871.36
377,2012-01-13,871.5
378,2012-01-14,872.11
379,2012-01-15,871.7
380,2012-01-16,870.9
381,2012-01-17,870.03
382,2012-01-18,869.97
383,2012-01-19,870.62
384,2012-01-20,871.24
385,2012-01-21,871.57
386,2012-01-22,871.58
387,2012-01-23,871.08
388,2012-01-24,871.73
389,2012-01-25,871.36
390,2012-01-26,871.36
391,2012-01-27,871.26
392,2012-01-28,870.2
393,2012-01-29,871.99
394,2012-01-30,871.88
395,2012-01-31,871.05
396,2012-02-01,870.3
397,2012-02-02,871.42
398,2012-02-03,871.36
399,2012-02-04,870.72
400,2012-02-05,870.75
401,2012-02-06,872.08
402,2012-02-07,871.83
403,2012-02-08,871.02
404,2012-02-09,871.52
405,2012-02-10,870.49
406,2012-02-11,870.52
407,2012-02-12,871.77
408,2012-02-13,871.41
409,2012-02-14,872.09
410,2012-02-15,871.36
411,2012-02-16,871.52
412,2012-02-17,871.68
413,2012-02-18,871.65
414,2012-02-19,871.23
415,2012-02-20,872.16
416,2012-02-21,870.04
417,2012-02-22,871.22
418,2012-02-23,871.94
419,2012-02-24,870.23
420,2012-02-25,870.58
421,2012-02-26,871.11
422,2012-02-27,872.2
423,2012-02-28,871.32
424,2012-02-29,871.14
425,2012-03-01,870.31
426,2012-03-02,869.06
427,2012-03-03,871.78
428,2012-03-04,870.87
429,2012-03-05,869.29
430,2012-03-06,869.98
431,2012-03-07,869.83
432,2012-03-08,870.25
433,2012-03-09,870.61
434,2012-03-10,870.6
435,2012-03-11,870.68
436,2012-03-12,870.65
437,2012-03-13,870.62
438,2012-03-14,872.01
439,2012-03-15,873.15
440,2012-03-16,870.67
441,2012-03-17,871.11
442,2012-03-18,871.07
443,2012-03-19,873.5
444,2012-03-20,872.48
445,2012-03-21,872.54
446,2012-03-22,871.57
447,2012-03-23,869.81
448,2012-03-24,870.76
449,2012-03-25,870.27
450,2012-03-26,870.92
451,2012-03-27,871.3
452,2012-03-28,871.92
453,2012-03-29,871.21
454,2012-03-30,869.69
455,2012-03-31,870.44
456,2012-04-01,871.6
457,2012-04-02,870.01
458,2012-04-03,870.59
459,2012-04-04,870.67
460,2012-04-05,870.33
461,2012-04-06,870.91
462,2012-04-07,871.01
463,2012-04-08,871.09
464,2012-04-09,869.8
465,2012-04-10,870.67
466,2012-04-11,871.59
467,2012-04-12,871.91
468,2012-04-13,871.49
469,2012-04-14,870.33
470,2012-04-15,871.05
471,2012-04-16,872.44
472,2012-04-17,869.88
473,2012-04-18,873.09
474,2012-04-19,871.96
475,2012-04-20,871.44
476,2012-04-21,872.52
477,2012-04-22,872.91
478,2012-04-23,873.86
479,2012-04-24,871.39
480,2012-04-25,871.67
481,2012-04-26,869.77
482,2012-04-27,869.7
483,2012-04-28,872.11
484,2012-04-29,871.52
485,2012-04-30,872.14
486,2012-05-01,871.85
487,2012-05-02,872.1
488,2012-05-03,872.52
