,datetime,YALE_RESERVOIR_NEAR_YALE__WA.
919,2013-07-08,373085.63
920,2013-07-09,373085.01
921,2013-07-10,373084.13
922,2013-07-11,373083.61
923,2013-07-12,373083.17
924,2013-07-13,373083.26
925,2013-07-14,373083.6
926,2013-07-15,373082.56
927,2013-07-16,373082.56
928,2013-07-17,373082.02
929,2013-07-18,373081.69
930,2013-07-19,373081.49
931,2013-07-20,373080.9
932,2013-07-21,373080.62
933,2013-07-22,373080.99
934,2013-07-23,373080.36
935,2013-07-24,373079.33
936,2013-07-25,373079.06
937,2013-07-26,373078.85
938,2013-07-27,373078.95
939,2013-07-28,373079.51
940,2013-07-29,373079.53
941,2013-07-30,373079.63
942,2013-07-31,373079.89
943,2013-08-01,373080.32
944,2013-08-02,373080.02
945,2013-08-03,373080.42
946,2013-08-04,373080.84
947,2013-08-05,373081.58
948,2013-08-06,373081.19
949,2013-08-07,373081.12
950,2013-08-08,373081.49
951,2013-08-09,373082.06
952,2013-08-10,373081.04
953,2013-08-11,373080.07
954,2013-08-12,373079.63
955,2013-08-13,373079.19
956,2013-08-14,373079.63
957,2013-08-15,373080.05
958,2013-08-16,373080.6
959,2013-08-17,373080.53
960,2013-08-18,373080.6
961,2013-08-19,373081.0
962,2013-08-20,373081.17
963,2013-08-21,373080.96
964,2013-08-22,373081.46
965,2013-08-23,373081.715
966,2013-08-24,373081.97
967,2013-08-25,373082.7233333333
968,2013-08-26,373083.4766666667
969,2013-08-27,373084.23
970,2013-08-28,373085.03
971,2013-08-29,373085.84
972,2013-08-30,373086.97
973,2013-08-31,373087.87
974,2013-09-01,373088.05
975,2013-09-02,373088.18
976,2013-09-03,373088.57
977,2013-09-04,373088.53
978,2013-09-05,373088.64
979,2013-09-06,373089.02
980,2013-09-07,373089.13
981,2013-09-08,373088.4
982,2013-09-09,373088.52
983,2013-09-10,373088.52
984,2013-09-11,373088.18
985,2013-09-12,373087.45
986,2013-09-13,373086.7
987,2013-09-14,373085.71
988,2013-09-15,373085.11
989,2013-09-16,373085.83
