,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.
353,2011-12-20,160244.64
354,2011-12-21,160244.63
355,2011-12-22,160144.6
356,2011-12-23,160144.62
357,2011-12-24,160244.63
358,2011-12-25,160144.61
359,2011-12-26,160244.63
360,2011-12-27,160144.61
361,2011-12-28,160144.62
362,2011-12-29,160244.63
363,2011-12-30,160344.68
364,2011-12-31,160344.68
365,2012-01-01,160244.65
366,2012-01-02,160344.67
367,2012-01-03,160244.63
368,2012-01-04,160244.64
369,2012-01-05,160144.62
370,2012-01-06,160244.63
371,2012-01-07,160244.63
372,2012-01-08,160244.63
373,2012-01-09,160044.58
374,2012-01-10,159944.56
375,2012-01-11,159944.56
376,2012-01-12,159944.53
377,2012-01-13,159944.55
378,2012-01-14,159944.55
379,2012-01-15,159944.53
380,2012-01-16,159744.49
381,2012-01-17,159744.48
382,2012-01-18,159744.46
383,2012-01-19,159944.53
384,2012-01-20,160444.72
385,2012-01-21,161445.06
386,2012-01-22,162245.34
387,2012-01-23,163845.87
388,2012-01-24,164246.0
389,2012-01-25,164346.04
390,2012-01-26,164646.11
391,2012-01-27,164646.13
392,2012-01-28,164746.16
393,2012-01-29,164746.17
394,2012-01-30,164846.2
395,2012-01-31,164846.19
396,2012-02-01,164846.18
397,2012-02-02,164846.19
398,2012-02-03,164846.18
399,2012-02-04,164946.21
400,2012-02-05,164946.22
401,2012-02-06,164846.19
402,2012-02-07,165246.31
403,2012-02-08,165346.37
404,2012-02-09,165446.4
405,2012-02-10,165546.42
406,2012-02-11,165646.46
407,2012-02-12,165746.5
408,2012-02-13,165846.53
409,2012-02-14,165846.53
410,2012-02-15,165946.56
411,2012-02-16,166046.6
412,2012-02-17,166146.61
413,2012-02-18,166146.61
414,2012-02-19,166146.62
415,2012-02-20,166346.69
416,2012-02-21,166246.65
417,2012-02-22,166346.67
418,2012-02-23,166246.65
419,2012-02-24,166146.63
420,2012-02-25,166246.66
421,2012-02-26,166346.67
422,2012-02-27,166246.64
