,datetime,LA_GRANDE_RESERVOIR_AT_LA_GRANDE__WA.
139,2011-05-20,932.36
140,2011-05-21,932.66
141,2011-05-22,932.47
142,2011-05-23,930.68
143,2011-05-24,933.25
144,2011-05-25,933.03
145,2011-05-26,932.46
146,2011-05-27,930.77
147,2011-05-28,929.48
148,2011-05-29,929.22
149,2011-05-30,930.19
150,2011-05-31,932.62
151,2011-06-01,929.57
152,2011-06-02,930.99
153,2011-06-03,931.61
154,2011-06-04,934.08
155,2011-06-05,933.92
156,2011-06-06,930.71
157,2011-06-07,931.85
158,2011-06-08,931.64
159,2011-06-09,932.06
160,2011-06-10,932.13
161,2011-06-11,932.34
162,2011-06-12,932.24
163,2011-06-13,930.1
164,2011-06-14,932.03
165,2011-06-15,932.57
166,2011-06-16,932.53
167,2011-06-17,932.18
168,2011-06-18,931.93
169,2011-06-19,932.39
170,2011-06-20,932.55
171,2011-06-21,932.51
172,2011-06-22,932.88
173,2011-06-23,933.17
174,2011-06-24,933.07
175,2011-06-25,931.52
176,2011-06-26,933.29
177,2011-06-27,932.53
178,2011-06-28,933.14
179,2011-06-29,932.1
180,2011-06-30,931.44
181,2011-07-01,930.22
182,2011-07-02,929.98
183,2011-07-03,929.43
184,2011-07-04,931.24
185,2011-07-05,928.73
186,2011-07-06,929.46
187,2011-07-07,928.98
188,2011-07-08,929.94
189,2011-07-09,930.17
190,2011-07-10,929.73
191,2011-07-11,930.21
192,2011-07-12,929.07
193,2011-07-13,928.5
194,2011-07-14,928.22
195,2011-07-15,930.5
196,2011-07-16,929.5
197,2011-07-17,930.02
198,2011-07-18,928.98
199,2011-07-19,930.29
200,2011-07-20,928.46
201,2011-07-21,926.94
202,2011-07-22,929.82
203,2011-07-23,928.59
204,2011-07-24,931.66
205,2011-07-25,930.88
206,2011-07-26,929.23
207,2011-07-27,927.75
208,2011-07-28,932.73
209,2011-07-29,928.98
210,2011-07-30,929.92
211,2011-07-31,929.14
212,2011-08-01,930.24
213,2011-08-02,929.55
214,2011-08-03,930.9
215,2011-08-04,929.68
216,2011-08-05,930.53
217,2011-08-06,930.0
218,2011-08-07,931.4
219,2011-08-08,928.46
220,2011-08-09,929.93
221,2011-08-10,930.42
222,2011-08-11,930.38
223,2011-08-12,929.77
224,2011-08-13,929.75
225,2011-08-14,929.92
226,2011-08-15,930.71
227,2011-08-16,930.28
228,2011-08-17,929.55
229,2011-08-18,929.64
230,2011-08-19,928.94
231,2011-08-20,930.15
232,2011-08-21,929.95
233,2011-08-22,930.0
234,2011-08-23,929.96
235,2011-08-24,928.62
236,2011-08-25,930.92
237,2011-08-26,930.7
238,2011-08-27,930.5
239,2011-08-28,931.11
240,2011-08-29,931.06
241,2011-08-30,931.04
242,2011-08-31,931.61
243,2011-09-01,931.04
244,2011-09-02,930.83
245,2011-09-03,930.84
246,2011-09-04,930.89
247,2011-09-05,930.68
248,2011-09-06,930.7
249,2011-09-07,930.88
250,2011-09-08,930.58
251,2011-09-09,931.27
252,2011-09-10,931.3
253,2011-09-11,931.95
254,2011-09-12,929.48
255,2011-09-13,929.82
256,2011-09-14,931.76
257,2011-09-15,928.2
258,2011-09-16,929.71
259,2011-09-17,929.89
260,2011-09-18,930.37
261,2011-09-19,929.76
262,2011-09-20,930.8
263,2011-09-21,930.88
264,2011-09-22,929.07
265,2011-09-23,929.76
266,2011-09-24,930.49
267,2011-09-25,929.18
268,2011-09-26,928.7
269,2011-09-27,929.21
270,2011-09-28,930.97
271,2011-09-29,928.28
272,2011-09-30,929.88
273,2011-10-01,929.8
274,2011-10-02,929.28
275,2011-10-03,931.78
276,2011-10-04,928.85
277,2011-10-05,928.78
278,2011-10-06,928.78
279,2011-10-07,929.87
280,2011-10-08,929.09
281,2011-10-09,929.83
282,2011-10-10,930.18
283,2011-10-11,930.86
284,2011-10-12,929.7
285,2011-10-13,930.03
286,2011-10-14,928.36
287,2011-10-15,929.84
288,2011-10-16,930.11
289,2011-10-17,929.45
290,2011-10-18,930.07
291,2011-10-19,930.8
292,2011-10-20,929.6
293,2011-10-21,929.63
294,2011-10-22,929.92
295,2011-10-23,929.11
296,2011-10-24,930.23
297,2011-10-25,930.65
298,2011-10-26,929.4
299,2011-10-27,929.61
300,2011-10-28,930.34
301,2011-10-29,930.22
302,2011-10-30,930.78
303,2011-10-31,929.67
304,2011-11-01,928.71
305,2011-11-02,919.19
306,2011-11-03,907.67
307,2011-11-04,929.89
308,2011-11-05,930.01
309,2011-11-06,929.26
310,2011-11-07,929.49
311,2011-11-08,929.46
312,2011-11-09,929.93
313,2011-11-10,929.82
314,2011-11-11,929.39
315,2011-11-12,929.49
316,2011-11-13,930.14
317,2011-11-14,929.89
318,2011-11-15,930.63
319,2011-11-16,929.13
320,2011-11-17,930.9
321,2011-11-18,929.6
322,2011-11-19,928.26
323,2011-11-20,929.62
324,2011-11-21,929.36
325,2011-11-22,929.82
326,2011-11-23,928.95
327,2011-11-24,929.91
328,2011-11-25,929.59
329,2011-11-26,929.6
330,2011-11-27,929.66
331,2011-11-28,929.94
332,2011-11-29,929.89
333,2011-11-30,930.34
334,2011-12-01,929.85
335,2011-12-02,929.89
336,2011-12-03,929.11
337,2011-12-04,929.93
338,2011-12-05,930.4
339,2011-12-06,929.9
340,2011-12-07,928.49
341,2011-12-08,929.89
342,2011-12-09,930.0
343,2011-12-10,929.44
344,2011-12-11,930.0
345,2011-12-12,930.16
346,2011-12-13,929.96
347,2011-12-14,929.9
348,2011-12-15,929.88
349,2011-12-16,931.2
350,2011-12-17,929.32
351,2011-12-18,932.32
352,2011-12-19,928.51
353,2011-12-20,930.15
354,2011-12-21,929.85
355,2011-12-22,930.96
356,2011-12-23,927.26
357,2011-12-24,930.45
358,2011-12-25,929.67
359,2011-12-26,930.33
360,2011-12-27,929.24
361,2011-12-28,931.69
362,2011-12-29,931.02
363,2011-12-30,931.62
364,2011-12-31,931.2
365,2012-01-01,931.23
366,2012-01-02,928.84
367,2012-01-03,930.21
368,2012-01-04,930.3
369,2012-01-05,930.19
370,2012-01-06,929.62
371,2012-01-07,929.66
372,2012-01-08,929.6
373,2012-01-09,929.55
374,2012-01-10,930.53
375,2012-01-11,930.48
376,2012-01-12,931.52
377,2012-01-13,931.0
378,2012-01-14,931.71
379,2012-01-15,930.72
380,2012-01-16,932.39
381,2012-01-17,932.91
382,2012-01-18,926.89
383,2012-01-19,930.56
384,2012-01-20,932.63
385,2012-01-21,932.35
386,2012-01-22,932.4
387,2012-01-23,932.76
388,2012-01-24,931.11
389,2012-01-25,932.13
390,2012-01-26,932.79
391,2012-01-27,929.47
392,2012-01-28,930.13
393,2012-01-29,929.82
394,2012-01-30,932.1
395,2012-01-31,930.96
396,2012-02-01,930.02
397,2012-02-02,931.81
398,2012-02-03,930.77
399,2012-02-04,931.65
400,2012-02-05,930.87
401,2012-02-06,931.65
402,2012-02-07,930.23
403,2012-02-08,931.59
404,2012-02-09,932.08
405,2012-02-10,932.06
406,2012-02-11,932.47
407,2012-02-12,931.21
408,2012-02-13,931.35
409,2012-02-14,931.26
410,2012-02-15,932.01
411,2012-02-16,931.58
412,2012-02-17,932.78
413,2012-02-18,931.01
414,2012-02-19,931.88
415,2012-02-20,929.96
416,2012-02-21,928.55
417,2012-02-22,931.06
418,2012-02-23,932.17
419,2012-02-24,932.48
420,2012-02-25,932.39
421,2012-02-26,933.2
422,2012-02-27,933.09
423,2012-02-28,932.81
424,2012-02-29,932.04
425,2012-03-01,932.8
426,2012-03-02,932.03
427,2012-03-03,933.14
428,2012-03-04,932.62
429,2012-03-05,931.96
430,2012-03-06,932.62
431,2012-03-07,933.01
432,2012-03-08,932.54
433,2012-03-09,931.89
434,2012-03-10,932.25
435,2012-03-11,933.17
436,2012-03-12,933.7
437,2012-03-13,933.01
438,2012-03-14,932.0
439,2012-03-15,932.85
440,2012-03-16,932.71
441,2012-03-17,933.51
442,2012-03-18,932.59
443,2012-03-19,932.94
444,2012-03-20,932.98
445,2012-03-21,932.62
446,2012-03-22,933.5
447,2012-03-23,932.83
448,2012-03-24,933.04
449,2012-03-25,932.96
450,2012-03-26,931.02
451,2012-03-27,932.64
452,2012-03-28,933.17
453,2012-03-29,932.82
454,2012-03-30,925.54
455,2012-03-31,933.13
456,2012-04-01,933.0
457,2012-04-02,931.4
458,2012-04-03,932.79
459,2012-04-04,933.66
460,2012-04-05,933.79
461,2012-04-06,932.88
462,2012-04-07,931.48
463,2012-04-08,929.53
464,2012-04-09,932.48
465,2012-04-10,931.5
466,2012-04-11,932.66
467,2012-04-12,933.63
468,2012-04-13,932.2
469,2012-04-14,933.19
470,2012-04-15,932.16
471,2012-04-16,932.52
472,2012-04-17,933.79
473,2012-04-18,933.67
474,2012-04-19,933.47
475,2012-04-20,933.26
476,2012-04-21,931.65
477,2012-04-22,929.99
478,2012-04-23,930.35
479,2012-04-24,931.46
480,2012-04-25,929.75
481,2012-04-26,930.67
482,2012-04-27,931.31
483,2012-04-28,930.78
484,2012-04-29,931.36
485,2012-04-30,933.11
486,2012-05-01,933.04
487,2012-05-02,932.99
488,2012-05-03,931.06
489,2012-05-04,930.09
490,2012-05-05,932.15
491,2012-05-06,933.5
492,2012-05-07,931.91
493,2012-05-08,932.79
494,2012-05-09,931.51
495,2012-05-10,932.69
496,2012-05-11,932.9
497,2012-05-12,933.3
498,2012-05-13,933.28
499,2012-05-14,932.79
500,2012-05-15,932.03
501,2012-05-16,932.66
502,2012-05-17,933.16
503,2012-05-18,932.47
504,2012-05-19,932.96
505,2012-05-20,931.92
506,2012-05-21,933.42
507,2012-05-22,933.35
508,2012-05-23,932.34
509,2012-05-24,933.44
510,2012-05-25,932.68
511,2012-05-26,932.23
512,2012-05-27,931.93
513,2012-05-28,930.94
514,2012-05-29,931.3
515,2012-05-30,930.91
516,2012-05-31,930.24
517,2012-06-01,930.08
518,2012-06-02,930.19
519,2012-06-03,930.02
520,2012-06-04,929.84
521,2012-06-05,931.95
522,2012-06-06,932.34
523,2012-06-07,931.71
524,2012-06-08,931.98
525,2012-06-09,930.63
526,2012-06-10,931.37
527,2012-06-11,932.68
528,2012-06-12,932.25
529,2012-06-13,931.48
530,2012-06-14,930.79
531,2012-06-15,930.65
532,2012-06-16,930.44
533,2012-06-17,928.62
534,2012-06-18,931.05
535,2012-06-19,931.34
536,2012-06-20,932.38
537,2012-06-21,932.13
538,2012-06-22,930.81
539,2012-06-23,930.38
540,2012-06-24,931.81
541,2012-06-25,929.13
542,2012-06-26,932.01
543,2012-06-27,932.87
544,2012-06-28,932.46
545,2012-06-29,931.15
546,2012-06-30,930.77
547,2012-07-01,928.96
548,2012-07-02,930.21
549,2012-07-03,932.68
550,2012-07-04,930.49
551,2012-07-05,931.49
552,2012-07-06,931.07
553,2012-07-07,932.82
554,2012-07-08,932.68
555,2012-07-09,932.21
556,2012-07-10,931.6
557,2012-07-11,930.95
558,2012-07-12,930.24
559,2012-07-13,931.23
560,2012-07-14,930.86
561,2012-07-15,930.89
562,2012-07-16,931.06
563,2012-07-17,930.94
564,2012-07-18,931.17
565,2012-07-19,930.51
566,2012-07-20,930.44
567,2012-07-21,930.54
568,2012-07-22,930.36
569,2012-07-23,932.07
570,2012-07-24,929.55
571,2012-07-25,927.78
572,2012-07-26,929.31
573,2012-07-27,931.31
574,2012-07-28,932.04
575,2012-07-29,931.35
576,2012-07-30,931.41
577,2012-07-31,931.73
578,2012-08-01,926.88
579,2012-08-02,932.27
580,2012-08-03,931.38
581,2012-08-04,932.48
582,2012-08-05,931.67
583,2012-08-06,930.14
584,2012-08-07,929.61
585,2012-08-08,931.7
586,2012-08-09,931.78
587,2012-08-10,931.01
588,2012-08-11,931.71
589,2012-08-12,930.74
590,2012-08-13,930.7
591,2012-08-14,931.22
592,2012-08-15,930.36
593,2012-08-16,930.41
594,2012-08-17,931.04
595,2012-08-18,931.06
596,2012-08-19,931.22
597,2012-08-20,930.99
598,2012-08-21,931.54
599,2012-08-22,927.62
600,2012-08-23,931.55
601,2012-08-24,931.48
602,2012-08-25,931.2
603,2012-08-26,931.61
604,2012-08-27,932.32
605,2012-08-28,933.01
606,2012-08-29,933.08
607,2012-08-30,930.94
608,2012-08-31,932.52
609,2012-09-01,933.1
610,2012-09-02,933.06
611,2012-09-03,931.71
612,2012-09-04,931.94
613,2012-09-05,932.94
614,2012-09-06,932.27
615,2012-09-07,931.83
616,2012-09-08,931.86
617,2012-09-09,932.24
618,2012-09-10,931.41
619,2012-09-11,931.87
620,2012-09-12,931.33
621,2012-09-13,931.27
622,2012-09-14,930.09
623,2012-09-15,931.27
624,2012-09-16,930.78
625,2012-09-17,930.76
626,2012-09-18,930.73
627,2012-09-19,930.86
628,2012-09-20,932.16
629,2012-09-21,931.69
630,2012-09-22,931.17
631,2012-09-23,930.46
632,2012-09-24,931.0
633,2012-09-25,930.66
634,2012-09-26,929.72
635,2012-09-27,930.78
636,2012-09-28,929.89
637,2012-09-29,929.74
638,2012-09-30,929.89
639,2012-10-01,929.73
640,2012-10-02,930.18
641,2012-10-03,930.44
642,2012-10-04,930.32
643,2012-10-05,929.09
644,2012-10-06,929.31
645,2012-10-07,928.36
646,2012-10-08,927.94
647,2012-10-09,930.16
648,2012-10-10,930.56
649,2012-10-11,930.23
650,2012-10-12,930.11
651,2012-10-13,930.3
652,2012-10-14,929.86
653,2012-10-15,930.48
654,2012-10-16,930.78
655,2012-10-17,931.42
656,2012-10-18,931.75
657,2012-10-19,930.5
658,2012-10-20,931.64
659,2012-10-21,930.94
660,2012-10-22,930.66
661,2012-10-23,930.46
662,2012-10-24,931.29
663,2012-10-25,930.28
664,2012-10-26,930.7
665,2012-10-27,931.5
666,2012-10-28,931.0
667,2012-10-29,930.23
668,2012-10-30,931.21
669,2012-10-31,930.4
670,2012-11-01,930.23
671,2012-11-02,930.33
672,2012-11-03,930.29
673,2012-11-04,929.91
674,2012-11-05,930.21
675,2012-11-06,930.34
676,2012-11-07,931.1
677,2012-11-08,930.3
678,2012-11-09,931.02
679,2012-11-10,931.06
680,2012-11-11,931.34
681,2012-11-12,931.32
682,2012-11-13,930.9
683,2012-11-14,930.43
684,2012-11-15,930.04
685,2012-11-16,929.78
686,2012-11-17,929.85
687,2012-11-18,930.18
688,2012-11-19,930.25
689,2012-11-20,930.23
690,2012-11-21,930.04
691,2012-11-22,930.34
692,2012-11-23,930.03
693,2012-11-24,930.26
694,2012-11-25,930.15
695,2012-11-26,930.24
696,2012-11-27,930.26
697,2012-11-28,930.5
698,2012-11-29,930.98
699,2012-11-30,931.42
700,2012-12-01,931.2
701,2012-12-02,931.25
702,2012-12-03,931.26
703,2012-12-04,930.74
704,2012-12-05,931.16
705,2012-12-06,930.98
706,2012-12-07,930.73
707,2012-12-08,930.44
708,2012-12-09,929.9
709,2012-12-10,930.55
710,2012-12-11,931.27
711,2012-12-12,930.66
712,2012-12-13,930.58
713,2012-12-14,930.92
714,2012-12-15,930.93
715,2012-12-16,931.32
716,2012-12-17,931.35
717,2012-12-18,930.87
718,2012-12-19,930.92
719,2012-12-20,931.84
720,2012-12-21,931.15
721,2012-12-22,930.64
722,2012-12-23,931.07
723,2012-12-24,931.61
724,2012-12-25,931.21
725,2012-12-26,931.26
726,2012-12-27,931.29
727,2012-12-28,931.25
728,2012-12-29,931.52
729,2012-12-30,931.45
730,2012-12-31,931.24
731,2013-01-01,931.06
732,2013-01-02,930.79
733,2013-01-03,930.15
734,2013-01-04,929.77
735,2013-01-05,930.79
736,2013-01-06,929.67
737,2013-01-07,930.15
738,2013-01-08,929.27
739,2013-01-09,931.97
740,2013-01-10,933.08
741,2013-01-11,931.99
742,2013-01-12,931.85
743,2013-01-13,931.31
744,2013-01-14,932.37
745,2013-01-15,931.76
746,2013-01-16,931.93
747,2013-01-17,932.06
748,2013-01-18,931.23
749,2013-01-19,932.03
750,2013-01-20,931.79
751,2013-01-21,930.45
752,2013-01-22,931.2
753,2013-01-23,931.64
754,2013-01-24,930.82
755,2013-01-25,930.99
756,2013-01-26,930.76
757,2013-01-27,930.48
758,2013-01-28,931.12
759,2013-01-29,931.1
760,2013-01-30,929.97
761,2013-01-31,930.59
762,2013-02-01,930.95
763,2013-02-02,931.08
764,2013-02-03,931.22
765,2013-02-04,930.95
766,2013-02-05,931.3
767,2013-02-06,931.11
768,2013-02-07,930.8
769,2013-02-08,930.85
770,2013-02-09,931.32
771,2013-02-10,931.35
772,2013-02-11,929.44
773,2013-02-12,930.25
774,2013-02-13,930.92
775,2013-02-14,931.56
776,2013-02-15,930.86
777,2013-02-16,931.62
778,2013-02-17,929.64
779,2013-02-18,931.23
780,2013-02-19,930.15
781,2013-02-20,930.61
782,2013-02-21,931.18
783,2013-02-22,931.5
784,2013-02-23,930.86
785,2013-02-24,930.89
786,2013-02-25,930.93
787,2013-02-26,930.61
788,2013-02-27,930.94
789,2013-02-28,931.32
790,2013-03-01,930.65
791,2013-03-02,931.07
792,2013-03-03,930.19
793,2013-03-04,929.84
794,2013-03-05,931.1
795,2013-03-06,930.93
796,2013-03-07,931.08
797,2013-03-08,931.49
798,2013-03-09,930.88
799,2013-03-10,929.14
800,2013-03-11,930.73
801,2013-03-12,929.86
802,2013-03-13,930.02
803,2013-03-14,930.45
804,2013-03-15,930.23
805,2013-03-16,930.63
806,2013-03-17,930.6
807,2013-03-18,930.19
808,2013-03-19,930.6
809,2013-03-20,930.19
810,2013-03-21,930.15
811,2013-03-22,929.56
812,2013-03-23,929.72
813,2013-03-24,929.08
814,2013-03-25,929.26
815,2013-03-26,930.27
816,2013-03-27,930.27
817,2013-03-28,929.56
818,2013-03-29,929.7
819,2013-03-30,929.83
820,2013-03-31,928.07
821,2013-04-01,927.59
822,2013-04-02,929.48
823,2013-04-03,930.09
824,2013-04-04,929.45
825,2013-04-05,930.56
826,2013-04-06,931.43
827,2013-04-07,930.93
828,2013-04-08,931.76
829,2013-04-09,931.21
830,2013-04-10,927.86
831,2013-04-11,931.81
832,2013-04-12,932.29
833,2013-04-13,932.06
834,2013-04-14,932.59
835,2013-04-15,931.0
836,2013-04-16,931.18
837,2013-04-17,931.74
838,2013-04-18,931.03
839,2013-04-19,932.45
840,2013-04-20,930.22
841,2013-04-21,931.79
842,2013-04-22,931.44
843,2013-04-23,932.13
844,2013-04-24,932.34
845,2013-04-25,931.94
846,2013-04-26,932.72
847,2013-04-27,932.28
848,2013-04-28,932.1
849,2013-04-29,932.5
850,2013-04-30,932.62
851,2013-05-01,932.92
852,2013-05-02,932.6
853,2013-05-03,932.68
854,2013-05-04,932.91
855,2013-05-05,932.96
856,2013-05-06,932.61
857,2013-05-07,931.63
858,2013-05-08,931.63
859,2013-05-09,932.39
860,2013-05-10,927.93
861,2013-05-11,931.93
862,2013-05-12,932.07
863,2013-05-13,928.43
864,2013-05-14,933.25
865,2013-05-15,931.88
866,2013-05-16,932.4
867,2013-05-17,933.03
868,2013-05-18,932.9
869,2013-05-19,932.44
870,2013-05-20,932.22
871,2013-05-21,932.61
872,2013-05-22,932.5
873,2013-05-23,931.93
874,2013-05-24,928.99
875,2013-05-25,931.13
876,2013-05-26,930.84
877,2013-05-27,931.29
878,2013-05-28,930.81
879,2013-05-29,930.77
880,2013-05-30,931.38
881,2013-05-31,930.69
882,2013-06-01,930.73
883,2013-06-02,930.84
884,2013-06-03,930.36
885,2013-06-04,930.81
886,2013-06-05,928.81
887,2013-06-06,928.81
888,2013-06-07,930.33
889,2013-06-08,930.21
890,2013-06-09,929.43
891,2013-06-10,930.69
892,2013-06-11,930.31
893,2013-06-12,930.27
894,2013-06-13,930.15
895,2013-06-14,929.71
896,2013-06-15,931.35
897,2013-06-16,930.9
898,2013-06-17,931.44
899,2013-06-18,930.98
900,2013-06-19,931.15
901,2013-06-20,931.9
902,2013-06-21,930.74
903,2013-06-22,930.47
904,2013-06-23,930.3
905,2013-06-24,930.01
906,2013-06-25,930.14
907,2013-06-26,930.53
908,2013-06-27,929.1
909,2013-06-28,929.08
910,2013-06-29,929.98
911,2013-06-30,930.65
912,2013-07-01,930.24
913,2013-07-02,930.91
914,2013-07-03,930.31
915,2013-07-04,930.95
916,2013-07-05,931.63
917,2013-07-06,930.54
918,2013-07-07,929.27
919,2013-07-08,931.31
920,2013-07-09,929.36
921,2013-07-10,929.78
922,2013-07-11,929.67
923,2013-07-12,929.13
924,2013-07-13,929.12
925,2013-07-14,929.5
926,2013-07-15,929.21
927,2013-07-16,929.36
928,2013-07-17,929.61
929,2013-07-18,930.56
930,2013-07-19,929.81
931,2013-07-20,929.57
932,2013-07-21,929.99
933,2013-07-22,929.75
934,2013-07-23,931.66
935,2013-07-24,929.53
936,2013-07-25,931.89
937,2013-07-26,930.59
938,2013-07-27,928.89
939,2013-07-28,929.65
940,2013-07-29,931.22
941,2013-07-30,930.09
942,2013-07-31,929.46
943,2013-08-01,930.29
944,2013-08-02,931.85
945,2013-08-03,930.8
946,2013-08-04,932.03
947,2013-08-05,931.5
948,2013-08-06,931.85
949,2013-08-07,929.2
950,2013-08-08,930.48
951,2013-08-09,928.61
952,2013-08-10,926.12
953,2013-08-11,928.63
954,2013-08-12,929.34
955,2013-08-13,929.58
956,2013-08-14,931.57
957,2013-08-15,930.96
958,2013-08-16,930.39
959,2013-08-17,930.36
960,2013-08-18,929.13
961,2013-08-19,930.64
962,2013-08-20,931.98
963,2013-08-21,928.52
964,2013-08-22,929.93
965,2013-08-23,930.68
966,2013-08-24,930.62
967,2013-08-25,931.77
968,2013-08-26,930.09
969,2013-08-27,929.5
970,2013-08-28,929.75
971,2013-08-29,928.42
972,2013-08-30,929.54
973,2013-08-31,927.81
974,2013-09-01,930.72
975,2013-09-02,930.15
976,2013-09-03,927.69
977,2013-09-04,930.15
978,2013-09-05,930.1
979,2013-09-06,928.82
980,2013-09-07,930.21
981,2013-09-08,930.22
982,2013-09-09,930.37
983,2013-09-10,930.3
984,2013-09-11,929.31
985,2013-09-12,930.11
986,2013-09-13,929.99
987,2013-09-14,931.34
988,2013-09-15,930.63
989,2013-09-16,929.86
990,2013-09-17,930.18
991,2013-09-18,929.41
992,2013-09-19,929.97
993,2013-09-20,930.18
994,2013-09-21,930.43
995,2013-09-22,930.77
996,2013-09-23,930.87
997,2013-09-24,929.07
998,2013-09-25,929.49
999,2013-09-26,929.6
1000,2013-09-27,930.45
1001,2013-09-28,932.78
1002,2013-09-29,925.16
1003,2013-09-30,930.69
1004,2013-10-01,931.17
1005,2013-10-02,932.26
1006,2013-10-03,930.47
1007,2013-10-04,931.85
1008,2013-10-05,931.11
1009,2013-10-06,931.87
1010,2013-10-07,931.5
1011,2013-10-08,931.77
1012,2013-10-09,931.65
1013,2013-10-10,930.2
1014,2013-10-11,931.59
1015,2013-10-12,932.05
1016,2013-10-13,931.93
1017,2013-10-14,932.21
1018,2013-10-15,931.01
1019,2013-10-16,931.89
1020,2013-10-17,931.18
1021,2013-10-18,930.83
1022,2013-10-19,931.71
1023,2013-10-20,930.76
1024,2013-10-21,930.29
1025,2013-10-22,931.45
1026,2013-10-23,931.52
1027,2013-10-24,931.39
1028,2013-10-25,931.36
1029,2013-10-26,931.42
1030,2013-10-27,931.07
1031,2013-10-28,930.85
1032,2013-10-29,931.0
1033,2013-10-30,930.71
1034,2013-10-31,930.52
1035,2013-11-01,931.01
1036,2013-11-02,930.72
1037,2013-11-03,930.42
1038,2013-11-04,931.63
1039,2013-11-05,931.45
1040,2013-11-06,931.16
1041,2013-11-07,931.13
1042,2013-11-08,931.55
1043,2013-11-09,931.36
1044,2013-11-10,931.3
1045,2013-11-11,931.11
1046,2013-11-12,931.28
1047,2013-11-13,931.4
1048,2013-11-14,930.4
1049,2013-11-15,931.29
1050,2013-11-16,931.13
1051,2013-11-17,931.3
1052,2013-11-18,930.7
1053,2013-11-19,931.13
1054,2013-11-20,931.49
1055,2013-11-21,931.61
1056,2013-11-22,931.74
1057,2013-11-23,931.73
1058,2013-11-24,931.35
1059,2013-11-25,931.52
1060,2013-11-26,930.52
1061,2013-11-27,931.43
1062,2013-11-28,930.9
1063,2013-11-29,930.21
1064,2013-11-30,930.48
1065,2013-12-01,931.22
