,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.
728,2012-12-29,72000.0
729,2012-12-30,72030.0
730,2012-12-31,72040.0
731,2013-01-01,72030.0
732,2013-01-02,72020.0
733,2013-01-03,72000.0
734,2013-01-04,71990.0
735,2013-01-05,71980.0
736,2013-01-06,72020.0
737,2013-01-07,72030.0
738,2013-01-08,72020.0
739,2013-01-09,72000.0
740,2013-01-10,71910.0
741,2013-01-11,71800.0
742,2013-01-12,71680.0
743,2013-01-13,71530.0
744,2013-01-14,71490.0
745,2013-01-15,71490.0
746,2013-01-16,71490.0
747,2013-01-17,71480.0
748,2013-01-18,71480.0
749,2013-01-19,71470.0
750,2013-01-20,71480.0
751,2013-01-21,71470.0
752,2013-01-22,71470.0
753,2013-01-23,71460.0
754,2013-01-24,71470.0
755,2013-01-25,71590.0
756,2013-01-26,71630.0
757,2013-01-27,71640.0
758,2013-01-28,71670.0
759,2013-01-29,71680.0
760,2013-01-30,71690.0
761,2013-01-31,71690.0
762,2013-02-01,71690.0
763,2013-02-02,71700.0
764,2013-02-03,71700.0
765,2013-02-04,71700.0
766,2013-02-05,71690.0
767,2013-02-06,71700.0
768,2013-02-07,71700.0
769,2013-02-08,71770.0
770,2013-02-09,71770.0
771,2013-02-10,71780.0
772,2013-02-11,71780.0
773,2013-02-12,71780.0
774,2013-02-13,71780.0
775,2013-02-14,71780.0
776,2013-02-15,71750.0
777,2013-02-16,71780.0
778,2013-02-17,71780.0
779,2013-02-18,71770.0
780,2013-02-19,71810.0
781,2013-02-20,71880.0
782,2013-02-21,71900.0
783,2013-02-22,71900.0
784,2013-02-23,71900.0
785,2013-02-24,71900.0
786,2013-02-25,71890.0
787,2013-02-26,71900.0
788,2013-02-27,71900.0
789,2013-02-28,71870.0
790,2013-03-01,71770.0
791,2013-03-02,71620.0
792,2013-03-03,71480.0
793,2013-03-04,71380.0
794,2013-03-05,71320.0
795,2013-03-06,71240.0
796,2013-03-07,71180.0
797,2013-03-08,71270.0
798,2013-03-09,71320.0
799,2013-03-10,71330.0
800,2013-03-11,71310.0
801,2013-03-12,71310.0
802,2013-03-13,71240.0
803,2013-03-14,71150.0
804,2013-03-15,71040.0
805,2013-03-16,70950.0
806,2013-03-17,70850.0
807,2013-03-18,70810.0
808,2013-03-19,70800.0
809,2013-03-20,70830.0
810,2013-03-21,70800.0
811,2013-03-22,70830.0
812,2013-03-23,70800.0
813,2013-03-24,70810.0
814,2013-03-25,70800.0
815,2013-03-26,70800.0
816,2013-03-27,70800.0
817,2013-03-28,70790.0
818,2013-03-29,70800.0
819,2013-03-30,70790.0
820,2013-03-31,70780.0
821,2013-04-01,70760.0
822,2013-04-02,70760.0
823,2013-04-03,70750.0
824,2013-04-04,70730.0
825,2013-04-05,70730.0
826,2013-04-06,70730.0
827,2013-04-07,70720.0
828,2013-04-08,70710.0
829,2013-04-09,70690.0
830,2013-04-10,70690.0
831,2013-04-11,70670.0
832,2013-04-12,70670.0
833,2013-04-13,70640.0
834,2013-04-14,70640.0
835,2013-04-15,70630.0
836,2013-04-16,70630.0
837,2013-04-17,70610.0
838,2013-04-18,70590.0
839,2013-04-19,70570.0
840,2013-04-20,70550.0
841,2013-04-21,70540.0
842,2013-04-22,70530.0
843,2013-04-23,70510.0
844,2013-04-24,70490.0
845,2013-04-25,70490.0
846,2013-04-26,70480.0
847,2013-04-27,70460.0
848,2013-04-28,70450.0
849,2013-04-29,70440.0
850,2013-04-30,70430.0
851,2013-05-01,70400.0
852,2013-05-02,70380.0
853,2013-05-03,70370.0
854,2013-05-04,70350.0
855,2013-05-05,70330.0
856,2013-05-06,70360.0
857,2013-05-07,70360.0
858,2013-05-08,70350.0
859,2013-05-09,70330.0
860,2013-05-10,70320.0
861,2013-05-11,70330.0
862,2013-05-12,70310.0
863,2013-05-13,70300.0
864,2013-05-14,70270.0
865,2013-05-15,70240.0
866,2013-05-16,70220.0
867,2013-05-17,70210.0
868,2013-05-18,70190.0
869,2013-05-19,70170.0
870,2013-05-20,70150.0
871,2013-05-21,70130.0
872,2013-05-22,70110.0
873,2013-05-23,70100.0
874,2013-05-24,70060.0
875,2013-05-25,70040.0
876,2013-05-26,70020.0
877,2013-05-27,69990.0
878,2013-05-28,69970.0
879,2013-05-29,69960.0
880,2013-05-30,69950.0
881,2013-05-31,69910.0
882,2013-06-01,69890.0
883,2013-06-02,69880.0
884,2013-06-03,69860.0
885,2013-06-04,69810.0
886,2013-06-05,69690.0
887,2013-06-06,69540.0
888,2013-06-07,69430.0
889,2013-06-08,69280.0
890,2013-06-09,69160.0
891,2013-06-10,69020.0
892,2013-06-11,68900.0
893,2013-06-12,68780.0
894,2013-06-13,68650.0
895,2013-06-14,68520.0
896,2013-06-15,68380.0
897,2013-06-16,68310.0
898,2013-06-17,68290.0
899,2013-06-18,68270.0
900,2013-06-19,68230.0
901,2013-06-20,68120.0
902,2013-06-21,67980.0
903,2013-06-22,67830.0
904,2013-06-23,67710.0
905,2013-06-24,67580.0
906,2013-06-25,67470.0
907,2013-06-26,67370.0
908,2013-06-27,67280.0
909,2013-06-28,67190.0
910,2013-06-29,67120.0
911,2013-06-30,67040.0
912,2013-07-01,66920.0
913,2013-07-02,66850.0
914,2013-07-03,66770.0
915,2013-07-04,66690.0
916,2013-07-05,66600.0
917,2013-07-06,66520.0
918,2013-07-07,66410.0
919,2013-07-08,66290.0
920,2013-07-09,66140.0
921,2013-07-10,66010.0
922,2013-07-11,65870.0
923,2013-07-12,65740.0
924,2013-07-13,65600.0
925,2013-07-14,65460.0
926,2013-07-15,65290.0
927,2013-07-16,65130.0
928,2013-07-17,64950.0
929,2013-07-18,64770.0
930,2013-07-19,64610.0
931,2013-07-20,64450.0
932,2013-07-21,64350.0
933,2013-07-22,64210.0
934,2013-07-23,64080.0
935,2013-07-24,63950.0
936,2013-07-25,63830.0
937,2013-07-26,63700.0
938,2013-07-27,63580.0
939,2013-07-28,63470.0
940,2013-07-29,63330.0
941,2013-07-30,63210.0
942,2013-07-31,63050.0
943,2013-08-01,62940.0
944,2013-08-02,62820.0
945,2013-08-03,62680.0
946,2013-08-04,62550.0
947,2013-08-05,62390.0
948,2013-08-06,62250.0
949,2013-08-07,62180.0
950,2013-08-08,62160.0
951,2013-08-09,62140.0
952,2013-08-10,62120.0
953,2013-08-11,62100.0
954,2013-08-12,62080.0
955,2013-08-13,62040.0
956,2013-08-14,61890.0
957,2013-08-15,61730.0
958,2013-08-16,61580.0
959,2013-08-17,61430.0
960,2013-08-18,61270.0
961,2013-08-19,61140.0
962,2013-08-20,61000.0
963,2013-08-21,60870.0
964,2013-08-22,60700.0
965,2013-08-23,60520.0
966,2013-08-24,60340.0
967,2013-08-25,60190.0
968,2013-08-26,60030.0
969,2013-08-27,59910.0
970,2013-08-28,59790.0
971,2013-08-29,59660.0
972,2013-08-30,59510.0
973,2013-08-31,59360.0
974,2013-09-01,59260.0
975,2013-09-02,59130.0
976,2013-09-03,58960.0
977,2013-09-04,58820.0
978,2013-09-05,58690.0
979,2013-09-06,58550.0
980,2013-09-07,58400.0
981,2013-09-08,58250.0
982,2013-09-09,58120.0
983,2013-09-10,57980.0
984,2013-09-11,57840.0
985,2013-09-12,57700.0
986,2013-09-13,57530.0
987,2013-09-14,57370.0
988,2013-09-15,57220.0
989,2013-09-16,57040.0
990,2013-09-17,56900.0
991,2013-09-18,56700.0
