,datetime,TRINITY_LAKE_NR_LEWISTON_CA.
390,2012-01-26,1948000
391,2012-01-27,1951000
392,2012-01-28,1953000
393,2012-01-29,1954000
394,2012-01-30,1955000
395,2012-01-31,1956000
396,2012-02-01,1958000
397,2012-02-02,1959000
398,2012-02-03,1961000
399,2012-02-04,1962000
400,2012-02-05,1963000
401,2012-02-06,1964000
402,2012-02-07,1965000
403,2012-02-08,1967000
404,2012-02-09,1969000
405,2012-02-10,1970000
406,2012-02-11,1970000
407,2012-02-12,1972000
408,2012-02-13,1972000
409,2012-02-14,1972000
410,2012-02-15,1971000
411,2012-02-16,1971000
412,2012-02-17,1971000
413,2012-02-18,1970000
414,2012-02-19,1970000
415,2012-02-20,1969000
416,2012-02-21,1968000
417,2012-02-22,1968000
418,2012-02-23,1967000
419,2012-02-24,1966000
420,2012-02-25,1965000
421,2012-02-26,1963000
422,2012-02-27,1961000
423,2012-02-28,1961000
424,2012-02-29,1960000
425,2012-03-01,1959000
426,2012-03-02,1958000
427,2012-03-03,1957000
428,2012-03-04,1956000
429,2012-03-05,1955000
430,2012-03-06,1955000
431,2012-03-07,1954000
432,2012-03-08,1953000
433,2012-03-09,1951000
434,2012-03-10,1950000
435,2012-03-11,1950000
436,2012-03-12,1949000
437,2012-03-13,1951000
438,2012-03-14,1953000
439,2012-03-15,1961000
440,2012-03-16,1976000
441,2012-03-17,1985000
442,2012-03-18,1991000
443,2012-03-19,1995000
444,2012-03-20,1997000
445,2012-03-21,2000000
446,2012-03-22,2002000
447,2012-03-23,2005000
448,2012-03-24,2008000
449,2012-03-25,2011000
450,2012-03-26,2014000
451,2012-03-27,2022000
452,2012-03-28,2031000
453,2012-03-29,2041000
454,2012-03-30,2063000
455,2012-03-31,2086000
456,2012-04-01,2100000
457,2012-04-02,2110000
458,2012-04-03,2117000
459,2012-04-04,2124000
460,2012-04-05,2129000
461,2012-04-06,2134000
462,2012-04-07,2138000
463,2012-04-08,2142000
464,2012-04-09,2146000
465,2012-04-10,2152000
466,2012-04-11,2156000
467,2012-04-12,2162000
468,2012-04-13,2169000
469,2012-04-14,2175000
470,2012-04-15,2181000
471,2012-04-16,2186000
472,2012-04-17,2192000
473,2012-04-18,2199000
474,2012-04-19,2206000
475,2012-04-20,2216000
476,2012-04-21,2228000
477,2012-04-22,2243000
478,2012-04-23,2262000
479,2012-04-24,2279000
480,2012-04-25,2295000
481,2012-04-26,2312000
482,2012-04-27,2322000
483,2012-04-28,2328000
484,2012-04-29,2333000
485,2012-04-30,2338000
486,2012-05-01,2343000
487,2012-05-02,2347000
488,2012-05-03,2349000
