,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.
727,2013-01-01,3445.71
728,2013-01-02,3445.61
729,2013-01-03,3445.52
730,2013-01-04,3445.46
731,2013-01-05,3445.39
732,2013-01-06,3445.33
733,2013-01-07,3445.34
734,2013-01-08,3445.28
735,2013-01-09,3445.35
736,2013-01-10,3445.29
737,2013-01-11,3445.21
738,2013-01-12,3445.15
739,2013-01-13,3445.08
740,2013-01-14,3445.01
741,2013-01-15,3444.94
742,2013-01-16,3444.87
743,2013-01-17,3444.8
744,2013-01-18,3444.73
745,2013-01-19,3444.67
746,2013-01-20,3444.6
747,2013-01-21,3444.55
748,2013-01-22,3444.49
749,2013-01-23,3444.44
750,2013-01-24,3444.41
751,2013-01-25,3444.36
752,2013-01-26,3444.32
753,2013-01-27,3444.32
754,2013-01-28,3444.46
755,2013-01-29,3444.48
756,2013-01-30,3444.516666666667
757,2013-01-31,3444.5533333333333
758,2013-02-01,3444.59
759,2013-02-02,3444.56
760,2013-02-03,3444.51
761,2013-02-04,3444.45
762,2013-02-05,3444.43
763,2013-02-06,3444.43
764,2013-02-07,3444.41
765,2013-02-08,3444.34
766,2013-02-09,3444.29
767,2013-02-10,3444.24
768,2013-02-11,3444.19
769,2013-02-12,3444.18
770,2013-02-13,3444.15
771,2013-02-14,3444.11
772,2013-02-15,3444.08
773,2013-02-16,3444.08
774,2013-02-17,3444.03
775,2013-02-18,3443.98
776,2013-02-19,3443.95
777,2013-02-20,3443.91
778,2013-02-21,3443.88
779,2013-02-22,3443.93
780,2013-02-23,3443.92
781,2013-02-24,3443.89
782,2013-02-25,3443.9
783,2013-02-26,3443.86
784,2013-02-27,3443.82
785,2013-02-28,3443.9
786,2013-03-01,3443.96
787,2013-03-02,3443.99
788,2013-03-03,3443.99
789,2013-03-04,3443.97
790,2013-03-05,3443.98
791,2013-03-06,3444.0
792,2013-03-07,3443.98
793,2013-03-08,3443.94
794,2013-03-09,3443.9
795,2013-03-10,3443.87
796,2013-03-11,3443.86
797,2013-03-12,3443.87
798,2013-03-13,3443.86
799,2013-03-14,3443.87
800,2013-03-15,3443.91
801,2013-03-16,3444.03
802,2013-03-17,3444.06
803,2013-03-18,3444.05
804,2013-03-19,3444.11
805,2013-03-20,3444.25
806,2013-03-21,3444.33
807,2013-03-22,3444.33
808,2013-03-23,3444.3
809,2013-03-24,3444.25
810,2013-03-25,3444.22
811,2013-03-26,3444.19
812,2013-03-27,3444.17
813,2013-03-28,3444.15
814,2013-03-29,3444.14
815,2013-03-30,3444.14
816,2013-03-31,3444.16
817,2013-04-01,3444.19
818,2013-04-02,3444.24
819,2013-04-03,3444.27
820,2013-04-04,3444.43
821,2013-04-05,3444.74
822,2013-04-06,3445.02
823,2013-04-07,3445.26
824,2013-04-08,3445.34
825,2013-04-09,3445.37
826,2013-04-10,3445.47
827,2013-04-11,3445.51
828,2013-04-12,3445.55
829,2013-04-13,3445.62
830,2013-04-14,3445.63
831,2013-04-15,3445.61
832,2013-04-16,3445.57
833,2013-04-17,3445.54
834,2013-04-18,3445.53
835,2013-04-19,3445.73
836,2013-04-20,3445.81
837,2013-04-21,3445.87
838,2013-04-22,3445.88
839,2013-04-23,3445.9
840,2013-04-24,3445.91
841,2013-04-25,3445.94
842,2013-04-26,3445.98
843,2013-04-27,3446.03
844,2013-04-28,3446.13
845,2013-04-29,3446.28
846,2013-04-30,3446.31
847,2013-05-01,3446.32
848,2013-05-02,3446.31
849,2013-05-03,3446.33
850,2013-05-04,3446.38
851,2013-05-05,3446.47
852,2013-05-06,3446.58
853,2013-05-07,3446.72
854,2013-05-08,3446.85
855,2013-05-09,3446.98
856,2013-05-10,3447.09
857,2013-05-11,3447.19
858,2013-05-12,3447.3
859,2013-05-13,3447.4
860,2013-05-14,3447.43
861,2013-05-15,3447.43
862,2013-05-16,3447.39
863,2013-05-17,3447.38
864,2013-05-18,3447.36
865,2013-05-19,3447.33
866,2013-05-20,3447.29
867,2013-05-21,3447.33
868,2013-05-22,3447.38
869,2013-05-23,3447.36
870,2013-05-24,3447.31
871,2013-05-25,3447.24
872,2013-05-26,3447.18
873,2013-05-27,3447.22
874,2013-05-28,3447.19
875,2013-05-29,3447.29
876,2013-05-30,3447.29
877,2013-05-31,3447.27
878,2013-06-01,3447.23
879,2013-06-02,3447.2
880,2013-06-03,3447.17
881,2013-06-04,3447.14
882,2013-06-05,3447.13
883,2013-06-06,3447.12
884,2013-06-07,3447.09
885,2013-06-08,3447.04
886,2013-06-09,3446.98
887,2013-06-10,3446.92
888,2013-06-11,3446.87
889,2013-06-12,3446.81
890,2013-06-13,3446.76
891,2013-06-14,3446.69
892,2013-06-15,3446.62
893,2013-06-16,3446.55
894,2013-06-17,3446.49
895,2013-06-18,3446.4
896,2013-06-19,3446.34
897,2013-06-20,3446.33
898,2013-06-21,3446.28
899,2013-06-22,3446.22
900,2013-06-23,3446.18
901,2013-06-24,3446.13
902,2013-06-25,3446.11
903,2013-06-26,3446.07
904,2013-06-27,3446.0
905,2013-06-28,3445.95
906,2013-06-29,3445.89
907,2013-06-30,3445.83
908,2013-07-01,3445.77
909,2013-07-02,3445.7
910,2013-07-03,3445.61
911,2013-07-04,3445.52
912,2013-07-05,3445.43
913,2013-07-06,3445.35
914,2013-07-07,3445.26
915,2013-07-08,3445.18
916,2013-07-09,3445.09
917,2013-07-10,3445.0
918,2013-07-11,3444.91
919,2013-07-12,3444.82
920,2013-07-13,3444.72
921,2013-07-14,3444.64
922,2013-07-15,3444.55
923,2013-07-16,3444.47
924,2013-07-17,3444.39
925,2013-07-18,3444.3
926,2013-07-19,3444.22
927,2013-07-20,3444.14
928,2013-07-21,3444.06
929,2013-07-22,3443.98
930,2013-07-23,3443.9
931,2013-07-24,3443.83
932,2013-07-25,3443.75
933,2013-07-26,3443.67
934,2013-07-27,3443.59
935,2013-07-28,3443.51
936,2013-07-29,3443.44
937,2013-07-30,3443.37
938,2013-07-31,3443.31
939,2013-08-01,3443.25
940,2013-08-02,3443.18
941,2013-08-03,3443.12
942,2013-08-04,3443.06
943,2013-08-05,3443.0
944,2013-08-06,3442.95
945,2013-08-07,3442.89
946,2013-08-08,3442.84
947,2013-08-09,3442.8
948,2013-08-10,3442.74
949,2013-08-11,3442.69
950,2013-08-12,3442.64
951,2013-08-13,3442.59
952,2013-08-14,3442.55
953,2013-08-15,3442.5
954,2013-08-16,3442.46
955,2013-08-17,3442.41
956,2013-08-18,3442.36
957,2013-08-19,3442.31
958,2013-08-20,3442.25
959,2013-08-21,3442.21
960,2013-08-22,3442.16
961,2013-08-23,3442.12
962,2013-08-24,3442.08
963,2013-08-25,3442.04
964,2013-08-26,3442.0
965,2013-08-27,3441.96
966,2013-08-28,3441.93
967,2013-08-29,3441.99
968,2013-08-30,3441.95
969,2013-08-31,3441.92
970,2013-09-01,3441.89
971,2013-09-02,3441.85
972,2013-09-03,3441.82
973,2013-09-04,3441.8
974,2013-09-05,3441.86
