,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.
657,2012-10-19,642785.66
658,2012-10-20,642786.08
659,2012-10-21,642786.47
660,2012-10-22,642786.66
661,2012-10-23,642786.96
662,2012-10-24,642787.37
663,2012-10-25,642787.57
664,2012-10-26,642787.57
665,2012-10-27,642787.9
666,2012-10-28,642788.2
667,2012-10-29,642788.98
668,2012-10-30,642789.44
669,2012-10-31,642789.93
670,2012-11-01,642790.46
671,2012-11-02,642790.81
672,2012-11-03,642791.56
673,2012-11-04,642792.14
674,2012-11-05,642792.67
675,2012-11-06,642793.53
676,2012-11-07,642793.9
677,2012-11-08,642793.65
678,2012-11-09,642792.73
679,2012-11-10,642791.84
680,2012-11-11,642791.82
681,2012-11-12,642791.66
682,2012-11-13,642791.38
683,2012-11-14,642791.13
684,2012-11-15,642790.13
685,2012-11-16,642787.91
686,2012-11-17,642785.55
687,2012-11-18,642783.81
688,2012-11-19,642787.35
689,2012-11-20,642792.44
690,2012-11-21,642794.14
691,2012-11-22,642794.05
692,2012-11-23,642794.19
693,2012-11-24,642793.8
694,2012-11-25,642792.4
695,2012-11-26,642791.25
696,2012-11-27,642790.11
697,2012-11-28,642788.1
698,2012-11-29,642786.0
699,2012-11-30,642784.16
700,2012-12-01,642783.27
701,2012-12-02,642782.79
702,2012-12-03,642782.81
703,2012-12-04,642784.58
704,2012-12-05,642787.01
705,2012-12-06,642789.1
706,2012-12-07,642790.53
707,2012-12-08,642791.31
708,2012-12-09,642791.72
709,2012-12-10,642792.22
710,2012-12-11,642792.07
711,2012-12-12,642791.52
712,2012-12-13,642790.85
713,2012-12-14,642790.12
714,2012-12-15,642789.15
715,2012-12-16,642787.84
716,2012-12-17,642787.38
717,2012-12-18,642787.04
718,2012-12-19,642787.13
719,2012-12-20,642785.89
720,2012-12-21,642785.67
721,2012-12-22,642785.66
722,2012-12-23,642785.88
723,2012-12-24,642786.05
724,2012-12-25,642785.68
725,2012-12-26,642784.78
726,2012-12-27,642785.13
727,2012-12-28,642784.32
728,2012-12-29,642783.49
729,2012-12-30,642782.53
730,2012-12-31,642781.69
731,2013-01-01,642781.02
732,2013-01-02,642779.85
733,2013-01-03,642778.72
734,2013-01-04,642777.28
735,2013-01-05,642775.46
736,2013-01-06,642773.93
737,2013-01-07,642773.27
738,2013-01-08,642771.84
739,2013-01-09,642771.21
740,2013-01-10,642770.86
741,2013-01-11,642770.8
742,2013-01-12,642770.82
743,2013-01-13,642770.71
744,2013-01-14,642770.08
745,2013-01-15,642769.58
746,2013-01-16,642768.75
747,2013-01-17,642768.22
748,2013-01-18,642767.51
749,2013-01-19,642766.86
750,2013-01-20,642766.34
751,2013-01-21,642765.9
752,2013-01-22,642765.2
753,2013-01-23,642764.54
754,2013-01-24,642763.89
755,2013-01-25,642763.36
756,2013-01-26,642762.91
757,2013-01-27,642762.41
758,2013-01-28,642762.25
759,2013-01-29,642763.06
760,2013-01-30,642762.39
761,2013-01-31,642761.63
762,2013-02-01,642760.67
763,2013-02-02,642759.52
764,2013-02-03,642758.42
765,2013-02-04,642756.84
766,2013-02-05,642755.35
767,2013-02-06,642753.87
768,2013-02-07,642752.17
769,2013-02-08,642750.09
770,2013-02-09,642748.1
771,2013-02-10,642747.71
772,2013-02-11,642747.75
773,2013-02-12,642744.67
774,2013-02-13,642741.24
775,2013-02-14,642737.56
776,2013-02-15,642734.37
777,2013-02-16,642732.27
778,2013-02-17,642730.53
779,2013-02-18,642727.99
780,2013-02-19,642725.59
781,2013-02-20,642723.3
782,2013-02-21,642721.01
783,2013-02-22,642719.88
