,datetime,ROSS_RESERVOIR_NEAR_NEWHALEM__WA.
354,2011-12-21,1575.19
355,2011-12-22,1574.66
356,2011-12-23,1574.24
357,2011-12-24,1573.88
358,2011-12-25,1573.51
359,2011-12-26,1573.12
360,2011-12-27,1573.04
361,2011-12-28,1573.28
362,2011-12-29,1573.72
363,2011-12-30,1573.87
364,2011-12-31,1573.87
365,2012-01-01,1573.71
366,2012-01-02,1573.59
367,2012-01-03,1573.43
368,2012-01-04,1573.69
369,2012-01-05,1574.44
370,2012-01-06,1574.71
371,2012-01-07,1574.82
372,2012-01-08,1574.81
373,2012-01-09,1574.65
374,2012-01-10,1574.45
375,2012-01-11,1573.9
376,2012-01-12,1573.42
377,2012-01-13,1572.9
378,2012-01-14,1572.4
379,2012-01-15,1571.92
380,2012-01-16,1571.46
381,2012-01-17,1570.86
382,2012-01-18,1570.22
383,2012-01-19,1569.57
384,2012-01-20,1568.91
385,2012-01-21,1568.27
386,2012-01-22,1567.64
387,2012-01-23,1566.89
388,2012-01-24,1566.36
389,2012-01-25,1565.69
390,2012-01-26,1565.08
391,2012-01-27,1564.44
392,2012-01-28,1563.67
393,2012-01-29,1563.28
394,2012-01-30,1562.87
395,2012-01-31,1562.42
396,2012-02-01,1561.84
397,2012-02-02,1561.15
398,2012-02-03,1560.42
399,2012-02-04,1559.61
400,2012-02-05,1558.63
401,2012-02-06,1557.73
402,2012-02-07,1556.73
403,2012-02-08,1555.75
404,2012-02-09,1554.86
405,2012-02-10,1554.02
406,2012-02-11,1553.04
407,2012-02-12,1552.19
408,2012-02-13,1551.27
409,2012-02-14,1550.3
410,2012-02-15,1549.34
411,2012-02-16,1548.24
412,2012-02-17,1547.41
413,2012-02-18,1546.41
414,2012-02-19,1545.42
415,2012-02-20,1544.34
416,2012-02-21,1543.44
417,2012-02-22,1542.71
418,2012-02-23,1541.6
419,2012-02-24,1540.96
420,2012-02-25,1539.92
421,2012-02-26,1538.99
422,2012-02-27,1537.92
423,2012-02-28,1536.99
424,2012-02-29,1535.93
425,2012-03-01,1534.89
426,2012-03-02,1533.55
427,2012-03-03,1532.66
428,2012-03-04,1531.68
429,2012-03-05,1530.93
430,2012-03-06,1529.88
431,2012-03-07,1528.78
432,2012-03-08,1527.59
433,2012-03-09,1526.6
434,2012-03-10,1525.64
435,2012-03-11,1524.72
436,2012-03-12,1523.61
437,2012-03-13,1522.55
438,2012-03-14,1521.36
439,2012-03-15,1520.75
440,2012-03-16,1520.41
441,2012-03-17,1519.82
442,2012-03-18,1519.32
443,2012-03-19,1518.37
444,2012-03-20,1518.12
445,2012-03-21,1517.3
446,2012-03-22,1516.6
447,2012-03-23,1515.94
448,2012-03-24,1515.45
449,2012-03-25,1514.98
450,2012-03-26,1514.49
451,2012-03-27,1513.85
452,2012-03-28,1513.06
453,2012-03-29,1512.6
454,2012-03-30,1512.19
455,2012-03-31,1511.8
456,2012-04-01,1511.16
457,2012-04-02,1510.84
458,2012-04-03,1510.46
459,2012-04-04,1510.08
460,2012-04-05,1509.54
461,2012-04-06,1509.14
462,2012-04-07,1508.43
463,2012-04-08,1507.74
464,2012-04-09,1507.19
465,2012-04-10,1506.73
466,2012-04-11,1506.6
467,2012-04-12,1506.47
468,2012-04-13,1506.48
469,2012-04-14,1506.26
470,2012-04-15,1506.05
471,2012-04-16,1506.41
472,2012-04-17,1506.49
473,2012-04-18,1507.08
474,2012-04-19,1507.19
475,2012-04-20,1508.0
476,2012-04-21,1508.87
477,2012-04-22,1509.75
478,2012-04-23,1511.53
479,2012-04-24,1514.69
480,2012-04-25,1518.24
481,2012-04-26,1521.86
482,2012-04-27,1524.44
483,2012-04-28,1526.14
484,2012-04-29,1527.54
485,2012-04-30,1528.95
486,2012-05-01,1530.22
487,2012-05-02,1531.1
488,2012-05-03,1531.72
489,2012-05-04,1532.36
490,2012-05-05,1532.81
491,2012-05-06,1533.05
492,2012-05-07,1533.3
493,2012-05-08,1533.94
494,2012-05-09,1535.07
495,2012-05-10,1535.63
496,2012-05-11,1535.89
497,2012-05-12,1536.22
498,2012-05-13,1536.78
499,2012-05-14,1537.87
500,2012-05-15,1540.1
501,2012-05-16,1542.79
