,datetime,CASTLE_LAKE_NEAR_MOUNT_ST._HELENS__WA.
95,2011-10-09,2578.09
96,2011-10-10,2578.09
97,2011-10-11,2578.13
98,2011-10-12,2578.23
99,2011-10-13,2578.27
100,2011-10-14,2578.25
101,2011-10-15,2578.24
102,2011-10-16,2578.22
103,2011-10-17,2578.21
104,2011-10-18,2578.19
105,2011-10-19,2578.17
106,2011-10-20,2578.16
107,2011-10-21,2578.15
108,2011-10-22,2578.17
109,2011-10-23,2578.31
110,2011-10-24,2578.35
111,2011-10-25,2578.33
112,2011-10-26,2578.32
113,2011-10-27,2578.3
114,2011-10-28,2578.28
115,2011-10-29,2578.29
116,2011-10-30,2578.27
117,2011-10-31,2578.34
118,2011-11-01,2578.31
119,2011-11-02,2578.29
120,2011-11-03,2578.34
121,2011-11-04,2578.33
122,2011-11-05,2578.31
123,2011-11-06,2578.29
124,2011-11-07,2578.28
125,2011-11-08,2578.27
126,2011-11-09,2578.25
127,2011-11-10,2578.25
128,2011-11-11,2578.22
129,2011-11-12,2578.28
130,2011-11-13,2578.33
131,2011-11-14,2578.44
132,2011-11-15,2578.5
133,2011-11-16,2578.49
134,2011-11-17,2578.6
135,2011-11-18,2578.81
136,2011-11-19,2578.84
137,2011-11-20,2578.78
138,2011-11-21,2578.71
139,2011-11-22,2578.99
140,2011-11-23,2579.93
141,2011-11-24,2580.93
142,2011-11-25,2580.4
143,2011-11-26,2579.87
144,2011-11-27,2579.47
145,2011-11-28,2579.36
146,2011-11-29,2579.17
147,2011-11-30,2579.04
148,2011-12-01,2578.93
149,2011-12-02,2578.81
150,2011-12-03,2578.74
151,2011-12-04,2578.65
152,2011-12-05,2578.59
153,2011-12-06,2578.54
154,2011-12-07,2578.48
155,2011-12-08,2578.44
156,2011-12-09,2578.41
157,2011-12-10,2578.39
158,2011-12-11,2578.36
159,2011-12-12,2578.33
160,2011-12-13,2578.31
161,2011-12-14,2578.28
162,2011-12-15,2578.25
163,2011-12-16,2578.27
164,2011-12-17,2578.26
165,2011-12-18,2578.24
166,2011-12-19,2578.23
167,2011-12-20,2578.22
168,2011-12-21,2578.21
169,2011-12-22,2578.2
170,2011-12-23,2578.18
171,2011-12-24,2578.19
172,2011-12-25,2578.16
173,2011-12-26,2578.23
174,2011-12-27,2578.29
175,2011-12-28,2578.34
176,2011-12-29,2578.83
177,2011-12-30,2579.16
178,2011-12-31,2579.41
179,2012-01-01,2579.3
180,2012-01-02,2579.11
181,2012-01-03,2579.08
182,2012-01-04,2578.98
183,2012-01-05,2578.95
184,2012-01-06,2578.94
185,2012-01-07,2578.88
186,2012-01-08,2578.81
187,2012-01-09,2578.75
188,2012-01-10,2578.71
189,2012-01-11,2578.65
190,2012-01-12,2578.61
191,2012-01-13,2578.54
192,2012-01-14,2578.51
193,2012-01-15,2578.48
194,2012-01-16,2578.5
195,2012-01-17,2578.48
196,2012-01-18,2578.5
197,2012-01-19,2578.58
198,2012-01-20,2578.75
199,2012-01-21,2579.07
200,2012-01-22,2579.48
201,2012-01-23,2579.43
202,2012-01-24,2579.4
203,2012-01-25,2579.37
204,2012-01-26,2579.34
205,2012-01-27,2579.284
206,2012-01-28,2579.228
207,2012-01-29,2579.172
208,2012-01-30,2579.116
209,2012-01-31,2579.06
210,2012-02-01,2579.0459459459457
211,2012-02-02,2579.031891891892
212,2012-02-03,2579.0178378378378
213,2012-02-04,2579.0037837837835
214,2012-02-05,2578.98972972973
215,2012-02-06,2578.9756756756756
216,2012-02-07,2578.9616216216214
217,2012-02-08,2578.9475675675676
218,2012-02-09,2578.9335135135134
219,2012-02-10,2578.9194594594596
220,2012-02-11,2578.9054054054054
221,2012-02-12,2578.891351351351
222,2012-02-13,2578.8772972972974
223,2012-02-14,2578.8632432432432
224,2012-02-15,2578.849189189189
225,2012-02-16,2578.8351351351353
226,2012-02-17,2578.821081081081
227,2012-02-18,2578.807027027027
228,2012-02-19,2578.792972972973
229,2012-02-20,2578.778918918919
230,2012-02-21,2578.7648648648646
231,2012-02-22,2578.750810810811
232,2012-02-23,2578.7367567567567
233,2012-02-24,2578.7227027027025
234,2012-02-25,2578.7086486486487
235,2012-02-26,2578.6945945945945
236,2012-02-27,2578.6805405405403
237,2012-02-28,2578.6664864864865
238,2012-02-29,2578.6524324324323
239,2012-03-01,2578.6383783783785
240,2012-03-02,2578.6243243243243
241,2012-03-03,2578.61027027027
242,2012-03-04,2578.5962162162164
243,2012-03-05,2578.582162162162
244,2012-03-06,2578.568108108108
245,2012-03-07,2578.554054054054
246,2012-03-08,2578.54
247,2012-03-09,2578.5
248,2012-03-10,2578.5
249,2012-03-11,2578.62
250,2012-03-12,2578.68
251,2012-03-13,2578.89
252,2012-03-14,2578.85
253,2012-03-15,2578.91
254,2012-03-16,2579.46
255,2012-03-17,2579.51
256,2012-03-18,2579.35
257,2012-03-19,2579.17
258,2012-03-20,2578.97
259,2012-03-21,2578.98
260,2012-03-22,2578.86
261,2012-03-23,2578.75
262,2012-03-24,2578.67
263,2012-03-25,2578.59
264,2012-03-26,2578.54
265,2012-03-27,2578.51
266,2012-03-28,2578.54
267,2012-03-29,2578.62
268,2012-03-30,2579.3
269,2012-03-31,2579.69
270,2012-04-01,2579.65
271,2012-04-02,2579.48
272,2012-04-03,2579.27
273,2012-04-04,2579.15
274,2012-04-05,2579.04
275,2012-04-06,2578.94
276,2012-04-07,2578.83
277,2012-04-08,2578.76
278,2012-04-09,2578.69
279,2012-04-10,2578.68
280,2012-04-11,2578.71
281,2012-04-12,2578.81
282,2012-04-13,2578.84
283,2012-04-14,2578.86
284,2012-04-15,2578.82
285,2012-04-16,2578.78
286,2012-04-17,2578.95
287,2012-04-18,2579.0
288,2012-04-19,2579.04
289,2012-04-20,2579.07
290,2012-04-21,2579.21
291,2012-04-22,2579.26
292,2012-04-23,2579.32
293,2012-04-24,2579.42
294,2012-04-25,2579.48
295,2012-04-26,2579.52
296,2012-04-27,2579.58
297,2012-04-28,2579.42
298,2012-04-29,2579.24
299,2012-04-30,2579.12
300,2012-05-01,2579.24
301,2012-05-02,2579.25
302,2012-05-03,2579.17
303,2012-05-04,2579.23
304,2012-05-05,2579.29
305,2012-05-06,2579.21
306,2012-05-07,2579.09
307,2012-05-08,2578.97
308,2012-05-09,2578.85
309,2012-05-10,2578.79
310,2012-05-11,2578.73
311,2012-05-12,2578.69
312,2012-05-13,2578.69
313,2012-05-14,2578.73
314,2012-05-15,2578.79
315,2012-05-16,2578.81
316,2012-05-17,2578.77
317,2012-05-18,2578.72
318,2012-05-19,2578.66
319,2012-05-20,2578.65
320,2012-05-21,2578.81
321,2012-05-22,2579.0
322,2012-05-23,2579.1
323,2012-05-24,2579.08
324,2012-05-25,2579.01
325,2012-05-26,2578.96
326,2012-05-27,2578.91
327,2012-05-28,2578.86
328,2012-05-29,2578.79
329,2012-05-30,2578.73
330,2012-05-31,2578.75
331,2012-06-01,2578.77
332,2012-06-02,2578.73
333,2012-06-03,2578.69
334,2012-06-04,2578.66
335,2012-06-05,2578.72
336,2012-06-06,2578.67
337,2012-06-07,2578.72
338,2012-06-08,2578.79
339,2012-06-09,2578.77
340,2012-06-10,2578.74
341,2012-06-11,2578.71
342,2012-06-12,2578.7
343,2012-06-13,2578.67
344,2012-06-14,2578.63
345,2012-06-15,2578.59
346,2012-06-16,2578.58
347,2012-06-17,2578.55
348,2012-06-18,2578.62
349,2012-06-19,2578.6
350,2012-06-20,2578.56
351,2012-06-21,2578.53
352,2012-06-22,2578.55
353,2012-06-23,2578.55
354,2012-06-24,2578.52
355,2012-06-25,2578.49
356,2012-06-26,2578.49
357,2012-06-27,2578.45
358,2012-06-28,2578.42
359,2012-06-29,2578.39
360,2012-06-30,2578.39
361,2012-07-01,2578.37
362,2012-07-02,2578.36
363,2012-07-03,2578.41
364,2012-07-04,2578.38
365,2012-07-05,2578.35
366,2012-07-06,2578.32
367,2012-07-07,2578.3
368,2012-07-08,2578.28
369,2012-07-09,2578.25
370,2012-07-10,2578.22
371,2012-07-11,2578.22
372,2012-07-12,2578.2
373,2012-07-13,2578.18
374,2012-07-14,2578.16
375,2012-07-15,2578.14
376,2012-07-16,2578.13
377,2012-07-17,2578.12
378,2012-07-18,2578.1
379,2012-07-19,2578.1
380,2012-07-20,2578.13
381,2012-07-21,2578.11
382,2012-07-22,2578.08
383,2012-07-23,2578.07
384,2012-07-24,2578.07
385,2012-07-25,2578.06
386,2012-07-26,2578.04
387,2012-07-27,2578.03
388,2012-07-28,2578.02
389,2012-07-29,2578.0
390,2012-07-30,2578.01
391,2012-07-31,2577.99
392,2012-08-01,2577.98
393,2012-08-02,2577.97
394,2012-08-03,2577.97
395,2012-08-04,2577.96
396,2012-08-05,2577.95
397,2012-08-06,2577.94
398,2012-08-07,2577.94
399,2012-08-08,2577.92
400,2012-08-09,2577.91
401,2012-08-10,2577.91
402,2012-08-11,2577.91
403,2012-08-12,2577.9
404,2012-08-13,2577.89
405,2012-08-14,2577.89
406,2012-08-15,2577.88
407,2012-08-16,2577.87
408,2012-08-17,2577.87
409,2012-08-18,2577.85
410,2012-08-19,2577.85
411,2012-08-20,2577.85
412,2012-08-21,2577.84
413,2012-08-22,2577.81
414,2012-08-23,2577.8
415,2012-08-24,2577.8
416,2012-08-25,2577.79
417,2012-08-26,2577.79
418,2012-08-27,2577.76
419,2012-08-28,2577.77
420,2012-08-29,2577.76
421,2012-08-30,2577.76
422,2012-08-31,2577.76
423,2012-09-01,2577.75
424,2012-09-02,2577.75
425,2012-09-03,2577.73
426,2012-09-04,2577.73
427,2012-09-05,2577.73
428,2012-09-06,2577.73
429,2012-09-07,2577.72
430,2012-09-08,2577.73
431,2012-09-09,2577.72
432,2012-09-10,2577.74
433,2012-09-11,2577.74
434,2012-09-12,2577.74
435,2012-09-13,2577.71
436,2012-09-14,2577.72
437,2012-09-15,2577.72
438,2012-09-16,2577.71
439,2012-09-17,2577.71
440,2012-09-18,2577.71
441,2012-09-19,2577.71
442,2012-09-20,2577.71
443,2012-09-21,2577.7
444,2012-09-22,2577.7
445,2012-09-23,2577.7
446,2012-09-24,2577.7
447,2012-09-25,2577.7
448,2012-09-26,2577.69
449,2012-09-27,2577.69
450,2012-09-28,2577.69
451,2012-09-29,2577.68
452,2012-09-30,2577.68
453,2012-10-01,2577.68
454,2012-10-02,2577.68
455,2012-10-03,2577.63
456,2012-10-04,2577.65
457,2012-10-05,2577.64
458,2012-10-06,2577.63
459,2012-10-07,2577.62
460,2012-10-08,2577.63
461,2012-10-09,2577.63
462,2012-10-10,2577.63
463,2012-10-11,2577.63
464,2012-10-12,2577.66
465,2012-10-13,2577.71
466,2012-10-14,2577.77
467,2012-10-15,2577.98
468,2012-10-16,2578.02
469,2012-10-17,2578.02
470,2012-10-18,2578.03
471,2012-10-19,2578.14
472,2012-10-20,2578.17
473,2012-10-21,2578.17
474,2012-10-22,2578.2
475,2012-10-23,2578.2
476,2012-10-24,2578.2
477,2012-10-25,2578.16
478,2012-10-26,2578.16
479,2012-10-27,2578.3
480,2012-10-28,2578.48
481,2012-10-29,2578.83
482,2012-10-30,2579.23
483,2012-10-31,2579.46
484,2012-11-01,2579.54
485,2012-11-02,2579.37
486,2012-11-03,2579.25
487,2012-11-04,2579.08
488,2012-11-05,2578.93
489,2012-11-06,2578.82
490,2012-11-07,2578.73
491,2012-11-08,2578.64
492,2012-11-09,2578.57
493,2012-11-10,2578.5
494,2012-11-11,2578.56
495,2012-11-12,2578.57
496,2012-11-13,2578.52
497,2012-11-14,2578.5
498,2012-11-15,2578.47
499,2012-11-16,2578.44
500,2012-11-17,2578.5
501,2012-11-18,2578.8
502,2012-11-19,2580.28
503,2012-11-20,2580.34
504,2012-11-21,2580.01
505,2012-11-22,2579.64
506,2012-11-23,2579.52
507,2012-11-24,2579.41
508,2012-11-25,2579.19
509,2012-11-26,2579.02
510,2012-11-27,2578.88
511,2012-11-28,2578.83
512,2012-11-29,2578.82
513,2012-11-30,2578.89
514,2012-12-01,2579.22
515,2012-12-02,2579.47
516,2012-12-03,2579.53
517,2012-12-04,2579.69
518,2012-12-05,2579.62
519,2012-12-06,2579.48
520,2012-12-07,2579.39
521,2012-12-08,2579.18
522,2012-12-09,2578.98
523,2012-12-10,2578.89
524,2012-12-11,2578.89
525,2012-12-12,2578.74
526,2012-12-13,2578.67
527,2012-12-14,2578.62
528,2012-12-15,2578.59
529,2012-12-16,2578.71
530,2012-12-17,2578.75
531,2012-12-18,2578.72
532,2012-12-19,2578.8
533,2012-12-20,2578.89
534,2012-12-21,2578.76
535,2012-12-22,2578.71
536,2012-12-23,2578.72
537,2012-12-24,2578.64
538,2012-12-25,2578.57
539,2012-12-26,2578.61
540,2012-12-27,2578.44
541,2012-12-28,2578.42
542,2012-12-29,2578.39
543,2012-12-30,2578.29
544,2012-12-31,2578.37
545,2013-01-01,2578.32
546,2013-01-02,2578.28
547,2013-01-03,2578.21
548,2013-01-04,2578.27
549,2013-01-05,2578.25
550,2013-01-06,2578.24
551,2013-01-07,2578.4
552,2013-01-08,2578.47
553,2013-01-09,2578.73
554,2013-01-10,2578.71
555,2013-01-11,2578.66
556,2013-01-12,2578.6
557,2013-01-13,2578.55
558,2013-01-14,2578.5
559,2013-01-15,2578.46
560,2013-01-16,2578.42
561,2013-01-17,2578.38
562,2013-01-18,2578.36
563,2013-01-19,2578.34
564,2013-01-20,2578.32
565,2013-01-21,2578.3
566,2013-01-22,2578.28
567,2013-01-23,2578.31
568,2013-01-24,2578.35
569,2013-01-25,2578.37
570,2013-01-26,2578.4
571,2013-01-27,2578.44
572,2013-01-28,2578.56
573,2013-01-29,2578.58
574,2013-01-30,2578.7
575,2013-01-31,2578.78
576,2013-02-01,2578.78
577,2013-02-02,2578.74
578,2013-02-03,2578.69
579,2013-02-04,2578.63
580,2013-02-05,2578.66
581,2013-02-06,2578.68
582,2013-02-07,2578.65
583,2013-02-08,2578.6
584,2013-02-09,2578.55
585,2013-02-10,2578.51
586,2013-02-11,2578.48
587,2013-02-12,2578.46
588,2013-02-13,2578.47
589,2013-02-14,2578.47
590,2013-02-15,2578.47
591,2013-02-16,2578.52
592,2013-02-17,2578.51
593,2013-02-18,2578.5
594,2013-02-19,2578.48
595,2013-02-20,2578.46
596,2013-02-21,2578.48
597,2013-02-22,2578.54
598,2013-02-23,2578.53
599,2013-02-24,2578.47
600,2013-02-25,2578.48
601,2013-02-26,2578.42
602,2013-02-27,2578.4
603,2013-02-28,2578.63
604,2013-03-01,2578.81
605,2013-03-02,2578.94
606,2013-03-03,2578.96
607,2013-03-04,2578.86
608,2013-03-05,2578.84
609,2013-03-06,2578.78
610,2013-03-07,2578.72
611,2013-03-08,2578.65
612,2013-03-09,2578.58
613,2013-03-10,2578.55
614,2013-03-11,2578.52
615,2013-03-12,2578.53
616,2013-03-13,2578.59
617,2013-03-14,2578.68
618,2013-03-15,2578.8
619,2013-03-16,2578.95
620,2013-03-17,2578.95
621,2013-03-18,2578.89
622,2013-03-19,2578.86
623,2013-03-20,2579.18
624,2013-03-21,2579.23
625,2013-03-22,2579.12
626,2013-03-23,2578.99
627,2013-03-24,2578.86
628,2013-03-25,2578.77
629,2013-03-26,2578.7
630,2013-03-27,2578.66
631,2013-03-28,2578.64
632,2013-03-29,2578.64
633,2013-03-30,2578.66
634,2013-03-31,2578.72
635,2013-04-01,2578.78
636,2013-04-02,2578.84
637,2013-04-03,2578.87
638,2013-04-04,2579.06
639,2013-04-05,2579.46
640,2013-04-06,2579.67
641,2013-04-07,2579.76
642,2013-04-08,2579.59
643,2013-04-09,2579.37
644,2013-04-10,2579.28
645,2013-04-11,2579.19
646,2013-04-12,2579.13
647,2013-04-13,2579.06
648,2013-04-14,2578.97
649,2013-04-15,2578.86
650,2013-04-16,2578.77
651,2013-04-17,2578.71
652,2013-04-18,2578.68
653,2013-04-19,2578.86
654,2013-04-20,2578.93
655,2013-04-21,2578.96
656,2013-04-22,2578.93
657,2013-04-23,2578.88
658,2013-04-24,2578.83
659,2013-04-25,2578.81
660,2013-04-26,2578.8
661,2013-04-27,2578.81
662,2013-04-28,2578.79
663,2013-04-29,2578.92
664,2013-04-30,2578.88
665,2013-05-01,2578.8
666,2013-05-02,2578.74
667,2013-05-03,2578.71
668,2013-05-04,2578.73
669,2013-05-05,2578.79
670,2013-05-06,2578.84
671,2013-05-07,2578.88
672,2013-05-08,2578.89
673,2013-05-09,2578.89
674,2013-05-10,2578.89
675,2013-05-11,2578.88
676,2013-05-12,2578.86
677,2013-05-13,2578.86
678,2013-05-14,2578.79
679,2013-05-15,2578.72
680,2013-05-16,2578.66
681,2013-05-17,2578.63
682,2013-05-18,2578.59
683,2013-05-19,2578.55
684,2013-05-20,2578.5
685,2013-05-21,2578.56
686,2013-05-22,2578.64
687,2013-05-23,2578.67
688,2013-05-24,2578.64
689,2013-05-25,2578.61
690,2013-05-26,2578.61
691,2013-05-27,2578.7
692,2013-05-28,2578.74
693,2013-05-29,2578.93
694,2013-05-30,2578.97
695,2013-05-31,2578.94
696,2013-06-01,2578.87
697,2013-06-02,2578.8
698,2013-06-03,2578.73
699,2013-06-04,2578.66
700,2013-06-05,2578.6
701,2013-06-06,2578.54
702,2013-06-07,2578.48
703,2013-06-08,2578.43
704,2013-06-09,2578.39
705,2013-06-10,2578.34
706,2013-06-11,2578.32
707,2013-06-12,2578.3
708,2013-06-13,2578.3
709,2013-06-14,2578.27
710,2013-06-15,2578.24
711,2013-06-16,2578.21
712,2013-06-17,2578.19
713,2013-06-18,2578.17
714,2013-06-19,2578.16
715,2013-06-20,2578.21
716,2013-06-21,2578.2
717,2013-06-22,2578.17
718,2013-06-23,2578.19
719,2013-06-24,2578.19
720,2013-06-25,2578.19
721,2013-06-26,2578.2
722,2013-06-27,2578.19
723,2013-06-28,2578.16
724,2013-06-29,2578.15
725,2013-06-30,2578.13
726,2013-07-01,2578.11
727,2013-07-02,2578.09
728,2013-07-03,2578.08
729,2013-07-04,2578.05
730,2013-07-05,2578.03
731,2013-07-06,2578.02
732,2013-07-07,2578.01
733,2013-07-08,2577.99
734,2013-07-09,2577.98
735,2013-07-10,2577.97
736,2013-07-11,2577.95
737,2013-07-12,2577.94
738,2013-07-13,2577.92
739,2013-07-14,2577.92
740,2013-07-15,2577.9
741,2013-07-16,2577.9
742,2013-07-17,2577.89
743,2013-07-18,2577.88
744,2013-07-19,2577.88
745,2013-07-20,2577.87
746,2013-07-21,2577.86
747,2013-07-22,2577.86
748,2013-07-23,2577.85
749,2013-07-24,2577.84
750,2013-07-25,2577.83
751,2013-07-26,2577.82
752,2013-07-27,2577.81
753,2013-07-28,2577.8
754,2013-07-29,2577.8
755,2013-07-30,2577.79
756,2013-07-31,2577.78
757,2013-08-01,2577.78
758,2013-08-02,2577.78
759,2013-08-03,2577.78
760,2013-08-04,2577.78
761,2013-08-05,2577.77
762,2013-08-06,2577.77
763,2013-08-07,2577.76
764,2013-08-08,2577.76
765,2013-08-09,2577.77
766,2013-08-10,2577.77
767,2013-08-11,2577.76
768,2013-08-12,2577.75
769,2013-08-13,2577.75
770,2013-08-14,2577.75
771,2013-08-15,2577.75
772,2013-08-16,2577.74
773,2013-08-17,2577.74
774,2013-08-18,2577.73
775,2013-08-19,2577.72
776,2013-08-20,2577.72
777,2013-08-21,2577.71
778,2013-08-22,2577.71
779,2013-08-23,2577.7
780,2013-08-24,2577.7
781,2013-08-25,2577.7
782,2013-08-26,2577.72
783,2013-08-27,2577.72
784,2013-08-28,2577.72
785,2013-08-29,2577.83
786,2013-08-30,2577.85
787,2013-08-31,2577.83
788,2013-09-01,2577.83
789,2013-09-02,2577.82
790,2013-09-03,2577.84
791,2013-09-04,2577.84
792,2013-09-05,2577.92
793,2013-09-06,2578.09
794,2013-09-07,2578.07
795,2013-09-08,2578.05
796,2013-09-09,2578.03
797,2013-09-10,2578.0
798,2013-09-11,2577.98
799,2013-09-12,2577.97
800,2013-09-13,2577.95
801,2013-09-14,2577.94
802,2013-09-15,2577.94
803,2013-09-16,2577.94
804,2013-09-17,2577.92
805,2013-09-18,2577.92
806,2013-09-19,2577.92
807,2013-09-20,2577.88
808,2013-09-21,2577.91
809,2013-09-22,2578.02
810,2013-09-23,2578.06
811,2013-09-24,2578.07
812,2013-09-25,2578.06
813,2013-09-26,2578.04
814,2013-09-27,2578.12
815,2013-09-28,2578.8
816,2013-09-29,2579.35
817,2013-09-30,2579.59
818,2013-10-01,2579.5
819,2013-10-02,2579.3
820,2013-10-03,2579.1
821,2013-10-04,2578.93
822,2013-10-05,2578.79
823,2013-10-06,2578.66
824,2013-10-07,2578.67
825,2013-10-08,2578.67
826,2013-10-09,2578.61
827,2013-10-10,2578.56
828,2013-10-11,2578.51
829,2013-10-12,2578.48
830,2013-10-13,2578.44
831,2013-10-14,2578.4
832,2013-10-15,2578.36
833,2013-10-16,2578.34
834,2013-10-17,2578.31
835,2013-10-18,2578.28
836,2013-10-19,2578.26
837,2013-10-20,2578.24
838,2013-10-21,2578.22
839,2013-10-22,2578.2
840,2013-10-23,2578.18
841,2013-10-24,2578.17
842,2013-10-25,2578.15
843,2013-10-26,2578.14
844,2013-10-27,2578.17
845,2013-10-28,2578.15
846,2013-10-29,2578.11
847,2013-10-30,2578.1
848,2013-10-31,2578.12
849,2013-11-01,2578.12
850,2013-11-02,2578.29
851,2013-11-03,2578.3
852,2013-11-04,2578.31
853,2013-11-05,2578.3
854,2013-11-06,2578.31
855,2013-11-07,2578.57
856,2013-11-08,2578.69
857,2013-11-09,2578.69
858,2013-11-10,2578.66
859,2013-11-11,2578.6
860,2013-11-12,2578.6
861,2013-11-13,2578.55
862,2013-11-14,2578.53
863,2013-11-15,2578.59
864,2013-11-16,2578.63
865,2013-11-17,2578.63
866,2013-11-18,2578.76
867,2013-11-19,2578.98
868,2013-11-20,2578.98
869,2013-11-21,2578.92
870,2013-11-22,2578.82
871,2013-11-23,2578.74
872,2013-11-24,2578.67
873,2013-11-25,2578.6
874,2013-11-26,2578.54
875,2013-11-27,2578.48
876,2013-11-28,2578.44
877,2013-11-29,2578.41
878,2013-11-30,2578.41
879,2013-12-01,2579.26
880,2013-12-02,2579.41
881,2013-12-03,2579.28
882,2013-12-04,2579.17625
883,2013-12-05,2579.0725
884,2013-12-06,2578.96875
885,2013-12-07,2578.865
886,2013-12-08,2578.76125
887,2013-12-09,2578.6575
888,2013-12-10,2578.55375
889,2013-12-11,2578.45
890,2013-12-12,2578.43
891,2013-12-13,2578.42
892,2013-12-14,2578.39
893,2013-12-15,2578.37
894,2013-12-16,2578.36
895,2013-12-17,2578.34
896,2013-12-18,2578.32
897,2013-12-19,2578.3
898,2013-12-20,2578.39
899,2013-12-21,2578.39
900,2013-12-22,2578.42
901,2013-12-23,2578.56
902,2013-12-24,2578.6
903,2013-12-25,2578.6
904,2013-12-26,2578.58
905,2013-12-27,2578.55
906,2013-12-28,2578.53
907,2013-12-29,2578.49
908,2013-12-30,2578.45
909,2013-12-31,2578.43
910,2014-01-01,2578.4
911,2014-01-02,2578.45
912,2014-01-03,2578.42
913,2014-01-04,2578.38
914,2014-01-05,2578.35
915,2014-01-06,2578.33
916,2014-01-07,2578.36
917,2014-01-08,2578.47
918,2014-01-09,2578.66
919,2014-01-10,2578.8
920,2014-01-11,2579.18
921,2014-01-12,2579.34
922,2014-01-13,2579.42
923,2014-01-14,2579.32
924,2014-01-15,2579.17
925,2014-01-16,2579.03
926,2014-01-17,2578.9
927,2014-01-18,2578.79
928,2014-01-19,2578.71
929,2014-01-20,2578.64
930,2014-01-21,2578.58
931,2014-01-22,2578.52
932,2014-01-23,2578.47
933,2014-01-24,2578.45
934,2014-01-25,2578.4
935,2014-01-26,2578.38
936,2014-01-27,2578.36
937,2014-01-28,2578.38
938,2014-01-29,2578.58
939,2014-01-30,2578.68
940,2014-01-31,2578.67
941,2014-02-01,2578.63
942,2014-02-02,2578.59
943,2014-02-03,2578.54
944,2014-02-04,2578.5
945,2014-02-05,2578.44
946,2014-02-06,2578.45
947,2014-02-07,2578.41
948,2014-02-08,2578.38
949,2014-02-09,2578.38
950,2014-02-10,2578.41
951,2014-02-11,2578.58
952,2014-02-12,2578.91
953,2014-02-13,2579.07
954,2014-02-14,2579.16
955,2014-02-15,2579.41
956,2014-02-16,2579.59
957,2014-02-17,2579.64
958,2014-02-18,2579.65
959,2014-02-19,2579.48
960,2014-02-20,2579.31
961,2014-02-21,2579.09
962,2014-02-22,2578.93
963,2014-02-23,2578.8
964,2014-02-24,2578.8
965,2014-02-25,2578.79
966,2014-02-26,2578.72
967,2014-02-27,2578.71
968,2014-02-28,2578.69
969,2014-03-01,2578.64
970,2014-03-02,2578.84
971,2014-03-03,2579.16
972,2014-03-04,2579.25
973,2014-03-05,2579.71
974,2014-03-06,2580.45
975,2014-03-07,2580.24
976,2014-03-08,2580.17
977,2014-03-09,2580.29
978,2014-03-10,2580.09
979,2014-03-11,2579.74
980,2014-03-12,2579.43
981,2014-03-13,2579.19
982,2014-03-14,2579.08
983,2014-03-15,2578.94
