agency_cd	site_no	datetime	115575_00010_00001	115575_00010_00001_cd	115576_00010_00002	115576_00010_00002_cd	115577_00010_00003	115577_00010_00003_cd	115578_00400_00001	115578_00400_00001_cd	115579_00400_00002	115579_00400_00002_cd	115581_00400_00008	115581_00400_00008_cd	115582_00095_00001	115582_00095_00001_cd	115583_00095_00002	115583_00095_00002_cd	115584_00095_00003	115584_00095_00003_cd	115585_00300_00001	115585_00300_00001_cd	115586_00300_00002	115586_00300_00002_cd	115587_00300_00003	115587_00300_00003_cd	115588_62625_00001	115588_62625_00001_cd	115589_62625_00002	115589_62625_00002_cd	115590_62625_00003	115590_62625_00003_cd	115591_00036_00003	115591_00036_00003_cd	115592_00052_00001	115592_00052_00001_cd	115593_00052_00002	115593_00052_00002_cd	115594_00052_00003	115594_00052_00003_cd	115595_00020_00001	115595_00020_00001_cd	115596_00020_00002	115596_00020_00002_cd	115597_00020_00003	115597_00020_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004000	2013-07-06	22.4	A	21.3	A	21.7	A	10.0	A	9.5	A	9.7	A	124	A	118	A	119	A																										
USGS	422622122004000	2013-07-07	22.5	A	21.3	A	21.7	A	9.9	A	9.7	A	9.7	A	121	A	117	A	118	A																										
USGS	422622122004000	2013-07-08	23.0	A	21.5	A	21.7	A	9.9	A	9.6	A	9.7	A	120	A	116	A	118	A																										
USGS	422622122004000	2013-07-09	23.2	A	21.7	A	22.3	A	9.9	A	9.4	A	9.8	A	120	A	117	A	119	A																										
USGS	422622122004000	2013-07-10	23.7	A	22.3	A	22.9	A	9.8	A	9.4	A	9.7	A	122	A	118	A	120	A																										
USGS	422622122004000	2013-07-11	23.8	A	22.8	A	23.2	A	9.8	A	9.6	A	9.6	A	123	A	119	A	120	A																										
USGS	422622122004000	2013-07-12	23.0	A	22.0	A	22.6	A	9.7	A	9.4	A	9.7	A	121	A	116	A	119	A																										
USGS	422622122004000	2013-07-13	22.3	A	21.3	A	21.6	A	9.7	A	9.4	A	9.5	A	119	A	116	A	118	A																										
USGS	422622122004000	2013-07-14	22.1	A	21.4	A	21.5	A	9.7	A	9.5	A	9.6	A	119	A	116	A	117	A																										
USGS	422622122004000	2013-07-15	22.3	A	21.5	A	21.9	A	9.6	A	9.5	A	9.6	A	118	A	116	A	117	A																										
USGS	422622122004000	2013-07-16	22.8	A	21.6	A	21.9	A	9.7	A	9.2	A	9.5	A	119	A	116	A	116	A																										
USGS	422622122004000	2013-07-17	22.6	A	21.3	A	21.6	A	9.6	A	9.4	A	9.5	A	117	A	115	A	116	A																										
USGS	422622122004000	2013-07-18	22.5	A	21.7	A	22.0	A	9.6	A	9.5	A	9.6	A	117	A	115	A	116	A																										
USGS	422622122004000	2013-07-19	22.7	A	21.5	A	21.9	A	9.6	A	9.3	A	9.5	A	117	A	115	A	116	A																										
USGS	422622122004000	2013-07-20	22.7	A	21.5	A	22.0	A	9.6	A	9.3	A	9.4	A	116	A	115	A	115	A																										
USGS	422622122004000	2013-07-21	22.8	A	21.8	A	22.1	A	9.5	A	9.3	A	9.4	A	115	A	114	A	115	A																										
USGS	422622122004000	2013-07-22	23.2	A	22.0	A	22.3	A	9.6	A	9.4	A	9.4	A	115	A	114	A	114	A																										
USGS	422622122004000	2013-07-23	23.2	A	22.4	A	22.7	A	9.7	A	9.4	A	9.6	A	116	A	114	A	115	A																										
USGS	422622122004000	2013-07-24	23.3	A	22.3	A	22.6	A	9.6	A	9.2	A	9.5	A	116	A	113	A	114	A																										
USGS	422622122004000	2013-07-25	23.1	A	22.7	A	22.8	A	9.5	A	9.4	A	9.4	A	115	A	114	A	114	A																										
USGS	422622122004000	2013-07-26	24.3	A	22.6	A	23.4	A	9.6	A	9.2	A	9.5	A																																
USGS	422622122004000	2013-07-27	24.4	A	23.3	A	23.6	A	9.5	A	9.2	A	9.5	A	116	A	114	A	115	A																										
USGS	422622122004000	2013-07-28	23.6	A	22.5	A	23.0	A	9.5	A	9.2	A	9.4	A	116	A	115	A	115	A																										
USGS	422622122004000	2013-07-29	22.9	A	21.8	A	22.3	A	9.7	A	9.4	A	9.4	A	116	A	114	A	114	A																										
USGS	422622122004000	2013-07-30	22.4	A	21.5	A	21.9	A	9.6	A	9.3	A	9.5	A	115	A	114	A	115	A																										
USGS	422622122004000	2013-07-31																																												
USGS	422622122004000	2013-08-01	21.6	A	20.6	A	21.2	A	9.5	A	9.4	A	9.4	A	116	A	115	A	116	A																										
USGS	422622122004000	2013-08-02	20.6	A	20.0	A	20.2	A	9.5	A	9.1	A	9.4	A	117	A	114	A	115	A																										
USGS	422622122004000	2013-08-03	20.5	A	19.9	A	20.1	A	9.4	A	9.3	A	9.4	A	115	A	114	A	115	A																										
USGS	422622122004000	2013-08-04	21.3	A	20.0	A	20.5	A	9.6	A	9.4	A	9.5	A	116	A	114	A	115	A																										
USGS	422622122004000	2013-08-05	21.4	A	20.4	A	20.8	A	9.6	A	9.2	A	9.4	A	117	A	114	A	116	A																										
USGS	422622122004000	2013-08-06	21.7	A	20.7	A	21.2	A	9.6	A	9.3	A	9.5	A	117	A	115	A	116	A																										
USGS	422622122004000	2013-08-07	21.6	A	20.7	A	21.1	A	9.6	A	9.4	A	9.5	A	116	A	113	A	114	A																										
USGS	422622122004000	2013-08-08	20.8	A	20.1	A	20.3	A	9.4	A	9.3	A	9.4	A	114	A	113	A	114	A																										
USGS	422622122004000	2013-08-09	20.1	A	19.7	A	19.8	A	9.4	A	9.3	A	9.3	A	114	A	113	A	114	A																										
USGS	422622122004000	2013-08-10	20.1	A	19.4	A	19.7	A	9.4	A	9.2	A	9.4	A	114	A	113	A	114	A																										
USGS	422622122004000	2013-08-11	20.3	A	19.3	A	19.6	A	9.3	A	8.9	A	9.2	A	116	A	114	A	114	A																										
USGS	422622122004000	2013-08-12	20.7	A	19.6	A	19.8	A	9.3	A	9.0	A	9.2	A	116	A	114	A	115	A																										
USGS	422622122004000	2013-08-13	21.0	A	19.7	A	20.2	A	9.2	A	8.7	A	9.2	A	118	A	114	A	115	A																										
USGS	422622122004000	2013-08-14	21.3	A	20.0	A	20.5	A	9.2	A	8.2	A	9.0	A	123	A	115	A	117	A																										
USGS	422622122004000	2013-08-15	21.3	A	20.3	A	20.6	A	9.1	A	8.2	A	8.8	A	122	A	114	A	117	A																										
USGS	422622122004000	2013-08-16	21.6	A	20.6	A	20.9	A	9.0	A	8.4	A	8.9	A	120	A	115	A	117	A																										
USGS	422622122004000	2013-08-17	21.5	A	20.7	A	21.0	A	8.9	A	8.6	A	8.8	A	120	A	116	A	118	A																										
USGS	422622122004000	2013-08-18	21.6	A	20.6	A	21.0	A	8.8	A	8.2	A	8.6	A	122	A	119	A	120	A																										
USGS	422622122004000	2013-08-19	22.1	A	21.0	A	21.4	A	8.7	A	8.2	A	8.6	A	121	A	120	A	120	A																										
USGS	422622122004000	2013-08-20	22.1	A	20.7	A	21.3	A	8.7	A	7.6	A	8.3	A	126	A	120	A	123	A																										
USGS	422622122004000	2013-08-21	22.4	A	21.4	A	21.7	A	8.4	A	7.7	A	8.1	A	123	A	122	A	122	A																										
USGS	422622122004000	2013-08-22	22.0	A	20.8	A	21.4	A	7.7	A	7.3	A	7.4	A	123	A	122	A	122	A																										
USGS	422622122004000	2013-08-23	21.1	A	20.2	A	20.5	A	7.8	A	7.3	A	7.6	A	126	A	122	A	124	A																										
USGS	422622122004000	2013-08-24	20.8	A	20.0	A	20.3	A	7.8	A	7.3	A	7.6	A	125	A	123	A	124	A																										
USGS	422622122004000	2013-08-25	20.3	A	19.6	A	20.1	A	7.6	A	7.2	A	7.4	A	125	A	124	A	125	A																										
USGS	422622122004000	2013-08-26	20.4	A	19.2	A	19.8	A	7.4	A	7.2	A	7.3	A	126	A	124	A	126	A																										
USGS	422622122004000	2013-08-27	20.1	A	19.1	A	19.5	A	7.5	A	7.2	A	7.3	A	125	A	123	A	124	A																										
USGS	422622122004000	2013-08-28	20.5	A	19.3	A	19.7	A	7.4	A	7.2	A	7.3	A	126	A	124	A	125	A																										
USGS	422622122004000	2013-08-29	20.2	A	19.7	A	20.0	A	7.6	A	7.2	A	7.3	A	126	A	125	A	125	A																										
USGS	422622122004000	2013-08-30	20.5	A	19.3	A	19.6	A	7.6	A	7.2	A	7.3	A	126	A	125	A	126	A																										
USGS	422622122004000	2013-08-31	21.1	A	20.0	A	20.2	A	7.6	A	7.4	A	7.4	A	127	A	126	A	126	A																										
USGS	422622122004000	2013-09-01	21.4	A	20.5	A	20.9	A	7.6	A	7.2	A	7.3	A	126	A	126	A	126	A																										
USGS	422622122004000	2013-09-02	21.2	A	20.3	A	20.7	A	8.0	A	7.2	A	7.5	A	126	A	125	A	126	A																										
USGS	422622122004000	2013-09-03	20.7	A	19.8	A	20.2	A	8.0	A	7.3	A	7.5	A	126	A	125	A	126	A																										
USGS	422622122004000	2013-09-04	20.6	A	19.8	A	20.0	A	7.9	A	7.3	A	7.6	A	125	A	123	A	124	A																										
USGS	422622122004000	2013-09-05	20.1	A	19.0	A	19.7	A	7.9	A	7.2	A	7.4	A	125	A	123	A	124	A																										
USGS	422622122004000	2013-09-06	19.2	A	18.4	A	18.7	A	7.6	A	7.3	A	7.4	A	126	A	123	A	124	A																										
USGS	422622122004000	2013-09-07	19.4	A	18.6	A	18.7	A	7.7	A	7.4	A	7.5	A	125	A	124	A	125	A																										
USGS	422622122004000	2013-09-08	19.6	A	18.9	A	19.1	A	7.7	A	7.4	A	7.5	A	126	A	125	A	125	A																										
USGS	422622122004000	2013-09-09	19.5	A	18.8	A	19.0	A	7.6	A	7.3	A	7.5	A	127	A	125	A	126	A																										
USGS	422622122004000	2013-09-10	19.2	A	18.7	A	18.9	A	7.5	A	7.2	A	7.4	A	129	A	126	A	128	A																										
USGS	422622122004000	2013-09-11	20.3	A	18.9	A	19.7	A	7.4	A	7.2	A	7.4	A	130	A	126	A	127	A																										
