agency_cd	site_no	datetime	164396_00010_00001	164396_00010_00001_cd	164397_00010_00002	164397_00010_00002_cd	164398_00010_00003	164398_00010_00003_cd	164399_00010_00001	164399_00010_00001_cd	164400_00010_00002	164400_00010_00002_cd	164401_00010_00003	164401_00010_00003_cd	164402_00010_00001	164402_00010_00001_cd	164403_00010_00002	164403_00010_00002_cd	164404_00010_00003	164404_00010_00003_cd	164405_00095_00001	164405_00095_00001_cd	164406_00095_00002	164406_00095_00002_cd	164407_00095_00003	164407_00095_00003_cd	164408_00095_00001	164408_00095_00001_cd	164409_00095_00002	164409_00095_00002_cd	164410_00095_00003	164410_00095_00003_cd	164411_00095_00001	164411_00095_00001_cd	164412_00095_00002	164412_00095_00002_cd	164413_00095_00003	164413_00095_00003_cd	164414_00300_00001	164414_00300_00001_cd	164415_00300_00002	164415_00300_00002_cd	164416_00300_00003	164416_00300_00003_cd	164417_00300_00001	164417_00300_00001_cd	164418_00300_00002	164418_00300_00002_cd	164419_00300_00003	164419_00300_00003_cd	164420_00300_00001	164420_00300_00001_cd	164421_00300_00002	164421_00300_00002_cd	164422_00300_00003	164422_00300_00003_cd	164423_00400_00001	164423_00400_00001_cd	164424_00400_00002	164424_00400_00002_cd	164425_00400_00008	164425_00400_00008_cd	164426_00400_00001	164426_00400_00001_cd	164427_00400_00002	164427_00400_00002_cd	164428_00400_00008	164428_00400_00008_cd	164429_00400_00001	164429_00400_00001_cd	164430_00400_00002	164430_00400_00002_cd	164431_00400_00008	164431_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422820122032100	2014-08-03	25.2	A	21.4	A	23.1	A							23.8	A	21.4	A	22.6	A	116	A	112	A	115	A							117	A	111	A	115	A	8.9	A	4.7	A	6.3	A							9.5	A	4.7	A	6.3	A	8.7	A	7.6	A	8.2	A							8.9	A	7.9	A	8.4	A
USGS	422820122032100	2014-08-04	25.4	A	20.8	A	23.1	A							25.4	A	20.8	A	22.9	A	116	A	110	A	114	A							116	A	110	A	114	A	10.0	A	5.6	A	7.5	A							10.1	A	5.4	A	7.4	A	8.8	A	7.7	A	8.6	A							9.0	A	8.0	A	8.5	A
USGS	422820122032100	2014-08-05	25.6	A	21.8	A	23.5	A							25.3	A	21.7	A	23.3	A	120	A	112	A	116	A							116	A	113	A	115	A	10.4	A	6.1	A	7.9	A							10.2	A	5.2	A	7.7	A	8.9	A	8.3	A	8.6	A							9.0	A	8.3	A	8.7	A
USGS	422820122032100	2014-08-06	26.0	A	21.1	A	23.6	A							25.7	A	19.8	A	22.8	A	116	A	112	A	115	A							117	A	113	A	116	A	11.9	A	6.6	A	8.4	A							14.7	A	6.1	A	8.8	A	9.3	A	8.6	A	8.9	A							9.3	A	8.5	A	8.8	A
USGS	422820122032100	2014-08-07	26.1	A	21.8	A	24.0	A							26.0	A	21.4	A	23.7	A	113	A	111	A	113	A							115	A	112	A	115	A	11.4	A	7.5	A	9.2	A							11.5	A	7.4	A	9.4	A	9.2	A	9.0	A	9.1	A							9.2	A	8.8	A	9.0	A
USGS	422820122032100	2014-08-08	25.9	A	21.9	A	23.8	A							25.5	A	21.9	A	23.7	A	115	A	112	A	113	A							116	A	115	A	115	A	12.0	A	7.6	A	9.7	A							12.5	A	7.4	A	9.7	A	9.2	A	8.9	A	9.0	A							9.2	A	8.8	A	9.0	A
USGS	422820122032100	2014-08-09	27.0	A	21.5	A	23.8	A							24.6	A	20.9	A	22.8	A	116	A	109	A	112	A							116	A	104	A	113	A	11.5	A	7.3	A	9.0	A							14.0	A	7.2	A	10.0	A	9.2	A	8.9	A	9.0	A							9.2	A	8.8	A	9.0	A
USGS	422820122032100	2014-08-10	26.2	A	20.8	A	23.0	A							24.6	A	20.7	A	22.5	A	112	A	104	A	107	A							113	A	105	A	110	A	11.6	A	6.1	A	8.4	A							10.8	A	3.0	A	6.9	A	9.2	A	8.5	A	8.9	A							9.0	A	8.2	A	8.7	A
USGS	422820122032100	2014-08-11	24.9	A	20.9	A	22.4	A							23.5	A	20.6	A	22.0	A	112	A	104	A	110	A													9.4	A	4.2	A	6.3	A							10.1	A	1.0	A	5.0	A	8.8	A	8.1	A	8.3	A							8.8	A	7.5	A	8.0	A
USGS	422820122032100	2014-08-12	22.5	A	19.6	A	20.9	A							21.9	A	19.0	A	20.6	A	112	A	105	A	109	A							116	A	107	A	111	A	9.0	A	4.5	A	6.6	A							8.6	A	2.8	A	5.8	A	8.7	A	7.5	A	8.0	A							8.6	A	7.0	A	7.7	A
