agency_cd	site_no	datetime	149696_62614_00003	149696_62614_00003_cd	149697_00010_00001	149697_00010_00001_cd	149698_00010_00002	149698_00010_00002_cd	149699_00010_00003	149699_00010_00003_cd
USGS	12439000	2013-02-09	909.76	A	2.5	A	2.0	A	2.2	A
USGS	12439000	2013-02-10	909.77	A	2.8	A	2.1	A	2.4	A
USGS	12439000	2013-02-11	909.78	A	2.7	A	2.1	A	2.4	A
USGS	12439000	2013-02-12	909.78	A	2.7	A	2.2	A	2.3	A
USGS	12439000	2013-02-13	909.77	A	3.2	A	2.0	A	2.6	A
USGS	12439000	2013-02-14	909.77	A	3.2	A	2.5	A	2.8	A
USGS	12439000	2013-02-15	909.76	A	3.4	A	2.7	A	3.0	A
USGS	12439000	2013-02-16	909.76	A	3.4	A	3.0	A	3.2	A
USGS	12439000	2013-02-17	909.75	A	3.5	A	2.8	A	3.2	A
USGS	12439000	2013-02-18	909.75	A	3.9	A	3.0	A	3.4	A
USGS	12439000	2013-02-19	909.75	A	4.3	A	3.3	A	3.7	A
USGS	12439000	2013-02-20	909.74	A	5.2	A	3.6	A	4.4	A
USGS	12439000	2013-02-21	909.70	A	5.2	A	4.3	A	4.6	A
USGS	12439000	2013-02-22	909.67	A	5.1	A	4.3	A	4.6	A
USGS	12439000	2013-02-23	909.70	A	5.9	A	4.4	A	4.9	A
USGS	12439000	2013-02-24	909.72	A	5.2	A	4.4	A	4.8	A
USGS	12439000	2013-02-25	909.74	A	5.0	A	4.5	A	4.7	A
USGS	12439000	2013-02-26	909.76	A	5.7	A	4.6	A	5.0	A
USGS	12439000	2013-02-27	909.77	A	5.9	A	4.6	A	5.2	A
USGS	12439000	2013-02-28	909.79	A	5.5	A	4.9	A	5.2	A
USGS	12439000	2013-03-01	909.80	A	5.8	A	4.9	A	5.3	A
USGS	12439000	2013-03-02	909.81	A	6.0	A	5.0	A	5.5	A
USGS	12439000	2013-03-03	909.82	A	5.7	A	4.4	A	5.0	A
USGS	12439000	2013-03-04	909.82	A	5.4	A	3.3	A	4.5	A
USGS	12439000	2013-03-05	909.83	A	5.4	A	3.4	A	4.5	A
USGS	12439000	2013-03-06	909.84	A	4.6	A	3.3	A	4.2	A
USGS	12439000	2013-03-07	909.87	A	5.8	A	4.1	A	4.9	A
USGS	12439000	2013-03-08	909.87	A	6.8	A	4.7	A	5.6	A
USGS	12439000	2013-03-09	909.87	A	7.8	A	5.2	A	6.3	A
USGS	12439000	2013-03-10	909.87	A	6.3	A	5.0	A	5.5	A
USGS	12439000	2013-03-11	909.88	A	7.0	A	5.0	A	5.8	A
USGS	12439000	2013-03-12	909.88	A	7.2	A	5.4	A	6.1	A
USGS	12439000	2013-03-13	909.91	A	7.7	A	5.6	A	6.5	A
USGS	12439000	2013-03-14	909.94	A	7.1	A	6.0	A	6.3	A
USGS	12439000	2013-03-15	909.99	A	8.9	A	5.7	A	6.9	A
USGS	12439000	2013-03-16	910.04	A	7.9	A	6.3	A	7.0	A
USGS	12439000	2013-03-17	910.10	A	8.5	A	6.0	A	6.9	A
USGS	12439000	2013-03-18	910.13	A	9.0	A	6.1	A	7.2	A
USGS	12439000	2013-03-19	910.15	A	7.5	A	6.2	A	6.8	A
USGS	12439000	2013-03-20	910.19	A	7.4	A	6.6	A	6.8	A
USGS	12439000	2013-03-21	910.23	A	9.1	A	6.3	A	7.5	A
USGS	12439000	2013-03-22	910.24	A	8.6	A	6.6	A	7.4	A
USGS	12439000	2013-03-23	910.23	A	9.2	A	6.4	A	7.5	A
USGS	12439000	2013-03-24	910.21	A	8.9	A	7.1	A	7.7	A
USGS	12439000	2013-03-25	910.21	A	8.9	A	6.5	A	7.6	A
USGS	12439000	2013-03-26	910.24	A	10.0	A	7.0	A	8.4	A
USGS	12439000	2013-03-27	910.25	A	10.7	A	8.1	A	8.9	A
USGS	12439000	2013-03-28	910.27	A	11.3	A	7.8	A	9.0	A
USGS	12439000	2013-03-29	910.30	A	10.9	A	7.3	A	8.8	A
USGS	12439000	2013-03-30	910.32	A	12.0	A	9.1	A	10.4	A
USGS	12439000	2013-03-31	910.35	A	12.6	A	9.5	A	11.0	A
USGS	12439000	2013-04-01	910.39	A	13.8	A	11.4	A	12.8	A
USGS	12439000	2013-04-02	910.43	A	15.3	A	11.8	A	13.3	A
USGS	12439000	2013-04-03	910.47	A	15.5	A	12.3	A	13.4	A
USGS	12439000	2013-04-04	910.53	A	13.7	A	12.5	A	13.1	A
USGS	12439000	2013-04-05	910.58	A	12.6	A	8.2	A	9.5	A
USGS	12439000	2013-04-06	910.64	A	10.6	A	8.0	A	8.8	A
USGS	12439000	2013-04-07	910.72	A	9.4	A	8.5	A	8.9	A
USGS	12439000	2013-04-08	910.77	A	12.6	A	9.2	A	10.6	A
USGS	12439000	2013-04-09	910.74	A	11.8	A	10.1	A	10.6	A
USGS	12439000	2013-04-10	910.71	A	11.4	A	10.0	A	10.4	A
USGS	12439000	2013-04-11	910.73	A	12.1	A	9.6	A	10.8	A
USGS	12439000	2013-04-12	910.75	A	10.8	A	9.5	A	9.9	A
USGS	12439000	2013-04-13	910.80	A	11.4	A	9.2	A	10.2	A
USGS	12439000	2013-04-14	910.80	A	11.4	A	9.2	A	10.2	A
USGS	12439000	2013-04-15	910.83	A	12.0	A	9.8	A	10.6	A
USGS	12439000	2013-04-16	910.82	A	11.2	A	9.5	A	10.4	A
USGS	12439000	2013-04-17	910.82	A	11.3	A	9.7	A	10.5	A
USGS	12439000	2013-04-18	910.91	A	11.4	A	10.0	A	10.6	A
USGS	12439000	2013-04-19	911.01	A	12.1	A	10.5	A	11.1	A
USGS	12439000	2013-04-20	911.08	A	14.1	A	10.8	A	12.0	A
USGS	12439000	2013-04-21	911.08	A	11.6	A	10.2	A	10.7	A
USGS	12439000	2013-04-22	910.95	A	13.0	A	10.0	A	11.4	A
USGS	12439000	2013-04-23	910.86	A	13.3	A	11.2	A	12.0	A
USGS	12439000	2013-04-24	910.85	A	12.9	A	11.0	A	11.8	A
USGS	12439000	2013-04-25	910.87	A	14.2	A	11.2	A	12.2	A
USGS	12439000	2013-04-26	910.91	A	13.6	A	11.6	A	12.4	A
USGS	12439000	2013-04-27	910.97	A	14.2	A	12.7	A	13.3	A
USGS	12439000	2013-04-28	911.03	A	13.5	A	12.0	A	12.8	A
USGS	12439000	2013-04-29	911.09	A	12.9	A	11.6	A	12.3	A
USGS	12439000	2013-04-30	911.11	A	13.1	A	11.1	A	12.1	A
USGS	12439000	2013-05-01	911.11	A	13.0	A	11.5	A	12.1	A
USGS	12439000	2013-05-02	911.14	A	12.8	A	11.5	A	12.0	A
USGS	12439000	2013-05-03	911.25	A	13.7	A	11.6	A	12.7	A
USGS	12439000	2013-05-04	911.30	A	15.2	A	12.3	A	13.6	A
USGS	12439000	2013-05-05	911.31	A	16.3	A	13.7	A	15.0	A
USGS	12439000	2013-05-06	911.35	A	16.8	A	15.3	A	15.9	A
USGS	12439000	2013-05-07	911.45	A	18.1	A	14.9	A	16.4	A
USGS	12439000	2013-05-08	911.68	A	18.1	A	16.3	A	17.1	A
USGS	12439000	2013-05-09	912.06	A	19.6	A	16.4	A	17.7	A
USGS	12439000	2013-05-10	912.52	A	20.0	A	17.1	A	18.1	A
USGS	12439000	2013-05-11	912.95	A	18.2	A	16.3	A	17.1	A
USGS	12439000	2013-05-12	913.36	A	16.7	A	14.3	A	15.5	A
USGS	12439000	2013-05-13	913.74	A	15.4	A	13.7	A	14.4	A
USGS	12439000	2013-05-14	914.09	A	15.7	A	13.5	A	14.5	A
USGS	12439000	2013-05-15	914.17	A	16.1	A	15.4	A	15.7	A
USGS	12439000	2013-05-16	914.00	A	17.5	A	15.5	A	16.5	A
USGS	12439000	2013-05-17	913.76	A	17.4	A	15.1	A	16.3	A
USGS	12439000	2013-05-18	913.55	A	17.3	A	16.2	A	16.7	A
USGS	12439000	2013-05-19	913.38	A	18.1	A	16.8	A	17.3	A
USGS	12439000	2013-05-20	913.18	A	17.5	A	16.0	A	16.9	A
USGS	12439000	2013-05-21	913.00	A	17.4	A	16.2	A	16.7	A
USGS	12439000	2013-05-22	912.90	A	16.3	A	15.7	A	16.0	A
USGS	12439000	2013-05-23	912.88	A	15.7	A	15.2	A	15.5	A
USGS	12439000	2013-05-24	912.83	A	16.8	A	15.2	A	15.8	A
USGS	12439000	2013-05-25	912.76	A	15.6	A	15.0	A	15.3	A
USGS	12439000	2013-05-26	912.67	A	16.0	A	15.0	A	15.4	A
USGS	12439000	2013-05-27	912.59	A	16.4	A	15.5	A	15.9	A
USGS	12439000	2013-05-28	912.53	A	16.5	A	15.7	A	16.0	A
USGS	12439000	2013-05-29	912.50	A	16.8	A	16.0	A	16.4	A
USGS	12439000	2013-05-30	912.50	A	17.4	A	16.2	A	16.8	A
USGS	12439000	2013-05-31	912.52	A	18.9	A	16.8	A	17.5	A
USGS	12439000	2013-06-01	912.50	A	18.4	A	16.9	A	17.6	A
USGS	12439000	2013-06-02	912.50	A	18.6	A	17.8	A	18.1	A
USGS	12439000	2013-06-03	912.48	A	19.1	A	17.2	A	18.1	A
USGS	12439000	2013-06-04	912.47	A	19.8	A	17.8	A	18.4	A
USGS	12439000	2013-06-05	912.47	A	18.9	A	17.7	A	18.1	A
USGS	12439000	2013-06-06	912.47	A	21.1	A	18.4	A	19.5	A
USGS	12439000	2013-06-07	912.49	A	21.2	A	19.0	A	19.9	A
USGS	12439000	2013-06-08	912.49	A	20.5	A	19.4	A	19.8	A
USGS	12439000	2013-06-09	912.48	A	20.6	A	19.0	A	19.8	A
USGS	12439000	2013-06-10	912.45	A	20.5	A	19.1	A	19.8	A
USGS	12439000	2013-06-11	912.38	A	20.1	A	18.4	A	19.4	A
USGS	12439000	2013-06-12	912.31	A	20.1	A	17.9	A	18.9	A
USGS	12439000	2013-06-13	912.20	A	20.3	A	19.1	A	19.7	A
USGS	12439000	2013-06-14	912.05	A	20.8	A	19.1	A	19.8	A
USGS	12439000	2013-06-15	911.91	A	21.7	A	19.3	A	20.3	A
USGS	12439000	2013-06-16	911.84	A	22.8	A	19.4	A	20.8	A
USGS	12439000	2013-06-17	911.78	A	21.7	A	20.2	A	21.1	A
USGS	12439000	2013-06-18	911.77	A	20.7	A	19.9	A	20.3	A
USGS	12439000	2013-06-19	911.75	A	19.9	A	19.4	A	19.6	A
USGS	12439000	2013-06-20	911.79	A	19.5	A	19.1	A	19.3	A
USGS	12439000	2013-06-21	911.97	A	19.7	A	18.8	A	19.2	A
USGS	12439000	2013-06-22	912.16	A	19.4	A	18.8	A	19.1	A
USGS	12439000	2013-06-23	912.28	A	20.2	A	18.9	A	19.5	A
USGS	12439000	2013-06-24	912.37	A	19.9	A	19.3	A	19.6	A
USGS	12439000	2013-06-25	912.49	A	20.4	A	19.1	A	19.6	A
USGS	12439000	2013-06-26	912.62	A	19.7	A	19.1	A	19.4	A
USGS	12439000	2013-06-27	912.69	A	20.9	A	19.2	A	19.8	A
USGS	12439000	2013-06-28	912.71	A	21.9	A	20.0	A	20.7	A
USGS	12439000	2013-06-29	912.72	A	22.2	A	20.7	A	21.5	A
USGS	12439000	2013-06-30	912.70	A	23.3	A	21.8	A	22.5	A
USGS	12439000	2013-07-01	912.67	A	24.0	A	22.1	A	23.0	A
USGS	12439000	2013-07-02	912.62	A	23.3	A	21.4	A	22.5	A
USGS	12439000	2013-07-03	912.56	A	24.3	A	21.1	A	22.8	A
USGS	12439000	2013-07-04	912.46	A	25.1	A	23.4	A	24.1	A
USGS	12439000	2013-07-05	912.34	A	24.3	A	23.1	A	23.7	A
USGS	12439000	2013-07-06	912.25	A	24.5	A	22.9	A	23.6	A
USGS	12439000	2013-07-07	912.19	A	24.1	A	23.1	A	23.6	A
USGS	12439000	2013-07-08	912.16	A	24.6	A	22.8	A	23.7	A
USGS	12439000	2013-07-09	912.16	A	24.0	A	22.4	A	23.0	A
USGS	12439000	2013-07-10	912.16	A	24.0	A	22.3	A	23.0	A
USGS	12439000	2013-07-11	912.11	A	24.6	A	22.7	A	23.5	A
USGS	12439000	2013-07-12	912.00	A	23.8	A	22.6	A	23.3	A
USGS	12439000	2013-07-13	911.91	A	24.6	A	22.6	A	23.5	A
USGS	12439000	2013-07-14	911.83	A	23.6	A	22.2	A	23.0	A
USGS	12439000	2013-07-15	911.79	A	22.7	A	21.0	A	21.9	A
USGS	12439000	2013-07-16	911.71	A	23.4	A	21.3	A	22.3	A
USGS	12439000	2013-07-17	911.65	A	24.0	A	22.5	A	23.2	A
USGS	12439000	2013-07-18	911.58	A	24.5	A	22.8	A	23.7	A
USGS	12439000	2013-07-19	911.48	A	25.9	A	23.7	A	24.6	A
USGS	12439000	2013-07-20	911.46	A	25.7	A	24.3	A	25.0	A
USGS	12439000	2013-07-21	911.50	A	26.9	A	24.8	A	25.7	A
USGS	12439000	2013-07-22	911.53	A	26.5	A	25.4	A	26.0	A
USGS	12439000	2013-07-23	911.53	A	27.1	A	25.3	A	26.1	A
USGS	12439000	2013-07-24	911.53	A	27.4	A	25.7	A	26.4	A
USGS	12439000	2013-07-25	911.54	A	27.3	A	25.7	A	26.5	A
USGS	12439000	2013-07-26	911.51	A	28.1	A	26.1	A	26.9	A
USGS	12439000	2013-07-27	911.50	A	27.3	A	26.0	A	26.6	A
USGS	12439000	2013-07-28	911.53	A	26.5	A	25.1	A	25.8	A
USGS	12439000	2013-07-29	911.54	A	25.6	A	24.2	A	24.9	A
USGS	12439000	2013-07-30	911.54	A	25.4	A	24.4	A	24.9	A
USGS	12439000	2013-07-31	911.56	A	25.7	A	24.3	A	25.0	A
USGS	12439000	2013-08-01	911.58	A	25.5	A	24.2	A	25.1	A
USGS	12439000	2013-08-02	911.62	A	25.1	A	23.8	A	24.3	A
USGS	12439000	2013-08-03	911.63	A	25.1	A	24.1	A	24.5	A
USGS	12439000	2013-08-04	911.64	A	25.0	A	23.9	A	24.5	A
USGS	12439000	2013-08-05	911.66	A	25.5	A	23.9	A	24.7	A
USGS	12439000	2013-08-06	911.67	A	26.2	A	24.6	A	25.2	A
USGS	12439000	2013-08-07	911.67	A	26.6	A	24.5	A	25.4	A
USGS	12439000	2013-08-08	911.62	A	26.8	A	25.5	A	26.1	A
USGS	12439000	2013-08-09	911.60	A	27.4	A	25.5	A	26.4	A
USGS	12439000	2013-08-10	911.59	A	27.5	A	26.2	A	26.9	A
USGS	12439000	2013-08-11	911.58	A	27.2	A	25.7	A	26.1	A
USGS	12439000	2013-08-12	911.58	A	26.6	A	25.3	A	25.9	A
USGS	12439000	2013-08-13	911.57	A	26.5	A	25.1	A	25.7	A
USGS	12439000	2013-08-14	911.57	A	26.0	A	24.7	A	25.4	A
USGS	12439000	2013-08-15	911.57	A	25.8	A	25.1	A	25.5	A
USGS	12439000	2013-08-16	911.57	A	26.0	A	24.7	A	25.3	A
USGS	12439000	2013-08-17	911.56	A	25.7	A	24.8	A	25.2	A
USGS	12439000	2013-08-18	911.56	A	25.2	A	24.2	A	24.7	A
USGS	12439000	2013-08-19	911.55	A	25.9	A	24.1	A	24.9	A
USGS	12439000	2013-08-20	911.54	A	25.3	A	24.2	A	24.8	A
USGS	12439000	2013-08-21	911.51	A	25.3	A	24.1	A	24.7	A
USGS	12439000	2013-08-22	911.52	A	25.1	A	24.2	A	24.7	A
USGS	12439000	2013-08-23	911.54	A	24.9	A	24.1	A	24.5	A
USGS	12439000	2013-08-24	911.56	A	24.2	A	23.6	A	23.9	A
USGS	12439000	2013-08-25	911.59	A	24.1	A	22.9	A	23.6	A
USGS	12439000	2013-08-26	911.60	A	23.8	A	23.2	A	23.5	A
USGS	12439000	2013-08-27	911.64	A	23.8	A	22.7	A	23.2	A
USGS	12439000	2013-08-28	911.66	A	23.9	A	22.7	A	23.3	A
USGS	12439000	2013-08-29	911.63	A	23.5	A	22.9	A	23.2	A
USGS	12439000	2013-08-30	911.62	A	23.6	A	22.7	A	23.2	A
USGS	12439000	2013-08-31	911.60	A	23.7	A	22.4	A	23.0	A
USGS	12439000	2013-09-01	911.58	A	24.0	A	22.8	A	23.4	A
USGS	12439000	2013-09-02	911.55	A	24.0	A	23.1	A	23.5	A
USGS	12439000	2013-09-03	911.52	A	24.0	A	22.7	A	23.2	A
USGS	12439000	2013-09-04	911.53	A	23.2	A	22.6	A	22.9	A
USGS	12439000	2013-09-05	911.54	A	23.5	A	22.5	A	23.0	A
USGS	12439000	2013-09-06	911.58	A	23.2	A	22.5	A	22.8	A
USGS	12439000	2013-09-07	911.61	A	23.0	A	22.1	A	22.5	A
USGS	12439000	2013-09-08	911.63	A	23.4	A	22.1	A	22.6	A
USGS	12439000	2013-09-09	911.63	A	23.5	A	22.0	A	22.8	A
USGS	12439000	2013-09-10	911.64	A	23.8	A	22.8	A	23.3	A
USGS	12439000	2013-09-11	911.67	A	23.7	A	22.7	A	23.2	A
USGS	12439000	2013-09-12	911.63	A	24.0	A	22.8	A	23.4	A
USGS	12439000	2013-09-13	911.62	A	24.4	A	23.2	A	23.7	A
USGS	12439000	2013-09-14	911.61	A	24.1	A	23.0	A	23.6	A
USGS	12439000	2013-09-15	911.61	A	23.9	A	23.2	A	23.6	A
USGS	12439000	2013-09-16	911.63	A	23.5	A	22.7	A	23.2	A
USGS	12439000	2013-09-17	911.62	A	23.0	A	22.0	A	22.6	A
USGS	12439000	2013-09-18	911.54	A	22.2	A	21.5	A	21.9	A
USGS	12439000	2013-09-19	911.44	A	21.8	A	21.0	A	21.4	A
USGS	12439000	2013-09-20	911.37	A	22.0	A	20.4	A	21.2	A
USGS	12439000	2013-09-21	911.35	A	21.4	A	20.5	A	20.9	A
USGS	12439000	2013-09-22	911.31	A	20.8	A	19.8	A	20.3	A
USGS	12439000	2013-09-23	911.29	A	20.0	A	19.3	A	19.6	A
USGS	12439000	2013-09-24	911.29	A	19.6	A	18.7	A	19.2	A
USGS	12439000	2013-09-25	911.24	A	19.1	A	17.7	A	18.3	A
USGS	12439000	2013-09-26	911.21	A	19.3	A	17.4	A	18.3	A
USGS	12439000	2013-09-27	911.18	A	18.3	A	17.6	A	17.9	A
USGS	12439000	2013-09-28	911.17	A	17.7	A	17.2	A	17.5	A
USGS	12439000	2013-09-29	911.19	A	17.6	A	16.6	A	17.0	A
USGS	12439000	2013-09-30	911.20	A	17.2	A	16.0	A	16.6	A
USGS	12439000	2013-10-01	911.19	A	16.8	A	15.7	A	16.1	A
USGS	12439000	2013-10-02	911.17	A	16.1	A	15.1	A	15.6	A
USGS	12439000	2013-10-03	911.16	A	15.6	A	14.8	A	15.2	A
USGS	12439000	2013-10-04	911.11	A	16.2	A	14.6	A	15.3	A
USGS	12439000	2013-10-05	911.09	A	15.3	A	14.6	A	15.0	A
USGS	12439000	2013-10-06	911.09	A	15.4	A	14.3	A	14.8	A
USGS	12439000	2013-10-07	911.11	A	15.3	A	14.3	A	14.7	A
USGS	12439000	2013-10-08	911.13	A	14.5	A	13.7	A	14.1	A
USGS	12439000	2013-10-09	911.09	A	15.4	A	13.6	A	14.5	A
USGS	12439000	2013-10-10	911.06	A	15.1	A	14.2	A	14.7	A
USGS	12439000	2013-10-11	911.02	A	14.8	A	13.2	A	14.1	A
USGS	12439000	2013-10-12	911.02	A	14.2	A	13.5	A	13.9	A
USGS	12439000	2013-10-13	911.00	A	14.5	A	13.3	A	13.8	A
USGS	12439000	2013-10-14	911.01	A	14.4	A	13.0	A	13.7	A
USGS	12439000	2013-10-15	911.02	A	14.2	A	13.0	A	13.7	A
USGS	12439000	2013-10-16	911.06	A	13.7	A	13.2	A	13.5	A
USGS	12439000	2013-10-17	911.06	A	14.2	A	12.7	A	13.4	A
USGS	12439000	2013-10-18	911.04	A	13.8	A	12.7	A	13.3	A
USGS	12439000	2013-10-19	911.02	A	13.6	A	12.8	A	13.3	A
USGS	12439000	2013-10-20	911.02	A	13.6	A	12.5	A	13.2	A
USGS	12439000	2013-10-21	911.01	A	14.0	A	13.0	A	13.4	A
USGS	12439000	2013-10-22	910.99	A	14.0	A	12.7	A	13.4	A
USGS	12439000	2013-10-23	910.94	A	13.5	A	12.8	A	13.1	A
USGS	12439000	2013-10-24	910.90	A	13.2	A	12.5	A	12.8	A
USGS	12439000	2013-10-25	910.86	A	13.0	A	12.3	A	12.6	A
USGS	12439000	2013-10-26	910.82	A	12.5	A	11.8	A	12.2	A
USGS	12439000	2013-10-27	910.80	A	12.2	A	11.4	A	11.8	A
USGS	12439000	2013-10-28	910.77	A	11.4	A	9.9	A	10.4	A
USGS	12439000	2013-10-29	910.69	A	11.6	A	10.0	A	10.9	A
USGS	12439000	2013-10-30	910.65	A	11.1	A	10.4	A	10.7	A
USGS	12439000	2013-10-31	910.62	A	10.9	A	10.0	A	10.4	A
USGS	12439000	2013-11-01	910.59	A	10.3	A	9.8	A	10.1	A
USGS	12439000	2013-11-02	910.57	A	10.6	A	9.6	A	10.1	A
USGS	12439000	2013-11-03	910.54	A	10.4	A	9.4	A	9.9	A
USGS	12439000	2013-11-04	910.50	A	9.8	A	9.0	A	9.3	A
USGS	12439000	2013-11-05	910.45	A	9.7	A	9.0	A	9.4	A
USGS	12439000	2013-11-06	910.42	A	9.6	A	9.0	A	9.2	A
USGS	12439000	2013-11-07	910.38	A	9.1	A	8.6	A	8.9	A
USGS	12439000	2013-11-08	910.36	A	9.4	A	8.6	A	9.0	A
USGS	12439000	2013-11-09	910.32	A	9.0	A	8.3	A	8.6	A
USGS	12439000	2013-11-10	910.30	A	8.8	A	8.5	A	8.7	A
USGS	12439000	2013-11-11	910.28	A	8.8	A	8.4	A	8.6	A
USGS	12439000	2013-11-12	910.24	A	8.9	A	8.4	A	8.6	A
USGS	12439000	2013-11-13	910.22	A	9.2	A	8.6	A	8.9	A
USGS	12439000	2013-11-14	910.20	A	9.1	A	8.4	A	8.7	A
USGS	12439000	2013-11-15	910.18	A	8.6	A	8.2	A	8.4	A
USGS	12439000	2013-11-16	910.15	A	8.2	A	7.1	A	7.7	A
USGS	12439000	2013-11-17	910.11	A	7.8	A	7.2	A	7.4	A
USGS	12439000	2013-11-18	910.08	A	7.7	A	6.9	A	7.3	A
USGS	12439000	2013-11-19	910.06	A	8.0	A	5.6	A	7.3	A
USGS	12439000	2013-11-20	910.03	A	5.6	A	3.4	A	4.5	A
USGS	12439000	2013-11-21	909.99	A	5.8	A	4.6	A	5.3	A
USGS	12439000	2013-11-22	909.95	A	5.7	A	4.6	A	5.2	A
USGS	12439000	2013-11-23	909.90	A	5.5	A	4.6	A	5.1	A
USGS	12439000	2013-11-24	909.84	A	4.8	A	4.1	A	4.4	A
USGS	12439000	2013-11-25	909.80	A	4.7	A	4.3	A	4.5	A
USGS	12439000	2013-11-26	909.76	A	4.8	A	4.3	A	4.5	A
USGS	12439000	2013-11-27	909.72	A	5.0	A	4.4	A	4.7	A
USGS	12439000	2013-11-28	909.68	A	5.2	A	4.2	A	4.8	A
USGS	12439000	2013-11-29	909.63	A	4.4	A	3.8	A	4.1	A
USGS	12439000	2013-11-30	909.61	A	4.5	A	3.9	A	4.2	A
USGS	12439000	2013-12-01	909.60	A	4.7	A	4.0	A	4.4	A
USGS	12439000	2013-12-02	909.63	A	4.8	A	1.8	A	3.7	A
USGS	12439000	2013-12-03	909.59	A	2.1	A	0.3	A	1.3	A
USGS	12439000	2013-12-04	909.51	A	1.1	A	0.0	A	0.0	A
USGS	12439000	2013-12-05	909.47	A	2.7	A	0.0	A	1.5	A
USGS	12439000	2013-12-06	909.46	A	1.3	A	0.0	A	-0.0	A
USGS	12439000	2013-12-07	909.49	A	0.0	A	0.0	A	0.0	A
USGS	12439000	2013-12-08	909.49	A	0.8	A	0.0	A	0.4	A
USGS	12439000	2013-12-09	909.48	A	1.0	A	0.6	A	0.8	A
USGS	12439000	2013-12-10	909.47	A	1.2	A	0.7	A	1.0	A
USGS	12439000	2013-12-11	909.46	A	1.4	A	0.7	A	1.2	A
USGS	12439000	2013-12-12	909.45	A	1.2	A	0.8	A	1.0	A
USGS	12439000	2013-12-13	909.47	A	1.2	A	0.6	A	1.0	A
USGS	12439000	2013-12-14	909.48	A	1.2	A	0.7	A	1.0	A
USGS	12439000	2013-12-15	909.49	A	1.1	A	0.4	A	0.9	A
USGS	12439000	2013-12-16	909.50	A	1.4	A	0.8	A	1.1	A
USGS	12439000	2013-12-17	909.51	A	1.0	A	0.5	A	0.8	A
USGS	12439000	2013-12-18	909.53	A	1.2	A	0.7	A	0.9	A
USGS	12439000	2013-12-19	909.52	A	1.1	A	0.4	A	0.8	A
